scenario,condition,t_id,expected,observed,abs_diff,rel_error,total_expected,total_observed,gdna_expected,gdna_pipeline,gdna_abs_diff,nrna_expected,nrna_pipeline,nrna_abs_diff,ctrl_observed,n_fragments,alignment_rate,n_intergenic
single_exon,gdna=0_ss=0.65_nrna=0,t1,338,0.0,338.0,1.0,500,161.51,0,338.0,338.0,0,0.49,0.49,0.0,500,1.0,0
single_exon,gdna=0_ss=0.65_nrna=0,t_helper,162,161.51,0.49,0.0,500,161.51,0,338.0,338.0,0,0.49,0.49,0.0,500,1.0,0
single_exon,gdna=0_ss=0.65_nrna=0,t_ctrl,0,0.0,0.0,0.0,500,161.51,0,338.0,338.0,0,0.49,0.49,0.0,500,1.0,0
single_exon,gdna=0_ss=0.65_nrna=30,t1,237,314.0,77.0,0.32,367,415.93,0,7.0,7.0,133,77.07,55.93,0.0,500,1.0,0
single_exon,gdna=0_ss=0.65_nrna=30,t_helper,130,101.93,28.07,0.22,367,415.93,0,7.0,7.0,133,77.07,55.93,0.0,500,1.0,0
single_exon,gdna=0_ss=0.65_nrna=30,t_ctrl,0,0.0,0.0,0.0,367,415.93,0,7.0,7.0,133,77.07,55.93,0.0,500,1.0,0
single_exon,gdna=0_ss=0.65_nrna=50,t1,204,0.0,204.0,1.0,312,97.71,0,304.0,304.0,188,98.29,89.71,0.0,500,1.0,0
single_exon,gdna=0_ss=0.65_nrna=50,t_helper,108,97.71,10.29,0.1,312,97.71,0,304.0,304.0,188,98.29,89.71,0.0,500,1.0,0
single_exon,gdna=0_ss=0.65_nrna=50,t_ctrl,0,0.0,0.0,0.0,312,97.71,0,304.0,304.0,188,98.29,89.71,0.0,500,1.0,0
single_exon,gdna=0_ss=0.8_nrna=0,t1,338,338.0,0.0,0.0,500,499.54,0,0.0,0.0,0,0.46,0.46,0.0,500,1.0,0
single_exon,gdna=0_ss=0.8_nrna=0,t_helper,162,161.54,0.46,0.0,500,499.54,0,0.0,0.0,0,0.46,0.46,0.0,500,1.0,0
single_exon,gdna=0_ss=0.8_nrna=0,t_ctrl,0,0.0,0.0,0.0,500,499.54,0,0.0,0.0,0,0.46,0.46,0.0,500,1.0,0
single_exon,gdna=0_ss=0.8_nrna=30,t1,237,314.0,77.0,0.32,367,413.67,0,0.0,0.0,133,86.33,46.67,0.0,500,1.0,0
single_exon,gdna=0_ss=0.8_nrna=30,t_helper,130,99.67,30.33,0.23,367,413.67,0,0.0,0.0,133,86.33,46.67,0.0,500,1.0,0
single_exon,gdna=0_ss=0.8_nrna=30,t_ctrl,0,0.0,0.0,0.0,367,413.67,0,0.0,0.0,133,86.33,46.67,0.0,500,1.0,0
single_exon,gdna=0_ss=0.8_nrna=50,t1,204,304.0,100.0,0.49,312,398.48,0,0.0,0.0,188,101.52,86.48,0.0,500,1.0,0
single_exon,gdna=0_ss=0.8_nrna=50,t_helper,108,94.48,13.52,0.13,312,398.48,0,0.0,0.0,188,101.52,86.48,0.0,500,1.0,0
single_exon,gdna=0_ss=0.8_nrna=50,t_ctrl,0,0.0,0.0,0.0,312,398.48,0,0.0,0.0,188,101.52,86.48,0.0,500,1.0,0
single_exon,gdna=0_ss=0.9_nrna=0,t1,338,338.0,0.0,0.0,500,499.56,0,0.0,0.0,0,0.44,0.44,0.0,500,1.0,0
single_exon,gdna=0_ss=0.9_nrna=0,t_helper,162,161.56,0.44,0.0,500,499.56,0,0.0,0.0,0,0.44,0.44,0.0,500,1.0,0
single_exon,gdna=0_ss=0.9_nrna=0,t_ctrl,0,0.0,0.0,0.0,500,499.56,0,0.0,0.0,0,0.44,0.44,0.0,500,1.0,0
single_exon,gdna=0_ss=0.9_nrna=30,t1,237,314.0,77.0,0.32,367,419.05,0,0.0,0.0,133,80.95,52.05,0.0,500,1.0,0
single_exon,gdna=0_ss=0.9_nrna=30,t_helper,130,105.05,24.95,0.19,367,419.05,0,0.0,0.0,133,80.95,52.05,0.0,500,1.0,0
single_exon,gdna=0_ss=0.9_nrna=30,t_ctrl,0,0.0,0.0,0.0,367,419.05,0,0.0,0.0,133,80.95,52.05,0.0,500,1.0,0
single_exon,gdna=0_ss=0.9_nrna=50,t1,204,304.0,100.0,0.49,312,393.83,0,0.0,0.0,188,106.17,81.83,0.0,500,1.0,0
single_exon,gdna=0_ss=0.9_nrna=50,t_helper,108,89.83,18.17,0.17,312,393.83,0,0.0,0.0,188,106.17,81.83,0.0,500,1.0,0
single_exon,gdna=0_ss=0.9_nrna=50,t_ctrl,0,0.0,0.0,0.0,312,393.83,0,0.0,0.0,188,106.17,81.83,0.0,500,1.0,0
single_exon,gdna=0_ss=0.95_nrna=0,t1,338,338.0,0.0,0.0,500,499.56,0,0.0,0.0,0,0.44,0.44,0.0,500,1.0,0
