condition	gdna	ss	nrna	capture	l1_selected	l1_hybrid	true_gfrac	n_train
gdna_none_ss_0.50_nrna_none_capture_off	none	0.50	none	off	1.9993622311951915	1.9965183478928124	0.0	379
gdna_none_ss_0.50_nrna_present_capture_off	none	0.50	present	off	1.9976911812205802	1.996402401254148	0.0	861
gdna_none_ss_0.50_nrna_none_capture_on	none	0.50	none	on	1.99461322736849	1.9961582006550895	0.0	308
gdna_none_ss_0.50_nrna_present_capture_on	none	0.50	present	on	1.9942963301818946	1.995985863517368	0.0	711
gdna_none_ss_0.99_nrna_present_capture_off	none	0.99	present	off	1.9929745503543452	1.995150105566991	0.0	857
gdna_none_ss_0.99_nrna_none_capture_off	none	0.99	none	off	1.9927792204240757	1.9936568644930115	0.0	377
gdna_none_ss_0.99_nrna_present_capture_on	none	0.99	present	on	1.9701504374177201	1.98792945568947	0.0	717
gdna_none_ss_0.99_nrna_none_capture_on	none	0.99	none	on	1.9507998288212554	1.9905217783236129	0.0	309
gdna_none_ss_0.50_nrna_present_capture_verystrong	none	0.50	present	verystrong	1.8294359784456642	1.9283211905996034	0.0	388
gdna_gdna1_ss_0.50_nrna_present_capture_verystrong	gdna1	0.50	present	verystrong	1.5452682221997436	1.279022584375249	0.00749325896717696	456
gdna_gdna5_ss_0.50_nrna_present_capture_verystrong	gdna5	0.50	present	verystrong	1.1124152261496154	0.8772390206384544	0.036473778474570694	564
gdna_gdna1_ss_0.50_nrna_present_capture_off	gdna1	0.50	present	off	1.1082691772513105	1.1092441897243992	0.007691749113586622	1098
gdna_gdna1_ss_0.50_nrna_present_capture_on	gdna1	0.50	present	on	0.9049114594691215	0.8262669530066962	0.007524595563178885	989
gdna_gdna100_ss_0.50_nrna_present_capture_verystrong	gdna100	0.50	present	verystrong	0.8166344089934463	0.5886159186518765	0.4309826565228032	938
gdna_gdna100_ss_0.50_nrna_none_capture_on	gdna100	0.50	none	on	0.7801309422484902	0.7705415748633289	0.5330249943377172	1192
gdna_gdna5_ss_0.50_nrna_present_capture_off	gdna5	0.50	present	off	0.7299768681294372	0.7274279884255623	0.03728034309182431	1139
gdna_gdna300_ss_0.50_nrna_none_capture_on	gdna300	0.50	none	on	0.7171929131614989	0.7011662778137127	0.7739822969399952	1212
gdna_gdna300_ss_0.50_nrna_present_capture_on	gdna300	0.50	present	on	0.6190899647600323	0.6109710851917876	0.6954168079995895	1212
gdna_gdna100_ss_0.50_nrna_present_capture_on	gdna100	0.50	present	on	0.5888165389885756	0.5862670234472719	0.4320801225045118	1192
gdna_gdna100_ss_0.50_nrna_none_capture_off	gdna100	0.50	none	off	0.5539141588583327	0.547316716259808	0.552055539804722	1223
gdna_gdna5_ss_0.50_nrna_present_capture_on	gdna5	0.50	present	on	0.5118992911820466	0.43970291417183444	0.03664143400442824	1084
gdna_gdna300_ss_0.50_nrna_none_capture_off	gdna300	0.50	none	off	0.506500247455731	0.5073505437592423	0.7871515337469065	1231
gdna_gdna100_ss_0.99_nrna_present_capture_on	gdna100	0.99	present	on	0.4057259666640712	0.4099836641309058	0.4320025491637772	1190
gdna_gdna100_ss_0.50_nrna_present_capture_off	gdna100	0.50	present	off	0.40231003382301733	0.395657549807605	0.4364788934865147	1223
gdna_gdna300_ss_0.50_nrna_present_capture_off	gdna300	0.50	present	off	0.31878144988181706	0.3191310181386521	0.6991615675421141	1231
gdna_gdna100_ss_0.99_nrna_present_capture_off	gdna100	0.99	present	off	0.20982139432197736	0.21110060969601926	0.4366808878447712	1227
gdna_gdna100_ss_0.99_nrna_none_capture_on	gdna100	0.99	none	on	0.191935181898433	0.19896854630817865	0.5327931225253004	1190
gdna_gdna300_ss_0.99_nrna_present_capture_on	gdna300	0.99	present	on	0.16973993595064904	0.16285060933433868	0.6953010507740455	1215
gdna_gdna300_ss_0.99_nrna_none_capture_on	gdna300	0.99	none	on	0.16367932059958795	0.16733700694030895	0.773889073948844	1215
gdna_gdna100_ss_0.99_nrna_none_capture_off	gdna100	0.99	none	off	0.1370443851092523	0.1338273878725955	0.5522628941859983	1227
gdna_gdna300_ss_0.99_nrna_present_capture_off	gdna300	0.99	present	off	0.08783032946367232	0.09136090802211742	0.699261850966933	1231
gdna_gdna300_ss_0.99_nrna_none_capture_off	gdna300	0.99	none	off	0.07267111622488483	0.07293705818935269	0.7872554485426735	1231
