condition	gdna	ss	cap	gfrac	emd_pass0	emd_refit	d_emd	l1_pass0	l1_refit	d
none_ss_0.50_none_capture_on	none	0.50	on	0.0	1.805347351439337	0.42646629650020995	-1.378881054939127	1.9948110969511172	1.2195751892686004	-0.7752359076825168
none_ss_0.50_present_capture_on	none	0.50	on	0.0	2.116009766649449	0.8382718820422403	-1.2777378846072085	1.994437205689728	1.9027115751599257	-0.0917256305298022
none_ss_0.50_none_capture_off	none	0.50	off	0.0	2.314081191567552	1.0485783069423502	-1.2655028846252017	1.9993947172580269	1.6353157117402743	-0.3640790055177525
none_ss_0.50_present_capture_off	none	0.50	off	0.0	2.8949780863630785	1.7317739527334108	-1.1632041336296677	1.9977676126871966	1.9537065195140608	-0.04406109317313578
none_ss_0.50_present_capture_verystrong	none	0.50	verystrong	0.0	1.882280502579891	0.9502117473058558	-0.9320687552740352	1.8326376315540016	1.586954739711513	-0.2456828918424887
gdna1_ss_0.50_present_capture_off	gdna1	0.50	off	0.007691749113586622	0.9216077120654765	0.029391100178922398	-0.8922166118865541	1.1123250483429343	0.1670438475044144	-0.94528120083852
none_ss_0.99_present_capture_on	none	0.99	on	0.0	1.1730242459175748	0.6386392725156204	-0.5343849734019545	1.9707221600590294	1.8867376101694788	-0.08398454988955062
none_ss_0.99_none_capture_on	none	0.99	on	0.0	0.8072189854529417	0.33341979574036607	-0.4737991897125756	1.951903584907244	1.4283995155901341	-0.5235040693171098
none_ss_0.99_present_capture_off	none	0.99	off	0.0	1.71080436286393	1.3130962996595326	-0.39770806320439744	1.9931598304606362	1.9840881828348795	-0.00907164762575663
gdna5_ss_0.50_present_capture_off	gdna5	0.50	off	0.03728034309182431	0.4188423465401723	0.04661565725921388	-0.37222668928095837	0.7389734404730982	0.14654738211548796	-0.5924260583576102
none_ss_0.99_none_capture_off	none	0.99	off	0.0	0.9937869921750943	0.6645637883161621	-0.3292232038589321	1.9930864225053955	1.545805336280934	-0.4472810862244614
gdna100_ss_0.50_none_capture_off	gdna100	0.50	off	0.552055539804722	0.10626777664794446	0.07908101654017807	-0.027186760107766383	0.5552977652740766	0.44185421651924817	-0.11344354875482843
gdna300_ss_0.50_none_capture_off	gdna300	0.50	off	0.7871515337469065	0.09322608988197396	0.06647296514546122	-0.026753124736512743	0.5128312540254495	0.36935513037518675	-0.14347612365026274
gdna300_ss_0.50_present_capture_off	gdna300	0.50	off	0.6991615675421141	0.05585645393837038	0.047975458757070474	-0.007880995181299907	0.3133002400724654	0.2703214520563395	-0.04297878801612587
gdna100_ss_0.50_present_capture_off	gdna100	0.50	off	0.4364788934865147	0.065487210918969	0.060530635301744726	-0.004956575617224276	0.38032471134110774	0.3417658359931959	-0.03855887534791186
gdna100_ss_0.99_none_capture_off	gdna100	0.99	off	0.5522628941859983	0.0237704202453809	0.021867805851373816	-0.0019026143940070843	0.13678736456506005	0.12636929014021775	-0.0104180744248423
gdna300_ss_0.99_present_capture_on	gdna300	0.99	on	0.6953010507740455	0.028411292099150554	0.02717623655550799	-0.0012350555436425638	0.13882580514438614	0.13076306800312237	-0.008062737141263765
