metric	value
n_original_transcripts	250.0
n_original_genes	62.0
n_opposite_strand_transcript_pairs_overlapping	111.0
n_transcripts_with_opposite_strand_overlap	79.0
genome_bp	10000000.0
transcript_pos_union_bp	888352.0
transcript_neg_union_bp	961746.0
transcript_antisense_overlap_bp	205146.0
transcript_antisense_overlap_frac_genome	0.0205146
exon_pos_union_bp	175981.0
exon_neg_union_bp	185913.0
exon_antisense_overlap_bp	6893.0
exon_antisense_overlap_frac_genome	0.0006893
region_rows_with_both_tx_strands	147.0
region_bp_rows_with_both_tx_strands	205869.0
region_rows_with_both_exon_strands	17.0
region_bp_rows_with_both_exon_strands	29099.0
region_bp_intergenic_rows_with_both_tx_strands	0.0
region_bp_intergenic_rows_with_both_exon_strands	0.0
region_bp_intron_rows_with_both_tx_strands	126786.0
region_bp_intron_rows_with_both_exon_strands	0.0
region_bp_exon_rows_with_both_tx_strands	79083.0
region_bp_exon_rows_with_both_exon_strands	29099.0
