predicted_detail	zc	zs	read1_strand	rna_strand_if_rna	count	fraction
mrna	ambig_opp_strand	unspliced	+	-	1552	0.462317545427465
nrna	ambig_opp_strand	unspliced	-	+	1470	0.43789097408400357
nrna	ambig_opp_strand	unspliced	+	-	209	0.062257968424188265
mrna	multimapper	unspliced	+	-	18	0.005361930294906166
nrna	multimapper	unspliced	-	+	15	0.004468275245755138
nrna	multimapper	spliced_unannot	-	+	11	0.0032767351802204347
mrna	ambig_same_strand	spliced_implicit	+	-	11	0.0032767351802204347
nrna	ambig_opp_strand	spliced_unannot	-	+	10	0.002978850163836759
mrna	ambig_same_strand	spliced_implicit	-	+	10	0.002978850163836759
mrna	ambig_opp_strand	spliced_unannot	+	-	9	0.002680965147453083
mrna	ambig_opp_strand	spliced_implicit	+	-	8	0.002383080131069407
mrna	ambig_opp_strand	spliced_implicit	-	+	8	0.002383080131069407
nrna	ambig_same_strand	spliced_implicit	-	+	6	0.0017873100983020554
nrna	ambig_opp_strand	spliced_implicit	-	+	5	0.0014894250819183796
nrna	ambig_opp_strand	spliced_implicit	+	-	4	0.0011915400655347036
nrna	ambig_same_strand	spliced_implicit	+	-	4	0.0011915400655347036
mrna	multimapper	unspliced	-	+	2	0.0005957700327673518
mrna	multimapper	spliced_unannot	+	-	2	0.0005957700327673518
nrna	multimapper	spliced_unannot	+	-	1	0.0002978850163836759
nrna	ambig_opp_strand	spliced_unannot	+	-	1	0.0002978850163836759
nrna	multimapper	unspliced	+	-	1	0.0002978850163836759
