feature	true_source	predicted_pool	predicted_detail	count	feature_true_source_fraction
antisense_exons_outside_window	gdna	rna	nrna	173	0.3649789029535865
antisense_exons_outside_window	gdna	rna	mrna	155	0.3270042194092827
antisense_exons_outside_window	gdna	gdna	gdna	142	0.29957805907172996
antisense_exons_outside_window	gdna	unresolved	unresolved	4	0.008438818565400843
antisense_exons_outside_window	rna	rna	nrna	21	0.5526315789473685
antisense_exons_outside_window	rna	unresolved	unresolved	8	0.21052631578947367
antisense_exons_outside_window	rna	rna	mrna	7	0.18421052631578946
antisense_exons_outside_window	rna	gdna	gdna	2	0.05263157894736842
antisense_introns_outside_window	gdna	rna	nrna	1986	0.35100742311770944
antisense_introns_outside_window	gdna	gdna	gdna	1847	0.32644043831742664
antisense_introns_outside_window	gdna	rna	mrna	1810	0.31990102509720747
antisense_introns_outside_window	gdna	unresolved	unresolved	15	0.002651113467656416
antisense_introns_outside_window	rna	rna	nrna	548	0.8589341692789969
antisense_introns_outside_window	rna	gdna	gdna	68	0.10658307210031348
antisense_introns_outside_window	rna	unresolved	unresolved	14	0.0219435736677116
antisense_introns_outside_window	rna	rna	mrna	8	0.012539184952978056
flg2_exons	gdna	rna	nrna	1736	0.3713368983957219
flg2_exons	gdna	rna	mrna	1620	0.34652406417112297
flg2_exons	gdna	gdna	gdna	1307	0.279572192513369
flg2_exons	gdna	unresolved	unresolved	12	0.0025668449197860962
flg2_exons	rna	rna	nrna	8	0.34782608695652173
flg2_exons	rna	rna	mrna	7	0.30434782608695654
flg2_exons	rna	unresolved	unresolved	7	0.30434782608695654
flg2_exons	rna	gdna	gdna	1	0.043478260869565216
hotspot_window	gdna	rna	nrna	1737	0.37147134302822926
hotspot_window	gdna	rna	mrna	1620	0.34644995722840033
hotspot_window	gdna	gdna	gdna	1307	0.2795124037639008
hotspot_window	gdna	unresolved	unresolved	12	0.0025662959794696323
hotspot_window	rna	rna	nrna	8	0.34782608695652173
hotspot_window	rna	rna	mrna	7	0.30434782608695654
hotspot_window	rna	unresolved	unresolved	7	0.30434782608695654
hotspot_window	rna	gdna	gdna	1	0.043478260869565216
