true_source	predicted_detail	read1_strand	rna_strand_if_rna	count	fraction
gdna	mrna	+	-	1600	0.9876543209876543
gdna	nrna	-	+	1517	0.8733448474381117
gdna	gdna	-	+	749	0.5730680948737567
gdna	gdna	+	-	558	0.4269319051262433
gdna	nrna	+	-	220	0.1266551525618883
gdna	mrna	-	+	20	0.012345679012345678
rna	nrna	-	+	8	1.0
gdna	unresolved	-	+	7	0.5833333333333334
gdna	unresolved	+	-	5	0.4166666666666667
rna	mrna	+	-	5	0.7142857142857143
rna	unresolved	-	+	5	0.7142857142857143
rna	unresolved	+	-	2	0.2857142857142857
rna	mrna	-	+	2	0.2857142857142857
rna	gdna	+	-	1	1.0
