condition	axis	origin	label	n
gdna_low_ss_0.99_nrna_none	ZS	gdna	unknown	83594
gdna_low_ss_0.99_nrna_none	ZS	gdna	unspliced	16406
gdna_low_ss_0.99_nrna_none	ZS	rna	spliced_annot	324162
gdna_low_ss_0.99_nrna_none	ZS	rna	unknown	4722
gdna_low_ss_0.99_nrna_none	ZS	rna	unspliced	671116
gdna_low_ss_0.99_nrna_none	ZC	gdna	.	83449
gdna_low_ss_0.99_nrna_none	ZC	gdna	ambig_opp_strand	2080
gdna_low_ss_0.99_nrna_none	ZC	gdna	ambig_same_strand	14436
gdna_low_ss_0.99_nrna_none	ZC	gdna	unambig	35
gdna_low_ss_0.99_nrna_none	ZC	rna	ambig_opp_strand	55935
gdna_low_ss_0.99_nrna_none	ZC	rna	ambig_same_strand	922060
gdna_low_ss_0.99_nrna_none	ZC	rna	unambig	22005
gdna_low_ss_0.99_nrna_none	assignment_implicit	gdna	mrna	1
gdna_low_ss_0.99_nrna_none	assignment_implicit	gdna	nrna	154
gdna_low_ss_0.99_nrna_none	assignment_implicit	rna	mrna	4722
gdna_low_ss_0.50_nrna_none	ZS	gdna	unknown	83594
gdna_low_ss_0.50_nrna_none	ZS	gdna	unspliced	16406
gdna_low_ss_0.50_nrna_none	ZS	rna	spliced_annot	324162
gdna_low_ss_0.50_nrna_none	ZS	rna	unknown	4722
gdna_low_ss_0.50_nrna_none	ZS	rna	unspliced	671116
gdna_low_ss_0.50_nrna_none	ZC	gdna	.	83449
gdna_low_ss_0.50_nrna_none	ZC	gdna	ambig_opp_strand	2080
gdna_low_ss_0.50_nrna_none	ZC	gdna	ambig_same_strand	14436
gdna_low_ss_0.50_nrna_none	ZC	gdna	unambig	35
gdna_low_ss_0.50_nrna_none	ZC	rna	ambig_opp_strand	55935
gdna_low_ss_0.50_nrna_none	ZC	rna	ambig_same_strand	922060
gdna_low_ss_0.50_nrna_none	ZC	rna	unambig	22005
gdna_low_ss_0.50_nrna_none	assignment_implicit	gdna	mrna	1
gdna_low_ss_0.50_nrna_none	assignment_implicit	gdna	nrna	154
gdna_low_ss_0.50_nrna_none	assignment_implicit	rna	mrna	4722
gdna_med_ss_0.99_nrna_none	ZS	gdna	unknown	417399
gdna_med_ss_0.99_nrna_none	ZS	gdna	unspliced	82601
gdna_med_ss_0.99_nrna_none	ZS	rna	spliced_annot	324384
gdna_med_ss_0.99_nrna_none	ZS	rna	unknown	4732
gdna_med_ss_0.99_nrna_none	ZS	rna	unspliced	670884
gdna_med_ss_0.99_nrna_none	ZC	gdna	.	416721
gdna_med_ss_0.99_nrna_none	ZC	gdna	ambig_opp_strand	10461
gdna_med_ss_0.99_nrna_none	ZC	gdna	ambig_same_strand	72641
