condition	qname	truth_fl	genomic_span	gap_len	contained_introns	max_contained_intron_bp	overlapped_introns	intron_overlap_bp	max_single_intron_overlap_bp	span_overlapped_introns	span_intron_overlap_bp	span_max_single_intron_overlap_bp	assignment	zf	zn	zs	zc
gdna_low_ss_0.99_nrna_none	gdna:chr_syn:840167-840470:r:31696	303	303	3	0	0	1	3	3	1	207	207	nrna	25	14	unknown	ambig_same_strand
gdna_low_ss_0.99_nrna_none	gdna:chr_syn:1473277-1473587:r:34260	310	310	10	0	0	1	10	10	3	422	310	nrna	25	14	unknown	ambig_same_strand
gdna_low_ss_0.99_nrna_none	gdna:chr_syn:3085850-3086160:r:34306	310	310	10	0	0	1	10	10	1	230	230	nrna	25	3	unknown	ambig_same_strand
gdna_low_ss_0.99_nrna_none	gdna:chr_syn:3146927-3147244:f:36677	317	317	17	0	0	0	0	0	2	175	127	nrna	25	3	unknown	ambig_same_strand
gdna_low_ss_0.99_nrna_none	gdna:chr_syn:212825-213142:f:36795	317	317	17	0	0	0	0	0	2	237	127	nrna	25	4	unknown	ambig_same_strand
gdna_low_ss_0.99_nrna_none	gdna:chr_syn:1472369-1472686:f:36822	317	317	17	0	0	1	17	17	1	275	275	nrna	25	15	unknown	ambig_same_strand
gdna_low_ss_0.99_nrna_none	gdna:chr_syn:653682-654001:f:37640	319	319	19	0	0	0	0	0	1	46	46	nrna	25	9	unknown	ambig_same_strand
gdna_low_ss_0.99_nrna_none	gdna:chr_syn:1473214-1473534:f:37972	320	320	20	0	0	1	20	20	2	460	320	nrna	25	14	unknown	ambig_same_strand
gdna_low_ss_0.99_nrna_none	gdna:chr_syn:2341917-2342238:f:38304	321	321	21	0	0	0	0	0	1	32	32	nrna	25	6	unknown	ambig_same_strand
gdna_low_ss_0.99_nrna_none	gdna:chr_syn:1646440-1646765:f:40068	325	325	25	0	0	0	0	0	1	99	99	nrna	25	5	unknown	ambig_same_strand
gdna_low_ss_0.99_nrna_none	gdna:chr_syn:2341920-2342246:r:40318	326	326	26	0	0	0	0	0	1	29	29	nrna	25	6	unknown	ambig_same_strand
gdna_low_ss_0.99_nrna_none	gdna:chr_syn:1972207-1972537:r:41848	330	330	30	0	0	2	60	30	2	520	330	nrna	25	6	unknown	ambig_same_strand
gdna_low_ss_0.99_nrna_none	gdna:chr_syn:213251-213581:r:41991	330	330	30	0	0	1	30	30	1	264	264	nrna	25	4	unknown	ambig_same_strand
gdna_low_ss_0.99_nrna_none	gdna:chr_syn:2780155-2780486:r:42153	331	331	31	0	0	0	0	0	3	151	149	nrna	25	11	unknown	ambig_same_strand
gdna_low_ss_0.99_nrna_none	gdna:chr_syn:327935-328270:r:43793	335	335	35	0	0	1	35	35	1	324	324	nrna	25	6	unknown	ambig_same_strand
gdna_low_ss_0.99_nrna_none	gdna:chr_syn:1465855-1466192:f:44713	337	337	37	0	0	1	37	37	3	525	337	nrna	25	14	unknown	ambig_same_strand
gdna_low_ss_0.99_nrna_none	gdna:chr_syn:1646485-1646826:r:46218	341	341	41	0	0	0	0	0	1	54	54	nrna	25	5	unknown	ambig_same_strand
gdna_low_ss_0.99_nrna_none	gdna:chr_syn:653429-653770:f:46444	341	341	41	0	0	1	41	41	1	299	299	nrna	25	9	unknown	ambig_same_strand
gdna_low_ss_0.99_nrna_none	gdna:chr_syn:1472538-1472880:r:46656	342	342	42	0	0	0	0	0	3	326	110	nrna	25	15	unknown	ambig_same_strand
gdna_low_ss_0.99_nrna_none	gdna:chr_syn:1141234-1141578:r:47368	344	344	44	0	0	1	44	44	2	482	344	nrna	25	5	unknown	ambig_opp_strand
gdna_low_ss_0.99_nrna_none	gdna:chr_syn:189302-189648:r:48149	346	346	46	0	0	1	46	46	1	323	323	nrna	25	16	unknown	ambig_same_strand
gdna_low_ss_0.99_nrna_none	gdna:chr_syn:1007397-1007746:r:49625	349	349	49	0	0	0	0	0	1	121	121	nrna	25	10	unknown	ambig_same_strand
gdna_low_ss_0.99_nrna_none	gdna:chr_syn:213875-214225:f:50087	350	350	50	0	0	1	50	50	2	270	220	nrna	25	4	unknown	ambig_same_strand
gdna_low_ss_0.99_nrna_none	gdna:chr_syn:1477248-1477599:r:50097	351	351	51	0	0	1	10	10	2	271	160	nrna	25	15	unknown	ambig_same_strand
gdna_low_ss_0.99_nrna_none	gdna:chr_syn:1972328-1972682:r:51374	354	354	54	0	0	1	54	54	3	433	354	nrna	25	6	unknown	ambig_same_strand
