elapsed_sec,rss_mb
0.000,2111.6
0.001,2111.6
0.238,2056.6
0.430,2058.4
0.530,2080.9
0.630,2082.5
0.731,2082.7
0.831,2083.2
0.931,2083.7
1.031,2084.2
1.132,2084.6
1.232,2084.7
1.332,2085.2
1.432,2086.1
1.532,2086.5
1.633,2087.0
1.733,2087.2
1.833,2087.8
1.933,2087.9
2.033,2088.4
2.134,2088.8
2.234,2089.5
2.334,2090.0
2.434,2090.5
2.535,2091.1
2.635,2092.2
2.735,2092.6
2.836,2093.0
2.936,2093.4
3.036,2093.9
3.136,2094.1
3.237,2094.4
3.337,2094.7
3.437,2095.0
3.537,2095.4
3.637,2095.9
3.738,2096.3
3.838,2096.5
3.938,2096.9
4.039,2097.0
4.139,2097.3
4.239,2097.8
4.339,2098.2
4.440,2098.4
4.540,2098.5
4.640,2099.2
4.740,2099.3
4.840,2099.7
4.941,2100.5
5.041,2101.0
5.141,2101.2
5.241,2101.4
5.342,2101.5
5.442,2101.6
5.542,2102.0
5.642,2102.4
5.742,2102.8
5.843,2103.0
5.943,2103.1
6.043,2103.4
6.143,2103.8
6.244,2104.1
6.344,2104.2
6.444,2104.5
6.544,2104.6
6.645,2104.7
6.745,2104.9
6.845,2105.0
6.945,2105.2
7.045,2105.3
7.146,2105.5
7.246,2105.7
7.346,2105.8
7.446,2106.0
7.547,2106.1
7.647,2106.3
7.747,2106.5
7.848,2106.6
7.948,2106.8
8.048,2106.9
8.148,2107.1
8.248,2107.2
8.349,2107.4
8.449,2107.5
8.549,2107.7
8.649,2107.8
8.750,2107.9
8.850,2108.1
8.950,2108.2
9.050,2108.3
9.150,2108.5
9.251,2108.6
9.351,2108.8
9.451,2108.9
9.551,2109.0
9.652,2109.2
9.752,2109.3
9.852,2109.5
9.953,2109.6
10.053,2109.8
10.153,2109.9
10.253,2110.0
10.353,2110.6
10.454,2110.7
10.554,2110.9
10.654,2111.0
10.754,2111.1
10.855,2111.3
10.955,2111.4
11.055,2111.8
11.155,2112.7
11.256,2113.1
11.356,2113.2
11.456,2113.3
11.556,2114.0
11.657,2114.4
11.757,2115.0
