elapsed_sec,rss_mb
0.000,2111.5
0.000,2111.6
0.212,2009.3
0.313,2029.5
0.519,2056.6
0.619,2080.7
0.720,2081.4
0.820,2081.4
0.920,2081.8
1.020,2081.8
1.120,2082.1
1.221,2082.1
1.321,2082.4
1.421,2082.7
1.521,2083.6
1.622,2083.8
1.722,2084.4
1.822,2084.4
1.922,2084.4
2.023,2084.7
2.123,2084.7
2.223,2085.0
2.323,2085.1
2.423,2085.4
2.524,2085.7
2.624,2086.0
2.724,2086.6
2.824,2086.6
2.925,2087.1
3.025,2087.1
3.125,2087.7
3.225,2087.7
3.325,2087.7
3.426,2088.0
3.526,2088.0
3.626,2088.0
3.726,2088.3
3.826,2088.3
3.927,2088.7
4.027,2089.3
4.127,2090.0
4.227,2090.3
4.331,2090.8
4.431,2090.9
4.531,2091.2
4.631,2091.6
4.732,2091.9
4.835,2091.9
4.935,2092.2
5.035,2092.2
5.135,2092.5
5.236,2092.8
5.336,2093.3
5.436,2093.9
5.536,2094.2
5.636,2094.5
5.737,2094.5
5.837,2095.3
5.937,2095.8
6.037,2096.8
6.138,2097.6
6.238,2098.3
6.338,2099.0
6.438,2099.3
6.538,2099.9
6.639,2100.1
6.739,2100.7
6.839,2101.6
6.939,2102.4
7.039,2102.8
7.140,2103.1
7.240,2103.1
7.340,2103.4
7.440,2103.7
7.540,2104.0
7.641,2104.2
7.741,2104.5
7.841,2104.5
7.941,2105.3
8.042,2105.7
8.142,2105.9
8.242,2106.2
8.343,2106.2
8.443,2106.7
8.543,2107.0
8.643,2107.1
8.743,2107.3
8.844,2107.5
8.944,2107.8
9.044,2107.8
9.144,2108.1
9.249,2108.4
9.349,2108.4
9.449,2108.7
9.549,2109.0
9.650,2109.3
9.750,2109.6
9.850,2110.4
9.950,2112.7
10.050,2113.8
10.151,2114.5
10.251,2115.1
10.351,2115.6
10.451,2116.7
10.552,2117.8
10.652,2118.0
10.752,2118.2
10.852,2118.5
10.952,2118.8
11.053,2119.2
11.153,2119.4
11.253,2119.5
11.353,2119.8
11.453,2121.3
11.554,2122.8
11.654,2123.3
11.754,2124.1
11.854,2124.3
11.954,2124.6
12.055,2124.9
12.155,2125.2
12.255,2125.5
12.355,2125.6
12.455,2125.9
12.556,2126.5
12.656,2126.8
12.756,2127.1
12.856,2127.2
12.957,2127.5
13.057,2127.8
13.157,2128.1
13.257,2128.4
13.357,2128.5
13.458,2129.3
13.558,2129.4
13.658,2129.7
13.758,2130.0
13.859,2130.3
13.959,2130.4
14.059,2130.7
14.159,2131.0
14.259,2131.3
14.360,2132.1
14.460,2132.3
14.560,2132.5
14.660,2132.8
14.760,2133.1
14.861,2133.4
14.961,2133.7
15.061,2134.0
15.161,2134.3
15.261,2134.6
15.362,2135.0
15.462,2135.2
15.562,2135.5
15.662,2135.8
15.762,2136.1
15.863,2136.5
15.963,2136.6
16.063,2137.0
16.163,2137.4
16.263,2137.6
16.364,2137.8
16.464,2138.0
16.564,2138.1
16.664,2138.3
16.764,2138.4
16.865,2138.6
16.965,2138.6
17.065,2138.9
17.165,2139.4
17.265,2139.5
17.366,2141.7
17.466,2143.3
17.566,2145.4
17.666,2145.5
17.767,2145.7
17.867,2145.9
17.967,2146.9
18.067,2147.1
18.167,2147.1
18.268,2147.3
18.368,2161.2
18.468,2170.4
18.568,2214.7
18.669,2249.9
18.769,2262.5
18.869,2283.8
18.969,2308.8
19.069,2332.4
19.170,2333.1
19.270,2334.3
19.370,2335.8
19.470,2337.1
19.570,2338.9
19.671,2340.9
19.771,2341.4
19.871,2342.1
19.971,2342.4
20.072,2343.5
20.172,2343.9
20.272,2344.9
20.372,2345.3
20.472,2346.2
20.573,2346.9
20.673,2347.3
20.773,2348.4
20.873,2348.8
20.978,2349.1
21.078,2349.7
21.178,2350.5
21.278,2351.1
21.379,2351.7
21.479,2352.7
21.579,2352.9
21.679,2354.0
21.779,2354.4
21.880,2355.4
21.980,2355.9
22.080,2356.6
22.180,2357.7
22.281,2358.4
22.381,2358.9
22.481,2359.7
22.581,2360.4
22.681,2361.2
22.782,2361.6
22.882,2362.5
22.982,2362.8
23.082,2364.1
23.182,2364.3
23.283,2365.4
23.383,2365.7
23.483,2366.7
23.583,2367.2
23.684,2368.2
23.784,2368.9
23.884,2369.9
23.984,2370.3
24.084,2371.0
24.185,2374.2
24.285,2374.8
24.385,2377.5
24.485,2378.0
24.586,2379.3
24.686,2380.5
24.786,2381.3
24.893,2381.7
24.993,2382.3
25.093,2383.0
25.193,2383.6
25.294,2384.5
25.394,2384.9
25.494,2385.7
25.594,2386.6
25.695,2387.4
25.795,2387.9
25.895,2388.4
25.995,2389.4
26.096,2389.9
26.196,2390.6
26.296,2391.4
26.396,2392.0
26.496,2392.7
26.597,2393.3
26.697,2393.8
26.797,2394.7
26.898,2395.1
26.998,2396.0
27.098,2396.5
27.198,2397.4
27.298,2398.0
27.399,2399.2
27.499,2399.8
27.599,2400.3
27.699,2401.3
27.800,2401.8
27.900,2402.5
28.000,2403.1
28.100,2403.9
28.201,2404.3
28.301,2405.1
28.401,2406.0
28.501,2406.6
28.601,2407.3
28.702,2408.0
28.802,2408.6
28.902,2409.2
29.002,2410.0
29.103,2410.8
29.203,2411.4
29.303,2412.0
29.403,2412.8
29.503,2413.4
29.604,2414.2
29.704,2414.8
29.804,2415.8
29.904,2416.4
30.005,2417.0
30.105,2417.7
30.205,2418.3
30.305,2419.1
30.405,2419.7
30.506,2420.5
30.606,2421.2
30.706,2422.0
30.806,2422.5
30.907,2423.3
31.007,2423.9
31.107,2424.8
31.207,2425.5
31.307,2426.2
31.408,2426.9
31.508,2427.6
31.608,2428.5
31.709,2429.1
31.809,2429.8
31.909,2430.4
32.009,2431.2
32.110,2431.9
32.210,2432.7
32.310,2433.6
32.410,2434.1
32.510,2434.8
32.611,2435.4
32.711,2436.0
32.811,2437.0
32.911,2437.6
33.012,2438.3
33.112,2438.9
33.212,2439.6
33.312,2440.3
33.412,2441.1
33.513,2441.8
33.613,2442.5
33.713,2443.3
33.813,2443.8
33.913,2444.6
34.014,2445.3
34.114,2445.9
34.214,2446.6
34.314,2447.3
34.415,2448.0
34.515,2448.8
34.615,2449.3
34.715,2450.1
34.815,2451.0
34.916,2451.6
35.016,2452.2
35.116,2452.9
35.216,2453.7
35.316,2454.3
35.417,2454.8
35.517,2455.6
35.617,2456.4
35.717,2457.0
35.818,2457.8
35.918,2458.4
36.018,2459.0
36.118,2459.8
36.218,2460.5
36.319,2461.3
36.419,2461.8
36.519,2462.6
36.619,2463.5
36.720,2464.2
36.820,2464.9
36.920,2465.6
37.021,2466.1
37.121,2466.8
37.221,2467.6
37.321,2468.3
37.421,2469.1
37.522,2469.7
37.622,2470.3
37.722,2471.0
37.822,2471.8
37.923,2472.5
38.023,2473.3
38.123,2473.9
38.223,2474.6
38.323,2475.2
38.424,2475.9
38.524,2476.6
38.624,2477.3
38.724,2478.0
38.824,2478.7
38.925,2479.4
39.025,2480.2
39.125,2480.8
39.225,2481.6
39.326,2482.4
39.426,2483.0
39.526,2483.5
39.626,2484.2
39.726,2484.9
39.827,2485.5
39.927,2486.3
40.027,2487.0
40.127,2487.7
40.228,2488.4
40.328,2489.1
40.428,2490.0
40.528,2490.5
40.629,2491.1
40.729,2491.8
40.829,2492.5
40.929,2493.2
41.029,2493.9
41.130,2494.7
41.230,2495.4
41.330,2496.1
41.430,2496.8
41.531,2497.3
41.631,2498.0
41.731,2498.8
41.831,2499.6
41.931,2500.2
42.032,2501.1
42.132,2501.8
42.232,2502.4
42.332,2503.0
42.432,2503.8
42.533,2504.5
42.633,2505.5
