elapsed_sec,rss_mb
0.000,2110.7
0.001,2110.9
0.289,2111.0
0.390,2011.3
0.506,2033.0
0.616,2055.7
0.927,2057.5
1.202,2080.4
1.302,2080.6
1.402,2080.8
1.502,2081.0
1.603,2081.2
1.703,2081.5
1.803,2081.5
1.903,2081.8
2.003,2081.9
2.104,2082.3
2.204,2082.5
2.304,2082.7
2.404,2082.9
2.505,2083.3
2.605,2083.5
2.705,2083.8
2.806,2084.0
2.907,2084.4
3.007,2084.8
3.107,2085.4
3.207,2085.7
3.308,2086.0
3.408,2086.4
3.509,2086.6
3.609,2086.8
3.709,2086.9
3.810,2087.1
3.910,2087.7
4.012,2088.0
4.112,2088.5
4.221,2089.4
4.321,2089.8
4.421,2090.4
4.522,2091.0
4.622,2091.4
4.722,2091.7
4.825,2092.3
4.925,2092.5
5.025,2092.8
5.127,2093.0
5.227,2093.3
5.327,2093.6
5.427,2094.0
5.528,2094.4
5.629,2094.7
5.730,2095.2
5.830,2096.4
5.930,2097.0
6.031,2098.1
6.131,2098.5
6.231,2099.0
6.332,2099.6
6.432,2100.2
6.536,2101.1
6.636,2101.5
6.738,2102.0
6.839,2102.3
6.939,2102.5
7.039,2102.8
7.140,2103.1
7.240,2103.3
7.342,2103.5
7.454,2104.2
7.555,2104.4
7.655,2104.6
7.755,2104.9
7.855,2105.1
7.955,2105.3
8.056,2105.3
8.157,2105.6
8.257,2105.9
8.357,2106.2
8.457,2106.5
8.558,2106.9
8.658,2107.1
8.758,2107.1
8.858,2107.3
8.959,2107.4
9.059,2107.6
9.159,2107.7
9.260,2107.9
9.360,2108.0
9.460,2108.2
9.561,2108.4
9.661,2108.6
9.761,2108.8
9.862,2109.5
9.962,2109.8
10.062,2110.7
10.162,2111.5
10.263,2111.8
10.363,2112.6
10.463,2113.5
10.563,2113.7
10.663,2114.4
10.771,2114.9
10.871,2115.8
10.971,2115.9
11.071,2116.8
11.177,2117.0
11.277,2117.1
11.378,2117.3
11.478,2117.5
11.578,2117.7
11.679,2118.3
11.779,2118.6
11.879,2118.9
11.980,2119.3
12.080,2119.4
12.187,2119.6
12.287,2120.7
12.387,2120.8
12.487,2121.5
12.598,2122.1
12.704,2122.2
12.806,2122.7
12.906,2122.9
13.006,2123.2
13.112,2123.4
13.213,2123.5
13.313,2124.0
13.413,2124.3
13.513,2124.4
13.614,2124.7
13.714,2125.0
13.814,2125.1
13.914,2125.4
14.014,2125.5
14.115,2125.7
14.215,2126.0
14.324,2126.3
14.425,2126.5
14.527,2126.7
14.627,2126.9
14.728,2127.1
14.828,2127.3
14.929,2127.4
15.029,2127.7
15.129,2127.8
15.230,2128.0
15.330,2128.2
15.430,2128.5
15.530,2128.7
15.631,2128.9
15.731,2129.0
15.832,2129.1
15.932,2129.2
16.032,2129.3
16.132,2129.4
16.233,2129.6
16.333,2129.8
16.433,2129.8
16.533,2129.9
16.634,2130.0
16.761,2130.2
16.862,2130.4
16.966,2130.8
17.067,2131.0
17.177,2131.3
17.278,2131.5
17.378,2131.8
17.478,2131.9
17.578,2132.2
17.678,2132.4
17.780,2132.7
17.882,2133.0
17.983,2133.3
18.083,2133.4
18.184,2133.6
18.284,2133.6
18.384,2133.9
18.484,2133.9
18.584,2134.1
18.685,2134.3
18.785,2134.4
18.885,2134.6
18.986,2134.6
19.086,2134.8
19.186,2135.0
19.293,2135.3
19.394,2135.5
19.496,2135.7
19.596,2135.9
19.696,2136.1
19.796,2136.2
19.897,2136.4
19.997,2137.5
20.097,2137.7
20.197,2138.0
20.297,2138.2
20.398,2138.3
20.498,2138.4
20.598,2138.5
20.698,2139.1
20.798,2139.3
20.899,2139.3
20.999,2139.5
21.099,2140.6
21.199,2141.6
21.300,2142.4
21.400,2142.5
21.500,2143.6
21.607,2152.7
21.707,2166.7
21.807,2167.0
21.908,2167.1
22.008,2167.8
22.108,2167.9
22.208,2169.0
22.311,2188.1
22.494,2233.1
22.594,2243.6
22.712,2267.3
22.816,2284.7
22.917,2285.3
23.017,2285.7
23.117,2287.1
23.217,2287.4
23.318,2287.8
23.418,2294.9
23.518,2311.3
