elapsed_sec,rss_mb
0.000,2111.8
0.001,2112.1
0.163,2015.2
0.263,2044.1
0.458,2056.7
0.558,2079.8
0.658,2079.8
0.758,2081.6
0.859,2081.9
0.959,2082.1
1.059,2082.4
1.159,2082.7
1.260,2082.7
1.360,2082.9
1.460,2083.4
1.560,2083.5
1.661,2083.7
1.761,2083.7
1.861,2084.0
1.961,2084.2
2.062,2084.2
2.162,2084.6
2.262,2085.1
2.362,2085.5
2.463,2085.8
2.563,2086.2
2.663,2086.2
2.763,2086.5
2.864,2086.7
2.964,2086.8
3.064,2087.0
3.164,2087.3
3.265,2087.3
3.365,2087.6
3.465,2087.6
3.565,2087.8
3.666,2088.1
3.766,2088.1
3.866,2088.5
3.966,2088.8
4.067,2089.1
4.167,2089.6
4.267,2090.4
4.367,2090.4
4.468,2090.7
4.569,2090.7
4.669,2090.9
4.769,2091.2
4.869,2091.2
4.970,2091.5
5.070,2091.5
5.170,2091.8
5.270,2092.0
5.371,2092.0
5.471,2092.3
5.571,2092.5
5.671,2092.6
5.772,2092.8
5.872,2093.1
5.972,2093.1
6.072,2093.4
6.172,2093.6
6.273,2093.6
6.373,2093.9
6.473,2093.9
6.573,2094.2
6.674,2094.4
6.774,2094.5
6.874,2094.7
6.974,2094.8
7.075,2095.0
7.175,2095.4
7.275,2095.4
7.375,2095.7
7.476,2096.0
7.576,2096.8
7.676,2097.6
7.777,2098.1
7.877,2098.4
7.977,2098.7
8.077,2098.7
8.178,2099.0
8.278,2099.2
8.378,2099.2
8.478,2099.5
8.578,2099.5
8.679,2099.8
8.779,2100.0
8.879,2100.0
8.979,2100.3
9.080,2100.5
9.180,2100.6
9.280,2100.8
9.381,2100.9
9.481,2101.1
9.581,2101.4
9.681,2101.4
9.782,2101.6
9.882,2101.9
9.982,2101.9
10.082,2102.2
10.183,2102.2
10.283,2102.5
10.383,2103.2
10.483,2103.4
10.584,2103.5
10.684,2103.7
10.784,2103.8
10.884,2104.0
10.985,2104.2
11.085,2104.4
11.185,2104.4
11.285,2104.6
11.385,2104.8
11.486,2105.0
11.586,2105.2
11.686,2105.3
11.786,2105.5
11.887,2105.8
11.987,2105.8
12.087,2106.0
12.187,2106.3
12.288,2106.3
12.388,2106.5
12.488,2106.8
12.588,2106.8
12.689,2107.1
12.789,2107.4
12.889,2107.4
12.989,2107.6
13.090,2107.7
13.190,2107.9
13.290,2108.2
13.390,2108.2
13.491,2108.6
13.591,2108.7
13.691,2109.0
13.791,2109.3
13.892,2109.6
13.992,2109.7
14.092,2110.0
14.192,2110.0
14.293,2110.3
14.393,2110.7
14.493,2111.2
14.593,2111.7
14.694,2113.1
14.794,2113.6
14.894,2114.0
14.994,2114.7
15.095,2115.1
15.195,2115.1
15.295,2115.4
15.395,2115.5
15.496,2115.8
15.596,2116.0
15.696,2116.1
15.796,2116.3
15.896,2116.6
15.997,2116.6
16.097,2116.9
16.197,2116.9
16.297,2117.2
16.398,2117.5
16.498,2117.5
16.598,2117.7
16.698,2118.0
16.799,2118.0
16.899,2118.3
16.999,2118.3
17.100,2118.6
17.200,2118.8
17.300,2118.9
17.400,2119.1
17.501,2129.7
17.601,2168.7
17.701,2203.8
17.801,2259.6
17.901,2280.2
18.002,2296.1
18.102,2305.8
18.202,2306.4
18.302,2308.1
18.403,2308.9
18.503,2310.0
18.603,2312.0
18.704,2313.0
18.804,2314.0
18.904,2314.9
19.004,2315.9
19.105,2316.9
19.205,2317.7
19.305,2319.0
19.406,2319.9
19.506,2320.9
19.606,2322.1
19.706,2323.0
19.807,2324.0
19.907,2325.2
20.007,2326.3
20.107,2327.1
20.208,2328.5
20.308,2329.9
20.408,2330.3
20.508,2331.8
20.609,2332.8
20.709,2333.8
20.809,2335.5
20.909,2336.4
21.010,2337.3
21.110,2338.3
21.210,2339.4
21.310,2340.9
21.411,2342.0
21.511,2342.9
21.611,2343.9
21.711,2345.5
21.812,2346.3
21.912,2347.4
22.012,2349.0
22.112,2349.6
22.213,2350.7
22.313,2351.8
22.413,2352.7
22.513,2354.2
22.614,2355.2
22.714,2356.4
22.814,2357.7
22.914,2358.3
23.015,2359.9
23.115,2360.5
23.215,2361.8
23.315,2363.2
23.415,2363.9
23.516,2365.0
23.616,2366.3
23.716,2367.1
23.816,2368.4
23.917,2369.4
24.017,2370.8
24.117,2371.8
24.217,2373.0
24.318,2374.1
24.418,2375.4
24.518,2376.1
24.619,2377.3
24.719,2378.9
24.819,2379.5
24.919,2380.7
25.020,2381.9
25.120,2382.8
25.220,2384.1
25.320,2385.2
25.420,2386.2
25.521,2387.6
25.621,2388.5
25.721,2389.8
25.821,2390.9
25.922,2391.6
26.022,2393.4
26.122,2394.0
26.222,2395.1
26.323,2396.4
26.423,2397.5
26.523,2398.4
26.623,2399.7
26.724,2400.8
26.824,2401.9
26.927,2412.1
27.055,2403.0
27.250,2403.0
27.354,2403.1
27.455,2403.3
27.555,2403.3
27.655,2403.5
27.755,2403.6
27.856,2403.6
27.956,2403.6
28.056,2403.6
28.156,2403.6
28.257,2403.6
28.357,2403.6
28.457,2403.6
28.557,2403.6
28.658,2403.6
28.758,2403.6
28.858,2403.6
28.958,2403.6
29.059,2403.6
29.159,2403.6
29.259,2403.6
29.359,2403.6
29.460,2403.6
29.560,2403.6
29.660,2403.6
29.760,2403.6
29.861,2403.6
29.961,2403.6
30.061,2403.6
30.161,2403.6
30.262,2403.6
30.362,2403.6
30.462,2403.6
30.562,2403.6
30.662,2403.6
30.764,2403.6
30.864,2403.6
30.964,2403.6
31.065,2403.6
31.165,2403.6
31.265,2403.6
31.365,2403.6
31.466,2403.6
31.566,2403.6
31.666,2403.6
31.766,2403.6
31.866,2403.6
31.967,2403.6
32.067,2403.6
32.167,2403.6
32.267,2403.6
32.368,2403.6
32.468,2403.6
32.568,2403.6
32.668,2403.6
32.769,2403.6
32.869,2403.6
32.969,2403.6
33.069,2403.6
33.169,2403.6
33.270,2403.6
33.372,2403.6
33.472,2403.6
33.572,2403.6
33.672,2403.6
33.773,2403.6
33.873,2403.6
33.973,2403.6
34.073,2403.6
34.174,2403.6
34.279,2403.7
34.384,2403.7
34.490,2403.8
34.595,2403.8
34.700,2403.8
34.806,2403.8
34.911,2403.8
35.016,2403.8
35.121,2403.8
35.227,2403.8
35.332,2403.8
35.437,2403.8
35.543,2403.8
35.648,2403.8
35.753,2403.8
35.858,2403.8
35.964,2403.8
36.069,2403.8
36.174,2403.8
36.280,2403.8
37.240,2403.8
38.153,2082.4
38.514,2082.4
38.614,2082.4
38.714,2082.4
38.815,2082.4
38.920,2082.4
39.040,2083.3
39.145,2083.3
39.251,2083.3
39.356,2083.3
39.461,2083.3
39.567,2083.3
39.667,2083.4
39.768,2083.4
39.868,2083.4
39.987,2083.4
40.088,2083.4
40.189,2083.4
40.310,2083.4
40.434,2083.4
40.554,2083.4
40.654,2083.4
40.755,2083.4
40.855,2083.4
40.955,2083.4
41.055,2083.4
41.156,2083.4
41.256,2083.4
41.356,2083.4
41.456,2083.4
41.556,2083.4
41.657,2083.4
41.757,2083.4
41.857,2083.4
41.982,2083.4
42.082,2083.4
42.183,2083.4
42.283,2083.4
42.383,2083.4
42.483,2083.4
42.584,2083.4
42.684,2083.4
42.784,2083.4
42.906,2083.4
43.009,2083.4
43.109,2083.4
43.209,2083.4
43.309,2083.4
43.410,2083.4
43.510,2083.4
43.610,2083.4
43.713,2083.4
43.813,2083.4
43.913,2083.4
44.014,2083.4
44.114,2083.4
44.214,2083.4
44.314,2083.4
44.415,2083.4
44.515,2083.4
44.615,2083.4
44.715,2083.4
44.816,2083.4
44.916,2083.4
45.016,2083.4
45.140,2083.4
45.241,2083.4
45.342,2083.4
45.443,2083.4
45.543,2083.4
45.644,2083.4
45.744,2083.4
45.844,2083.4
45.944,2083.4
