elapsed_sec,rss_mb
0.000,2110.2
0.000,2110.5
0.131,2017.1
0.244,2055.2
0.386,2057.0
0.487,2079.9
0.587,2081.0
0.687,2081.2
0.787,2081.5
0.887,2081.8
0.988,2081.9
1.088,2081.9
1.188,2082.2
1.288,2082.5
1.388,2082.5
1.489,2082.9
1.589,2083.3
1.689,2083.4
1.789,2083.6
1.889,2083.7
1.990,2083.9
2.090,2084.2
2.190,2084.2
2.290,2084.5
2.391,2085.1
2.491,2085.3
2.591,2085.6
2.691,2085.6
2.791,2085.9
2.892,2086.1
2.992,2086.2
3.092,2086.6
3.192,2087.1
3.292,2087.1
3.393,2087.3
3.493,2087.4
3.593,2087.6
3.693,2087.7
3.793,2087.9
3.894,2088.2
3.994,2088.4
4.094,2088.9
4.194,2089.3
4.294,2089.4
4.395,2089.7
4.495,2090.0
4.595,2090.0
4.695,2090.3
4.795,2090.3
4.896,2090.6
4.996,2090.6
5.096,2090.8
5.196,2090.9
5.296,2091.1
5.397,2091.4
5.497,2091.4
5.597,2091.7
5.697,2091.8
5.797,2092.1
5.898,2092.6
5.998,2092.6
6.098,2092.9
6.198,2092.9
6.298,2093.2
6.399,2093.4
6.499,2093.5
6.599,2093.7
6.699,2093.8
6.800,2094.0
6.900,2094.3
7.000,2094.4
7.100,2094.9
7.200,2094.9
7.301,2095.3
7.401,2095.7
7.501,2096.0
7.601,2096.8
7.701,2097.9
7.802,2098.3
7.902,2098.3
8.002,2098.5
8.102,2098.8
8.202,2098.8
8.303,2099.1
8.403,2099.1
8.503,2099.4
8.603,2099.7
8.703,2099.7
8.804,2100.0
8.904,2100.0
9.004,2100.2
9.104,2100.5
9.204,2100.5
9.305,2100.8
9.405,2100.8
9.505,2101.1
9.605,2101.4
9.705,2101.4
9.806,2101.7
9.906,2101.8
10.006,2102.0
10.106,2102.3
10.206,2102.3
10.307,2102.6
10.407,2102.6
10.507,2102.9
10.607,2102.9
10.707,2103.2
10.808,2103.4
10.908,2103.5
11.008,2103.7
11.108,2103.8
11.208,2104.0
11.309,2104.3
11.409,2104.3
11.509,2104.6
11.609,2104.7
11.709,2104.9
11.810,2105.5
11.910,2105.5
12.010,2105.8
12.110,2105.8
12.210,2106.1
12.311,2106.1
12.411,2106.4
12.511,2106.6
12.611,2106.9
12.711,2107.2
12.812,2107.2
12.912,2107.5
13.012,2107.5
13.112,2107.7
13.212,2108.0
13.313,2108.0
13.413,2108.4
13.513,2108.5
13.613,2108.8
13.713,2109.0
13.814,2109.4
13.914,2109.4
14.014,2109.7
14.114,2109.9
14.214,2110.0
14.315,2110.4
14.415,2110.9
14.515,2111.8
14.615,2112.5
