elapsed_sec,rss_mb
0.000,2113.9
0.000,2113.9
0.145,2009.9
0.245,2031.3
0.369,2058.9
0.632,2058.9
0.755,2081.5
0.855,2083.6
0.956,2083.9
1.056,2084.0
1.156,2084.2
1.256,2084.3
1.366,2084.6
1.466,2084.8
1.566,2084.9
1.666,2084.9
1.766,2085.2
1.867,2085.6
1.971,2085.7
2.072,2086.1
2.182,2086.6
2.284,2086.8
2.384,2086.9
2.484,2087.1
2.587,2087.4
2.687,2087.6
2.790,2088.3
2.892,2088.5
2.992,2088.7
3.092,2089.2
3.195,2089.4
3.295,2089.6
3.397,2089.7
3.497,2089.9
3.597,2090.1
3.698,2090.2
3.798,2090.4
3.898,2090.5
4.001,2090.9
4.101,2091.0
4.206,2091.2
4.306,2091.5
4.406,2091.9
4.506,2092.3
4.614,2093.1
4.714,2093.5
4.815,2093.6
4.915,2093.8
5.015,2094.0
5.115,2094.2
5.226,2094.6
5.326,2094.6
5.427,2094.8
5.552,2095.1
5.699,2095.3
5.799,2095.5
5.900,2095.7
6.000,2095.9
6.100,2096.1
6.200,2096.3
6.301,2096.5
6.411,2096.6
6.511,2096.8
6.615,2097.1
6.758,2097.3
6.858,2097.5
6.974,2097.7
7.078,2097.9
7.186,2098.0
7.307,2098.2
7.413,2098.5
7.515,2098.7
7.615,2098.9
7.715,2099.2
7.816,2099.4
7.918,2099.8
8.019,2100.2
8.128,2100.6
8.228,2101.1
8.329,2101.5
8.429,2102.0
8.529,2102.4
8.629,2102.7
8.730,2103.1
8.837,2103.2
8.937,2103.5
9.038,2103.5
9.138,2103.7
9.238,2103.8
9.338,2104.0
9.438,2104.1
9.539,2104.2
9.639,2104.2
9.739,2104.4
9.840,2104.6
9.940,2104.7
10.040,2104.9
10.141,2104.9
10.241,2105.1
10.341,2105.1
10.442,2105.3
10.542,2105.4
10.642,2105.5
10.743,2105.6
10.843,2105.7
10.943,2105.8
11.044,2105.9
11.144,2106.0
11.244,2106.1
11.344,2106.2
11.444,2106.3
11.545,2106.4
11.645,2106.5
11.745,2106.6
11.845,2106.7
11.946,2106.9
12.046,2107.0
12.146,2107.1
12.246,2107.2
12.347,2107.3
12.447,2107.4
12.547,2107.5
12.649,2107.7
12.750,2107.8
12.850,2107.9
12.950,2108.0
13.050,2108.1
13.151,2108.2
13.251,2108.3
13.351,2108.4
13.451,2108.6
13.552,2108.7
13.654,2108.8
13.754,2108.9
13.854,2109.0
13.954,2109.0
14.055,2109.1
14.155,2109.2
14.255,2109.3
14.359,2109.5
14.466,2109.6
14.566,2109.8
14.667,2109.9
14.767,2110.0
14.868,2110.1
14.968,2110.2
15.068,2110.3
15.172,2110.4
15.272,2110.4
15.372,2110.6
15.472,2110.7
15.573,2110.8
15.673,2110.9
15.773,2111.0
15.874,2111.1
15.974,2111.2
16.074,2111.4
16.174,2111.5
16.275,2111.7
16.381,2111.8
16.481,2111.9
16.581,2112.0
16.682,2112.1
16.782,2112.2
16.882,2112.5
16.982,2112.6
17.083,2112.9
17.183,2113.1
17.283,2113.4
17.383,2113.6
17.484,2113.7
17.584,2113.8
17.684,2114.0
17.784,2114.0
17.884,2114.2
17.985,2114.3
18.085,2114.5
18.185,2114.6
18.286,2114.7
18.386,2114.9
18.486,2115.1
18.592,2115.7
18.692,2116.1
18.792,2116.3
18.892,2117.1
18.993,2117.4
19.093,2117.7
19.193,2118.0
19.293,2118.3
19.394,2118.8
19.494,2118.9
19.594,2119.0
19.695,2119.2
19.795,2119.4
19.895,2119.6
19.995,2120.0
20.096,2120.1
20.196,2120.2
20.297,2120.3
20.397,2120.5
20.497,2120.7
20.597,2120.8
