elapsed_sec,rss_mb
0.000,2113.1
0.000,2113.1
0.141,2009.0
0.241,2029.2
0.395,2058.0
0.629,2058.0
0.744,2080.7
0.844,2082.6
0.944,2082.8
1.054,2083.2
1.161,2083.2
1.286,2083.6
1.386,2083.9
1.486,2083.9
1.587,2084.1
1.687,2084.7
1.789,2084.7
1.892,2085.1
1.993,2085.1
2.093,2085.4
2.193,2085.4
2.293,2085.6
2.393,2085.9
2.498,2085.9
2.598,2086.5
2.704,2087.2
2.821,2087.3
2.922,2087.6
3.022,2087.6
3.122,2088.0
3.222,2088.0
3.330,2088.3
3.437,2088.6
3.537,2088.6
3.637,2088.9
3.739,2088.9
3.839,2089.1
3.943,2089.1
4.043,2089.4
4.144,2089.4
4.247,2089.7
4.348,2090.1
4.448,2090.3
4.548,2090.9
4.655,2091.5
4.757,2091.5
4.858,2091.8
4.958,2091.8
5.058,2092.1
5.162,2092.3
5.263,2092.6
5.363,2092.9
5.467,2092.9
5.567,2093.1
5.667,2093.2
5.776,2093.4
5.877,2093.5
5.980,2093.7
6.080,2093.7
6.181,2094.0
6.283,2094.1
6.383,2094.4
6.483,2094.4
6.587,2094.7
6.688,2095.0
6.788,2095.0
6.888,2095.2
6.989,2095.2
7.089,2095.5
7.190,2095.5
7.290,2095.8
7.390,2095.8
7.490,2096.1
7.591,2096.4
7.692,2096.5
7.792,2096.7
7.892,2096.9
8.006,2097.4
8.106,2097.6
8.206,2098.5
8.306,2098.9
8.422,2099.7
8.522,2099.9
8.622,2100.0
8.724,2100.2
8.827,2100.2
8.927,2100.5
9.027,2100.5
9.134,2100.8
9.234,2101.1
9.334,2101.1
9.435,2101.4
9.535,2101.4
9.635,2101.7
9.736,2101.7
9.840,2101.9
9.940,2101.9
10.040,2102.2
10.146,2102.5
10.248,2102.6
10.348,2102.8
10.449,2102.9
10.554,2103.2
10.654,2103.2
10.754,2103.4
10.860,2103.7
10.966,2103.7
11.067,2104.0
11.167,2104.0
11.273,2104.3
11.373,2104.5
11.478,2104.6
11.579,2104.6
11.679,2104.8
11.780,2105.1
11.880,2105.1
11.981,2105.4
12.081,2105.4
12.190,2105.7
12.290,2105.8
12.395,2106.1
12.497,2106.2
12.597,2106.7
12.697,2106.7
12.803,2107.1
12.903,2107.1
13.003,2107.4
13.104,2107.4
13.204,2107.8
13.304,2107.8
13.404,2108.2
13.504,2108.2
13.605,2108.4
13.705,2109.0
13.807,2109.0
13.907,2109.4
14.007,2109.4
14.115,2109.8
14.216,2109.8
14.320,2110.2
14.422,2110.4
14.523,2110.7
14.630,2111.0
14.743,2111.2
14.843,2111.6
14.943,2111.6
15.043,2111.9
15.146,2112.2
15.246,2112.3
15.346,2112.9
15.450,2113.1
15.551,2113.5
15.652,2114.3
15.753,2114.9
15.853,2115.6
15.953,2116.2
16.067,2116.7
16.170,2116.8
16.270,2117.3
16.370,2117.6
16.470,2117.6
16.573,2117.8
16.678,2118.1
16.778,2118.1
16.878,2118.6
16.979,2118.6
17.086,2118.9
17.189,2118.9
17.289,2119.2
17.396,2119.2
17.496,2119.6
17.596,2119.6
17.696,2119.9
17.797,2120.3
17.897,2120.3
18.001,2120.7
18.101,2120.7
18.201,2120.9
18.301,2121.0
18.402,2121.3
18.508,2121.3
18.608,2121.6
18.708,2121.6
18.808,2129.7
18.939,2160.1
19.044,2196.4
19.154,2232.6
19.267,2269.9
19.374,2299.7
19.482,2308.2
19.585,2309.4
19.685,2310.1
19.785,2311.3
19.895,2312.7
19.995,2313.6
20.096,2314.2
20.196,2315.6
20.296,2316.3
20.403,2317.6
20.503,2318.8
20.603,2320.0
20.703,2320.8
20.805,2321.7
20.905,2322.7
21.011,2324.0
21.111,2324.6
21.211,2325.9
21.319,2326.5
21.420,2328.1
21.521,2329.2
21.627,2330.0
21.728,2331.4
21.828,2331.9
21.940,2333.5
22.040,2333.9
22.146,2335.8
22.247,2336.7
22.347,2337.7
22.450,2338.6
22.550,2339.6
22.657,2340.6
22.758,2341.5
22.858,2342.5
22.958,2343.5
23.058,2344.6
23.163,2345.4
23.263,2346.1
23.364,2347.0
23.473,2348.3
23.573,2349.2
23.675,2350.2
23.775,2351.2
23.875,2352.2
23.975,2353.2
24.080,2354.3
24.181,2355.4
24.281,2356.2
24.387,2357.2
24.487,2358.3
24.598,2359.3
24.698,2360.3
24.798,2361.1
24.905,2362.4
25.005,2363.2
25.105,2364.5
25.208,2365.4
25.310,2366.3
25.414,2367.6
25.514,2368.2
25.614,2369.8
25.714,2370.6
25.815,2371.5
25.923,2372.5
26.025,2373.4
26.125,2374.7
26.226,2375.7
26.326,2376.8
26.426,2378.0
26.526,2378.7
26.631,2379.9
26.736,2380.8
26.840,2382.0
26.941,2383.0
27.041,2383.9
27.141,2385.1
27.250,2386.0
27.350,2387.1
27.450,2387.8
27.551,2388.8
27.651,2389.8
27.763,2391.2
27.863,2392.4
27.963,2393.4
28.070,2394.4
28.170,2395.4
28.287,2396.6
28.387,2397.6
28.488,2398.6
28.588,2399.6
28.696,2400.7
28.796,2402.1
28.897,2403.0
28.997,2404.0
29.097,2405.1
29.212,2407.2
29.319,2421.8
29.432,2400.9
29.548,2400.9
29.763,2400.9
29.884,2400.9
30.003,2401.1
30.103,2401.3
30.204,2401.4
30.304,2401.4
