elapsed_sec,rss_mb
0.000,2110.0
0.001,2110.2
0.131,2013.3
0.238,2054.9
0.400,2054.9
0.500,2078.7
0.600,2079.9
0.701,2080.2
0.801,2080.4
0.901,2080.6
1.001,2080.9
1.101,2081.1
1.202,2081.3
1.302,2081.4
1.402,2081.7
1.502,2082.0
1.602,2082.3
1.703,2082.4
1.803,2082.6
1.903,2082.8
2.003,2082.8
2.104,2083.1
2.204,2083.5
2.304,2083.9
2.404,2084.2
2.504,2084.5
2.605,2084.7
2.705,2084.7
2.805,2085.0
2.905,2085.0
3.005,2085.3
3.106,2085.5
3.206,2085.6
3.306,2085.8
3.406,2085.8
3.506,2086.1
3.607,2086.4
3.707,2086.5
3.807,2086.7
3.907,2087.1
4.007,2088.0
4.108,2088.0
4.208,2088.4
4.308,2088.4
4.408,2088.9
4.508,2089.2
4.609,2089.2
4.709,2089.5
4.809,2089.7
4.909,2089.8
5.009,2090.0
5.110,2090.3
5.210,2090.3
5.310,2090.6
5.410,2090.9
5.510,2090.9
5.611,2091.1
5.711,2091.2
5.811,2091.5
5.911,2091.7
6.012,2091.8
6.112,2092.1
6.212,2092.4
6.312,2092.4
6.412,2092.6
6.513,2092.6
6.613,2092.9
6.713,2093.2
6.813,2093.2
6.913,2093.8
7.014,2094.0
7.114,2094.5
7.214,2095.0
7.314,2095.4
7.414,2096.2
7.515,2096.5
7.615,2096.7
7.715,2096.7
7.815,2097.0
7.915,2097.3
8.016,2097.6
8.116,2097.8
8.216,2098.0
8.316,2098.3
8.416,2098.3
8.517,2098.6
8.617,2098.9
8.717,2098.9
8.817,2099.2
8.917,2099.4
9.018,2099.5
9.118,2099.7
9.218,2099.8
9.318,2100.0
9.419,2100.3
9.519,2100.3
9.619,2100.6
9.719,2100.6
9.819,2100.9
9.919,2100.9
10.020,2101.4
10.120,2101.7
10.220,2102.1
10.320,2102.3
10.421,2102.4
10.521,2102.5
10.621,2102.9
10.721,2102.9
10.821,2103.1
10.922,2103.3
11.022,2103.6
11.122,2103.8
11.222,2103.9
11.322,2104.2
11.423,2104.5
11.523,2104.5
11.623,2104.9
11.723,2104.9
11.823,2105.2
11.924,2105.5
12.024,2105.6
12.124,2105.9
12.224,2106.0
12.324,2106.3
12.425,2106.6
12.525,2106.6
12.625,2106.9
12.725,2107.0
12.825,2107.2
12.926,2107.5
13.026,2107.6
13.126,2107.9
13.226,2108.4
13.327,2108.6
13.427,2109.0
13.527,2109.3
13.627,2109.7
13.727,2109.7
13.828,2110.0
13.928,2110.4
14.028,2110.6
14.128,2111.1
14.228,2111.9
14.329,2112.9
14.429,2113.5
14.529,2114.2
14.629,2114.5
14.729,2114.9
14.830,2115.2
14.930,2115.6
15.030,2115.9
15.130,2115.9
15.230,2116.1
15.331,2116.2
15.431,2116.4
15.531,2116.7
15.631,2116.9
15.731,2117.1
15.832,2117.4
15.932,2117.4
16.032,2117.7
16.132,2118.0
16.232,2118.0
16.333,2118.2
16.433,2118.5
16.533,2118.5
16.633,2118.8
16.733,2119.1
16.834,2119.1
16.934,2119.3
17.034,2123.8
17.134,2148.7
17.234,2218.7
17.335,2280.9
17.435,2303.3
17.535,2304.6
17.635,2306.1
17.735,2307.1
17.836,2308.2
17.936,2309.4
18.036,2310.5
18.136,2311.8
18.236,2312.7
18.337,2314.6
18.437,2315.5
18.537,2316.6
18.637,2317.7
18.737,2318.7
18.838,2319.8
18.938,2320.7
19.038,2322.1
19.138,2322.7
19.238,2324.2
19.339,2325.5
19.439,2326.2
19.539,2327.7
19.639,2328.8
19.739,2329.5
19.840,2331.1
19.940,2332.4
20.040,2333.4
20.140,2334.4
20.240,2335.5
20.341,2336.6
20.441,2337.7
20.541,2338.8
20.641,2339.8
20.741,2340.8
20.842,2342.1
20.942,2343.2
21.042,2344.4
21.142,2345.4
21.243,2346.4
21.343,2347.6
21.443,2348.6
21.543,2349.8
21.643,2351.1
21.744,2352.2
21.844,2353.3
21.944,2354.6
22.044,2355.6
22.144,2356.7
22.245,2357.5
22.345,2359.2
22.445,2359.9
22.545,2361.2
22.645,2362.3
22.746,2363.3
22.846,2364.5
22.946,2365.7
23.046,2366.6
23.146,2368.0
23.247,2369.4
23.347,2370.0
23.447,2372.2
23.547,2373.3
23.647,2374.2
23.748,2375.2
23.848,2376.5
23.948,2377.7
24.048,2378.7
24.148,2379.9
24.249,2380.9
24.349,2382.2
24.449,2383.5
24.549,2384.4
24.650,2385.7
24.750,2386.6
24.850,2387.7
24.950,2389.2
25.050,2390.5
25.151,2391.0
25.251,2392.5
25.351,2393.5
25.451,2394.8
25.551,2396.2
25.652,2396.8
25.752,2398.4
25.852,2399.5
25.952,2400.4
26.052,2401.7
26.153,2402.7
26.269,2413.5
26.401,2398.6
26.595,2398.6
26.695,2398.6
26.795,2398.9
26.895,2399.0
26.996,2399.2
27.096,2399.2
27.196,2399.2
27.296,2399.2
27.397,2399.2
27.498,2399.2
27.598,2399.2
27.698,2399.2
27.798,2399.2
27.898,2399.2
27.999,2399.2
28.099,2399.2
28.199,2399.2
28.299,2399.2
28.399,2399.2
28.500,2399.2
28.600,2399.2
28.700,2399.2
28.800,2399.2
28.900,2399.2
29.001,2399.2
29.101,2399.2
29.201,2399.2
29.301,2399.2
29.401,2399.2
29.502,2399.2
29.602,2399.2
29.702,2399.2
29.802,2399.2
29.903,2399.2
30.003,2399.2
30.103,2399.2
30.203,2399.2
30.303,2399.2
30.404,2399.2
30.504,2399.2
30.604,2399.2
30.704,2399.2
30.804,2399.2
30.905,2399.2
31.005,2399.2
31.105,2399.2
31.205,2399.2
31.305,2399.2
31.406,2399.2
31.506,2399.2
31.606,2399.2
31.706,2399.2
31.806,2399.2
31.907,2399.2
32.007,2399.2
32.107,2399.2
32.207,2399.2
32.308,2399.2
32.408,2399.2
32.508,2399.2
32.608,2399.2
32.708,2399.2
32.809,2399.2
32.909,2399.2
33.009,2399.2
33.109,2399.2
33.209,2399.2
33.310,2399.2
33.415,2399.3
33.520,2399.3
33.625,2399.3
33.731,2399.3
33.836,2399.3
33.941,2399.3
34.046,2399.3
34.152,2399.3
34.257,2399.3
34.362,2399.3
34.467,2399.3
34.573,2399.3
34.679,2399.3
34.785,2399.3
35.694,2399.3
36.520,2077.1
36.844,2077.1
36.944,2077.1
37.045,2077.1
37.152,2077.1
37.265,2077.1
37.370,2077.1
37.475,2077.1
37.581,2077.1
37.681,2077.1
37.781,2077.4
37.881,2077.4
37.981,2077.4
38.105,2077.4
38.206,2077.4
38.306,2077.4
38.424,2077.4
38.524,2077.4
38.644,2077.4
38.744,2077.4
38.864,2077.4
38.988,2077.4
39.088,2077.4
39.206,2077.4
39.307,2077.4
39.424,2077.4
39.547,2077.4
39.647,2077.4
39.764,2077.4
39.888,2077.4
40.011,2077.4
40.134,2077.4
40.259,2077.4
40.381,2077.4
40.481,2077.4
40.601,2077.4
40.701,2077.4
40.817,2077.4
40.919,2077.4
41.019,2077.4
41.119,2077.4
41.242,2077.4
41.343,2077.4
41.463,2077.4
41.563,2077.4
41.680,2077.4
41.780,2077.4
41.903,2077.4
42.003,2077.4
42.121,2077.4
42.245,2077.4
42.369,2077.4
42.493,2077.4
42.617,2077.4
42.739,2077.4
42.863,2077.4
42.986,2077.4
43.087,2077.4
43.205,2077.4
43.327,2077.4
43.427,2077.4
43.547,2077.4
43.671,2077.4
43.795,2077.4
43.919,2077.4
44.042,2077.4
44.165,2077.4
44.288,2077.4
44.389,2077.4
44.504,2077.4
44.604,2077.4
44.721,2077.4
44.821,2077.4
44.940,2077.4
45.040,2077.4
45.159,2077.4
45.259,2077.4
45.382,2077.4
45.482,2077.4
45.604,2077.4
45.704,2077.4
45.825,2077.4
45.925,2077.4
46.046,2077.4
46.146,2077.4
46.269,2077.4
46.370,2077.4
46.488,2077.4
46.589,2077.4
46.709,2077.4
46.810,2077.4
46.928,2077.4
47.029,2077.4
47.150,2077.4
47.250,2077.4
47.376,2077.4
47.478,2077.4
47.602,2077.4
47.702,2077.4
47.823,2077.4
47.923,2077.4
48.041,2077.4
48.142,2077.4
48.262,2077.4
48.387,2077.4
48.487,2077.4
48.606,2077.4
48.706,2077.4
48.824,2077.4
48.925,2077.4
49.043,2077.4
49.167,2077.4
49.290,2077.4
49.390,2077.4
49.491,2086.5
49.591,2093.0
49.691,2094.2
49.791,2094.8
49.891,2098.0
49.992,2098.3
50.092,2098.4
50.192,2098.5
50.292,2098.8
50.392,2099.0
50.493,2099.0
50.593,2099.0
50.693,2099.0
50.793,2099.0
50.893,2099.0
50.994,2099.0
51.094,2099.0
51.194,2099.0
51.294,2099.0
51.395,2099.0
51.495,2099.0
51.595,2099.0
51.695,2099.0
51.795,2099.0
51.896,2099.0
51.996,2099.0
52.096,2099.0
52.196,2099.0
52.296,2099.0
52.397,2099.0
52.497,2099.0
52.597,2099.0
52.697,2099.0
52.797,2099.0
52.898,2099.0
52.998,2099.0
53.098,2099.0
53.939,2099.0
53.948,2099.0
