elapsed_sec,rss_mb
0.000,2111.2
0.000,2111.5
0.164,2014.6
0.270,2056.2
0.414,2058.0
0.514,2079.9
0.615,2081.2
0.715,2081.6
0.815,2081.9
0.915,2082.2
1.015,2082.4
1.116,2082.6
1.216,2083.2
1.316,2083.6
1.416,2084.1
1.516,2084.3
1.617,2084.6
1.717,2085.3
1.817,2085.7
1.917,2086.2
2.017,2086.7
2.118,2087.1
2.218,2087.3
2.318,2087.6
2.418,2087.8
2.518,2088.1
2.619,2089.2
2.719,2089.8
2.819,2090.1
2.919,2090.6
3.019,2091.2
3.120,2091.8
3.220,2092.0
3.320,2092.4
3.420,2092.6
3.520,2092.9
3.621,2093.3
3.721,2093.8
3.821,2094.0
3.921,2094.0
4.022,2094.2
4.122,2094.2
4.222,2094.5
4.322,2094.5
4.422,2094.8
4.523,2095.1
4.623,2095.9
4.723,2097.4
4.823,2097.7
4.923,2098.9
5.024,2099.2
5.124,2099.7
5.224,2100.0
5.324,2100.3
5.424,2100.8
5.525,2102.1
5.625,2102.4
5.725,2102.9
5.825,2103.1
5.925,2103.6
6.026,2103.9
6.126,2103.9
6.226,2104.1
6.326,2104.2
6.426,2104.4
6.527,2104.4
6.627,2104.8
6.728,2105.0
6.828,2105.1
6.928,2105.3
7.028,2105.4
7.128,2105.5
7.229,2105.9
7.329,2106.1
7.429,2106.4
7.529,2106.7
7.629,2106.9
7.730,2107.3
7.830,2107.5
7.930,2107.8
8.030,2108.0
8.130,2108.3
8.231,2108.6
8.331,2108.7
8.431,2108.9
8.531,2109.0
8.632,2109.2
8.732,2109.4
8.832,2109.5
8.932,2109.7
9.032,2109.8
9.133,2110.0
9.233,2110.2
9.333,2110.3
9.433,2112.0
9.533,2113.3
9.634,2114.5
9.734,2114.7
9.834,2114.8
9.934,2115.0
10.034,2115.1
10.135,2115.3
10.235,2115.9
10.335,2117.2
10.435,2117.5
10.536,2117.7
10.636,2117.8
10.736,2118.1
10.836,2118.1
10.937,2118.2
11.037,2118.4
11.137,2118.5
11.237,2118.7
11.338,2118.9
11.438,2119.0
11.538,2119.2
11.638,2119.3
11.738,2119.5
11.839,2119.6
11.939,2119.7
12.039,2119.8
12.139,2120.1
12.240,2120.2
12.340,2120.3
12.440,2120.5
12.540,2122.8
12.640,2124.1
12.741,2124.3
12.841,2124.4
12.941,2124.6
13.041,2124.8
13.141,2125.0
13.242,2125.1
13.342,2125.3
13.442,2125.4
13.542,2125.6
13.642,2125.6
13.743,2125.9
13.843,2126.0
13.943,2126.2
14.043,2126.3
14.144,2126.6
14.244,2126.7
14.344,2126.9
14.444,2126.9
14.544,2127.1
14.645,2127.3
14.745,2127.4
14.845,2127.6
14.945,2127.8
15.046,2127.9
15.146,2128.1
15.246,2128.2
15.346,2128.4
15.447,2128.5
15.547,2128.7
15.647,2128.8
15.747,2129.0
15.848,2129.1
15.948,2129.3
16.048,2129.4
16.148,2129.6
16.248,2129.7
16.349,2129.8
16.449,2130.2
16.549,2130.5
16.649,2130.8
16.749,2131.0
16.850,2131.2
16.950,2131.5
17.050,2131.8
17.150,2132.0
17.250,2132.4
17.351,2132.6
17.451,2132.8
17.551,2133.2
17.651,2133.5
17.751,2133.8
17.852,2134.0
17.952,2134.2
18.052,2134.3
18.152,2134.5
18.252,2134.7
18.353,2134.7
18.453,2135.0
18.553,2135.0
