elapsed_sec,rss_mb
0.000,2110.6
0.013,2110.6
0.117,2111.0
0.217,2111.0
0.317,2111.0
0.418,2008.5
0.518,2012.5
0.618,2014.1
0.718,2046.1
0.928,2055.7
1.415,2772.5
1.515,2774.7
1.615,2775.8
1.715,2776.8
1.816,2777.4
1.916,2777.7
2.016,2778.3
2.116,2779.4
2.217,2780.2
2.317,2780.7
2.417,2781.3
2.517,2782.2
2.618,2783.6
2.718,2785.1
2.818,2786.1
2.918,2786.3
3.018,2787.3
3.119,2789.0
3.219,2791.4
3.319,2793.6
3.420,2795.2
3.520,2796.9
3.620,2798.5
3.721,2801.5
3.821,2802.2
3.921,2803.4
4.022,2804.5
4.122,2806.7
4.222,2807.7
4.322,2809.6
4.423,2811.5
4.523,2813.0
4.623,2817.4
4.723,2819.2
4.824,2820.3
4.924,2821.7
5.024,2823.4
5.125,2823.9
5.225,2825.2
5.325,2827.4
5.426,2829.1
5.526,2830.3
5.626,2831.4
5.726,2832.5
5.827,2834.9
5.927,2836.3
6.027,2838.8
6.128,2841.2
6.228,2843.3
6.328,2844.8
6.428,2846.6
6.529,2848.1
6.629,2850.3
6.729,2851.8
6.830,2852.7
6.930,2853.7
7.030,2854.9
7.130,2856.0
7.231,2857.1
7.331,2858.7
7.431,2859.6
7.532,2861.1
7.632,2861.9
7.732,2863.1
7.832,2864.6
7.933,2865.3
8.033,2866.8
8.133,2867.7
8.233,2868.5
8.334,2869.9
8.434,2871.1
8.534,2872.0
8.634,2872.8
8.734,2873.9
8.835,2875.1
8.935,2875.9
9.035,2876.8
9.135,2878.4
9.236,2879.4
9.336,2880.1
9.436,2881.5
9.536,2882.9
9.637,2884.2
9.737,2885.6
9.837,2886.6
9.938,2887.3
10.038,2888.8
10.138,2889.7
10.238,2890.6
10.339,2891.8
10.439,2892.9
10.539,2894.0
10.639,2895.5
10.740,2897.0
10.840,2898.6
10.940,2899.8
11.040,2901.1
11.141,2903.1
11.241,2904.9
11.341,2906.7
11.442,2908.5
11.542,2909.9
11.642,2911.9
11.742,2913.2
11.843,2914.9
11.943,2916.5
12.043,2918.4
12.144,2919.9
12.244,2921.2
12.344,2922.8
12.445,2924.5
12.545,2925.8
12.645,2927.0
12.745,2928.5
12.845,2930.1
12.946,2931.4
13.046,2933.0
13.146,2934.3
13.246,2935.4
13.347,2935.9
13.447,2936.9
