elapsed_sec,rss_mb
0.000,2108.7
0.000,2108.9
0.134,2053.6
0.292,2055.3
0.393,2077.8
0.493,2079.3
0.593,2079.6
0.693,2079.9
0.793,2080.1
0.894,2080.4
0.994,2080.6
1.094,2080.7
1.194,2080.9
1.294,2081.1
1.395,2081.6
1.495,2081.7
1.595,2081.9
1.695,2082.2
1.795,2082.2
1.896,2082.4
1.996,2082.6
2.096,2083.0
2.196,2083.3
2.296,2083.8
2.397,2084.1
2.497,2084.2
2.597,2084.5
2.697,2084.7
2.797,2084.7
2.898,2085.0
2.998,2085.0
3.098,2085.3
3.198,2085.6
3.298,2085.6
3.399,2085.9
3.499,2085.9
3.599,2086.1
3.699,2086.5
3.799,2086.5
3.900,2087.3
4.000,2087.7
4.100,2088.0
4.200,2088.3
4.300,2088.6
4.401,2088.6
4.501,2088.8
4.601,2088.9
4.701,2089.1
4.801,2089.2
4.902,2089.5
5.002,2089.7
5.102,2089.7
5.202,2090.0
5.302,2090.0
5.403,2090.3
5.503,2090.6
5.603,2090.7
5.703,2090.9
5.804,2091.2
5.904,2091.2
6.004,2091.5
6.104,2091.5
6.204,2091.8
6.305,2091.8
6.405,2092.1
6.505,2092.3
6.605,2092.4
6.705,2092.6
6.806,2092.7
6.906,2093.0
7.006,2093.4
7.106,2093.5
7.206,2093.8
7.307,2094.4
7.407,2095.0
7.507,2095.5
7.607,2095.9
7.707,2096.5
7.808,2096.6
7.908,2096.9
8.008,2097.2
8.108,2097.2
8.208,2097.4
8.309,2097.5
8.409,2097.8
8.509,2098.0
8.609,2098.1
8.709,2098.3
8.810,2098.4
8.910,2098.7
9.010,2098.9
9.110,2099.0
9.210,2099.2
9.311,2099.2
9.411,2099.5
9.511,2099.8
9.611,2099.8
9.711,2100.1
9.812,2100.4
9.912,2100.7
10.012,2101.0
10.112,2101.0
10.212,2101.4
10.313,2101.5
10.413,2101.7
10.513,2101.8
10.613,2101.9
10.713,2102.1
10.814,2102.3
10.914,2102.4
11.014,2102.7
11.114,2102.7
11.214,2102.9
11.315,2103.2
11.415,2103.2
11.515,2103.5
11.615,2103.8
11.715,2103.8
11.816,2104.1
11.916,2104.3
12.016,2104.4
12.116,2104.6
12.216,2104.7
12.317,2104.9
12.417,2105.2
12.517,2105.2
12.617,2105.5
12.717,2105.8
12.818,2105.8
12.918,2106.1
13.018,2106.1
13.118,2107.0
13.218,2107.1
13.320,2107.2
13.420,2107.5
13.520,2107.8
13.620,2108.1
13.720,2108.2
13.821,2108.2
13.921,2108.6
14.021,2108.9
14.121,2108.9
14.221,2110.1
14.322,2110.3
14.422,2110.7
14.522,2112.2
14.622,2112.7
14.722,2113.1
14.823,2113.4
14.923,2113.7
15.023,2114.0
15.123,2114.0
15.223,2114.3
15.324,2114.6
15.424,2114.6
15.524,2114.9
15.624,2114.9
15.724,2115.2
15.825,2115.6
15.925,2115.7
16.025,2116.1
16.125,2116.1
16.225,2116.4
16.337,2116.7
16.437,2116.7
16.537,2117.1
16.638,2117.1
16.738,2117.4
16.838,2117.7
16.938,2117.7
17.038,2118.0
17.139,2118.0
17.239,2118.3
17.339,2147.5
17.439,2195.3
17.539,2261.5
17.640,2301.9
17.740,2303.2
17.840,2304.3
17.940,2305.7
18.040,2306.5
18.141,2307.8
18.241,2308.8
18.341,2309.8
18.441,2311.2
18.541,2312.4
18.642,2313.3
18.742,2314.5
18.842,2315.4
18.942,2316.6
19.042,2318.1
19.143,2318.8
19.243,2320.4
19.355,2320.9
19.455,2322.3
19.555,2323.4
19.655,2324.4
19.756,2325.6
19.856,2326.8
19.956,2327.5
20.056,2328.9
20.156,2329.6
20.257,2330.8
20.357,2332.2
20.457,2333.1
20.557,2334.3
20.657,2335.3
20.758,2336.7
20.858,2337.6
20.958,2338.9
21.058,2339.8
21.158,2341.2
21.259,2341.9
21.359,2343.3
21.459,2344.3
21.559,2345.2
21.659,2346.6
21.760,2347.3
21.860,2348.8
21.960,2349.9
22.060,2351.2
22.160,2352.1
22.261,2353.5
22.372,2354.2
22.472,2355.6
22.572,2356.3
22.673,2358.0
22.773,2358.7
22.873,2359.9
22.973,2361.1
23.073,2361.8
23.174,2363.4
23.274,2364.1
23.374,2365.6
23.474,2366.5
23.574,2367.7
23.675,2368.6
23.775,2370.3
23.875,2370.5
23.975,2372.2
24.075,2372.9
24.176,2374.1
24.276,2375.7
24.376,2376.7
24.476,2377.6
24.576,2379.0
24.677,2380.0
24.777,2380.9
24.877,2382.4
24.977,2383.0
25.077,2384.7
25.178,2385.4
25.278,2386.6
25.390,2388.3
25.490,2388.7
25.590,2390.2
25.690,2391.1
25.790,2392.3
25.891,2393.5
25.991,2394.7
26.091,2395.6
26.191,2397.3
26.291,2398.0
26.392,2399.4
26.492,2400.6
26.592,2412.5
26.732,2402.4
26.924,2402.4
27.024,2402.5
27.124,2402.8
27.225,2403.0
27.325,2403.1
27.425,2403.1
27.525,2403.1
27.625,2403.1
27.726,2403.1
27.826,2403.1
27.926,2403.1
28.026,2403.1
28.126,2403.1
28.227,2403.1
28.327,2403.1
28.427,2403.1
28.527,2403.1
28.627,2403.1
28.727,2403.1
28.828,2403.1
28.928,2403.1
29.028,2403.1
29.128,2403.1
29.228,2403.1
29.329,2403.1
29.429,2403.1
29.529,2403.1
29.629,2403.1
29.729,2403.1
29.830,2403.1
29.930,2403.1
30.030,2403.1
30.130,2403.1
30.230,2403.1
30.331,2403.1
30.431,2403.1
30.531,2403.1
30.631,2403.1
30.731,2403.1
30.832,2403.1
30.932,2403.1
31.032,2403.1
31.132,2403.1
31.232,2403.1
31.332,2403.1
31.433,2403.1
31.533,2403.1
31.633,2403.1
31.733,2403.1
31.834,2403.1
31.934,2403.1
32.034,2403.1
32.134,2403.1
32.234,2403.1
32.335,2403.1
32.435,2403.1
32.535,2403.1
32.635,2403.1
32.735,2403.1
32.836,2403.1
32.936,2403.1
33.036,2403.1
33.136,2403.1
33.237,2403.1
33.337,2403.1
33.437,2403.1
33.542,2403.1
33.647,2403.3
33.753,2403.3
33.858,2403.3
33.963,2403.3
34.068,2403.3
34.174,2403.3
34.279,2403.3
34.384,2403.3
34.490,2403.3
34.595,2403.3
34.700,2403.3
34.805,2403.3
34.911,2403.3
35.015,2403.3
35.827,2439.4
36.653,2117.6
36.969,2117.6
37.069,2117.7
37.169,2117.7
37.275,2117.7
37.380,2117.7
37.511,2117.7
37.616,2117.7
37.721,2117.7
37.822,2117.8
37.922,2117.8
38.036,2117.8
38.152,2117.8
38.262,2117.8
38.372,2117.8
38.478,2117.8
38.585,2117.8
38.692,2117.8
38.797,2117.8
38.904,2117.8
39.010,2117.8
39.115,2117.8
39.221,2117.8
39.325,2117.8
39.432,2117.8
39.537,2117.8
39.646,2117.8
39.746,2117.8
39.856,2117.8
39.961,2117.8
40.065,2117.8
40.168,2117.8
40.268,2117.8
40.369,2117.8
40.482,2117.8
40.589,2117.8
40.702,2117.8
40.802,2117.8
40.902,2117.8
41.002,2117.8
41.107,2117.8
41.207,2117.8
41.307,2117.8
41.408,2117.8
41.515,2117.8
41.615,2117.8
41.715,2117.8
41.821,2117.8
41.922,2117.8
42.025,2117.8
42.135,2117.8
42.247,2117.8
42.356,2117.8
42.461,2117.8
42.566,2117.8
42.666,2117.8
42.767,2117.8
42.867,2117.8
42.968,2117.8
43.077,2117.8
43.185,2117.8
43.286,2117.8
43.386,2117.8
43.488,2117.8
43.592,2117.8
43.701,2117.8
43.802,2117.8
43.902,2129.2
44.002,2133.5
44.103,2135.7
44.203,2135.9
44.303,2136.4
44.403,2136.4
44.503,2136.8
44.604,2136.8
44.704,2136.8
44.804,2136.8
44.904,2136.8
45.004,2136.8
45.105,2136.8
45.205,2136.8
45.305,2136.8
45.405,2136.8
45.505,2136.8
45.606,2136.8
45.706,2136.8
45.806,2136.8
45.906,2136.8
46.006,2136.8
46.107,2136.8
46.207,2136.8
46.307,2136.8
46.407,2136.8
46.507,2136.8
46.608,2136.8
46.708,2136.8
46.808,2136.8
