elapsed_sec,rss_mb
0.000,2113.1
0.000,2113.1
0.185,2058.2
0.335,2058.2
0.435,2080.4
0.536,2081.1
0.636,2081.1
0.736,2081.4
0.836,2081.4
0.937,2081.8
1.037,2081.8
1.137,2082.1
1.237,2082.4
1.337,2082.7
1.438,2083.7
1.538,2083.8
1.638,2084.1
1.738,2084.1
1.838,2084.1
1.939,2084.4
2.039,2084.7
2.139,2084.7
2.239,2084.9
2.339,2085.4
2.440,2085.7
2.540,2085.8
2.640,2086.6
2.740,2087.1
2.840,2087.1
2.941,2087.1
3.041,2087.4
3.141,2087.4
3.241,2087.7
3.341,2087.7
3.442,2088.0
3.542,2088.2
3.644,2088.6
3.745,2088.7
3.845,2089.8
3.945,2090.3
4.045,2090.7
4.146,2090.7
4.246,2090.7
4.346,2091.0
4.446,2091.4
4.546,2091.8
4.647,2092.0
4.747,2092.1
4.847,2092.2
4.947,2092.3
5.048,2092.4
5.148,2092.5
5.248,2092.6
5.348,2092.7
5.448,2093.1
5.549,2093.2
5.649,2093.3
5.749,2093.7
5.849,2093.8
5.950,2093.9
6.050,2094.1
6.150,2094.2
6.250,2094.3
6.350,2094.9
6.451,2095.2
6.551,2095.4
6.652,2095.7
6.752,2095.9
6.852,2096.0
6.953,2097.3
7.053,2097.8
7.153,2098.2
7.253,2098.4
7.354,2098.8
7.454,2099.3
7.554,2099.4
7.654,2099.6
7.754,2100.0
7.855,2100.1
7.955,2100.2
8.055,2100.2
8.155,2100.4
8.255,2100.5
8.356,2101.2
8.456,2102.4
8.556,2103.1
8.656,2103.3
8.756,2103.3
8.857,2103.5
8.957,2103.6
9.057,2103.9
9.157,2104.1
9.257,2104.2
9.358,2104.2
9.458,2104.4
9.558,2104.6
9.658,2104.6
9.758,2104.8
9.859,2104.8
9.959,2105.3
10.059,2105.5
10.159,2105.7
10.259,2106.0
10.360,2106.0
10.460,2106.2
10.560,2106.3
10.660,2106.4
10.760,2106.8
10.861,2107.1
10.961,2107.3
11.061,2107.3
11.161,2107.5
11.261,2107.5
11.362,2108.0
11.462,2108.3
11.562,2108.5
11.662,2108.8
11.762,2108.9
11.863,2109.2
11.963,2109.2
12.063,2109.2
12.164,2109.4
12.264,2109.5
12.364,2109.9
12.464,2109.9
12.564,2110.1
12.665,2110.2
12.765,2110.4
12.865,2110.4
12.965,2110.6
13.065,2110.6
13.166,2110.8
13.266,2110.9
13.366,2111.1
13.466,2112.2
13.566,2113.6
13.667,2115.1
13.767,2115.4
13.867,2115.6
13.967,2115.6
14.068,2115.8
14.168,2116.1
14.268,2116.5
14.368,2117.5
14.468,2118.1
14.569,2118.1
14.669,2118.3
14.769,2118.8
14.869,2119.1
14.969,2119.1
15.070,2119.4
15.170,2119.4
15.270,2119.4
15.370,2119.6
15.471,2119.6
15.571,2119.8
15.677,2119.9
15.778,2120.1
15.878,2120.1
15.978,2120.4
16.078,2120.4
16.178,2120.4
16.279,2120.7
16.379,2120.7
16.479,2120.9
16.579,2121.3
16.679,2123.6
16.780,2125.5
16.880,2125.8
16.980,2126.0
17.080,2126.0
17.180,2126.2
17.281,2126.3
17.381,2126.5
17.481,2126.6
17.581,2126.8
17.681,2126.9
17.782,2126.9
17.882,2127.2
17.982,2127.2
18.082,2127.5
18.182,2127.5
18.283,2127.8
18.383,2127.8
18.483,2128.1
18.583,2128.2
18.683,2128.4
18.784,2128.5
18.884,2128.5
18.984,2128.8
19.084,2128.8
19.185,2129.1
19.285,2129.1
19.385,2129.4
19.485,2129.4
19.585,2129.7
19.686,2129.9
19.786,2130.2
19.886,2130.3
19.986,2130.5
20.086,2130.6
20.187,2130.8
20.287,2130.9
20.387,2130.9
20.487,2131.2
20.587,2131.2
20.688,2131.5
20.788,2131.5
20.888,2131.8
20.988,2131.9
21.088,2132.2
21.189,2132.4
21.289,2132.6
21.389,2132.7
21.489,2132.8
21.590,2133.0
21.690,2133.0
21.790,2133.3
21.890,2133.3
21.990,2133.5
22.091,2133.6
22.191,2133.8
22.291,2134.0
22.391,2134.1
22.491,2134.3
22.592,2134.4
22.692,2134.6
22.792,2134.7
22.892,2134.9
22.992,2135.0
23.093,2135.3
23.193,2135.3
23.293,2135.5
23.393,2135.6
23.494,2135.8
23.594,2136.0
23.694,2136.1
23.794,2136.3
23.895,2136.3
23.995,2136.6
24.095,2136.8
24.195,2136.8
24.295,2137.1
24.396,2137.1
24.496,2137.3
24.596,2137.5
24.696,2137.6
24.796,2137.7
24.897,2137.9
24.997,2138.0
25.097,2138.2
25.197,2138.4
25.298,2138.6
25.398,2138.6
25.498,2138.8
25.598,2139.0
25.698,2139.5
25.799,2139.6
25.899,2139.8
25.999,2139.8
26.099,2139.9
26.199,2140.1
26.300,2140.3
26.400,2140.4
26.500,2140.6
26.600,2140.6
26.700,2140.9
26.801,2140.9
26.901,2144.9
27.001,2146.3
27.101,2147.5
27.201,2147.6
27.302,2147.8
27.402,2147.8
27.502,2148.0
27.602,2148.1
27.702,2148.3
27.803,2171.1
27.909,2202.7
28.009,2240.1
28.110,2285.2
28.210,2307.0
28.310,2332.7
28.410,2333.2
28.511,2334.2
28.611,2335.0
28.711,2337.3
28.811,2340.5
28.911,2342.7
29.012,2343.4
29.112,2343.9
29.212,2344.9
29.312,2345.6
29.412,2346.3
