elapsed_sec,rss_mb
0.000,2110.1
0.000,2110.1
0.201,2012.4
0.310,2055.1
0.451,2056.8
0.551,2079.4
0.651,2079.9
0.752,2080.2
0.852,2080.6
0.952,2081.2
1.052,2082.5
1.152,2082.8
1.253,2083.2
1.353,2084.4
1.453,2084.7
1.554,2085.4
1.654,2085.7
1.754,2086.2
1.854,2086.5
1.954,2087.0
2.055,2087.6
2.155,2088.3
2.255,2089.2
2.355,2089.9
2.455,2090.6
2.556,2090.9
2.656,2091.3
2.756,2091.7
2.856,2092.0
2.957,2092.3
3.057,2092.8
3.157,2093.3
3.257,2094.0
3.357,2094.4
3.458,2094.8
3.558,2095.3
3.658,2096.2
3.758,2097.1
3.858,2097.6
3.959,2098.3
4.059,2098.8
4.159,2099.6
4.259,2100.2
4.359,2100.8
4.460,2101.3
4.560,2102.0
4.660,2102.5
4.760,2102.9
4.860,2103.3
4.961,2103.6
5.061,2103.9
5.161,2104.4
5.261,2105.2
5.361,2105.6
5.462,2105.9
5.562,2106.7
5.662,2106.9
5.763,2107.3
5.863,2107.6
5.963,2108.1
6.063,2108.5
6.164,2108.8
6.264,2109.5
6.364,2110.0
6.464,2110.6
6.565,2112.0
6.665,2112.8
6.765,2113.3
6.866,2113.7
6.966,2114.5
7.066,2114.9
7.166,2116.8
7.266,2117.2
7.367,2117.5
7.467,2118.4
7.567,2119.1
7.667,2120.2
7.768,2120.6
7.868,2121.2
7.968,2121.5
8.068,2122.3
8.169,2123.1
8.269,2123.5
8.369,2123.9
8.469,2124.5
8.569,2125.4
8.670,2125.8
8.770,2126.4
8.870,2126.7
8.970,2126.9
9.071,2127.3
9.181,2127.8
9.281,2128.2
9.382,2128.4
9.482,2128.8
9.582,2129.2
9.682,2129.6
9.783,2130.0
9.883,2130.5
9.983,2130.9
10.083,2131.2
10.184,2131.6
10.284,2132.1
10.384,2132.5
10.484,2132.9
10.584,2133.1
10.685,2133.5
10.785,2133.9
10.885,2134.1
10.985,2134.8
11.086,2135.2
11.186,2135.5
11.286,2135.8
11.386,2136.8
11.486,2159.7
11.587,2160.6
11.687,2161.7
11.787,2163.1
11.887,2183.1
11.988,2187.4
12.088,2207.2
12.198,2212.7
12.298,2213.6
12.399,2215.7
12.499,2217.1
12.599,2218.2
12.700,2219.1
12.800,2220.1
12.900,2220.8
13.000,2245.3
13.100,2245.8
13.201,2246.4
13.301,2247.0
13.401,2248.8
13.501,2251.9
13.601,2275.8
13.702,2277.3
13.802,2285.9
13.902,2302.6
14.002,2305.5
14.103,2329.9
14.203,2331.1
14.303,2333.2
14.403,2357.2
14.503,2359.4
14.604,2360.9
14.704,2362.9
14.804,2364.6
14.904,2366.6
15.005,2368.1
15.105,2370.1
15.215,2372.0
15.316,2373.5
15.416,2375.5
15.516,2377.7
15.616,2379.4
15.717,2382.1
15.817,2383.7
15.917,2385.4
16.017,2387.0
16.118,2388.5
16.218,2390.1
16.318,2392.2
16.418,2393.9
16.518,2395.6
16.619,2397.2
16.719,2399.6
16.819,2400.8
16.919,2402.4
17.019,2404.6
17.120,2406.5
17.220,2408.0
17.320,2409.9
17.420,2411.6
17.521,2413.6
17.621,2415.0
17.721,2416.4
17.821,2418.1
17.922,2419.6
18.022,2421.2
18.122,2422.7
18.233,2424.3
18.333,2426.3
18.433,2427.9
18.534,2429.7
18.634,2431.4
18.734,2433.2
18.834,2434.8
18.935,2436.4
19.035,2438.3
19.135,2440.1
19.235,2441.7
19.335,2443.6
19.436,2445.4
19.536,2447.0
19.636,2448.6
19.737,2450.5
19.837,2452.2
19.937,2454.1
20.037,2455.7
20.137,2457.3
20.238,2459.2
20.338,2460.8
20.438,2462.4
20.538,2464.0
20.638,2465.9
20.739,2467.4
20.839,2469.0
20.939,2470.7
21.039,2472.5
21.139,2474.1
21.250,2476.1
21.350,2477.8
21.451,2479.5
21.551,2481.1
21.651,2483.0
21.751,2484.7
21.851,2486.5
21.952,2488.0
22.052,2489.5
22.152,2492.0
22.253,2494.0
22.353,2495.8
22.453,2497.5
22.553,2499.2
22.653,2500.9
22.754,2502.5
22.854,2504.1
22.954,2506.2
23.054,2509.7
23.155,2527.2
23.255,2547.9
23.355,2549.3
23.455,2550.7
23.555,2552.4
23.656,2553.9
23.756,2555.6
23.856,2557.3
23.956,2588.1
24.056,2594.5
24.157,2618.6
24.267,2631.5
24.367,2635.4
24.468,2637.3
24.568,2638.8
24.668,2640.4
24.768,2643.0
24.868,2644.7
24.968,2656.5
25.069,2681.7
25.169,2683.3
25.269,2684.8
25.369,2686.3
25.469,2687.8
25.570,2689.6
25.670,2691.0
25.770,2696.4
25.870,2727.6
25.971,2731.1
26.071,2733.5
26.171,2735.0
26.271,2736.7
26.371,2740.1
26.472,2742.0
26.572,2743.3
26.672,2744.4
26.772,2765.0
26.872,2807.9
26.973,2816.3
27.073,2817.9
27.173,2838.3
27.284,2853.9
