elapsed_sec,rss_mb
0.000,2110.8
0.000,2110.9
0.170,2008.5
0.270,2019.0
0.491,2055.7
0.591,2079.8
0.691,2080.9
0.792,2081.3
0.892,2081.6
0.992,2081.7
1.092,2082.1
1.192,2082.2
1.293,2082.6
1.393,2082.9
1.493,2083.5
1.593,2083.7
1.693,2084.0
1.794,2084.4
1.894,2085.0
1.994,2085.6
2.094,2086.1
2.195,2086.4
2.295,2086.4
2.395,2086.9
2.495,2087.4
2.595,2087.6
2.696,2088.2
2.796,2089.1
2.896,2089.9
2.996,2090.7
3.096,2091.4
3.197,2091.9
3.297,2092.2
3.397,2092.4
3.497,2092.9
3.598,2093.2
3.698,2093.4
3.798,2093.7
3.898,2094.2
3.999,2094.4
4.099,2094.6
4.199,2094.8
4.299,2094.9
4.400,2095.1
4.500,2096.0
4.600,2096.8
4.700,2098.0
4.800,2099.0
4.901,2099.4
5.001,2100.1
5.101,2100.2
5.201,2100.7
5.302,2101.5
5.402,2102.2
5.502,2102.6
5.602,2103.0
5.702,2103.3
5.803,2103.6
5.903,2104.0
6.003,2104.3
6.104,2104.5
6.204,2104.8
6.304,2105.1
6.404,2105.4
6.504,2105.7
6.605,2106.0
6.705,2106.2
6.805,2106.6
6.905,2106.8
7.005,2107.2
7.106,2107.3
7.206,2107.7
7.306,2107.9
7.406,2108.1
7.507,2108.5
7.607,2108.7
7.707,2109.0
7.807,2109.3
7.908,2109.6
8.008,2110.3
8.108,2112.1
8.208,2113.3
8.309,2114.1
8.409,2114.3
8.509,2115.3
8.609,2116.1
8.709,2117.6
8.810,2118.0
8.910,2118.2
9.010,2118.5
9.110,2118.7
9.210,2119.0
9.311,2119.4
9.411,2119.7
9.511,2120.0
9.612,2120.2
9.712,2120.6
9.812,2121.6
9.912,2122.9
10.013,2124.4
10.113,2124.7
10.213,2125.0
10.313,2125.3
10.413,2125.4
10.514,2125.5
10.614,2125.7
10.714,2125.9
10.814,2126.1
10.915,2126.2
11.015,2126.3
11.115,2126.6
11.215,2126.7
11.315,2126.9
11.416,2127.0
11.516,2127.2
11.616,2127.5
11.716,2127.8
11.817,2127.9
11.917,2128.1
12.017,2128.2
12.117,2128.4
12.218,2128.6
12.318,2128.8
12.418,2128.9
12.518,2129.1
12.618,2129.3
12.719,2129.4
12.819,2129.7
12.919,2130.1
13.019,2130.4
13.120,2130.8
13.220,2131.0
13.320,2131.4
13.421,2131.7
13.521,2132.0
13.621,2132.3
13.721,2132.6
13.821,2133.0
13.922,2133.3
14.022,2133.6
14.122,2133.8
14.222,2134.0
14.323,2134.2
14.423,2134.3
14.523,2134.5
14.623,2134.6
14.724,2134.8
14.824,2134.9
14.924,2135.1
15.024,2135.2
15.125,2135.3
15.225,2135.5
15.325,2135.6
15.425,2135.8
15.525,2136.0
15.626,2136.1
15.726,2136.2
15.826,2136.4
15.926,2136.5
16.026,2136.7
16.127,2136.8
16.228,2137.0
16.328,2137.2
16.428,2137.3
16.529,2137.5
16.629,2137.6
16.729,2137.7
16.829,2137.9
16.929,2138.0
17.030,2138.2
17.130,2138.3
17.230,2138.4
17.330,2138.6
17.431,2138.7
17.531,2138.9
17.631,2139.0
17.731,2139.2
17.831,2139.3
17.932,2139.5
18.032,2139.6
18.132,2139.8
18.232,2140.0
18.333,2140.1
