elapsed_sec,rss_mb
0.000,2112.1
0.001,2112.4
0.131,2018.0
0.240,2057.0
0.359,2057.0
0.460,2080.0
0.560,2082.0
0.660,2082.5
0.760,2082.8
0.861,2083.2
0.961,2083.6
1.061,2084.2
1.161,2084.5
1.261,2084.9
1.362,2085.2
1.462,2085.5
1.562,2086.2
1.662,2086.7
1.763,2087.1
1.863,2087.3
1.963,2087.8
2.063,2088.0
2.163,2088.4
2.264,2088.8
2.364,2089.4
2.464,2090.0
2.564,2090.8
2.665,2091.1
2.765,2091.6
2.870,2091.8
2.970,2092.1
3.071,2092.3
3.171,2092.7
3.271,2093.1
3.371,2093.6
3.471,2093.9
3.572,2094.3
3.672,2094.6
3.772,2095.1
3.872,2095.5
3.972,2096.1
4.073,2096.4
4.173,2097.1
4.273,2097.8
4.373,2098.9
4.474,2099.8
4.574,2100.4
4.674,2101.0
4.774,2101.3
4.874,2101.6
4.975,2101.9
5.075,2102.2
5.175,2102.5
5.275,2102.9
5.375,2103.2
5.476,2103.6
5.576,2103.8
5.676,2104.3
5.776,2104.5
5.876,2104.8
5.977,2105.0
6.077,2105.4
6.177,2105.7
6.277,2105.9
6.377,2106.4
6.478,2106.7
6.578,2106.9
6.678,2107.2
6.778,2107.7
6.879,2107.9
6.979,2108.2
7.079,2108.6
7.179,2108.9
7.280,2109.2
7.380,2109.4
7.480,2109.7
7.580,2110.1
7.680,2110.4
7.781,2110.7
7.881,2111.0
7.981,2111.3
8.081,2112.0
8.181,2112.4
8.282,2113.1
8.382,2114.1
8.482,2115.4
8.582,2115.9
8.683,2116.7
8.783,2117.3
8.883,2117.5
8.983,2117.7
9.084,2118.0
9.184,2118.3
9.284,2118.6
9.384,2118.9
9.485,2119.2
9.585,2119.6
9.685,2119.9
9.785,2120.3
9.885,2141.5
9.986,2144.0
10.086,2158.2
10.186,2190.9
10.286,2233.2
10.386,2277.3
10.487,2308.0
10.587,2310.7
10.687,2312.9
10.787,2315.0
10.887,2317.2
10.988,2319.2
11.088,2321.2
11.188,2323.6
11.289,2325.7
11.389,2327.9
11.489,2329.9
11.589,2331.9
11.689,2333.7
11.790,2335.7
11.890,2337.8
11.990,2339.3
12.090,2341.2
12.190,2343.5
12.291,2345.5
12.391,2347.5
12.491,2349.5
12.591,2351.7
12.691,2353.7
12.792,2355.7
12.892,2357.6
12.992,2359.5
13.092,2361.6
13.193,2363.4
13.293,2365.3
13.393,2367.0
13.493,2368.8
13.593,2370.9
13.694,2372.8
13.794,2375.3
13.894,2377.1
13.994,2379.3
14.095,2381.6
14.195,2383.6
14.295,2385.7
14.395,2387.5
14.496,2389.7
14.596,2391.7
14.696,2393.8
14.796,2395.8
14.896,2397.7
14.997,2399.2
15.097,2401.2
15.197,2403.3
15.315,2408.6
15.423,2419.4
15.560,2405.1
15.754,2411.2
15.854,2411.3
15.955,2411.5
16.055,2411.6
16.155,2411.6
16.255,2411.8
16.355,2411.8
16.456,2411.8
16.556,2411.8
16.656,2411.8
16.756,2411.8
16.856,2411.8
16.957,2411.8
17.057,2411.8
17.157,2411.8
17.257,2411.8
17.357,2411.8
17.458,2411.8
17.558,2411.8
17.658,2411.8
17.758,2411.8
17.858,2411.8
17.964,2411.8
18.064,2411.8
18.164,2411.8
18.265,2411.8
18.365,2411.8
18.465,2411.8
18.565,2411.8
18.665,2411.8
18.766,2411.8
18.866,2411.8
18.966,2411.8
19.066,2411.8
19.166,2411.8
19.267,2411.8
19.367,2411.8
19.467,2411.8
19.567,2411.8
19.668,2411.8
19.768,2411.8
19.868,2411.8
19.968,2411.8
20.068,2411.8
20.169,2411.8
20.269,2411.8
20.369,2411.8
20.469,2411.8
20.569,2411.8
20.670,2411.8
20.770,2411.8
20.870,2411.8
20.970,2411.8
21.070,2411.8
21.171,2411.8
21.271,2411.8
21.371,2411.8
21.471,2411.8
21.571,2411.8
21.672,2411.8
21.772,2411.8
21.872,2411.8
21.972,2411.8
22.073,2411.8
22.173,2411.8
22.273,2411.8
22.373,2411.8
22.479,2411.8
22.584,2411.8
22.689,2411.8
22.794,2411.8
22.900,2411.8
23.005,2411.8
23.110,2411.8
23.215,2411.8
23.321,2411.8
23.426,2411.8
23.531,2411.8
23.636,2411.8
23.742,2411.8
23.842,2410.8
24.836,2410.8
25.676,2082.7
26.062,2082.7
26.163,2082.7
26.263,2082.7
26.368,2082.7
26.476,2082.7
26.581,2082.7
26.687,2082.7
26.792,2082.7
26.892,2082.8
26.992,2082.8
27.092,2082.8
27.193,2082.8
27.301,2082.8
27.401,2082.8
27.502,2082.8
27.602,2082.8
27.704,2082.8
27.804,2082.8
27.904,2082.8
28.008,2082.8
28.108,2082.8
28.208,2082.8
28.309,2082.8
28.409,2082.8
28.511,2082.9
28.611,2082.9
28.711,2082.9
28.811,2082.9
28.912,2082.9
29.012,2082.9
29.112,2082.9
29.212,2082.9
29.313,2082.9
29.413,2082.9
29.513,2082.9
29.614,2082.9
29.714,2082.9
29.814,2082.9
29.916,2082.9
30.018,2082.9
30.118,2082.9
30.218,2082.9
30.319,2082.9
30.419,2082.9
30.525,2082.9
30.640,2082.9
30.756,2082.9
30.857,2082.9
30.969,2082.9
31.069,2082.9
31.181,2082.9
31.281,2082.9
31.393,2082.9
31.502,2082.9
31.615,2082.9
31.726,2082.9
31.836,2082.9
31.946,2082.9
32.046,2082.9
32.152,2082.9
32.252,2082.9
32.367,2082.9
32.467,2082.9
32.575,2082.9
32.675,2082.9
32.775,2082.9
32.881,2082.9
32.981,2082.9
33.082,2082.9
33.182,2082.9
33.284,2082.9
33.390,2082.9
33.498,2082.9
33.598,2082.9
33.698,2082.9
33.799,2097.0
33.899,2099.6
33.999,2100.1
34.099,2100.3
34.199,2100.6
34.300,2100.7
34.400,2100.9
34.500,2100.9
34.600,2100.9
34.701,2101.0
34.801,2101.0
34.901,2101.0
35.001,2101.0
35.101,2101.0
35.202,2101.0
35.302,2101.0
35.402,2101.0
35.502,2101.0
35.602,2101.0
35.703,2101.0
35.803,2101.0
35.903,2101.0
36.003,2101.0
36.104,2101.0
36.204,2101.0
36.304,2101.0
36.404,2101.0
36.540,2101.0
37.417,2101.0
37.427,2101.0
