elapsed_sec,rss_mb
0.000,3088.1
0.000,3088.1
0.124,3088.1
0.229,3088.1
0.331,3088.1
0.436,3088.1
0.541,3088.1
0.646,3088.1
0.751,3088.1
0.856,3088.1
0.962,3088.1
1.064,3088.1
1.164,3088.1
1.270,3088.1
1.375,3088.1
1.480,3088.1
1.581,3088.1
1.686,3088.1
1.791,3088.1
1.896,3088.1
2.001,3088.1
2.106,3088.1
2.211,3088.1
2.314,3088.1
2.420,3088.1
2.522,3088.1
2.627,3088.1
2.732,3088.1
2.837,3088.1
2.942,3088.1
3.047,3088.1
3.152,3088.1
3.257,3088.1
3.362,3088.1
3.464,3088.1
3.570,3088.1
3.673,3088.1
3.778,3088.1
3.881,3088.1
3.986,3088.1
4.091,3088.1
4.196,3088.1
4.301,3088.1
4.406,3088.1
4.511,3088.1
4.616,3088.1
4.721,3088.1
4.826,3088.1
4.931,3088.1
5.036,3088.1
5.139,3088.1
5.243,3088.1
5.348,3088.1
5.453,3088.1
5.558,3088.1
5.663,3092.8
5.766,3237.7
5.871,3245.7
5.976,3253.8
6.081,3261.8
6.186,3269.7
6.291,3277.9
6.396,3286.2
6.501,3294.2
6.605,3302.0
6.706,3309.6
6.811,3317.7
6.916,3325.6
7.017,3333.3
7.122,3341.8
7.227,3349.8
7.331,3357.7
7.436,3365.8
7.541,3374.1
7.646,3382.2
7.748,3389.7
7.853,3397.6
7.956,3405.4
8.061,3413.9
8.166,3421.8
8.271,3429.7
8.376,3437.8
8.481,3445.8
8.586,3453.9
8.689,3461.5
8.798,3469.6
8.907,3516.5
9.012,3563.6
9.117,3607.1
9.222,3617.9
9.327,3621.8
9.432,3662.3
9.537,3670.0
9.639,3683.4
9.744,3704.9
9.848,3704.9
9.953,3705.0
10.056,3708.8
10.161,3708.9
10.263,3708.9
10.364,3741.7
10.468,3741.7
10.573,3741.7
10.678,3741.9
10.783,3741.9
10.885,3741.9
10.989,3749.7
11.093,3749.7
11.198,3749.7
11.303,3749.7
11.411,3749.7
11.527,3749.7
11.644,3749.7
11.762,3749.7
11.879,3749.8
11.997,3749.8
12.113,3749.8
12.231,3749.8
12.348,3749.8
12.643,3909.9
13.344,3909.9
13.557,3909.9
13.662,3909.9
13.773,3909.9
13.891,3909.9
14.003,3909.9
14.114,3909.9
14.219,3909.9
14.319,3909.9
14.425,3909.9
14.530,3909.9
14.635,3909.9
14.739,3909.9
14.845,3909.9
14.946,3909.9
15.048,3909.9
15.149,3909.9
15.249,3909.9
15.351,3909.9
15.455,3909.9
15.560,3909.9
15.665,3909.9
15.770,3909.9
15.873,3909.9
15.978,3909.9
16.083,3909.9
16.188,3909.9
16.289,3909.9
16.394,3909.9
16.500,3909.9
16.601,3909.9
16.707,3909.9
16.812,3909.9
16.915,3909.9
17.020,3909.9
17.123,3909.9
17.228,3909.9
17.333,3909.9
17.438,3909.9
17.539,3909.9
17.644,3909.9
17.750,3909.9
18.466,3909.9
18.473,3909.9
