elapsed_sec,rss_mb
0.000,3961.7
0.000,3961.7
2.428,3961.7
2.540,3961.7
2.650,3961.7
2.760,3961.7
2.861,3961.7
2.971,3961.7
3.074,3961.7
3.184,3961.7
3.294,3961.7
3.405,3961.7
3.508,3961.7
3.617,3961.7
3.720,3961.7
3.830,3961.7
3.946,3961.7
4.058,3961.7
4.174,3961.7
4.292,3961.7
4.409,3961.7
4.529,3961.7
4.641,3961.7
4.766,3961.7
4.891,3961.7
5.011,3961.7
5.128,3961.7
5.246,3961.7
5.356,3961.7
5.611,3961.7
5.999,3961.7
6.116,3961.7
6.234,3961.7
6.344,3961.7
6.454,3961.7
6.558,3961.7
6.668,3961.7
6.775,3961.7
6.891,3961.7
7.000,3961.7
7.108,3961.7
7.214,3961.7
7.317,3961.7
7.427,3961.7
7.536,3961.7
7.642,3961.7
7.747,3961.7
7.850,3961.7
7.960,3961.7
8.070,3961.7
8.175,3961.7
8.285,3961.7
8.395,3961.7
8.505,3961.7
8.608,3961.7
8.718,3961.7
8.827,3961.7
8.937,3961.7
9.047,3961.7
9.430,3961.7
9.434,3961.7
