elapsed_sec,rss_mb
0.000,3062.7
0.000,3062.7
0.114,3062.7
0.219,3062.7
0.325,3062.7
0.430,3062.7
0.535,3062.7
0.640,3062.7
0.740,3062.7
0.845,3062.7
0.948,3062.7
1.053,3062.7
1.158,3062.7
1.263,3062.7
1.368,3062.7
1.473,3062.7
1.578,3062.7
1.684,3062.7
1.789,3062.7
1.894,3062.7
1.999,3062.7
2.104,3062.7
2.209,3062.7
2.314,3062.7
2.419,3062.7
2.524,3062.7
2.629,3062.7
2.734,3062.7
2.839,3062.7
2.944,3062.7
3.049,3062.7
3.154,3062.7
3.259,3062.7
3.364,3062.7
3.469,3062.7
3.574,3062.7
3.679,3062.7
3.784,3062.7
3.889,3062.7
3.994,3062.7
4.100,3062.7
4.205,3062.7
4.310,3062.7
4.412,3062.7
4.517,3062.7
4.622,3062.7
4.727,3062.7
4.832,3062.7
4.933,3062.7
5.038,3062.7
5.143,3062.7
5.248,3062.7
5.353,3062.7
5.458,3062.7
5.563,3062.7
5.668,3062.7
5.773,3062.7
5.878,3062.7
5.983,3062.7
6.084,3062.7
6.189,3062.7
6.294,3062.7
6.399,3062.7
6.504,3062.7
6.609,3062.7
6.714,3062.7
6.820,3062.7
6.925,3062.7
7.029,3062.7
7.134,3062.7
7.237,3062.7
7.342,3062.7
7.447,3062.7
7.552,3062.7
7.657,3062.7
7.762,3062.7
7.867,3062.7
7.972,3062.7
8.077,3062.7
8.182,3062.7
8.288,3062.7
8.393,3062.7
8.498,3062.7
8.603,3062.7
8.708,3062.7
8.813,3062.7
8.918,3062.7
9.023,3062.7
9.128,3062.7
9.233,3062.7
9.338,3062.7
9.443,3062.7
9.548,3062.7
9.653,3062.7
9.758,3062.7
9.863,3062.7
9.968,3062.7
10.073,3062.7
10.178,3062.7
10.283,3062.7
10.388,3062.7
10.493,3062.7
10.598,3062.7
10.704,3062.7
10.809,3062.7
10.914,3062.7
11.019,3062.7
11.124,3062.7
11.229,3062.7
11.334,3062.7
11.439,3062.7
11.544,3062.7
11.649,3062.7
11.754,3062.7
11.859,3062.7
11.964,3062.7
12.069,3062.7
12.174,3062.7
12.279,3062.7
12.384,3062.7
12.489,3265.5
12.594,3270.5
12.699,3277.1
12.805,3285.8
12.910,3292.6
13.015,3300.7
13.120,3309.1
13.225,3314.1
13.330,3323.1
13.433,3328.0
13.538,3331.9
13.643,3336.0
13.748,3339.7
13.853,3344.6
13.958,3350.0
14.063,3354.7
14.168,3361.5
14.273,3365.7
14.378,3371.0
14.483,3374.8
14.588,3379.6
14.693,3382.0
14.798,3390.2
