elapsed_sec,rss_mb
0.000,2166.1
0.001,2166.1
0.186,2166.5
0.236,2166.5
0.286,2166.5
0.337,2009.7
0.387,2015.3
0.437,2015.3
0.487,2023.8
0.537,2023.8
0.593,2057.0
0.743,2079.6
0.867,2081.4
0.917,2081.9
0.967,2081.9
1.017,2081.9
1.067,2081.9
1.118,2082.3
1.168,2082.7
1.218,2082.7
1.268,2084.3
1.319,2084.7
1.369,2085.0
1.419,2085.3
1.469,2086.5
1.520,2086.8
1.570,2087.3
1.620,2088.0
1.670,2088.2
1.721,2088.8
1.771,2089.1
1.821,2089.5
1.871,2091.1
1.922,2091.7
1.972,2091.9
2.022,2092.2
2.072,2092.5
2.122,2092.8
2.173,2093.2
2.223,2093.3
2.273,2093.6
2.323,2093.9
2.374,2094.3
2.424,2094.6
2.474,2095.6
2.524,2096.3
2.575,2096.6
2.625,2096.7
2.675,2097.1
2.725,2098.2
2.775,2100.2
2.826,2100.8
2.876,2101.2
2.926,2101.5
2.976,2102.1
3.027,2102.5
3.077,2102.9
3.127,2103.2
3.177,2103.3
3.228,2103.7
3.278,2104.1
3.328,2104.7
3.378,2105.1
3.428,2105.4
3.479,2105.5
3.529,2105.9
3.579,2106.2
3.629,2106.6
3.680,2107.0
3.730,2107.3
3.780,2107.7
3.830,2108.3
3.880,2110.1
3.931,2110.5
3.981,2110.8
4.031,2111.2
4.081,2111.5
4.132,2111.9
4.182,2112.2
4.232,2113.1
4.282,2116.2
4.333,2118.9
4.383,2119.7
4.433,2120.0
4.483,2120.5
4.533,2120.6
4.584,2120.9
4.634,2121.4
4.684,2122.0
4.734,2122.5
4.785,2122.8
4.835,2123.2
4.885,2123.6
4.935,2124.0
4.986,2124.1
5.036,2124.5
5.086,2124.8
5.136,2125.2
5.186,2125.6
5.237,2126.1
5.287,2126.5
5.337,2126.9
5.387,2127.3
5.438,2127.7
5.488,2128.3
5.538,2128.9
5.589,2129.2
5.639,2129.7
5.689,2130.1
5.739,2130.5
5.790,2130.9
5.840,2131.2
5.890,2131.5
5.940,2131.8
5.990,2132.1
6.041,2132.4
6.091,2132.7
6.141,2133.1
6.191,2133.4
6.242,2133.7
6.292,2134.1
6.342,2134.5
6.393,2134.8
6.443,2135.1
6.493,2135.5
6.543,2137.6
6.594,2138.9
6.644,2139.7
6.694,2139.9
6.744,2140.2
6.795,2140.4
6.845,2140.6
6.895,2141.0
6.945,2141.2
6.995,2141.4
7.046,2164.7
7.096,2205.4
7.146,2272.7
7.196,2324.4
7.247,2327.9
7.297,2329.2
7.348,2330.3
7.398,2331.8
7.448,2332.9
7.498,2334.5
7.548,2336.1
7.599,2337.3
7.649,2339.6
7.699,2342.6
7.749,2348.4
7.800,2350.9
7.850,2354.5
7.900,2357.3
7.950,2358.5
8.001,2359.7
8.051,2361.1
8.101,2362.3
8.151,2364.2
8.201,2365.8
8.252,2367.4
8.302,2369.6
8.352,2371.8
8.402,2373.8
8.453,2375.4
8.503,2377.4
8.553,2379.3
8.604,2380.9
8.654,2382.9
8.704,2384.5
8.754,2386.0
8.805,2387.9
8.855,2389.4
8.905,2391.1
8.955,2393.0
9.006,2394.7
9.056,2396.3
9.106,2398.3
9.156,2399.8
9.206,2401.5
9.257,2403.3
9.307,2405.0
9.357,2406.8
9.407,2408.5
9.458,2410.4
9.508,2412.4
9.558,2414.6
9.608,2415.8
9.659,2417.0
9.709,2418.3
9.759,2419.6
9.809,2420.7
9.860,2421.8
9.910,2423.1
9.960,2424.2
10.011,2425.1
10.061,2426.4
10.111,2427.2
10.161,2428.4
10.212,2429.1
10.262,2430.2
10.312,2431.2
10.362,2432.0
10.412,2432.9
10.463,2434.0
10.513,2435.0
10.563,2435.5
10.613,2436.7
10.664,2438.0
10.714,2438.6
10.764,2439.6
10.814,2440.8
10.865,2441.1
10.915,2442.4
10.965,2443.2
11.015,2444.2
11.066,2445.0
11.116,2446.1
11.166,2446.8
11.216,2447.7
11.266,2448.9
11.317,2449.7
11.367,2451.1
11.417,2452.5
11.467,2453.8
11.518,2455.2
11.568,2456.6
11.618,2458.0
11.668,2458.9
11.719,2460.2
11.769,2461.9
11.819,2463.2
11.869,2464.5
11.920,2465.5
11.970,2467.0
12.020,2467.9
12.070,2469.6
12.120,2470.8
12.171,2472.1
12.221,2473.5
12.271,2474.8
12.321,2476.0
12.372,2477.3
12.422,2478.4
12.472,2479.6
12.522,2480.9
12.573,2482.4
12.623,2483.4
12.673,2484.6
12.723,2485.7
12.774,2487.1
12.824,2488.2
12.874,2489.7
12.924,2490.8
12.975,2492.0
13.025,2493.5
13.075,2495.0
13.126,2496.6
13.176,2498.3
13.226,2500.1
13.276,2501.8
13.326,2503.5
13.377,2506.5
13.427,2508.6
13.477,2511.2
13.527,2517.0
13.578,2518.7
13.628,2520.3
13.678,2522.1
13.728,2523.7
13.778,2525.9
13.829,2527.5
13.879,2529.0
13.929,2530.4
13.979,2531.2
14.030,2532.3
14.080,2533.3
14.130,2534.4
14.180,2535.4
14.231,2536.4
14.281,2537.4
14.331,2538.6
14.382,2545.0
14.432,2575.5
14.482,2613.5
14.532,2686.3
14.583,2760.7
14.633,2804.8
14.683,2820.4
14.733,2821.1
14.784,2822.1
14.834,2823.0
14.884,2823.8
14.934,2824.7
14.985,2825.5
15.035,2826.4
15.085,2827.3
15.135,2828.1
15.185,2828.8
15.236,2829.7
15.286,2830.3
15.336,2831.2
15.386,2831.9
15.437,2833.0
15.487,2833.6
15.537,2834.5
15.587,2835.5
15.638,2836.3
15.688,2837.1
15.738,2837.8
15.788,2839.1
15.839,2840.1
15.889,2841.2
15.939,2842.2
15.990,2843.0
16.040,2844.3
16.090,2845.1
16.140,2846.5
16.191,2847.4
16.241,2848.2
16.291,2849.0
16.341,2849.9
16.392,2850.7
16.442,2851.6
16.492,2852.6
16.542,2853.6
16.592,2854.0
16.643,2854.7
16.693,2855.7
16.743,2856.4
16.793,2857.1
16.844,2857.9
16.894,2858.5
16.944,2859.4
16.994,2860.2
17.045,2861.0
17.095,2861.8
17.145,2863.1
17.195,2864.1
17.245,2865.0
17.296,2866.1
17.346,2867.3
17.397,2868.4
17.447,2869.4
17.497,2870.7
17.547,2871.6
17.597,2872.9
17.648,2873.8
17.709,2874.9
17.760,2876.1
17.810,2876.9
17.860,2877.8
17.910,2878.7
17.960,2879.6
18.011,2880.6
18.061,2881.5
18.111,2882.6
18.161,2884.0
18.212,2884.8
18.262,2885.9
18.312,2886.8
18.362,2887.7
18.413,2888.5
18.463,2889.6
18.513,2890.5
18.563,2891.5
18.613,2892.3
18.664,2893.0
18.714,2893.7
18.764,2894.5
18.814,2895.2
18.865,2896.1
18.915,2896.8
18.965,2897.6
19.015,2898.6
19.066,2899.3
19.116,2900.1
19.166,2900.8
19.216,2901.7
19.267,2902.7
19.317,2903.5
19.367,2904.4
19.418,2905.0
19.468,2906.2
19.518,2906.8
19.568,2907.4
19.619,2908.2
19.669,2909.0
19.719,2910.0
19.769,2910.8
19.819,2911.6
19.870,2912.6
19.920,2913.2
19.970,2913.9
20.020,2914.6
20.071,2915.3
20.121,2916.3
20.171,2917.8
20.221,2919.3
20.272,2920.7
20.322,2922.0
20.372,2923.4
20.422,2924.6
20.472,2926.0
20.523,2927.2
20.573,2928.5
20.623,2929.8
20.673,2931.1
20.724,2932.3
20.774,2933.7
20.824,2934.9
20.874,2936.1
20.924,2937.5
20.975,2938.7
21.025,2940.0
21.075,2941.4
21.125,2942.6
21.176,2943.9
21.226,2945.2
21.276,2946.6
21.326,2948.2
21.377,2949.4
21.427,2950.7
21.477,2952.0
21.528,2953.2
21.578,2954.3
21.628,2955.7
21.678,2956.9
21.728,2958.2
21.779,2959.4
21.829,2960.7
21.879,2962.0
21.929,2963.5
21.980,2964.8
22.030,2966.3
22.080,2967.4
22.130,2968.6
22.181,2970.1
22.231,2971.1
22.281,2972.4
22.331,2973.9
22.381,2975.4
22.432,2976.5
22.482,2977.7
22.532,2979.0
22.582,2980.4
22.633,2981.6
22.683,2983.0
22.733,2984.2
22.783,2985.5
22.834,2986.8
22.884,2988.4
22.934,2989.4
22.984,2990.7
23.035,2991.8
23.085,2993.5
23.135,2994.8
23.185,2995.9
23.235,2997.2
23.286,2998.3
23.336,2999.6
23.386,3000.8
23.436,3002.2
23.487,3003.7
23.537,3005.1
23.587,3006.6
23.637,3007.6
23.687,3008.7
23.738,3010.3
23.788,3011.4
23.838,3012.8
23.888,3014.1
23.939,3015.2
23.989,3016.7
24.039,3018.0
24.090,3019.2
24.140,3020.3
24.190,3022.1
