elapsed_sec,rss_mb
0.000,2111.6
0.001,2111.8
0.150,2013.9
0.256,2056.5
0.417,2058.3
0.518,2081.2
0.618,2082.1
0.718,2082.4
0.818,2082.7
0.918,2082.9
1.019,2083.2
1.119,2083.4
1.219,2083.5
1.319,2083.6
1.419,2084.0
1.520,2084.4
1.620,2084.5
1.720,2084.7
1.820,2085.0
1.920,2085.0
2.021,2085.2
2.121,2085.4
2.221,2085.5
2.321,2086.0
2.421,2086.3
2.522,2086.6
2.622,2086.7
2.722,2087.0
2.822,2087.1
2.922,2087.3
3.023,2087.6
3.123,2087.6
3.223,2087.9
3.323,2087.9
3.423,2088.2
3.524,2088.4
3.624,2088.5
3.724,2088.7
3.824,2088.7
3.925,2089.1
4.025,2089.6
4.125,2089.7
4.225,2090.3
4.325,2090.7
4.426,2090.8
4.526,2091.1
4.626,2091.1
4.726,2091.3
4.826,2091.6
4.927,2091.6
5.027,2091.9
5.127,2091.9
5.227,2092.2
5.327,2092.4
5.428,2092.6
5.528,2092.9
5.628,2092.9
5.728,2093.2
5.828,2093.5
5.929,2093.5
6.029,2093.8
6.129,2093.8
6.229,2094.1
6.329,2094.1
6.430,2094.4
6.530,2094.6
6.630,2094.6
6.730,2094.9
6.830,2094.9
6.931,2095.2
7.031,2095.5
7.131,2095.7
7.231,2096.0
7.331,2096.3
7.432,2096.9
7.532,2097.3
7.632,2097.7
7.732,2098.5
7.832,2099.0
7.933,2099.2
8.033,2099.3
8.133,2099.6
8.233,2099.8
8.333,2099.8
8.434,2100.1
8.534,2100.1
8.634,2100.4
8.734,2100.8
8.834,2100.9
8.935,2101.1
9.035,2101.1
9.135,2101.4
9.235,2101.7
9.335,2101.7
9.436,2102.0
9.536,2102.0
9.636,2102.3
9.736,2102.6
9.836,2102.6
9.937,2102.9
10.037,2102.9
10.137,2103.2
10.237,2103.4
10.337,2104.4
10.438,2104.5
10.538,2104.7
10.638,2104.7
10.738,2105.0
10.838,2105.0
10.939,2105.3
11.039,2105.6
11.139,2105.6
11.239,2105.8
11.339,2106.1
11.440,2106.1
11.540,2106.4
11.640,2106.4
11.740,2106.7
11.841,2106.8
11.941,2107.0
12.041,2107.3
12.141,2107.3
12.241,2107.6
12.342,2107.7
12.442,2107.9
12.542,2108.2
12.642,2108.2
12.742,2108.5
12.843,2108.5
12.943,2108.8
13.043,2109.0
13.143,2109.1
13.243,2109.3
13.344,2109.4
13.444,2109.8
13.544,2110.2
13.644,2110.5
13.745,2110.6
13.845,2110.9
13.945,2111.2
14.045,2111.2
14.145,2111.7
14.246,2111.9
14.346,2112.4
14.446,2113.2
14.546,2113.8
14.647,2114.7
14.747,2115.4
14.847,2115.8
14.947,2116.4
15.047,2116.7
15.148,2116.7
15.248,2117.0
15.348,2117.0
15.448,2117.3
15.548,2117.6
15.649,2117.6
15.749,2117.9
15.849,2118.0
15.949,2118.2
16.049,2118.3
16.150,2118.6
16.250,2118.9
16.350,2119.0
16.450,2119.3
16.550,2119.4
16.651,2119.7
16.751,2119.8
16.851,2120.0
16.951,2120.3
17.051,2120.3
17.152,2120.6
17.252,2120.8
17.352,2121.1
17.452,2148.4
17.552,2212.5
17.653,2242.8
17.753,2259.1
17.853,2281.1
17.953,2305.5
18.053,2307.8
18.154,2309.5
18.254,2310.1
18.354,2311.6
18.454,2312.2
18.554,2313.7
18.655,2314.6
18.755,2315.8
18.855,2317.0
18.955,2317.9
19.056,2319.6
19.156,2320.1
19.256,2321.5
19.356,2322.6
19.456,2323.6
19.557,2324.7
19.657,2326.1
19.757,2326.8
19.857,2328.1
19.957,2329.2
20.058,2330.2
20.158,2331.1
20.258,2332.5
20.358,2333.2
20.458,2334.8
20.559,2335.6
20.659,2336.7
20.759,2338.1
20.859,2338.6
20.959,2340.5
21.060,2340.9
21.160,2342.4
21.260,2343.8
21.360,2344.5
21.460,2345.7
21.561,2347.1
21.661,2348.0
21.761,2348.9
21.861,2350.2
21.961,2351.3
22.062,2352.7
22.162,2353.5
22.262,2354.9
22.362,2356.0
22.463,2357.0
22.563,2358.1
22.663,2359.3
22.763,2360.3
22.863,2361.4
22.964,2362.2
23.064,2363.8
23.164,2364.5
23.264,2365.9
23.364,2366.6
23.465,2368.1
23.565,2369.2
23.665,2370.2
23.765,2371.6
23.865,2372.5
23.966,2373.9
24.066,2374.6
24.166,2376.1
24.266,2377.0
24.366,2378.2
24.467,2379.6
24.567,2380.3
24.667,2381.7
24.767,2382.9
24.867,2383.8
24.968,2385.3
25.068,2385.9
25.168,2387.6
25.268,2388.0
25.368,2389.5
25.469,2390.4
25.569,2391.6
25.669,2392.8
25.769,2393.7
25.869,2394.9
25.970,2395.8
26.070,2397.0
26.170,2398.2
26.270,2399.4
26.370,2400.6
26.471,2401.3
26.571,2402.5
26.671,2403.9
26.793,2416.1
26.926,2401.9
27.119,2401.9
27.219,2402.0
27.319,2402.3
27.419,2402.4
27.519,2402.4
27.620,2402.5
27.720,2402.5
27.820,2402.5
27.920,2402.5
28.020,2402.5
28.121,2402.5
28.221,2402.5
28.321,2402.5
28.421,2402.5
28.521,2402.5
28.622,2402.5
28.722,2402.5
28.822,2402.5
28.922,2402.5
29.022,2402.5
29.123,2402.5
29.223,2402.5
29.323,2402.5
29.423,2402.5
29.523,2402.5
29.624,2402.5
29.724,2402.5
29.824,2402.5
29.924,2402.5
30.024,2402.6
30.125,2402.6
30.225,2402.6
30.325,2402.6
30.425,2402.6
30.525,2402.6
30.626,2402.6
30.726,2402.6
30.826,2402.6
30.926,2402.6
31.026,2402.6
31.127,2402.6
31.227,2402.6
31.327,2402.6
31.427,2402.6
31.527,2402.6
31.628,2402.6
31.728,2402.6
31.828,2402.6
31.928,2402.6
32.028,2402.6
32.129,2402.6
32.229,2402.6
32.329,2402.6
32.429,2402.6
32.529,2402.6
32.630,2402.6
32.730,2402.6
32.830,2402.6
32.930,2402.6
33.030,2402.6
33.131,2402.6
33.231,2402.6
33.331,2402.6
33.431,2402.6
33.531,2402.6
33.632,2402.6
33.732,2402.6
33.837,2402.6
33.942,2402.7
34.048,2402.7
34.153,2402.7
34.258,2402.7
34.364,2402.7
34.469,2402.7
34.574,2402.8
34.679,2402.8
34.785,2402.8
34.890,2402.8
34.995,2402.8
35.100,2402.8
35.206,2402.8
35.306,2402.8
36.145,2402.8
37.001,2080.6
37.312,2080.6
37.412,2080.6
37.512,2080.6
37.617,2080.6
37.723,2080.6
37.832,2080.6
37.937,2080.6
38.042,2080.6
38.143,2080.8
38.243,2080.8
38.343,2080.8
38.465,2080.8
38.566,2080.8
38.683,2080.8
38.804,2080.8
38.926,2080.8
39.040,2080.8
39.141,2080.8
39.252,2080.8
39.372,2080.8
39.487,2080.8
39.607,2080.8
39.725,2080.8
39.843,2080.8
39.961,2080.8
40.079,2080.8
40.196,2080.8
40.315,2080.8
40.433,2080.8
40.550,2080.8
40.665,2080.8
40.785,2080.8
40.903,2080.8
41.022,2080.8
41.141,2080.8
41.260,2080.8
41.379,2080.8
41.496,2080.8
41.615,2080.8
41.734,2080.8
41.850,2080.8
41.969,2080.8
42.087,2080.8
42.205,2080.8
42.322,2080.8
42.439,2080.8
42.555,2080.8
42.673,2080.8
42.791,2080.8
42.907,2080.8
43.023,2080.8
43.143,2080.8
43.258,2080.8
43.377,2080.8
43.492,2080.8
43.613,2080.8
43.731,2080.8
43.846,2080.8
43.967,2080.8
44.085,2080.8
44.201,2080.8
44.320,2080.8
44.438,2080.8
44.554,2080.8
44.671,2080.8
44.789,2080.8
44.906,2080.8
45.006,2086.9
45.106,2096.4
45.207,2098.2
45.307,2101.3
45.407,2101.8
45.507,2101.8
45.607,2102.1
45.708,2102.3
45.808,2102.3
45.908,2102.3
46.008,2102.3
46.108,2102.3
46.209,2102.3
46.309,2102.3
46.409,2102.3
46.509,2102.3
46.609,2102.3
46.710,2102.3
46.810,2102.3
46.910,2102.3
47.010,2102.3
47.110,2102.3
47.211,2102.3
47.311,2102.3
47.411,2102.3
47.511,2102.3
47.611,2102.3
47.712,2102.3
47.812,2102.3
47.912,2102.3
48.012,2102.3
48.112,2102.3
48.213,2102.3
48.313,2102.3
49.003,2103.5
49.010,2103.5
