elapsed_sec,rss_mb
0.000,2111.7
0.000,2111.8
0.170,2015.1
0.279,2056.7
0.409,2056.7
0.510,2080.4
0.610,2081.8
0.710,2082.1
0.810,2082.4
0.910,2082.7
1.011,2083.0
1.111,2083.1
1.211,2083.3
1.311,2083.7
1.412,2084.0
1.512,2084.3
1.612,2084.6
1.712,2084.8
1.812,2085.0
1.913,2085.0
2.013,2085.2
2.113,2085.5
2.213,2086.0
2.313,2086.2
2.414,2086.6
2.514,2087.0
2.614,2087.2
2.714,2087.3
2.814,2087.6
2.915,2087.6
3.015,2087.9
3.115,2088.0
3.215,2088.1
3.316,2088.3
3.416,2088.4
3.516,2088.6
3.616,2088.7
3.716,2089.3
3.817,2089.7
3.917,2090.0
4.017,2090.7
4.117,2091.1
4.217,2091.1
4.318,2091.4
4.418,2091.8
4.518,2092.7
4.618,2093.1
4.718,2093.3
4.819,2093.4
4.919,2093.6
5.019,2093.6
5.119,2093.9
5.220,2094.1
5.320,2094.3
5.420,2094.4
5.520,2094.5
5.620,2094.7
5.721,2094.9
5.821,2095.1
5.921,2095.1
6.021,2095.4
6.121,2095.4
6.222,2095.6
6.322,2095.7
6.422,2096.0
6.522,2096.2
6.622,2096.4
6.723,2096.8
6.823,2097.4
6.923,2098.1
7.023,2098.5
7.123,2098.9
7.224,2099.7
7.324,2100.2
7.424,2100.3
7.524,2100.6
7.624,2100.8
7.725,2100.9
7.825,2101.2
7.925,2101.2
8.025,2101.5
8.126,2101.8
8.226,2102.7
8.326,2102.9
8.426,2103.3
8.526,2103.4
8.627,2103.7
8.727,2103.8
8.827,2104.1
8.927,2104.2
9.027,2104.4
9.128,2104.5
9.228,2104.7
9.328,2104.8
9.428,2105.2
9.529,2105.3
9.629,2105.5
9.729,2105.6
9.829,2105.8
9.930,2105.9
10.030,2106.1
10.130,2106.3
10.230,2106.5
10.330,2106.6
10.431,2106.7
10.531,2106.9
10.631,2107.0
10.731,2107.2
10.831,2107.3
10.932,2107.5
11.032,2107.6
11.133,2107.8
11.233,2108.0
11.334,2108.1
11.434,2108.2
11.534,2108.4
11.634,2108.5
11.734,2108.7
11.835,2108.8
11.935,2109.0
12.035,2109.1
12.135,2109.3
12.236,2109.5
12.336,2109.6
12.436,2109.8
12.536,2110.0
12.636,2110.2
12.736,2110.7
12.837,2112.5
12.937,2114.8
13.037,2115.0
13.137,2115.4
13.238,2116.6
13.338,2118.6
13.438,2118.8
13.538,2119.0
13.638,2119.1
13.740,2119.4
13.840,2119.6
13.940,2120.0
14.040,2120.3
14.140,2120.6
14.241,2121.0
14.341,2121.3
14.441,2121.6
14.541,2124.1
14.641,2124.7
14.742,2125.0
14.842,2125.4
14.942,2125.7
15.042,2126.1
15.142,2126.3
15.243,2126.6
15.343,2127.2
15.443,2127.5
15.543,2127.8
15.643,2128.1
15.744,2128.7
15.844,2129.0
15.944,2129.4
16.044,2129.8
16.145,2130.1
16.245,2130.5
16.345,2130.8
16.445,2131.1
16.545,2131.4
16.646,2131.8
16.746,2132.1
16.846,2132.5
16.946,2132.8
17.046,2133.2
17.147,2133.5
17.247,2133.8
17.347,2134.1
17.447,2134.5
17.547,2134.8
17.648,2135.1
17.748,2135.4
17.848,2135.7
17.948,2136.0
18.048,2136.2
18.149,2136.6
18.249,2137.0
18.349,2137.3
18.449,2137.6
18.549,2137.9
18.650,2138.2
18.750,2138.5
18.850,2138.8
18.950,2139.2
19.050,2139.5
19.151,2139.8
19.251,2140.1
19.351,2140.3
19.452,2140.6
19.552,2142.3
19.653,2145.1
19.753,2147.8
19.853,2148.1
19.953,2148.4
20.053,2148.7
20.154,2171.6
20.254,2194.6
20.354,2230.6
20.454,2286.8
20.554,2333.2
20.655,2334.5
20.755,2337.7
20.855,2340.7
20.955,2342.4
21.055,2343.7
21.156,2344.6
21.256,2345.2
21.356,2345.9
21.456,2346.7
21.556,2347.4
21.657,2348.2
21.757,2348.9
21.857,2349.7
21.957,2350.5
22.057,2351.2
