condition	gdna_label	gdna_rate	nrna_label	strand_specificity	truth_mrna	truth_nrna	truth_gdna	truth_total_manifest	loci_mrna	loci_nrna	loci_gdna	quant_mrna_total	nrna_quant_total	gene_quant_total	strand_model_estimate	rna_fl_mean	gdna_fl_mean	gdna_fl_rel_error	rho_intergenic	rho_intron	rho_exon_intron	rho_intron_uncorrected	rho_exon_intron_uncorrected	rho_intron_estimated_fragments	rho_exon_intron_estimated_fragments	rho_intron_strand_active	rho_exon_intron_strand_active	rho_intron_over_intergenic	rho_exon_intron_over_intergenic	total_fragments	pred_mrna	mrna_same_gene_wrong_tx	mrna_exact_tx	pred_nrna	pred_gdna	mrna_wrong_gene	mrna_to_mrna	mrna_to_nrna	mrna_to_gdna	mrna_to_unresolved	nrna_to_mrna	nrna_to_nrna	nrna_to_gdna	nrna_to_unresolved	gdna_to_mrna	gdna_to_nrna	gdna_to_gdna	gdna_to_unresolved	mrna_to_mrna_rate	mrna_to_nrna_rate	mrna_to_gdna_rate	mrna_to_unresolved_rate	nrna_to_mrna_rate	nrna_to_nrna_rate	nrna_to_gdna_rate	nrna_to_unresolved_rate	gdna_to_mrna_rate	gdna_to_nrna_rate	gdna_to_gdna_rate	gdna_to_unresolved_rate	assigned_mrna_fraction	assigned_nrna_fraction	assigned_gdna_fraction	assigned_unresolved_fraction	truth_mrna_fraction	truth_nrna_fraction	truth_gdna_fraction	mrna_exact_tx_rate	mrna_gene_rate	mrna_wrong_gene_rate	nrna_rna_compatible_rate	gdna_to_rna_rate	rna_to_gdna_rate	overall_pool_accuracy	loci_mrna_recovery	loci_nrna_recovery	loci_gdna_recovery	winner_nrna_recall	winner_gdna_recall	winner_mrna_recall	pred_unresolved
gdna_zero_ss_0.50_nrna_zero	zero	0.0	zero	0.5	1000000	0	0	1000000	999998.0	0.0	2.0	999998.0	0.0	999998.0	0.5015	257.8643284451268	249.31152433217835	-0.287681359050919	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False	False			1000000	988867	290190	696181	11131	2.0	2496	988867	11131	2	0	0	0	0	0	0	0	0	0	0.988867	0.011131	2e-06	0.0									0.988867	0.011131	2e-06	0.0	1.0	0.0	0.0	0.696181	0.986371	0.002496			2e-06	0.988867	0.999998					0.988867	
gdna_zero_ss_0.99_nrna_zero	zero	0.0	zero	0.99	1000000	0	0	1000000	999999.0	1.0	0.0	999999.0	1.0	999999.0	0.990533	257.8643284451268	249.31152433217835	-0.287681359050919	0.0	0.0	0.0	0.0	0.0	0.0	0.0	True	True			1000000	988867	288740	699992	11133		135	988867	11133	0	0	0	0	0	0	0	0	0	0	0.988867	0.011133	0.0	0.0									0.988867	0.011133	0.0	0.0	1.0	0.0	0.0	0.699992	0.988732	0.000135			0.0	0.988867	0.999999					0.988867	
gdna_low_ss_0.50_nrna_zero	low	0.25	zero	0.5	1000000	0	250000	1250000	999439.0	0.0	30589.0	999439.0	0.0	999439.0	0.500791	257.65344858596865	351.17413193522157	0.00335466267206162	0.024998048116358137	0.025171158150944097	0.024442250466698463	0.025171158150944097	0.024442250466698463	20768.0	4255.0	False	False	1.0069249420506827	0.9777663581143372	1250000	988310	282922	700789	11129	250538.0	2489	986200	11052	2748	0	0	0	0	0	2110	77	247790	23	0.9862	0.011052	0.002748	0.0					0.00844	0.000308	0.99116	9.2e-05	0.790648	0.0089032	0.2004304	1.84e-05	0.8	0.0	0.2	0.700789	0.983711	0.002489		0.008748	0.002748	0.987192	0.999439		0.122356		0.99116	0.9862	23.0
gdna_low_ss_0.99_nrna_zero	low	0.25	zero	0.99	1000000	0	250000	1250000	999469.0	9.0	30550.0	999469.0	9.0	999469.0	0.990085	257.65344858596865	351.17413193522157	0.00335466267206162	0.024998048116358137	0.024764797120070004	0.024517020302906308	0.025171158150944097	0.024442250466698463	20432.723178862685	4268.016217696396	True	True	0.99066923164551	0.9807573850881159	1250000	988355	275596	710937	11123	250499.0	151	986684	11060	2256	0	0	0	0	0	1671	63	248243	23	0.986684	0.01106	0.002256	0.0					0.006684	0.000252	0.992972	9.2e-05	0.790684	0.0088984	0.2003992	1.84e-05	0.8	0.0	0.2	0.710937	0.986533	0.000151		0.006936	0.002256	0.9879416	0.999469		0.1222		0.992972	0.986684	23.0
gdna_med_ss_0.50_nrna_zero	med	1.0	zero	0.5	1000000	0	1000000	2000000	995457.0	0.0	124875.0	995457.0	0.0	995457.0	0.500823	257.62186604159075	351.43575718181114	0.00410216337660326	0.09996312848485989	0.10034359883530533	0.09851886712422919	0.10034359883530533	0.09851886712422919	82795.0	17141.0	False	False	1.0038061068737267	0.9855520592190206	2000000	984557	276197	699159	10900	1004415.0	2462	977818	10641	11541	0	0	0	0	0	6739	259	992874	128	0.977818	0.010641	0.011541	0.0					0.006739	0.000259	0.992874	0.000128	0.4922785	0.00545	0.5022075	6.4e-05	0.5	0.0	0.5	0.699159	0.975356	0.002462		0.006998	0.011541	0.985346	0.995457		0.124875		0.992874	0.977818	128.0
gdna_med_ss_0.99_nrna_zero	med	1.0	zero	0.99	1000000	0	1000000	2000000	997219.0	0.0	123113.0	997219.0	0.0	997219.0	0.990026	257.62186604159075	351.43575718181114	0.00410216337660326	0.09996312848485989	0.10018403063167672	0.0976828056281157	0.10034359883530533	0.09851886712422919	82663.3378952641	16995.536186588397	True	True	1.0022098362682825	0.9771883604354223	2000000	986138	279138	701857	11081	1002653.0	129	981124	10885	7991	0	0	0	0	0	5014	196	994662	128	0.981124	0.010885	0.007991	0.0					0.005014	0.000196	0.994662	0.000128	0.493069	0.0055405	0.5013265	6.4e-05	0.5	0.0	0.5	0.701857	0.980995	0.000129		0.00521	0.007991	0.987893	0.997219		0.123113		0.994662	0.981124	128.0
gdna_high_ss_0.50_nrna_zero	high	2.0	zero	0.5	1000000	0	2000000	3000000	989099.0	0.0	250131.0	989099.0	0.0	989099.0	0.500603	257.5760690549951	351.39171021835193	0.003976314909576948	0.20009568875047773	0.19954225850501986	0.19607676701848595	0.19954225850501986	0.19607676701848595	164651.0	34103.0	False	False	0.997234172065806	0.9799150008823857	3000000	978368	279040	685114	10731	2010699.0	2332	966486	10290	23224	0	0	0	0	0	11882	441	1987475	202	0.966486	0.01029	0.023224	0.0					0.005941	0.0002205	0.9937375	0.000101	0.32612266666666667	0.003577	0.670233	6.733333333333333e-05	0.3333333333333333	0.0	0.6666666666666666	0.685114	0.964154	0.002332		0.0061615	0.023224	0.9846536666666666	0.989099		0.1250655		0.9937375	0.966486	202.0
gdna_high_ss_0.99_nrna_zero	high	2.0	zero	0.99	1000000	0	2000000	3000000	993850.0	0.0	245380.0	993850.0	0.0	993850.0	0.990112	257.5760690549951	351.39171021835193	0.003976314909576948	0.20009568875047773	0.19917699645011916	0.19446869792934932	0.19954225850501986	0.19607676701848595	164349.60638517357	33823.31372721656	True	True	0.9954087351601854	0.9718785004501254	3000000	983002	278900	695458	10848	2005948.0	107	974465	10579	14956	0	0	0	0	0	8537	269	1990992	202	0.974465	0.010579	0.014956	0.0					0.0042685	0.0001345	0.995496	0.000101	0.3276673333333333	0.003616	0.6686493333333333	6.733333333333333e-05	0.3333333333333333	0.0	0.6666666666666666	0.695458	0.974358	0.000107		0.004403	0.014956	0.9884856666666667	0.99385		0.12269		0.995496	0.974465	202.0
gdna_zero_ss_0.50_nrna_low	zero	0.0	low	0.5	1000000	59261	0	1059261	995347.0	5968.0	57939.0	995347.0	5968.0	995347.0	0.500211	257.5033199056893	250.24304766712945	-0.2850198638082016	0.0	0.04933645987268289	0.045848063559767234	0.04933645987268289	0.045848063559767234	41862.0	5763.0	False	False			1059261	984654	277307	694203	16661	57939.0	2450	973960	10693	15347	0	10694	5968	42592	7	0	0	0	0	0.97396	0.010693	0.015347	0.0	0.18045594910649498	0.10070704173064916	0.7187188876326758	0.00011812153018005096					0.9295669339284652	0.015728890235739822	0.05469756745504649	6.608380748465203e-06	0.9440543926378863	0.05594560736211378	0.0	0.694203	0.97151	0.00245	0.28116299083714413		0.05469756745504649	0.9251053328688585	0.995347	0.10070704173064916		0.10070704173064916		0.97396	7.0
gdna_zero_ss_0.99_nrna_low	zero	0.0	low	0.99	1000000	59261	0	1059261	1004218.0	51057.0	3979.0	1004218.0	51057.0	1004218.0	0.989954	257.5033199056893	250.24304766712945	-0.2850198638082016	0.0	0.0	0.014645435386597277	0.04933645987268289	0.045848063559767234	0.0	1840.8987769556436	True	True			1059261	993143	283001	699549	62132	3979.0	146	982696	16532	772	0	10447	45600	3207	7	0	0	0	0	0.982696	0.016532	0.000772	0.0	0.17628794654157035	0.7694773966014749	0.054116535326774774	0.00011812153018005096					0.9375810116675682	0.05865598752337715	0.003756392428306149	6.608380748465203e-06	0.9440543926378863	0.05594560736211378	0.0	0.699549	0.98255	0.000146	0.9457653431430452		0.003756392428306149	0.9707673557319678	1.004218	0.8615615666289803		0.7694773966014749		0.982696	7.0
gdna_low_ss_0.50_nrna_low	low	0.25	low	0.5	1000000	59261	250000	1309261	1000954.0	33576.0	54882.0	1000954.0	33576.0	1000954.0	0.500554	257.5624660094725	334.6928797333105	-0.043734629333398514	0.024981519008124765	0.07576675495576632	0.06128275280638593	0.07576675495576632	0.06128275280638593	62817.0	10160.0	False	False	3.032912247294675	2.4531235585175937	1309261	990046	284145	691201	44484	274705.0	2440	977786	13527	8687	0	10414	29879	18963	5	1846	1078	247055	21	0.977786	0.013527	0.008687	0.0	0.17573108789929295	0.5041933143213918	0.319991225257758	8.437252155717925e-05	0.007384	0.004312	0.98822	8.4e-05	0.7561868871065434	0.03397641875836827	0.20981683560420725	1.9858530881161204e-05	0.7637896492754309	0.045262938405711314	0.19094741231885773	0.691201	0.975346	0.00244	0.6799244022206847	0.011696	0.026103103956437553	0.9583421487388687	1.000954	0.5665783567607702	0.219528	0.5041933143213918	0.98822	0.977786	26.0
gdna_low_ss_0.99_nrna_low	low	0.25	low	0.99	1000000	59261	250000	1309261	1003869.0	48258.0	37285.0	1003869.0	48258.0	1003869.0	0.989789	257.5624660094725	334.6928797333105	-0.043734629333398514	0.024981519008124765	0.025151846213683875	0.03826647117999862	0.07576675495576632	0.06128275280638593	20852.99185015096	6344.156053451186	True	True	1.0068181284534266	1.5317912080347549	1309261	992795	282494	698476	59332	257108.0	120	981090	15686	3224	0	10137	42156	6963	5	1568	1490	246921	21	0.98109	0.015686	0.003224	0.0	0.17105685020502523	0.7113616037528897	0.11749717352052784	8.437252155717925e-05	0.006272	0.00596	0.987684	8.4e-05	0.7582865448524014	0.04531716747080987	0.1963764291459075	1.9858530881161204e-05	0.7637896492754309	0.045262938405711314	0.19094741231885773	0.698476	0.98097	0.00012	0.882418453957915	0.012232	0.009617082097802147	0.9701404074512263	1.003869	0.8143298290612713	0.14914	0.7113616037528897	0.987684	0.98109	26.0
gdna_med_ss_0.50_nrna_low	med	1.0	low	0.5	1000000	59261	1000000	2059261	997344.0	28633.0	153136.0	997344.0	28633.0	997344.0	0.500884	257.6668925142125	346.7087008092348	-0.009403711973614821	0.10001954658423759	0.15050526901080327	0.13249013514008243	0.15050526901080327	0.13249013514008243	124357.0	22737.0	False	False	1.5047585612082939	1.3246424290525827	2059261	986523	283963	683083	39454	1033191.0	2384	969430	12886	17684	0	10670	23825	24756	10	6423	2743	990751	83	0.96943	0.012886	0.017684	0.0	0.18005096100302054	0.4020350652199592	0.41774522873390596	0.0001687450431143585	0.006423	0.002743	0.990751	8.3e-05	0.4790665194941292	0.019159300350951144	0.5017290183225924	4.516183232722807e-05	0.48561110029277493	0.028777799414450134	0.48561110029277493	0.683083	0.967046	0.002384	0.5820860262229797	0.009166	0.040065668423551894	0.9634553366474672	0.997344	0.48316768194934273	0.153136	0.4020350652199592	0.990751	0.96943	93.0
gdna_med_ss_0.99_nrna_low	med	1.0	low	0.99	1000000	59261	1000000	2059261	1002192.0	41777.0	135144.0	1002192.0	41777.0	1002192.0	0.990619	257.6668925142125	346.7087008092348	-0.009403711973614821	0.10001954658423759	0.10034620168386277	0.11048509109727944	0.15050526901080327	0.13249013514008243	82912.39692016628	18960.65328654687	True	True	1.00326591262189	1.104634992563455	2059261	991196	284178	691651	52773	1015199.0	117	975946	14674	9380	0	10384	34904	13963	10	4866	3195	991856	83	0.975946	0.014674	0.00938	0.0	0.1752248527699499	0.588987698486357	0.2356187037005788	0.0001687450431143585	0.004866	0.003195	0.991856	8.3e-05	0.48133578016579737	0.02562715459575061	0.4929919034061248	4.516183232722807e-05	0.48561110029277493	0.028777799414450134	0.48561110029277493	0.691651	0.975829	0.000117	0.7642125512563068	0.008061	0.022037061687346177	0.9725362642229421	1.002192	0.7049661666188556	0.135144	0.588987698486357	0.991856	0.975946	93.0
gdna_high_ss_0.50_nrna_low	high	2.0	low	0.5	1000000	59261	2000000	3059261	989941.0	23096.0	286279.0	989941.0	23096.0	989941.0	0.500657	257.8301473370045	348.9915568653522	-0.0028812660989936895	0.19999329487751302	0.2512005832817867	0.2322755343553157	0.2512005832817867	0.2322755343553157	207423.0	40119.0	False	False	1.2560450260876788	1.1614166089796867	3059261	979353	272035	683412	33684	2045981.0	2340	957787	12015	30198	0	10261	17918	31073	9	11305	3751	1984710	234	0.957787	0.012015	0.030198	0.0	0.17314928873964328	0.3023573682523076	0.5243414724692462	0.00015187053880292266	0.0056525	0.0018755	0.992355	0.000117	0.32012731179196546	0.011010502209520535	0.6687827550509747	7.943094753929135e-05	0.32687632732218663	0.0193710180334401	0.6537526546443733	0.683412	0.955447	0.00234	0.4755066569919509	0.007528	0.05784315669131593	0.9676895825495111	0.989941	0.3897335515769224	0.1431395	0.3023573682523076	0.992355	0.957787	243.0
gdna_high_ss_0.99_nrna_low	high	2.0	low	0.99	1000000	59261	2000000	3059261	999177.0	36057.0	264082.0	999177.0	36057.0	999177.0	0.989942	257.8301473370045	348.9915568653522	-0.0028812660989936895	0.19999329487751302	0.2007048436493382	0.21095808735234878	0.2512005832817867	0.2322755343553157	165727.32531268417	36437.016623292904	True	True	1.0035578631386666	1.0548258004427158	3059261	988351	275056	694919	46883	2023784.0	120	970095	13264	16641	0	10057	29430	19765	9	8199	4189	1987378	234	0.970095	0.013264	0.016641	0.0	0.16970688986011037	0.4966166618855571	0.3335245777155296	0.00015187053880292266	0.0040995	0.0020945	0.993689	0.000117	0.3230685449852105	0.015324942853846077	0.6615270812134042	7.943094753929135e-05	0.32687632732218663	0.0193710180334401	0.6537526546443733	0.694919	0.969975	0.00012	0.6663235517456675	0.006194	0.03436924421837489	0.9763478827076212	0.999177	0.6084440019574425	0.132041	0.4966166618855571	0.993689	0.970095	243.0
gdna_zero_ss_0.50_nrna_high	zero	0.0	high	0.5	1000000	275885	0	1275885	967861.0	9793.0	298169.0	967861.0	9793.0	967861.0	0.502515	257.5035247624389	250.13583983397203	-0.2853261719029371	0.0	0.2266808287707257	0.22505588600655493	0.2266808287707257	0.22505588600655493	192562.0	27823.0	False	False			1275885	958613	272317	640211	19041	298169.0	2055	914583	9248	76169	0	44030	9793	222000	62	0	0	0	0	0.914583	0.009248	0.076169	0.0	0.15959548362542364	0.03549667433894557	0.8046831107164217	0.00022473131920909073					0.7513318206578179	0.01492375880271341	0.23369582681824771	4.859372122095643e-05	0.7837696971122006	0.21623030288779946	0.0	0.640211	0.912528	0.002055	0.1950921579643692		0.23369582681824771	0.7244978975377875	0.967861	0.03549667433894557		0.03549667433894557		0.914583	62.0
gdna_zero_ss_0.99_nrna_high	zero	0.0	high	0.99	1000000	275885	0	1275885	1002250.0	254274.0	19299.0	1002250.0	254274.0	1002250.0	0.990476	257.5035247624389	250.13583983397203	-0.2853261719029371	0.0	7.78846905559283e-05	0.07749003261161726	0.2266808287707257	0.22505588600655493	66.16188878504536	9579.865764053964	True	True			1275885	991427	267333	678514	265097	19299.0	101	945948	50370	3682	0	45479	214727	15617	62	0	0	0	0	0.945948	0.05037	0.003682	0.0	0.16484767203726192	0.7783206770937166	0.05660691954981242	0.00022473131920909073					0.7770504394988577	0.20777499539535302	0.015125971384568358	4.859372122095643e-05	0.7837696971122006	0.21623030288779946	0.0	0.678514	0.945847	0.000101	0.9431683491309785		0.015125971384568358	0.9097018931957034	1.00225	0.9216666364608442		0.7783206770937166		0.945948	62.0
gdna_low_ss_0.50_nrna_high	low	0.25	high	0.5	1000000	275885	250000	1525885	987021.0	101253.0	218043.0	987021.0	101253.0	987021.0	0.501211	257.7784414136847	303.574964306819	-0.1326429591233742	0.024939202524299035	0.2549017689032901	0.21222267303104303	0.2549017689032901	0.21222267303104303	213270.0	31854.0	False	False	10.220927018613823	8.50960141264613	1525885	976925	274024	653451	111349	437538.0	2300	929775	23092	47133	0	45702	87285	142846	52	1448	972	247559	21	0.929775	0.023092	0.047133	0.0	0.16565597984667524	0.31638182576073365	0.5177737100603512	0.00018848433223988257	0.005792	0.003888	0.990236	8.4e-05	0.6402350111574594	0.07297338921347284	0.2867437585401259	4.78410889418272e-05	0.6553573827647562	0.18080327154405476	0.16383934569118905	0.653451	0.927475	0.0023	0.4820378056074089	0.00968	0.14889978328767875	0.8287773980345832	0.987021	0.3670116171593236	0.872172	0.31638182576073365	0.990236	0.929775	73.0
gdna_low_ss_0.99_nrna_high	low	0.25	high	0.99	1000000	275885	250000	1525885	1004809.0	248392.0	53116.0	1004809.0	248392.0	1004809.0	0.990125	257.7784414136847	303.574964306819	-0.1326429591233742	0.024939202524299035	0.025252892363179832	0.09005561208294795	0.2549017689032901	0.21222267303104303	21128.469910064436	13517.082912581225	True	True	1.0125781824248454	3.611006085507505	1525885	993958	277875	668558	259243	272611.0	111	946544	47702	5754	0	45937	208651	21245	52	1477	2890	245612	21	0.946544	0.047702	0.005754	0.0	0.16650778404045163	0.7562970078112257	0.07700672381608278	0.00018848433223988257	0.005908	0.01156	0.982448	8.4e-05	0.6513977134580915	0.1698968139800837	0.17865763147288294	4.78410889418272e-05	0.6553573827647562	0.18080327154405476	0.16383934569118905	0.668558	0.946433	0.000111	0.9228047918516773	0.017468	0.021160998052332302	0.9180292092785498	1.004809	0.9003461587255559	0.212464	0.7562970078112257	0.982448	0.946544	73.0
