condition	locus_id	true_pool	pred_pool	count
gdna_zero_ss_0.50_nrna_zero	23	mrna	mrna	111477
gdna_zero_ss_0.50_nrna_zero	26	mrna	mrna	72873
gdna_zero_ss_0.50_nrna_zero	28	mrna	mrna	35073
gdna_zero_ss_0.50_nrna_zero	41	mrna	mrna	94484
gdna_zero_ss_0.50_nrna_zero	5	mrna	mrna	10870
gdna_zero_ss_0.50_nrna_zero	9	mrna	mrna	7067
gdna_zero_ss_0.50_nrna_zero	6	mrna	mrna	12567
gdna_zero_ss_0.50_nrna_zero	3	mrna	mrna	3921
gdna_zero_ss_0.50_nrna_zero	33	mrna	mrna	2499
gdna_zero_ss_0.50_nrna_zero	42	mrna	mrna	35000
gdna_zero_ss_0.50_nrna_zero	12	mrna	mrna	572
gdna_zero_ss_0.50_nrna_zero	0	mrna	mrna	431
gdna_zero_ss_0.50_nrna_zero	47	mrna	mrna	69886
gdna_zero_ss_0.50_nrna_zero	8	mrna	mrna	163
gdna_zero_ss_0.50_nrna_zero	46	mrna	mrna	64
gdna_zero_ss_0.50_nrna_zero	45	mrna	mrna	32
gdna_zero_ss_0.50_nrna_zero	39	mrna	nrna	983
gdna_zero_ss_0.50_nrna_zero	4	mrna	mrna	84278
gdna_zero_ss_0.50_nrna_zero	22	mrna	nrna	6
gdna_zero_ss_0.50_nrna_zero	-1	mrna	gdna	2
gdna_zero_ss_0.50_nrna_zero	34	mrna	mrna	1239
gdna_zero_ss_0.50_nrna_zero	32	mrna	mrna	36865
gdna_zero_ss_0.50_nrna_zero	40	mrna	mrna	15263
gdna_zero_ss_0.50_nrna_zero	25	mrna	mrna	9905
gdna_zero_ss_0.50_nrna_zero	10	mrna	mrna	8645
gdna_zero_ss_0.50_nrna_zero	16	mrna	mrna	4807
gdna_zero_ss_0.50_nrna_zero	19	mrna	nrna	3623
gdna_zero_ss_0.50_nrna_zero	7	mrna	nrna	2252
gdna_zero_ss_0.50_nrna_zero	18	mrna	mrna	1561
gdna_zero_ss_0.50_nrna_zero	24	mrna	mrna	1797
gdna_zero_ss_0.50_nrna_zero	14	mrna	mrna	225
gdna_zero_ss_0.50_nrna_zero	15	mrna	mrna	178717
gdna_zero_ss_0.50_nrna_zero	27	mrna	mrna	92
gdna_zero_ss_0.50_nrna_zero	37	mrna	mrna	66533
gdna_zero_ss_0.50_nrna_zero	13	mrna	mrna	57
gdna_zero_ss_0.50_nrna_zero	1	mrna	mrna	4826
gdna_zero_ss_0.50_nrna_zero	17	mrna	mrna	46
gdna_zero_ss_0.50_nrna_zero	2	mrna	mrna	323
gdna_zero_ss_0.50_nrna_zero	38	mrna	mrna	6731
gdna_zero_ss_0.50_nrna_zero	20	mrna	mrna	79834
gdna_zero_ss_0.50_nrna_zero	21	mrna	mrna	4465
gdna_zero_ss_0.50_nrna_zero	29	mrna	nrna	4267
gdna_zero_ss_0.50_nrna_zero	30	mrna	mrna	23600
gdna_zero_ss_0.50_nrna_zero	31	mrna	mrna	481
gdna_zero_ss_0.50_nrna_zero	44	mrna	mrna	315
gdna_zero_ss_0.50_nrna_zero	36	mrna	mrna	43
gdna_zero_ss_0.50_nrna_zero	35	mrna	mrna	996
gdna_zero_ss_0.50_nrna_zero	43	mrna	mrna	243
gdna_zero_ss_0.50_nrna_zero	11	mrna	mrna	1
gdna_zero_ss_0.99_nrna_zero	23	mrna	mrna	111477
gdna_zero_ss_0.99_nrna_zero	26	mrna	mrna	72873
gdna_zero_ss_0.99_nrna_zero	28	mrna	mrna	35073
gdna_zero_ss_0.99_nrna_zero	41	mrna	mrna	94484
gdna_zero_ss_0.99_nrna_zero	5	mrna	mrna	10870
gdna_zero_ss_0.99_nrna_zero	9	mrna	mrna	7067
gdna_zero_ss_0.99_nrna_zero	6	mrna	mrna	12567
gdna_zero_ss_0.99_nrna_zero	3	mrna	mrna	3921
gdna_zero_ss_0.99_nrna_zero	33	mrna	mrna	2499
gdna_zero_ss_0.99_nrna_zero	42	mrna	mrna	35000
gdna_zero_ss_0.99_nrna_zero	12	mrna	mrna	572
gdna_zero_ss_0.99_nrna_zero	0	mrna	mrna	431
gdna_zero_ss_0.99_nrna_zero	47	mrna	mrna	69886
gdna_zero_ss_0.99_nrna_zero	8	mrna	mrna	163
gdna_zero_ss_0.99_nrna_zero	46	mrna	mrna	64
gdna_zero_ss_0.99_nrna_zero	45	mrna	mrna	32
gdna_zero_ss_0.99_nrna_zero	39	mrna	nrna	983
gdna_zero_ss_0.99_nrna_zero	4	mrna	mrna	84278
gdna_zero_ss_0.99_nrna_zero	22	mrna	nrna	7
gdna_zero_ss_0.99_nrna_zero	34	mrna	mrna	1239
gdna_zero_ss_0.99_nrna_zero	32	mrna	mrna	36865
gdna_zero_ss_0.99_nrna_zero	40	mrna	mrna	15263
gdna_zero_ss_0.99_nrna_zero	25	mrna	mrna	9905
gdna_zero_ss_0.99_nrna_zero	10	mrna	mrna	8645
gdna_zero_ss_0.99_nrna_zero	16	mrna	mrna	4807
gdna_zero_ss_0.99_nrna_zero	19	mrna	nrna	3623
gdna_zero_ss_0.99_nrna_zero	7	mrna	nrna	2252
gdna_zero_ss_0.99_nrna_zero	18	mrna	mrna	1561
gdna_zero_ss_0.99_nrna_zero	24	mrna	mrna	1797
gdna_zero_ss_0.99_nrna_zero	14	mrna	mrna	225
gdna_zero_ss_0.99_nrna_zero	15	mrna	mrna	178717
gdna_zero_ss_0.99_nrna_zero	27	mrna	mrna	92
gdna_zero_ss_0.99_nrna_zero	37	mrna	mrna	66533
gdna_zero_ss_0.99_nrna_zero	13	mrna	mrna	57
gdna_zero_ss_0.99_nrna_zero	1	mrna	mrna	4826
gdna_zero_ss_0.99_nrna_zero	17	mrna	mrna	46
gdna_zero_ss_0.99_nrna_zero	2	mrna	mrna	323
gdna_zero_ss_0.99_nrna_zero	38	mrna	mrna	6731
gdna_zero_ss_0.99_nrna_zero	20	mrna	mrna	79834
gdna_zero_ss_0.99_nrna_zero	21	mrna	mrna	4465
gdna_zero_ss_0.99_nrna_zero	29	mrna	nrna	4267
gdna_zero_ss_0.99_nrna_zero	30	mrna	mrna	23600
gdna_zero_ss_0.99_nrna_zero	31	mrna	mrna	481
gdna_zero_ss_0.99_nrna_zero	44	mrna	mrna	315
gdna_zero_ss_0.99_nrna_zero	36	mrna	mrna	43
gdna_zero_ss_0.99_nrna_zero	35	mrna	mrna	996
