condition	true_pool	pred_pool	count
gdna_zero_ss_0.50_nrna_high	nrna	gdna	222000
gdna_low_ss_0.50_nrna_high	nrna	gdna	142846
gdna_high_ss_0.50_nrna_high	nrna	gdna	121724
gdna_med_ss_0.50_nrna_high	nrna	gdna	114640
gdna_zero_ss_0.50_nrna_high	mrna	gdna	76169
gdna_high_ss_0.50_nrna_high	mrna	gdna	50071
gdna_high_ss_0.99_nrna_high	nrna	gdna	49593
gdna_low_ss_0.50_nrna_high	mrna	gdna	47133
gdna_zero_ss_0.50_nrna_low	nrna	gdna	42592
gdna_med_ss_0.50_nrna_high	mrna	gdna	42511
gdna_med_ss_0.99_nrna_high	nrna	gdna	34638
gdna_high_ss_0.50_nrna_low	nrna	gdna	31073
gdna_high_ss_0.50_nrna_low	mrna	gdna	30198
gdna_med_ss_0.50_nrna_low	nrna	gdna	24756
gdna_high_ss_0.50_nrna_zero	mrna	gdna	23224
gdna_low_ss_0.99_nrna_high	nrna	gdna	21245
gdna_high_ss_0.99_nrna_low	nrna	gdna	19765
gdna_low_ss_0.50_nrna_low	nrna	gdna	18963
gdna_high_ss_0.99_nrna_high	mrna	gdna	18820
gdna_med_ss_0.50_nrna_low	mrna	gdna	17684
gdna_high_ss_0.99_nrna_low	mrna	gdna	16641
gdna_zero_ss_0.99_nrna_high	nrna	gdna	15617
gdna_zero_ss_0.50_nrna_low	mrna	gdna	15347
gdna_high_ss_0.99_nrna_zero	mrna	gdna	14956
gdna_med_ss_0.99_nrna_low	nrna	gdna	13963
gdna_med_ss_0.50_nrna_zero	mrna	gdna	11541
gdna_med_ss_0.99_nrna_high	mrna	gdna	11006
gdna_med_ss_0.99_nrna_low	mrna	gdna	9380
gdna_low_ss_0.50_nrna_low	mrna	gdna	8687
gdna_med_ss_0.99_nrna_zero	mrna	gdna	7991
gdna_low_ss_0.99_nrna_low	nrna	gdna	6963
gdna_low_ss_0.99_nrna_high	mrna	gdna	5754
gdna_zero_ss_0.99_nrna_high	mrna	gdna	3682
gdna_low_ss_0.99_nrna_low	mrna	gdna	3224
gdna_zero_ss_0.99_nrna_low	nrna	gdna	3207
gdna_low_ss_0.50_nrna_zero	mrna	gdna	2748
gdna_low_ss_0.99_nrna_zero	mrna	gdna	2256
gdna_zero_ss_0.99_nrna_low	mrna	gdna	772
gdna_high_ss_0.99_nrna_low	gdna	unresolved	234
gdna_high_ss_0.50_nrna_low	gdna	unresolved	234
gdna_high_ss_0.50_nrna_high	gdna	unresolved	223
gdna_high_ss_0.99_nrna_high	gdna	unresolved	223
gdna_high_ss_0.99_nrna_zero	gdna	unresolved	202
gdna_high_ss_0.50_nrna_zero	gdna	unresolved	202
gdna_med_ss_0.99_nrna_high	gdna	unresolved	135
gdna_med_ss_0.50_nrna_high	gdna	unresolved	135
gdna_med_ss_0.99_nrna_zero	gdna	unresolved	128
gdna_med_ss_0.50_nrna_zero	gdna	unresolved	128
gdna_med_ss_0.50_nrna_low	gdna	unresolved	83
gdna_med_ss_0.99_nrna_low	gdna	unresolved	83
gdna_zero_ss_0.50_nrna_high	nrna	unresolved	62
gdna_zero_ss_0.99_nrna_high	nrna	unresolved	62
gdna_low_ss_0.99_nrna_high	nrna	unresolved	52
gdna_high_ss_0.50_nrna_high	nrna	unresolved	52
gdna_high_ss_0.99_nrna_high	nrna	unresolved	52
gdna_low_ss_0.50_nrna_high	nrna	unresolved	52
gdna_med_ss_0.99_nrna_high	nrna	unresolved	51
gdna_med_ss_0.50_nrna_high	nrna	unresolved	51
gdna_low_ss_0.50_nrna_zero	gdna	unresolved	23
gdna_low_ss_0.99_nrna_zero	gdna	unresolved	23
gdna_low_ss_0.50_nrna_high	gdna	unresolved	21
gdna_low_ss_0.50_nrna_low	gdna	unresolved	21
gdna_low_ss_0.99_nrna_high	gdna	unresolved	21
gdna_low_ss_0.99_nrna_low	gdna	unresolved	21
gdna_med_ss_0.99_nrna_low	nrna	unresolved	10
gdna_med_ss_0.50_nrna_low	nrna	unresolved	10
gdna_high_ss_0.99_nrna_low	nrna	unresolved	9
gdna_high_ss_0.50_nrna_low	nrna	unresolved	9
gdna_zero_ss_0.50_nrna_low	nrna	unresolved	7
gdna_zero_ss_0.99_nrna_low	nrna	unresolved	7
gdna_low_ss_0.50_nrna_low	nrna	unresolved	5
gdna_low_ss_0.99_nrna_low	nrna	unresolved	5
gdna_zero_ss_0.50_nrna_zero	mrna	gdna	2
