condition	true_pool	pred_pool	count	row_fraction	overall_fraction	mean_winner_posterior
gdna_zero_ss_0.50_nrna_zero	mrna	mrna	988867	0.988867	0.988867	0.6945753235627735
gdna_zero_ss_0.50_nrna_zero	mrna	nrna	11131	0.011131	0.011131	0.9251793218439731
gdna_zero_ss_0.50_nrna_zero	mrna	gdna	2	2e-06	2e-06	0.02790314145386219
gdna_zero_ss_0.50_nrna_zero	mrna	unresolved	0	0.0	0.0	
gdna_zero_ss_0.50_nrna_zero	nrna	mrna	0		0.0	
gdna_zero_ss_0.50_nrna_zero	nrna	nrna	0		0.0	
gdna_zero_ss_0.50_nrna_zero	nrna	gdna	0		0.0	
gdna_zero_ss_0.50_nrna_zero	nrna	unresolved	0		0.0	
gdna_zero_ss_0.50_nrna_zero	gdna	mrna	0		0.0	
gdna_zero_ss_0.50_nrna_zero	gdna	nrna	0		0.0	
gdna_zero_ss_0.50_nrna_zero	gdna	gdna	0		0.0	
gdna_zero_ss_0.50_nrna_zero	gdna	unresolved	0		0.0	
gdna_zero_ss_0.50_nrna_zero	unresolved	mrna	0		0.0	
gdna_zero_ss_0.50_nrna_zero	unresolved	nrna	0		0.0	
gdna_zero_ss_0.50_nrna_zero	unresolved	gdna	0		0.0	
gdna_zero_ss_0.50_nrna_zero	unresolved	unresolved	0		0.0	
gdna_zero_ss_0.99_nrna_zero	mrna	mrna	988867	0.988867	0.988867	0.6987042157317541
gdna_zero_ss_0.99_nrna_zero	mrna	nrna	11133	0.011133	0.011133	0.9247682062597145
gdna_zero_ss_0.99_nrna_zero	mrna	gdna	0	0.0	0.0	
gdna_zero_ss_0.99_nrna_zero	mrna	unresolved	0	0.0	0.0	
gdna_zero_ss_0.99_nrna_zero	nrna	mrna	0		0.0	
gdna_zero_ss_0.99_nrna_zero	nrna	nrna	0		0.0	
gdna_zero_ss_0.99_nrna_zero	nrna	gdna	0		0.0	
gdna_zero_ss_0.99_nrna_zero	nrna	unresolved	0		0.0	
gdna_zero_ss_0.99_nrna_zero	gdna	mrna	0		0.0	
gdna_zero_ss_0.99_nrna_zero	gdna	nrna	0		0.0	
gdna_zero_ss_0.99_nrna_zero	gdna	gdna	0		0.0	
gdna_zero_ss_0.99_nrna_zero	gdna	unresolved	0		0.0	
gdna_zero_ss_0.99_nrna_zero	unresolved	mrna	0		0.0	
gdna_zero_ss_0.99_nrna_zero	unresolved	nrna	0		0.0	
gdna_zero_ss_0.99_nrna_zero	unresolved	gdna	0		0.0	
gdna_zero_ss_0.99_nrna_zero	unresolved	unresolved	0		0.0	
gdna_low_ss_0.50_nrna_zero	mrna	mrna	986200	0.9862	0.78896	0.6988164719593135
gdna_low_ss_0.50_nrna_zero	mrna	nrna	11052	0.011052	0.0088416	0.9183103154156218
gdna_low_ss_0.50_nrna_zero	mrna	gdna	2748	0.002748	0.0021984	0.1840043890668185
gdna_low_ss_0.50_nrna_zero	mrna	unresolved	0	0.0	0.0	
gdna_low_ss_0.50_nrna_zero	nrna	mrna	0		0.0	
gdna_low_ss_0.50_nrna_zero	nrna	nrna	0		0.0	
gdna_low_ss_0.50_nrna_zero	nrna	gdna	0		0.0	
gdna_low_ss_0.50_nrna_zero	nrna	unresolved	0		0.0	
gdna_low_ss_0.50_nrna_zero	gdna	mrna	2110	0.00844	0.001688	0.6725172280294212
gdna_low_ss_0.50_nrna_zero	gdna	nrna	77	0.000308	6.16e-05	0.7492656081963283
gdna_low_ss_0.50_nrna_zero	gdna	gdna	247790	0.99116	0.198232	0.998639878814997
gdna_low_ss_0.50_nrna_zero	gdna	unresolved	23	9.2e-05	1.84e-05	0.0
gdna_low_ss_0.50_nrna_zero	unresolved	mrna	0		0.0	
gdna_low_ss_0.50_nrna_zero	unresolved	nrna	0		0.0	
gdna_low_ss_0.50_nrna_zero	unresolved	gdna	0		0.0	
gdna_low_ss_0.50_nrna_zero	unresolved	unresolved	0		0.0	
gdna_low_ss_0.99_nrna_zero	mrna	mrna	986684	0.986684	0.7893472	0.7128953144084489
gdna_low_ss_0.99_nrna_zero	mrna	nrna	11060	0.01106	0.008848	0.9218688350351052
gdna_low_ss_0.99_nrna_zero	mrna	gdna	2256	0.002256	0.0018048	0.2290169131485514
gdna_low_ss_0.99_nrna_zero	mrna	unresolved	0	0.0	0.0	
gdna_low_ss_0.99_nrna_zero	nrna	mrna	0		0.0	
gdna_low_ss_0.99_nrna_zero	nrna	nrna	0		0.0	
gdna_low_ss_0.99_nrna_zero	nrna	gdna	0		0.0	
gdna_low_ss_0.99_nrna_zero	nrna	unresolved	0		0.0	
gdna_low_ss_0.99_nrna_zero	gdna	mrna	1671	0.006684	0.0013368	0.6516291055385801
gdna_low_ss_0.99_nrna_zero	gdna	nrna	63	0.000252	5.04e-05	0.558062596276166
gdna_low_ss_0.99_nrna_zero	gdna	gdna	248243	0.992972	0.1985944	0.9986238789261278
gdna_low_ss_0.99_nrna_zero	gdna	unresolved	23	9.2e-05	1.84e-05	0.0
gdna_low_ss_0.99_nrna_zero	unresolved	mrna	0		0.0	
gdna_low_ss_0.99_nrna_zero	unresolved	nrna	0		0.0	
gdna_low_ss_0.99_nrna_zero	unresolved	gdna	0		0.0	
gdna_low_ss_0.99_nrna_zero	unresolved	unresolved	0		0.0	
gdna_med_ss_0.50_nrna_zero	mrna	mrna	977818	0.977818	0.488909	0.7011904080995
gdna_med_ss_0.50_nrna_zero	mrna	nrna	10641	0.010641	0.0053205	0.9330359006888017
gdna_med_ss_0.50_nrna_zero	mrna	gdna	11541	0.011541	0.0057705	0.2039835193588169
gdna_med_ss_0.50_nrna_zero	mrna	unresolved	0	0.0	0.0	
gdna_med_ss_0.50_nrna_zero	nrna	mrna	0		0.0	
gdna_med_ss_0.50_nrna_zero	nrna	nrna	0		0.0	
gdna_med_ss_0.50_nrna_zero	nrna	gdna	0		0.0	
gdna_med_ss_0.50_nrna_zero	nrna	unresolved	0		0.0	
gdna_med_ss_0.50_nrna_zero	gdna	mrna	6739	0.006739	0.0033695	0.6499500057455094
gdna_med_ss_0.50_nrna_zero	gdna	nrna	259	0.000259	0.0001295	0.7872170611539978
gdna_med_ss_0.50_nrna_zero	gdna	gdna	992874	0.992874	0.496437	0.9986845745244556
gdna_med_ss_0.50_nrna_zero	gdna	unresolved	128	0.000128	6.4e-05	0.0
gdna_med_ss_0.50_nrna_zero	unresolved	mrna	0		0.0	
gdna_med_ss_0.50_nrna_zero	unresolved	nrna	0		0.0	
gdna_med_ss_0.50_nrna_zero	unresolved	gdna	0		0.0	
gdna_med_ss_0.50_nrna_zero	unresolved	unresolved	0		0.0	
gdna_med_ss_0.99_nrna_zero	mrna	mrna	981124	0.981124	0.490562	0.7031346897186009
gdna_med_ss_0.99_nrna_zero	mrna	nrna	10885	0.010885	0.0054425	0.9342328149620845
gdna_med_ss_0.99_nrna_zero	mrna	gdna	7991	0.007991	0.0039955	0.2641389293829474
gdna_med_ss_0.99_nrna_zero	mrna	unresolved	0	0.0	0.0	
gdna_med_ss_0.99_nrna_zero	nrna	mrna	0		0.0	
gdna_med_ss_0.99_nrna_zero	nrna	nrna	0		0.0	
gdna_med_ss_0.99_nrna_zero	nrna	gdna	0		0.0	
gdna_med_ss_0.99_nrna_zero	nrna	unresolved	0		0.0	
gdna_med_ss_0.99_nrna_zero	gdna	mrna	5014	0.005014	0.002507	0.614643667287765
gdna_med_ss_0.99_nrna_zero	gdna	nrna	196	0.000196	9.8e-05	0.7071467590166673
gdna_med_ss_0.99_nrna_zero	gdna	gdna	994662	0.994662	0.497331	0.9987931128976215
gdna_med_ss_0.99_nrna_zero	gdna	unresolved	128	0.000128	6.4e-05	0.0
gdna_med_ss_0.99_nrna_zero	unresolved	mrna	0		0.0	
gdna_med_ss_0.99_nrna_zero	unresolved	nrna	0		0.0	
gdna_med_ss_0.99_nrna_zero	unresolved	gdna	0		0.0	
gdna_med_ss_0.99_nrna_zero	unresolved	unresolved	0		0.0	
gdna_high_ss_0.50_nrna_zero	mrna	mrna	966486	0.966486	0.322162	0.6871132910994302
gdna_high_ss_0.50_nrna_zero	mrna	nrna	10290	0.01029	0.00343	0.8610041288944981
gdna_high_ss_0.50_nrna_zero	mrna	gdna	23224	0.023224	0.007741333333333334	0.21763200414578918
gdna_high_ss_0.50_nrna_zero	mrna	unresolved	0	0.0	0.0	
gdna_high_ss_0.50_nrna_zero	nrna	mrna	0		0.0	
gdna_high_ss_0.50_nrna_zero	nrna	nrna	0		0.0	
gdna_high_ss_0.50_nrna_zero	nrna	gdna	0		0.0	
gdna_high_ss_0.50_nrna_zero	nrna	unresolved	0		0.0	
gdna_high_ss_0.50_nrna_zero	gdna	mrna	11882	0.005941	0.003960666666666667	0.6227911290543509
gdna_high_ss_0.50_nrna_zero	gdna	nrna	441	0.0002205	0.000147	0.7211241941273956
gdna_high_ss_0.50_nrna_zero	gdna	gdna	1987475	0.9937375	0.6624916666666667	0.998765113565781
gdna_high_ss_0.50_nrna_zero	gdna	unresolved	202	0.000101	6.733333333333333e-05	0.0
gdna_high_ss_0.50_nrna_zero	unresolved	mrna	0		0.0	
gdna_high_ss_0.50_nrna_zero	unresolved	nrna	0		0.0	
gdna_high_ss_0.50_nrna_zero	unresolved	gdna	0		0.0	
gdna_high_ss_0.50_nrna_zero	unresolved	unresolved	0		0.0	
gdna_high_ss_0.99_nrna_zero	mrna	mrna	974465	0.974465	0.3248216666666667	0.698446383757516
gdna_high_ss_0.99_nrna_zero	mrna	nrna	10579	0.010579	0.003526333333333333	0.8796994372574987
