condition	true_pool	gdna	mrna	nrna	unresolved
gdna_high_ss_0.50_nrna_high	gdna	1981159	9879	8739	223
gdna_high_ss_0.50_nrna_high	mrna	50071	921934	27995	0
gdna_high_ss_0.50_nrna_high	nrna	121724	44931	109178	52
gdna_high_ss_0.50_nrna_high	unresolved	0	0	0	0
gdna_high_ss_0.50_nrna_low	gdna	1984710	11305	3751	234
gdna_high_ss_0.50_nrna_low	mrna	30198	957787	12015	0
gdna_high_ss_0.50_nrna_low	nrna	31073	10261	17918	9
gdna_high_ss_0.50_nrna_low	unresolved	0	0	0	0
gdna_high_ss_0.50_nrna_zero	gdna	1987475	11882	441	202
gdna_high_ss_0.50_nrna_zero	mrna	23224	966486	10290	0
gdna_high_ss_0.50_nrna_zero	nrna	0	0	0	0
gdna_high_ss_0.50_nrna_zero	unresolved	0	0	0	0
gdna_high_ss_0.99_nrna_high	gdna	1979305	7778	12694	223
gdna_high_ss_0.99_nrna_high	mrna	18820	936136	45044	0
gdna_high_ss_0.99_nrna_high	nrna	49593	45173	181067	52
gdna_high_ss_0.99_nrna_high	unresolved	0	0	0	0
gdna_high_ss_0.99_nrna_low	gdna	1987378	8199	4189	234
gdna_high_ss_0.99_nrna_low	mrna	16641	970095	13264	0
gdna_high_ss_0.99_nrna_low	nrna	19765	10057	29430	9
gdna_high_ss_0.99_nrna_low	unresolved	0	0	0	0
gdna_high_ss_0.99_nrna_zero	gdna	1990992	8537	269	202
gdna_high_ss_0.99_nrna_zero	mrna	14956	974465	10579	0
gdna_high_ss_0.99_nrna_zero	nrna	0	0	0	0
gdna_high_ss_0.99_nrna_zero	unresolved	0	0	0	0
gdna_low_ss_0.50_nrna_high	gdna	247559	1448	972	21
gdna_low_ss_0.50_nrna_high	mrna	47133	929775	23092	0
gdna_low_ss_0.50_nrna_high	nrna	142846	45702	87285	52
gdna_low_ss_0.50_nrna_high	unresolved	0	0	0	0
