gdna_label	nrna_label	unstranded_condition	stranded_condition	truth_mrna	truth_nrna	truth_gdna	unstranded_overall_pool_accuracy	stranded_overall_pool_accuracy	delta_overall_pool_accuracy	unstranded_mrna_to_mrna_rate	stranded_mrna_to_mrna_rate	delta_mrna_to_mrna_rate	unstranded_mrna_to_gdna_rate	stranded_mrna_to_gdna_rate	delta_mrna_to_gdna_rate	unstranded_mrna_to_nrna_rate	stranded_mrna_to_nrna_rate	delta_mrna_to_nrna_rate	unstranded_nrna_to_nrna_rate	stranded_nrna_to_nrna_rate	delta_nrna_to_nrna_rate	unstranded_nrna_to_mrna_rate	stranded_nrna_to_mrna_rate	delta_nrna_to_mrna_rate	unstranded_nrna_to_gdna_rate	stranded_nrna_to_gdna_rate	delta_nrna_to_gdna_rate	unstranded_nrna_rna_compatible_rate	stranded_nrna_rna_compatible_rate	delta_nrna_rna_compatible_rate	unstranded_gdna_to_gdna_rate	stranded_gdna_to_gdna_rate	delta_gdna_to_gdna_rate	unstranded_gdna_to_rna_rate	stranded_gdna_to_rna_rate	delta_gdna_to_rna_rate	unstranded_assigned_gdna_fraction	stranded_assigned_gdna_fraction	delta_assigned_gdna_fraction	unstranded_assigned_nrna_fraction	stranded_assigned_nrna_fraction	delta_assigned_nrna_fraction	unstranded_loci_gdna_recovery	stranded_loci_gdna_recovery	delta_loci_gdna_recovery	unstranded_loci_nrna_recovery	stranded_loci_nrna_recovery	delta_loci_nrna_recovery	unstranded_gdna_fl_mean	stranded_gdna_fl_mean	delta_gdna_fl_mean	unstranded_rho_intron_over_intergenic	stranded_rho_intron_over_intergenic	delta_rho_intron_over_intergenic	unstranded_rho_exon_intron_over_intergenic	stranded_rho_exon_intron_over_intergenic	delta_rho_exon_intron_over_intergenic
high	high	gdna_high_ss_0.50_nrna_high	gdna_high_ss_0.99_nrna_high	1000000	275885	2000000	0.9195289211922885	0.945243193823959	0.025714272631670587	0.921934	0.936136	0.014201999999999937	0.050071	0.01882	-0.031251	0.027995	0.045044	0.017049	0.39573735433242113	0.6563133189553618	0.2605759646229407	0.1628613371513493	0.16373851423600413	0.0008771770846548455	0.4412128241839897	0.17975968247639415	-0.2614531417075956	0.5585986914837704	0.820051833191366	0.2614531417075956	0.9905795	0.9896525	-0.0009269999999999001	0.009309	0.010236	0.0009270000000000007	0.6572129363515508	0.625088487538482	-0.03212444881306875	0.0445412461060141	0.07289785813604568	0.028356612030031585	0.196895	0.144277	-0.052618	0.4922087101509687	0.8269097631259401	0.33470105297497144	341.17773091177696	341.17773091177696	0.0	2.1673997715668127	1.0046147975899806	-1.1627849739768321	1.8304904784355085	1.2792507651541118	-0.5512397132813966
high	low	gdna_high_ss_0.50_nrna_low	gdna_high_ss_0.99_nrna_low	1000000	59261	2000000	0.9676895825495111	0.9763478827076212	0.008658300158110088	0.957787	0.970095	0.012307999999999986	0.030198	0.016641	-0.013557	0.012015	0.013264	0.0012490000000000001	0.3023573682523076	0.4966166618855571	0.1942592936332495	0.17314928873964328	0.16970688986011037	-0.003442398879532904	0.5243414724692462	0.3335245777155296	-0.1908168947537166	0.4755066569919509	0.6663235517456675	0.1908168947537166	0.992355	0.993689	0.0013340000000000574	0.007528	0.006194	-0.0013340000000000001	0.6687827550509747	0.6615270812134042	-0.007255673837570531	0.011010502209520535	0.015324942853846077	0.004314440644325542	0.1431395	0.132041	-0.011098500000000011	0.3897335515769224	0.6084440019574425	0.21871045038052012	348.9915568653522	348.9915568653522	0.0	1.2560450260876788	1.0035578631386666	-0.2524871629490122	1.1614166089796867	1.0548258004427158	-0.1065908085369709
high	zero	gdna_high_ss_0.50_nrna_zero	gdna_high_ss_0.99_nrna_zero	1000000	0	2000000	0.9846536666666666	0.9884856666666667	0.0038320000000000576	0.966486	0.974465	0.00797900000000007	0.023224	0.014956	-0.008268000000000001	0.01029	0.010579	0.0002889999999999993													0.9937375	0.995496	0.0017584999999999962	0.0061615	0.004403	-0.0017585000000000005	0.670233	0.6686493333333333	-0.00158366666666665	0.003577	0.003616	3.899999999999997e-05	0.1250655	0.12269	-0.0023755000000000026				351.39171021835193	351.39171021835193	0.0	0.997234172065806	0.9954087351601854	-0.0018254369056206476	0.9799150008823857	0.9718785004501254	-0.00803650043226034
low	high	gdna_low_ss_0.50_nrna_high	gdna_low_ss_0.99_nrna_high	1000000	275885	250000	0.8287773980345832	0.9180292092785498	0.08925181124396664	0.929775	0.946544	0.016769000000000034	0.047133	0.005754	-0.041379	0.023092	0.047702	0.02461	0.31638182576073365	0.7562970078112257	0.439915182050492	0.16565597984667524	0.16650778404045163	0.0008518041937763954	0.5177737100603512	0.07700672381608278	-0.44076698624426847	0.4820378056074089	0.9228047918516773	0.4407669862442684	0.990236	0.982448	-0.007788000000000017	0.00968	0.017468	0.0077880000000000015	0.2867437585401259	0.17865763147288294	-0.10808612706724297	0.07297338921347284	0.1698968139800837	0.09692342476661085	0.872172	0.212464	-0.659708	0.3670116171593236	0.9003461587255559	0.5333345415662323	303.574964306819	303.574964306819	0.0	10.220927018613823	1.0125781824248454	-9.208348836188978	8.50960141264613	3.611006085507505	-4.898595327138626
low	low	gdna_low_ss_0.50_nrna_low	gdna_low_ss_0.99_nrna_low	1000000	59261	250000	0.9583421487388687	0.9701404074512263	0.011798258712357623	0.977786	0.98109	0.0033039999999999736	0.008687	0.003224	-0.005463000000000001	0.013527	0.015686	0.0021589999999999977	0.5041933143213918	0.7113616037528897	0.2071682894314979	0.17573108789929295	0.17105685020502523	-0.004674237694267724	0.319991225257758	0.11749717352052784	-0.20249405173723017	0.6799244022206847	0.882418453957915	0.20249405173723023	0.98822	0.987684	-0.0005359999999999809	0.011696	0.012232	0.000536	0.20981683560420725	0.1963764291459075	-0.013440406458299747	0.03397641875836827	0.04531716747080987	0.011340748712441596	0.219528	0.14914	-0.070388	0.5665783567607702	0.8143298290612713	0.2477514723005011	334.6928797333105	334.6928797333105	0.0	3.032912247294675	1.0068181284534266	-2.0260941188412485	2.4531235585175937	1.5317912080347549	-0.9213323504828388
low	zero	gdna_low_ss_0.50_nrna_zero	gdna_low_ss_0.99_nrna_zero	1000000	0	250000	0.987192	0.9879416	0.0007496000000000169	0.9862	0.986684	0.00048400000000003995	0.002748	0.002256	-0.0004919999999999998	0.011052	0.01106	8.000000000001062e-06													0.99116	0.992972	0.0018119999999999248	0.008748	0.006936	-0.0018120000000000002	0.2004304	0.2003992	-3.1200000000009e-05	0.0089032	0.0088984	-4.799999999999249e-06	0.122356	0.1222	-0.00015600000000000336				351.17413193522157	351.17413193522157	0.0	1.0069249420506827	0.99066923164551	-0.016255710405172707	0.9777663581143372	0.9807573850881159	0.002991026973778732
med	high	gdna_med_ss_0.50_nrna_high	gdna_med_ss_0.99_nrna_high	1000000	275885	1000000	0.8938386605650109	0.9333349444282114	0.039496283863200476	0.928793	0.940946	0.01215299999999997	0.042511	0.011006	-0.031505	0.028696	0.048048	0.019352	0.41966761512949236	0.7103032060459974	0.29063559091650504	0.16461206662196204	0.1639596208565163	-0.0006524457654457361	0.41553545861500263	0.1255523134639433	-0.28998314515105933	0.5842796817514544	0.8742628269025138	0.2899831451510594	0.989701	0.987255	-0.0024460000000000592	0.010164	0.01261	0.0024460000000000003	0.5039147408590504	0.4538449877739868	-0.05006975308506362	0.0656254599858956	0.11077668687126108	0.04515122688536548	0.266985	0.153032	-0.11395299999999997	0.504144842959929	0.8745890497852365	0.37044420682530754	332.82091196490745	332.82091196490745	0.0	3.31932569722319	0.9974454221683468	-2.321880275054843	2.7113469625601545	1.5621427367211957	-1.1492042258389588
med	low	gdna_med_ss_0.50_nrna_low	gdna_med_ss_0.99_nrna_low	1000000	59261	1000000	0.9634553366474672	0.9725362642229421	0.009080927575474962	0.96943	0.975946	0.006515999999999966	0.017684	0.00938	-0.008303999999999999	0.012886	0.014674	0.0017879999999999997	0.4020350652199592	0.588987698486357	0.18695263326639783	0.18005096100302054	0.1752248527699499	-0.004826108233070642	0.41774522873390596	0.2356187037005788	-0.18212652503332716	0.5820860262229797	0.7642125512563068	0.18212652503332716	0.990751	0.991856	0.0011049999999999116	0.009166	0.008061	-0.001105	0.5017290183225924	0.4929919034061248	-0.008737114916467614	0.019159300350951144	0.02562715459575061	0.0064678542447994675	0.153136	0.135144	-0.017992000000000008	0.48316768194934273	0.7049661666188556	0.22179848466951285	346.7087008092348	346.7087008092348	0.0	1.5047585612082939	1.00326591262189	-0.501492648586404	1.3246424290525827	1.104634992563455	-0.22000743648912757
med	zero	gdna_med_ss_0.50_nrna_zero	gdna_med_ss_0.99_nrna_zero	1000000	0	1000000	0.985346	0.987893	0.002546999999999966	0.977818	0.981124	0.003306000000000031	0.011541	0.007991	-0.0035499999999999993	0.010641	0.010885	0.00024400000000000116													0.992874	0.994662	0.0017880000000000118	0.006998	0.00521	-0.0017879999999999997	0.5022075	0.5013265	-0.0008810000000000207	0.00545	0.0055405	9.05000000000003e-05	0.124875	0.123113	-0.0017619999999999997				351.43575718181114	351.43575718181114	0.0	1.0038061068737267	1.0022098362682825	-0.0015962706054442055	0.9855520592190206	0.9771883604354223	-0.008363698783598217
zero	high	gdna_zero_ss_0.50_nrna_high	gdna_zero_ss_0.99_nrna_high	1000000	275885	0	0.7244978975377875	0.9097018931957034	0.1852039956579159	0.914583	0.945948	0.031364999999999976	0.076169	0.003682	-0.072487	0.009248	0.05037	0.041122	0.03549667433894557	0.7783206770937166	0.742824002754771	0.15959548362542364	0.16484767203726192	0.005252188411838277	0.8046831107164217	0.05660691954981242	-0.7480761911666093	0.1950921579643692	0.9431683491309785	0.7480761911666093							0.23369582681824771	0.015125971384568358	-0.21856985543367935	0.01492375880271341	0.20777499539535302	0.1928512365926396				0.03549667433894557	0.9216666364608442	0.8861699621218987	250.13583983397203	250.13583983397203	0.0						
