condition	true_pool	pred_pool	zc	zs	count
gdna_zero_ss_0.50_nrna_zero	mrna	mrna	ambig_same_strand	unspliced	651925
gdna_zero_ss_0.50_nrna_zero	mrna	mrna	ambig_same_strand	spliced_annot	151570
gdna_zero_ss_0.50_nrna_zero	mrna	mrna	ambig_same_strand	spliced_implicit	2400
gdna_zero_ss_0.50_nrna_zero	mrna	mrna	unambig	spliced_annot	37399
gdna_zero_ss_0.50_nrna_zero	mrna	mrna	ambig_opp_strand	unspliced	144878
gdna_zero_ss_0.50_nrna_zero	mrna	nrna	ambig_same_strand	unspliced	11130
gdna_zero_ss_0.50_nrna_zero	mrna	gdna	ambig_same_strand	unspliced	2
gdna_zero_ss_0.50_nrna_zero	mrna	mrna	ambig_opp_strand	spliced_implicit	695
gdna_zero_ss_0.50_nrna_zero	mrna	nrna	unambig	unspliced	1
gdna_zero_ss_0.99_nrna_zero	mrna	mrna	ambig_same_strand	unspliced	651925
gdna_zero_ss_0.99_nrna_zero	mrna	mrna	ambig_same_strand	spliced_annot	151570
gdna_zero_ss_0.99_nrna_zero	mrna	mrna	ambig_same_strand	spliced_implicit	2400
gdna_zero_ss_0.99_nrna_zero	mrna	mrna	unambig	spliced_annot	37399
gdna_zero_ss_0.99_nrna_zero	mrna	mrna	ambig_opp_strand	unspliced	144878
gdna_zero_ss_0.99_nrna_zero	mrna	nrna	ambig_same_strand	unspliced	11132
gdna_zero_ss_0.99_nrna_zero	mrna	mrna	ambig_opp_strand	spliced_implicit	695
gdna_zero_ss_0.99_nrna_zero	mrna	nrna	unambig	unspliced	1
gdna_low_ss_0.50_nrna_zero	mrna	mrna	ambig_same_strand	unspliced	649443
gdna_low_ss_0.50_nrna_zero	mrna	mrna	ambig_same_strand	spliced_annot	151748
gdna_low_ss_0.50_nrna_zero	mrna	gdna	ambig_same_strand	unspliced	2137
gdna_low_ss_0.50_nrna_zero	mrna	mrna	ambig_same_strand	spliced_implicit	2437
gdna_low_ss_0.50_nrna_zero	mrna	mrna	unambig	spliced_annot	37353
gdna_low_ss_0.50_nrna_zero	mrna	mrna	ambig_opp_strand	unspliced	144445
gdna_low_ss_0.50_nrna_zero	mrna	gdna	ambig_opp_strand	unspliced	611
gdna_low_ss_0.50_nrna_zero	mrna	nrna	ambig_same_strand	unspliced	11052
gdna_low_ss_0.50_nrna_zero	gdna	gdna	.	unknown	219949
gdna_low_ss_0.50_nrna_zero	gdna	gdna	ambig_same_strand	unspliced	24328
gdna_low_ss_0.50_nrna_zero	gdna	mrna	ambig_opp_strand	unspliced	463
gdna_low_ss_0.50_nrna_zero	gdna	gdna	unambig	unspliced	39
gdna_low_ss_0.50_nrna_zero	gdna	gdna	ambig_opp_strand	unspliced	3474
gdna_low_ss_0.50_nrna_zero	gdna	mrna	ambig_same_strand	unspliced	1647
gdna_low_ss_0.50_nrna_zero	gdna	nrna	ambig_same_strand	unspliced	77
gdna_low_ss_0.50_nrna_zero	gdna	unresolved	.	unspliced	23
gdna_low_ss_0.50_nrna_zero	mrna	mrna	ambig_opp_strand	spliced_implicit	774
gdna_low_ss_0.99_nrna_zero	mrna	mrna	ambig_same_strand	unspliced	649762
gdna_low_ss_0.99_nrna_zero	mrna	mrna	ambig_same_strand	spliced_annot	151748
gdna_low_ss_0.99_nrna_zero	mrna	gdna	ambig_same_strand	unspliced	1810
gdna_low_ss_0.99_nrna_zero	mrna	mrna	ambig_same_strand	spliced_implicit	2437
gdna_low_ss_0.99_nrna_zero	mrna	mrna	unambig	spliced_annot	37353
gdna_low_ss_0.99_nrna_zero	mrna	mrna	ambig_opp_strand	unspliced	144610
gdna_low_ss_0.99_nrna_zero	mrna	gdna	ambig_opp_strand	unspliced	446
gdna_low_ss_0.99_nrna_zero	mrna	nrna	ambig_same_strand	unspliced	11060
gdna_low_ss_0.99_nrna_zero	gdna	gdna	.	unknown	219949
gdna_low_ss_0.99_nrna_zero	gdna	gdna	ambig_same_strand	unspliced	24676
gdna_low_ss_0.99_nrna_zero	gdna	gdna	ambig_opp_strand	unspliced	3579
gdna_low_ss_0.99_nrna_zero	gdna	gdna	unambig	unspliced	39
gdna_low_ss_0.99_nrna_zero	gdna	mrna	ambig_same_strand	unspliced	1315
gdna_low_ss_0.99_nrna_zero	gdna	mrna	ambig_opp_strand	unspliced	356
gdna_low_ss_0.99_nrna_zero	gdna	nrna	ambig_same_strand	unspliced	61
gdna_low_ss_0.99_nrna_zero	gdna	unresolved	.	unspliced	23
gdna_low_ss_0.99_nrna_zero	gdna	nrna	ambig_opp_strand	unspliced	2
gdna_low_ss_0.99_nrna_zero	mrna	mrna	ambig_opp_strand	spliced_implicit	774
gdna_med_ss_0.50_nrna_zero	mrna	mrna	ambig_same_strand	unspliced	642531
gdna_med_ss_0.50_nrna_zero	mrna	mrna	ambig_same_strand	spliced_annot	152128
gdna_med_ss_0.50_nrna_zero	mrna	gdna	ambig_same_strand	unspliced	9056
gdna_med_ss_0.50_nrna_zero	mrna	mrna	ambig_same_strand	spliced_implicit	2345
gdna_med_ss_0.50_nrna_zero	mrna	mrna	unambig	spliced_annot	37374
gdna_med_ss_0.50_nrna_zero	mrna	gdna	ambig_opp_strand	unspliced	2483
gdna_med_ss_0.50_nrna_zero	mrna	mrna	ambig_opp_strand	unspliced	142667
gdna_med_ss_0.50_nrna_zero	mrna	nrna	ambig_same_strand	unspliced	10641
gdna_med_ss_0.50_nrna_zero	gdna	gdna	.	unknown	879540
gdna_med_ss_0.50_nrna_zero	gdna	gdna	ambig_same_strand	unspliced	98791
gdna_med_ss_0.50_nrna_zero	gdna	gdna	ambig_opp_strand	unspliced	14348
gdna_med_ss_0.50_nrna_zero	gdna	mrna	ambig_same_strand	unspliced	5314
gdna_med_ss_0.50_nrna_zero	gdna	mrna	ambig_opp_strand	unspliced	1425
gdna_med_ss_0.50_nrna_zero	gdna	nrna	ambig_same_strand	unspliced	259
gdna_med_ss_0.50_nrna_zero	gdna	unresolved	.	unspliced	128
gdna_med_ss_0.50_nrna_zero	gdna	gdna	unambig	unspliced	195
gdna_med_ss_0.50_nrna_zero	mrna	mrna	ambig_opp_strand	spliced_implicit	773
gdna_med_ss_0.50_nrna_zero	mrna	gdna	unambig	unspliced	2
gdna_med_ss_0.99_nrna_zero	mrna	mrna	ambig_same_strand	unspliced	645083
gdna_med_ss_0.99_nrna_zero	mrna	mrna	ambig_same_strand	spliced_annot	152128
gdna_med_ss_0.99_nrna_zero	mrna	gdna	ambig_same_strand	unspliced	6262
gdna_med_ss_0.99_nrna_zero	mrna	mrna	ambig_same_strand	spliced_implicit	2345
gdna_med_ss_0.99_nrna_zero	mrna	mrna	unambig	spliced_annot	37374
gdna_med_ss_0.99_nrna_zero	mrna	mrna	ambig_opp_strand	unspliced	143421
gdna_med_ss_0.99_nrna_zero	mrna	gdna	ambig_opp_strand	unspliced	1729
