condition	true_pool	pred_pool	zf	count
gdna_zero_ss_0.50_nrna_zero	mrna	mrna	3	988867
gdna_zero_ss_0.50_nrna_zero	mrna	nrna	9	11131
gdna_zero_ss_0.50_nrna_zero	mrna	gdna	5	2
gdna_zero_ss_0.99_nrna_zero	mrna	mrna	3	988867
gdna_zero_ss_0.99_nrna_zero	mrna	nrna	9	11132
gdna_zero_ss_0.99_nrna_zero	mrna	nrna	25	1
gdna_low_ss_0.50_nrna_zero	mrna	mrna	3	986200
gdna_low_ss_0.50_nrna_zero	mrna	gdna	5	2748
gdna_low_ss_0.50_nrna_zero	mrna	nrna	9	11052
gdna_low_ss_0.50_nrna_zero	gdna	gdna	37	219949
gdna_low_ss_0.50_nrna_zero	gdna	gdna	5	27841
gdna_low_ss_0.50_nrna_zero	gdna	mrna	3	2110
gdna_low_ss_0.50_nrna_zero	gdna	nrna	9	77
gdna_low_ss_0.50_nrna_zero	gdna	unresolved	64	23
gdna_low_ss_0.99_nrna_zero	mrna	mrna	3	986684
gdna_low_ss_0.99_nrna_zero	mrna	gdna	5	2256
gdna_low_ss_0.99_nrna_zero	mrna	nrna	9	11060
gdna_low_ss_0.99_nrna_zero	gdna	gdna	37	219949
gdna_low_ss_0.99_nrna_zero	gdna	gdna	5	28294
gdna_low_ss_0.99_nrna_zero	gdna	mrna	3	1671
gdna_low_ss_0.99_nrna_zero	gdna	nrna	9	54
gdna_low_ss_0.99_nrna_zero	gdna	unresolved	64	23
gdna_low_ss_0.99_nrna_zero	gdna	nrna	25	9
gdna_med_ss_0.50_nrna_zero	mrna	mrna	3	977818
gdna_med_ss_0.50_nrna_zero	mrna	gdna	5	11541
gdna_med_ss_0.50_nrna_zero	mrna	nrna	9	10641
gdna_med_ss_0.50_nrna_zero	gdna	gdna	37	879540
gdna_med_ss_0.50_nrna_zero	gdna	gdna	5	113334
gdna_med_ss_0.50_nrna_zero	gdna	mrna	3	6739
gdna_med_ss_0.50_nrna_zero	gdna	nrna	9	259
gdna_med_ss_0.50_nrna_zero	gdna	unresolved	64	128
gdna_med_ss_0.99_nrna_zero	mrna	mrna	3	981124
gdna_med_ss_0.99_nrna_zero	mrna	gdna	5	7991
gdna_med_ss_0.99_nrna_zero	mrna	nrna	9	10885
gdna_med_ss_0.99_nrna_zero	gdna	gdna	37	879540
gdna_med_ss_0.99_nrna_zero	gdna	gdna	5	115122
gdna_med_ss_0.99_nrna_zero	gdna	mrna	3	5014
gdna_med_ss_0.99_nrna_zero	gdna	nrna	9	196
gdna_med_ss_0.99_nrna_zero	gdna	unresolved	64	128
gdna_high_ss_0.50_nrna_zero	mrna	mrna	3	966486
gdna_high_ss_0.50_nrna_zero	mrna	gdna	5	23224
gdna_high_ss_0.50_nrna_zero	mrna	nrna	9	10290
gdna_high_ss_0.50_nrna_zero	gdna	gdna	37	1760568
gdna_high_ss_0.50_nrna_zero	gdna	gdna	5	226907
gdna_high_ss_0.50_nrna_zero	gdna	mrna	3	11882
gdna_high_ss_0.50_nrna_zero	gdna	nrna	9	441
gdna_high_ss_0.50_nrna_zero	gdna	unresolved	64	202
gdna_high_ss_0.99_nrna_zero	mrna	mrna	3	974465
gdna_high_ss_0.99_nrna_zero	mrna	gdna	5	14956
gdna_high_ss_0.99_nrna_zero	mrna	nrna	9	10579
gdna_high_ss_0.99_nrna_zero	gdna	gdna	37	1760568
gdna_high_ss_0.99_nrna_zero	gdna	gdna	5	230424
gdna_high_ss_0.99_nrna_zero	gdna	mrna	3	8537
gdna_high_ss_0.99_nrna_zero	gdna	nrna	9	269
gdna_high_ss_0.99_nrna_zero	gdna	unresolved	64	202
gdna_zero_ss_0.50_nrna_low	mrna	mrna	3	973960
gdna_zero_ss_0.50_nrna_low	mrna	gdna	5	15347
gdna_zero_ss_0.50_nrna_low	mrna	nrna	9	10693
gdna_zero_ss_0.50_nrna_low	nrna	gdna	5	42592
gdna_zero_ss_0.50_nrna_low	nrna	mrna	3	10694
gdna_zero_ss_0.50_nrna_low	nrna	unresolved	64	7
gdna_zero_ss_0.50_nrna_low	nrna	nrna	25	5968
gdna_zero_ss_0.99_nrna_low	mrna	mrna	3	982696
gdna_zero_ss_0.99_nrna_low	mrna	gdna	5	772
gdna_zero_ss_0.99_nrna_low	mrna	nrna	25	5457
gdna_zero_ss_0.99_nrna_low	mrna	nrna	9	11075
gdna_zero_ss_0.99_nrna_low	nrna	gdna	5	3207
gdna_zero_ss_0.99_nrna_low	nrna	nrna	25	45600
gdna_zero_ss_0.99_nrna_low	nrna	mrna	3	10447
gdna_zero_ss_0.99_nrna_low	nrna	unresolved	64	7
gdna_low_ss_0.50_nrna_low	mrna	mrna	3	977786
gdna_low_ss_0.50_nrna_low	mrna	nrna	25	2694
gdna_low_ss_0.50_nrna_low	mrna	gdna	5	8687
gdna_low_ss_0.50_nrna_low	mrna	nrna	9	10833
gdna_low_ss_0.50_nrna_low	nrna	nrna	25	29879
gdna_low_ss_0.50_nrna_low	nrna	mrna	3	10414
gdna_low_ss_0.50_nrna_low	nrna	gdna	5	18963
gdna_low_ss_0.50_nrna_low	nrna	unresolved	64	5
gdna_low_ss_0.50_nrna_low	gdna	gdna	37	219823
gdna_low_ss_0.50_nrna_low	gdna	gdna	5	27232
gdna_low_ss_0.50_nrna_low	gdna	mrna	3	1846
gdna_low_ss_0.50_nrna_low	gdna	nrna	25	1003
gdna_low_ss_0.50_nrna_low	gdna	unresolved	64	21
gdna_low_ss_0.50_nrna_low	gdna	nrna	9	75
gdna_low_ss_0.99_nrna_low	mrna	mrna	3	981090
gdna_low_ss_0.99_nrna_low	mrna	nrna	25	4668
gdna_low_ss_0.99_nrna_low	mrna	gdna	5	3224
gdna_low_ss_0.99_nrna_low	mrna	nrna	9	11018
gdna_low_ss_0.99_nrna_low	nrna	nrna	25	42156
gdna_low_ss_0.99_nrna_low	nrna	mrna	3	10137
gdna_low_ss_0.99_nrna_low	nrna	gdna	5	6963
gdna_low_ss_0.99_nrna_low	nrna	unresolved	64	5
gdna_low_ss_0.99_nrna_low	gdna	gdna	37	219823
gdna_low_ss_0.99_nrna_low	gdna	gdna	5	27098
gdna_low_ss_0.99_nrna_low	gdna	mrna	3	1568
gdna_low_ss_0.99_nrna_low	gdna	nrna	25	1434
gdna_low_ss_0.99_nrna_low	gdna	unresolved	64	21
gdna_low_ss_0.99_nrna_low	gdna	nrna	9	56
gdna_med_ss_0.50_nrna_low	mrna	mrna	3	969430
gdna_med_ss_0.50_nrna_low	mrna	nrna	25	2304
gdna_med_ss_0.50_nrna_low	mrna	gdna	5	17684
gdna_med_ss_0.50_nrna_low	mrna	nrna	9	10582
gdna_med_ss_0.50_nrna_low	nrna	mrna	3	10670
gdna_med_ss_0.50_nrna_low	nrna	nrna	25	23825
gdna_med_ss_0.50_nrna_low	nrna	gdna	5	24756
gdna_med_ss_0.50_nrna_low	nrna	unresolved	64	10
gdna_med_ss_0.50_nrna_low	gdna	gdna	5	110696
gdna_med_ss_0.50_nrna_low	gdna	gdna	37	880055
gdna_med_ss_0.50_nrna_low	gdna	mrna	3	6423
gdna_med_ss_0.50_nrna_low	gdna	nrna	25	2504
gdna_med_ss_0.50_nrna_low	gdna	nrna	9	239
