condition	gdna_label	gdna_rate	nrna_label	strand_specificity	truth_mrna	truth_nrna	truth_gdna	truth_total_manifest	loci_mrna	loci_nrna	loci_gdna	quant_mrna_total	nrna_quant_total	gene_quant_total	strand_model_estimate	rna_fl_mean	gdna_fl_mean	gdna_fl_rel_error	rho_intergenic	rho_intron	rho_exon_intron	rho_intron_uncorrected	rho_exon_intron_uncorrected	rho_intron_estimated_fragments	rho_exon_intron_estimated_fragments	rho_intron_strand_active	rho_exon_intron_strand_active	rho_intron_over_intergenic	rho_exon_intron_over_intergenic	total_fragments	pred_mrna	mrna_same_gene_wrong_tx	mrna_exact_tx	pred_nrna	mrna_wrong_gene	mrna_to_mrna	mrna_to_nrna	mrna_to_gdna	mrna_to_unresolved	nrna_to_mrna	nrna_to_nrna	nrna_to_gdna	nrna_to_unresolved	gdna_to_mrna	gdna_to_nrna	gdna_to_gdna	gdna_to_unresolved	mrna_to_mrna_rate	mrna_to_nrna_rate	mrna_to_gdna_rate	mrna_to_unresolved_rate	nrna_to_mrna_rate	nrna_to_nrna_rate	nrna_to_gdna_rate	nrna_to_unresolved_rate	gdna_to_mrna_rate	gdna_to_nrna_rate	gdna_to_gdna_rate	gdna_to_unresolved_rate	assigned_mrna_fraction	assigned_nrna_fraction	assigned_gdna_fraction	assigned_unresolved_fraction	truth_mrna_fraction	truth_nrna_fraction	truth_gdna_fraction	mrna_exact_tx_rate	mrna_gene_rate	mrna_wrong_gene_rate	nrna_rna_compatible_rate	gdna_to_rna_rate	rna_to_gdna_rate	overall_pool_accuracy	loci_mrna_recovery	loci_nrna_recovery	loci_gdna_recovery	winner_nrna_recall	winner_gdna_recall	winner_mrna_recall	pred_gdna	pred_unresolved
gdna_zero_ss_0.50_nrna_zero	zero	0.0	zero	0.5	1000000	0	0	1000000	1000000.0	0.0	0.0	1000000.0	0.0	1000000.0	0.5015	257.8643284451268	249.31152433217835	-0.287681359050919	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False	False			1000000	988868	289876	696423	11132	2569	988868	11132	0	0	0	0	0	0	0	0	0	0	0.988868	0.011132	0.0	0.0									0.988868	0.011132	0.0	0.0	1.0	0.0	0.0	0.696423	0.986299	0.002569			0.0	0.988868	1.0					0.988868		
gdna_zero_ss_0.99_nrna_zero	zero	0.0	zero	0.99	1000000	0	0	1000000	1000000.0	0.0	0.0	1000000.0	0.0	1000000.0	0.990533	257.8643284451268	249.31152433217835	-0.287681359050919	0.0	0.0	0.0	0.0	0.0	0.0	0.0	True	True			1000000	988868	288863	699876	11132	129	988868	11132	0	0	0	0	0	0	0	0	0	0	0.988868	0.011132	0.0	0.0									0.988868	0.011132	0.0	0.0	1.0	0.0	0.0	0.699876	0.988739	0.000129			0.0	0.988868	1.0					0.988868		
gdna_low_ss_0.50_nrna_zero	low	0.25	zero	0.5	1000000	0	250000	1250000	999377.0	0.0	30651.0	999377.0	0.0	999377.0	0.500791	257.65344858596865	351.17413193522157	0.00335466267206162	0.024998048116358137	0.025171158150944097	0.024442250466698463	0.025171158150944097	0.024442250466698463	20768.0	4255.0	False	False	1.0069249420506827	0.9777663581143372	1250000	988283	282677	701005	11094	2483	986165	11017	2818	0	0	0	0	0	2118	77	247782	23	0.986165	0.011017	0.002818	0.0					0.008472	0.000308	0.991128	9.2e-05	0.7906264	0.0088752	0.20048	1.84e-05	0.8	0.0	0.2	0.701005	0.983682	0.002483		0.00878	0.002818	0.9871576	0.999377		0.122604		0.991128	0.986165	250600.0	23.0
gdna_low_ss_0.99_nrna_zero	low	0.25	zero	0.99	1000000	0	250000	1250000	999499.0	6.0	30523.0	999499.0	6.0	999499.0	0.990085	257.65344858596865	351.17413193522157	0.00335466267206162	0.024998048116358137	0.024764797120070004	0.024517020302906308	0.025171158150944097	0.024442250466698463	20432.723178862685	4268.016217696396	True	True	0.99066923164551	0.9807573850881159	1250000	988381	277869	708708	11124	122	986699	11057	2244	0	0	0	0	0	1682	67	248228	23	0.986699	0.011057	0.002244	0.0					0.006728	0.000268	0.992912	9.2e-05	0.7907048	0.0088992	0.2003776	1.84e-05	0.8	0.0	0.2	0.708708	0.986577	0.000122		0.006996	0.002244	0.9879416	0.999499		0.122092		0.992912	0.986699	250472.0	23.0
gdna_med_ss_0.50_nrna_zero	med	1.0	zero	0.5	1000000	0	1000000	2000000	995752.0	0.0	124580.0	995752.0	0.0	995752.0	0.500823	257.62186604159075	351.43575718181114	0.00410216337660326	0.09996312848485989	0.10034359883530533	0.09851886712422919	0.10034359883530533	0.09851886712422919	82795.0	17141.0	False	False	1.0038061068737267	0.9855520592190206	2000000	984898	282351	693202	10854	2447	978000	10596	11404	0	0	0	0	0	6898	258	992716	128	0.978	0.010596	0.011404	0.0					0.006898	0.000258	0.992716	0.000128	0.492449	0.005427	0.50206	6.4e-05	0.5	0.0	0.5	0.693202	0.975553	0.002447		0.007156	0.011404	0.985358	0.995752		0.12458		0.992716	0.978	1004120.0	128.0
gdna_med_ss_0.99_nrna_zero	med	1.0	zero	0.99	1000000	0	1000000	2000000	997352.0	0.0	122980.0	997352.0	0.0	997352.0	0.990026	257.62186604159075	351.43575718181114	0.00410216337660326	0.09996312848485989	0.10018403063167672	0.0976828056281157	0.10034359883530533	0.09851886712422919	82663.3378952641	16995.536186588397	True	True	1.0022098362682825	0.9771883604354223	2000000	986339	285007	696155	11013	110	981272	10817	7911	0	0	0	0	0	5067	196	994609	128	0.981272	0.010817	0.007911	0.0					0.005067	0.000196	0.994609	0.000128	0.4931695	0.0055065	0.50126	6.4e-05	0.5	0.0	0.5	0.696155	0.981162	0.00011		0.005263	0.007911	0.9879405	0.997352		0.12298		0.994609	0.981272	1002520.0	128.0
gdna_high_ss_0.50_nrna_zero	high	2.0	zero	0.5	1000000	0	2000000	3000000	988876.0	0.0	250354.0	988876.0	0.0	988876.0	0.500603	257.5760690549951	351.39171021835193	0.003976314909576948	0.20009568875047773	0.19954225850501986	0.19607676701848595	0.19954225850501986	0.19607676701848595	164651.0	34103.0	False	False	0.997234172065806	0.9799150008823857	3000000	978162	279045	684878	10714	2324	966247	10280	23473	0	0	0	0	0	11915	434	1987449	202	0.966247	0.01028	0.023473	0.0					0.0059575	0.000217	0.9937245	0.000101	0.326054	0.0035713333333333335	0.6703073333333334	6.733333333333333e-05	0.3333333333333333	0.0	0.6666666666666666	0.684878	0.963923	0.002324		0.0061745	0.023473	0.9845653333333333	0.988876		0.125177		0.9937245	0.966247	2010922.0	202.0
gdna_high_ss_0.99_nrna_zero	high	2.0	zero	0.99	1000000	0	2000000	3000000	993604.0	0.0	245626.0	993604.0	0.0	993604.0	0.990112	257.5760690549951	351.39171021835193	0.003976314909576948	0.20009568875047773	0.19917699645011916	0.19446869792934932	0.19954225850501986	0.19607676701848595	164349.60638517357	33823.31372721656	True	True	0.9954087351601854	0.9718785004501254	3000000	982781	281694	692463	10823	113	974270	10559	15171	0	0	0	0	0	8511	264	1991023	202	0.97427	0.010559	0.015171	0.0					0.0042555	0.000132	0.9955115	0.000101	0.32759366666666667	0.0036076666666666666	0.6687313333333333	6.733333333333333e-05	0.3333333333333333	0.0	0.6666666666666666	0.692463	0.974157	0.000113		0.0043875	0.015171	0.988431	0.993604		0.122813		0.9955115	0.97427	2006194.0	202.0
gdna_zero_ss_0.50_nrna_low	zero	0.0	low	0.5	1000000	59261	0	1059261	992448.0	0.0	66806.0	992448.0	0.0	992448.0	0.500211	257.5033199056893	250.24304766712945	-0.2850198638082016	0.0	0.04933645987268289	0.045848063559767234	0.04933645987268289	0.045848063559767234	41862.0	5763.0	False	False			1059261	981756	280702	687905	10692	2543	971150	10692	18158	0	10606	0	48648	7	0	0	0	0	0.97115	0.010692	0.018158	0.0	0.17897099272708863	0.0	0.8209108857427313	0.00011812153018005096					0.9268310642986006	0.010093829566084279	0.06306849775456663	6.608380748465203e-06	0.9440543926378863	0.05594560736211378	0.0	0.687905	0.968607	0.002543	0.17897099272708863		0.06306849775456663	0.9168184234102832	0.992448	0.0		0.0		0.97115	66806.0	7.0
gdna_zero_ss_0.99_nrna_low	zero	0.0	low	0.99	1000000	59261	0	1059261	1002789.0	52543.0	3922.0	1002789.0	52543.0	1002789.0	0.989954	257.5033199056893	250.24304766712945	-0.2850198638082016	0.0	0.0	0.014645435386597277	0.04933645987268289	0.045848063559767234	0.0	1840.8987769556436	True	True			1059261	991707	283400	697728	63625	139	981267	17934	799	0	10440	45691	3123	7	0	0	0	0	0.981267	0.017934	0.000799	0.0	0.17616982501139028	0.7710129764938155	0.052699076964614164	0.00011812153018005096					0.9362253495597402	0.06006546073158551	0.0037025813279257897	6.608380748465203e-06	0.9440543926378863	0.05594560736211378	0.0	0.697728	0.981128	0.000139	0.9471828015052057		0.0037025813279257897	0.9695042109546184	1.002789	0.8866370800357739		0.7710129764938155		0.981267	3922.0	7.0
