condition	true_pool	pred_pool	count
gdna_zero_ss_0.50_nrna_high	nrna	gdna	231922
gdna_low_ss_0.50_nrna_high	nrna	gdna	145126
gdna_high_ss_0.50_nrna_high	nrna	gdna	122084
gdna_med_ss_0.50_nrna_high	nrna	gdna	115333
gdna_zero_ss_0.50_nrna_high	mrna	gdna	75723
gdna_high_ss_0.50_nrna_high	mrna	gdna	50417
gdna_high_ss_0.99_nrna_high	nrna	gdna	49323
gdna_zero_ss_0.50_nrna_low	nrna	gdna	48648
gdna_low_ss_0.50_nrna_high	mrna	gdna	47508
gdna_med_ss_0.50_nrna_high	mrna	gdna	42897
gdna_med_ss_0.99_nrna_high	nrna	gdna	34732
gdna_high_ss_0.50_nrna_low	nrna	gdna	31126
gdna_high_ss_0.50_nrna_low	mrna	gdna	30609
gdna_med_ss_0.50_nrna_low	nrna	gdna	24768
gdna_high_ss_0.50_nrna_zero	mrna	gdna	23473
gdna_low_ss_0.99_nrna_high	nrna	gdna	20838
gdna_high_ss_0.99_nrna_low	nrna	gdna	19843
gdna_low_ss_0.50_nrna_low	nrna	gdna	19282
gdna_high_ss_0.99_nrna_high	mrna	gdna	18648
gdna_zero_ss_0.50_nrna_low	mrna	gdna	18158
gdna_med_ss_0.50_nrna_low	mrna	gdna	17710
gdna_high_ss_0.99_nrna_low	mrna	gdna	16751
gdna_high_ss_0.99_nrna_zero	mrna	gdna	15171
gdna_zero_ss_0.99_nrna_high	nrna	gdna	14619
gdna_med_ss_0.99_nrna_low	nrna	gdna	13786
gdna_med_ss_0.50_nrna_zero	mrna	gdna	11404
gdna_med_ss_0.99_nrna_high	mrna	gdna	11129
gdna_med_ss_0.99_nrna_low	mrna	gdna	9352
gdna_low_ss_0.50_nrna_low	mrna	gdna	8814
gdna_med_ss_0.99_nrna_zero	mrna	gdna	7911
gdna_low_ss_0.99_nrna_low	nrna	gdna	6845
gdna_low_ss_0.99_nrna_high	mrna	gdna	5655
gdna_zero_ss_0.99_nrna_high	mrna	gdna	3924
gdna_low_ss_0.99_nrna_low	mrna	gdna	3157
gdna_zero_ss_0.99_nrna_low	nrna	gdna	3123
gdna_low_ss_0.50_nrna_zero	mrna	gdna	2818
gdna_low_ss_0.99_nrna_zero	mrna	gdna	2244
gdna_zero_ss_0.99_nrna_low	mrna	gdna	799
gdna_high_ss_0.99_nrna_low	gdna	unresolved	234
gdna_high_ss_0.50_nrna_low	gdna	unresolved	234
gdna_high_ss_0.50_nrna_high	gdna	unresolved	223
gdna_high_ss_0.99_nrna_high	gdna	unresolved	223
gdna_high_ss_0.50_nrna_zero	gdna	unresolved	202
gdna_high_ss_0.99_nrna_zero	gdna	unresolved	202
gdna_med_ss_0.50_nrna_high	gdna	unresolved	135
gdna_med_ss_0.99_nrna_high	gdna	unresolved	135
gdna_med_ss_0.50_nrna_zero	gdna	unresolved	128
gdna_med_ss_0.99_nrna_zero	gdna	unresolved	128
gdna_med_ss_0.50_nrna_low	gdna	unresolved	83
gdna_med_ss_0.99_nrna_low	gdna	unresolved	83
gdna_zero_ss_0.99_nrna_high	nrna	unresolved	62
gdna_zero_ss_0.50_nrna_high	nrna	unresolved	62
gdna_high_ss_0.50_nrna_high	nrna	unresolved	52
gdna_low_ss_0.99_nrna_high	nrna	unresolved	52
gdna_high_ss_0.99_nrna_high	nrna	unresolved	52
gdna_low_ss_0.50_nrna_high	nrna	unresolved	52
gdna_med_ss_0.50_nrna_high	nrna	unresolved	51
gdna_med_ss_0.99_nrna_high	nrna	unresolved	51
gdna_low_ss_0.50_nrna_zero	gdna	unresolved	23
gdna_low_ss_0.99_nrna_zero	gdna	unresolved	23
gdna_low_ss_0.50_nrna_low	gdna	unresolved	21
gdna_low_ss_0.50_nrna_high	gdna	unresolved	21
gdna_low_ss_0.99_nrna_high	gdna	unresolved	21
gdna_low_ss_0.99_nrna_low	gdna	unresolved	21
gdna_med_ss_0.99_nrna_low	nrna	unresolved	10
gdna_med_ss_0.50_nrna_low	nrna	unresolved	10
gdna_high_ss_0.99_nrna_low	nrna	unresolved	9
gdna_high_ss_0.50_nrna_low	nrna	unresolved	9
gdna_zero_ss_0.50_nrna_low	nrna	unresolved	7
gdna_zero_ss_0.99_nrna_low	nrna	unresolved	7
gdna_low_ss_0.50_nrna_low	nrna	unresolved	5
gdna_low_ss_0.99_nrna_low	nrna	unresolved	5
