condition	true_pool	pred_pool	count	row_fraction	overall_fraction	mean_winner_posterior
gdna_zero_ss_0.50_nrna_zero	mrna	mrna	988868	0.988868	0.988868	0.694647548058821
gdna_zero_ss_0.50_nrna_zero	mrna	nrna	11132	0.011132	0.011132	0.9313973127390776
gdna_zero_ss_0.50_nrna_zero	mrna	gdna	0	0.0	0.0	
gdna_zero_ss_0.50_nrna_zero	mrna	unresolved	0	0.0	0.0	
gdna_zero_ss_0.50_nrna_zero	nrna	mrna	0		0.0	
gdna_zero_ss_0.50_nrna_zero	nrna	nrna	0		0.0	
gdna_zero_ss_0.50_nrna_zero	nrna	gdna	0		0.0	
gdna_zero_ss_0.50_nrna_zero	nrna	unresolved	0		0.0	
gdna_zero_ss_0.50_nrna_zero	gdna	mrna	0		0.0	
gdna_zero_ss_0.50_nrna_zero	gdna	nrna	0		0.0	
gdna_zero_ss_0.50_nrna_zero	gdna	gdna	0		0.0	
gdna_zero_ss_0.50_nrna_zero	gdna	unresolved	0		0.0	
gdna_zero_ss_0.50_nrna_zero	unresolved	mrna	0		0.0	
gdna_zero_ss_0.50_nrna_zero	unresolved	nrna	0		0.0	
gdna_zero_ss_0.50_nrna_zero	unresolved	gdna	0		0.0	
gdna_zero_ss_0.50_nrna_zero	unresolved	unresolved	0		0.0	
gdna_zero_ss_0.99_nrna_zero	mrna	mrna	988868	0.988868	0.988868	0.69891631278849
gdna_zero_ss_0.99_nrna_zero	mrna	nrna	11132	0.011132	0.011132	0.931019315442209
gdna_zero_ss_0.99_nrna_zero	mrna	gdna	0	0.0	0.0	
gdna_zero_ss_0.99_nrna_zero	mrna	unresolved	0	0.0	0.0	
gdna_zero_ss_0.99_nrna_zero	nrna	mrna	0		0.0	
gdna_zero_ss_0.99_nrna_zero	nrna	nrna	0		0.0	
gdna_zero_ss_0.99_nrna_zero	nrna	gdna	0		0.0	
gdna_zero_ss_0.99_nrna_zero	nrna	unresolved	0		0.0	
gdna_zero_ss_0.99_nrna_zero	gdna	mrna	0		0.0	
gdna_zero_ss_0.99_nrna_zero	gdna	nrna	0		0.0	
gdna_zero_ss_0.99_nrna_zero	gdna	gdna	0		0.0	
gdna_zero_ss_0.99_nrna_zero	gdna	unresolved	0		0.0	
gdna_zero_ss_0.99_nrna_zero	unresolved	mrna	0		0.0	
gdna_zero_ss_0.99_nrna_zero	unresolved	nrna	0		0.0	
gdna_zero_ss_0.99_nrna_zero	unresolved	gdna	0		0.0	
gdna_zero_ss_0.99_nrna_zero	unresolved	unresolved	0		0.0	
gdna_low_ss_0.50_nrna_zero	mrna	mrna	986165	0.986165	0.788932	0.6990599520788944
gdna_low_ss_0.50_nrna_zero	mrna	nrna	11017	0.011017	0.0088136	0.9212422341007218
gdna_low_ss_0.50_nrna_zero	mrna	gdna	2818	0.002818	0.0022544	0.18799596821930262
gdna_low_ss_0.50_nrna_zero	mrna	unresolved	0	0.0	0.0	
gdna_low_ss_0.50_nrna_zero	nrna	mrna	0		0.0	
gdna_low_ss_0.50_nrna_zero	nrna	nrna	0		0.0	
gdna_low_ss_0.50_nrna_zero	nrna	gdna	0		0.0	
gdna_low_ss_0.50_nrna_zero	nrna	unresolved	0		0.0	
gdna_low_ss_0.50_nrna_zero	gdna	mrna	2118	0.008472	0.0016944	0.6725934955271223
gdna_low_ss_0.50_nrna_zero	gdna	nrna	77	0.000308	6.16e-05	0.8012737873699758
gdna_low_ss_0.50_nrna_zero	gdna	gdna	247782	0.991128	0.1982256	0.9986869531737733
gdna_low_ss_0.50_nrna_zero	gdna	unresolved	23	9.2e-05	1.84e-05	0.0
gdna_low_ss_0.50_nrna_zero	unresolved	mrna	0		0.0	
gdna_low_ss_0.50_nrna_zero	unresolved	nrna	0		0.0	
gdna_low_ss_0.50_nrna_zero	unresolved	gdna	0		0.0	
gdna_low_ss_0.50_nrna_zero	unresolved	unresolved	0		0.0	
gdna_low_ss_0.99_nrna_zero	mrna	mrna	986699	0.986699	0.7893592	0.7101726343824801
gdna_low_ss_0.99_nrna_zero	mrna	nrna	11057	0.011057	0.0088456	0.9225258077660311
gdna_low_ss_0.99_nrna_zero	mrna	gdna	2244	0.002244	0.0017952	0.22686927812588992
gdna_low_ss_0.99_nrna_zero	mrna	unresolved	0	0.0	0.0	
gdna_low_ss_0.99_nrna_zero	nrna	mrna	0		0.0	
gdna_low_ss_0.99_nrna_zero	nrna	nrna	0		0.0	
gdna_low_ss_0.99_nrna_zero	nrna	gdna	0		0.0	
gdna_low_ss_0.99_nrna_zero	nrna	unresolved	0		0.0	
gdna_low_ss_0.99_nrna_zero	gdna	mrna	1682	0.006728	0.0013456	0.6573445751884339
gdna_low_ss_0.99_nrna_zero	gdna	nrna	67	0.000268	5.36e-05	0.6209688788113087
gdna_low_ss_0.99_nrna_zero	gdna	gdna	248228	0.992912	0.1985824	0.9986831053417593
gdna_low_ss_0.99_nrna_zero	gdna	unresolved	23	9.2e-05	1.84e-05	0.0
gdna_low_ss_0.99_nrna_zero	unresolved	mrna	0		0.0	
gdna_low_ss_0.99_nrna_zero	unresolved	nrna	0		0.0	
gdna_low_ss_0.99_nrna_zero	unresolved	gdna	0		0.0	
gdna_low_ss_0.99_nrna_zero	unresolved	unresolved	0		0.0	
gdna_med_ss_0.50_nrna_zero	mrna	mrna	978000	0.978	0.489	0.6922887607039713
gdna_med_ss_0.50_nrna_zero	mrna	nrna	10596	0.010596	0.005298	0.9322180469016231
gdna_med_ss_0.50_nrna_zero	mrna	gdna	11404	0.011404	0.005702	0.20167445178430818
gdna_med_ss_0.50_nrna_zero	mrna	unresolved	0	0.0	0.0	
gdna_med_ss_0.50_nrna_zero	nrna	mrna	0		0.0	
gdna_med_ss_0.50_nrna_zero	nrna	nrna	0		0.0	
gdna_med_ss_0.50_nrna_zero	nrna	gdna	0		0.0	
gdna_med_ss_0.50_nrna_zero	nrna	unresolved	0		0.0	
gdna_med_ss_0.50_nrna_zero	gdna	mrna	6898	0.006898	0.003449	0.6466286724819982
gdna_med_ss_0.50_nrna_zero	gdna	nrna	258	0.000258	0.000129	0.7977619552696051
gdna_med_ss_0.50_nrna_zero	gdna	gdna	992716	0.992716	0.496358	0.9987711993409023
gdna_med_ss_0.50_nrna_zero	gdna	unresolved	128	0.000128	6.4e-05	0.0
gdna_med_ss_0.50_nrna_zero	unresolved	mrna	0		0.0	
gdna_med_ss_0.50_nrna_zero	unresolved	nrna	0		0.0	
gdna_med_ss_0.50_nrna_zero	unresolved	gdna	0		0.0	
gdna_med_ss_0.50_nrna_zero	unresolved	unresolved	0		0.0	
gdna_med_ss_0.99_nrna_zero	mrna	mrna	981272	0.981272	0.490636	0.6939377319520598
gdna_med_ss_0.99_nrna_zero	mrna	nrna	10817	0.010817	0.0054085	0.9343850724549762
gdna_med_ss_0.99_nrna_zero	mrna	gdna	7911	0.007911	0.0039555	0.2606225463186995
gdna_med_ss_0.99_nrna_zero	mrna	unresolved	0	0.0	0.0	
gdna_med_ss_0.99_nrna_zero	nrna	mrna	0		0.0	
gdna_med_ss_0.99_nrna_zero	nrna	nrna	0		0.0	
gdna_med_ss_0.99_nrna_zero	nrna	gdna	0		0.0	
gdna_med_ss_0.99_nrna_zero	nrna	unresolved	0		0.0	
gdna_med_ss_0.99_nrna_zero	gdna	mrna	5067	0.005067	0.0025335	0.6145533193320033
gdna_med_ss_0.99_nrna_zero	gdna	nrna	196	0.000196	9.8e-05	0.6904268272705756
gdna_med_ss_0.99_nrna_zero	gdna	gdna	994609	0.994609	0.4973045	0.9988025515048332
gdna_med_ss_0.99_nrna_zero	gdna	unresolved	128	0.000128	6.4e-05	0.0
gdna_med_ss_0.99_nrna_zero	unresolved	mrna	0		0.0	
gdna_med_ss_0.99_nrna_zero	unresolved	nrna	0		0.0	
gdna_med_ss_0.99_nrna_zero	unresolved	gdna	0		0.0	
gdna_med_ss_0.99_nrna_zero	unresolved	unresolved	0		0.0	
gdna_high_ss_0.50_nrna_zero	mrna	mrna	966247	0.966247	0.32208233333333336	0.6874346877019755
gdna_high_ss_0.50_nrna_zero	mrna	nrna	10280	0.01028	0.003426666666666667	0.8600564444218382
gdna_high_ss_0.50_nrna_zero	mrna	gdna	23473	0.023473	0.007824333333333334	0.2181480032459415
gdna_high_ss_0.50_nrna_zero	mrna	unresolved	0	0.0	0.0	
gdna_high_ss_0.50_nrna_zero	nrna	mrna	0		0.0	
gdna_high_ss_0.50_nrna_zero	nrna	nrna	0		0.0	
gdna_high_ss_0.50_nrna_zero	nrna	gdna	0		0.0	
gdna_high_ss_0.50_nrna_zero	nrna	unresolved	0		0.0	
gdna_high_ss_0.50_nrna_zero	gdna	mrna	11915	0.0059575	0.003971666666666667	0.6178991153771374
gdna_high_ss_0.50_nrna_zero	gdna	nrna	434	0.000217	0.00014466666666666667	0.7209241414155108
gdna_high_ss_0.50_nrna_zero	gdna	gdna	1987449	0.9937245	0.662483	0.9987691623507688
gdna_high_ss_0.50_nrna_zero	gdna	unresolved	202	0.000101	6.733333333333333e-05	0.0
gdna_high_ss_0.50_nrna_zero	unresolved	mrna	0		0.0	
gdna_high_ss_0.50_nrna_zero	unresolved	nrna	0		0.0	
gdna_high_ss_0.50_nrna_zero	unresolved	gdna	0		0.0	
gdna_high_ss_0.50_nrna_zero	unresolved	unresolved	0		0.0	
gdna_high_ss_0.99_nrna_zero	mrna	mrna	974270	0.97427	0.3247566666666667	0.694934112359966
gdna_high_ss_0.99_nrna_zero	mrna	nrna	10559	0.010559	0.0035196666666666666	0.8795846241315238
gdna_high_ss_0.99_nrna_zero	mrna	gdna	15171	0.015171	0.005057	0.28148339815550993
gdna_high_ss_0.99_nrna_zero	mrna	unresolved	0	0.0	0.0	
gdna_high_ss_0.99_nrna_zero	nrna	mrna	0		0.0	
gdna_high_ss_0.99_nrna_zero	nrna	nrna	0		0.0	
gdna_high_ss_0.99_nrna_zero	nrna	gdna	0		0.0	
gdna_high_ss_0.99_nrna_zero	nrna	unresolved	0		0.0	
gdna_high_ss_0.99_nrna_zero	gdna	mrna	8511	0.0042555	0.002837	0.5897198924962215
gdna_high_ss_0.99_nrna_zero	gdna	nrna	264	0.000132	8.8e-05	0.6749670070024546
gdna_high_ss_0.99_nrna_zero	gdna	gdna	1991023	0.9955115	0.6636743333333334	0.9988972239802844
gdna_high_ss_0.99_nrna_zero	gdna	unresolved	202	0.000101	6.733333333333333e-05	0.0
gdna_high_ss_0.99_nrna_zero	unresolved	mrna	0		0.0	
gdna_high_ss_0.99_nrna_zero	unresolved	nrna	0		0.0	
gdna_high_ss_0.99_nrna_zero	unresolved	gdna	0		0.0	
gdna_high_ss_0.99_nrna_zero	unresolved	unresolved	0		0.0	
gdna_zero_ss_0.50_nrna_low	mrna	mrna	971150	0.97115	0.9168184234102832	0.6922374763566856
gdna_zero_ss_0.50_nrna_low	mrna	nrna	10692	0.010692	0.010093829566084279	0.8849220382385207
gdna_zero_ss_0.50_nrna_low	mrna	gdna	18158	0.018158	0.01714213966151874	0.09658331815847826
gdna_zero_ss_0.50_nrna_low	mrna	unresolved	0	0.0	0.0	
gdna_zero_ss_0.50_nrna_low	nrna	mrna	10606	0.17897099272708863	0.010012640888317421	0.6160640552953973
gdna_zero_ss_0.50_nrna_low	nrna	nrna	0	0.0	0.0	
gdna_zero_ss_0.50_nrna_low	nrna	gdna	48648	0.8209108857427313	0.04592635809304789	0.9911608793261226
gdna_zero_ss_0.50_nrna_low	nrna	unresolved	7	0.00011812153018005096	6.608380748465203e-06	0.0
gdna_zero_ss_0.50_nrna_low	gdna	mrna	0		0.0	
gdna_zero_ss_0.50_nrna_low	gdna	nrna	0		0.0	
gdna_zero_ss_0.50_nrna_low	gdna	gdna	0		0.0	
gdna_zero_ss_0.50_nrna_low	gdna	unresolved	0		0.0	
gdna_zero_ss_0.50_nrna_low	unresolved	mrna	0		0.0	
gdna_zero_ss_0.50_nrna_low	unresolved	nrna	0		0.0	
gdna_zero_ss_0.50_nrna_low	unresolved	gdna	0		0.0	
gdna_zero_ss_0.50_nrna_low	unresolved	unresolved	0		0.0	
gdna_zero_ss_0.99_nrna_low	mrna	mrna	981267	0.981267	0.9263694217006007	0.6983238815532659
gdna_zero_ss_0.99_nrna_low	mrna	nrna	17934	0.017934	0.01693067147756785	0.5672651653712817
gdna_zero_ss_0.99_nrna_low	mrna	gdna	799	0.000799	0.0007542994597176711	0.17436822652187342
gdna_zero_ss_0.99_nrna_low	mrna	unresolved	0	0.0	0.0	
gdna_zero_ss_0.99_nrna_low	nrna	mrna	10440	0.17616982501139028	0.009855927859139533	0.6184086694426735
gdna_zero_ss_0.99_nrna_low	nrna	nrna	45691	0.7710129764938155	0.04313478925401766	0.46724252735851896
gdna_zero_ss_0.99_nrna_low	nrna	gdna	3123	0.052699076964614164	0.0029482818682081188	0.31272328251616727
gdna_zero_ss_0.99_nrna_low	nrna	unresolved	7	0.00011812153018005096	6.608380748465203e-06	0.0
gdna_zero_ss_0.99_nrna_low	gdna	mrna	0		0.0	
gdna_zero_ss_0.99_nrna_low	gdna	nrna	0		0.0	
gdna_zero_ss_0.99_nrna_low	gdna	gdna	0		0.0	
gdna_zero_ss_0.99_nrna_low	gdna	unresolved	0		0.0	
gdna_zero_ss_0.99_nrna_low	unresolved	mrna	0		0.0	
gdna_zero_ss_0.99_nrna_low	unresolved	nrna	0		0.0	
gdna_zero_ss_0.99_nrna_low	unresolved	gdna	0		0.0	
gdna_zero_ss_0.99_nrna_low	unresolved	unresolved	0		0.0	
gdna_low_ss_0.50_nrna_low	mrna	mrna	977661	0.977661	0.7467273523002671	0.6908443459790929
gdna_low_ss_0.50_nrna_low	mrna	nrna	13525	0.013525	0.010330255006450203	0.7410529669958155
gdna_low_ss_0.50_nrna_low	mrna	gdna	8814	0.008814	0.006732041968713649	0.17727013058072438
