condition	true_pool	gdna	mrna	nrna	unresolved
gdna_high_ss_0.50_nrna_high	gdna	1981153	9882	8742	223
gdna_high_ss_0.50_nrna_high	mrna	50417	921927	27656	0
gdna_high_ss_0.50_nrna_high	nrna	122084	45080	108669	52
gdna_high_ss_0.50_nrna_high	unresolved	0	0	0	0
gdna_high_ss_0.50_nrna_low	gdna	1984854	11177	3735	234
gdna_high_ss_0.50_nrna_low	mrna	30609	957440	11951	0
gdna_high_ss_0.50_nrna_low	nrna	31126	10225	17901	9
gdna_high_ss_0.50_nrna_low	unresolved	0	0	0	0
gdna_high_ss_0.50_nrna_zero	gdna	1987449	11915	434	202
gdna_high_ss_0.50_nrna_zero	mrna	23473	966247	10280	0
gdna_high_ss_0.50_nrna_zero	nrna	0	0	0	0
gdna_high_ss_0.50_nrna_zero	unresolved	0	0	0	0
gdna_high_ss_0.99_nrna_high	gdna	1979491	7719	12567	223
gdna_high_ss_0.99_nrna_high	mrna	18648	935899	45453	0
gdna_high_ss_0.99_nrna_high	nrna	49323	44953	181557	52
gdna_high_ss_0.99_nrna_high	unresolved	0	0	0	0
gdna_high_ss_0.99_nrna_low	gdna	1987313	8229	4224	234
gdna_high_ss_0.99_nrna_low	mrna	16751	969948	13301	0
gdna_high_ss_0.99_nrna_low	nrna	19843	10085	29324	9
gdna_high_ss_0.99_nrna_low	unresolved	0	0	0	0
gdna_high_ss_0.99_nrna_zero	gdna	1991023	8511	264	202
gdna_high_ss_0.99_nrna_zero	mrna	15171	974270	10559	0
gdna_high_ss_0.99_nrna_zero	nrna	0	0	0	0
gdna_high_ss_0.99_nrna_zero	unresolved	0	0	0	0
gdna_low_ss_0.50_nrna_high	gdna	247555	1474	950	21
gdna_low_ss_0.50_nrna_high	mrna	47508	929576	22916	0
gdna_low_ss_0.50_nrna_high	nrna	145126	45926	84781	52
gdna_low_ss_0.50_nrna_high	unresolved	0	0	0	0
gdna_low_ss_0.50_nrna_low	gdna	247073	1860	1046	21
gdna_low_ss_0.50_nrna_low	mrna	8814	977661	13525	0
gdna_low_ss_0.50_nrna_low	nrna	19282	10422	29552	5
gdna_low_ss_0.50_nrna_low	unresolved	0	0	0	0
gdna_low_ss_0.50_nrna_zero	gdna	247782	2118	77	23
gdna_low_ss_0.50_nrna_zero	mrna	2818	986165	11017	0
gdna_low_ss_0.50_nrna_zero	nrna	0	0	0	0
gdna_low_ss_0.50_nrna_zero	unresolved	0	0	0	0
gdna_low_ss_0.99_nrna_high	gdna	245570	1468	2941	21
gdna_low_ss_0.99_nrna_high	mrna	5655	943467	50878	0
gdna_low_ss_0.99_nrna_high	nrna	20838	45782	209213	52
gdna_low_ss_0.99_nrna_high	unresolved	0	0	0	0
gdna_low_ss_0.99_nrna_low	gdna	246808	1580	1591	21
gdna_low_ss_0.99_nrna_low	mrna	3157	980889	15954	0
gdna_low_ss_0.99_nrna_low	nrna	6845	10152	42259	5
gdna_low_ss_0.99_nrna_low	unresolved	0	0	0	0
gdna_low_ss_0.99_nrna_zero	gdna	248228	1682	67	23
gdna_low_ss_0.99_nrna_zero	mrna	2244	986699	11057	0
gdna_low_ss_0.99_nrna_zero	nrna	0	0	0	0
gdna_low_ss_0.99_nrna_zero	unresolved	0	0	0	0
gdna_med_ss_0.50_nrna_high	gdna	989724	5282	4859	135
gdna_med_ss_0.50_nrna_high	mrna	42897	928742	28361	0
gdna_med_ss_0.50_nrna_high	nrna	115333	45334	115167	51
gdna_med_ss_0.50_nrna_high	unresolved	0	0	0	0
gdna_med_ss_0.50_nrna_low	gdna	990641	6476	2800	83
gdna_med_ss_0.50_nrna_low	mrna	17710	969404	12886	0
gdna_med_ss_0.50_nrna_low	nrna	24768	10658	23825	10
gdna_med_ss_0.50_nrna_low	unresolved	0	0	0	0
gdna_med_ss_0.50_nrna_zero	gdna	992716	6898	258	128
gdna_med_ss_0.50_nrna_zero	mrna	11404	978000	10596	0
gdna_med_ss_0.50_nrna_zero	nrna	0	0	0	0
gdna_med_ss_0.50_nrna_zero	unresolved	0	0	0	0
gdna_med_ss_0.99_nrna_high	gdna	987217	4510	8138	135
gdna_med_ss_0.99_nrna_high	mrna	11129	943410	45461	0
gdna_med_ss_0.99_nrna_high	nrna	34732	45437	195665	51
gdna_med_ss_0.99_nrna_high	unresolved	0	0	0	0
gdna_med_ss_0.99_nrna_low	gdna	991782	4874	3261	83
gdna_med_ss_0.99_nrna_low	mrna	9352	976114	14534	0
gdna_med_ss_0.99_nrna_low	nrna	13786	10388	35077	10
gdna_med_ss_0.99_nrna_low	unresolved	0	0	0	0
gdna_med_ss_0.99_nrna_zero	gdna	994609	5067	196	128
gdna_med_ss_0.99_nrna_zero	mrna	7911	981272	10817	0
gdna_med_ss_0.99_nrna_zero	nrna	0	0	0	0
gdna_med_ss_0.99_nrna_zero	unresolved	0	0	0	0
gdna_zero_ss_0.50_nrna_high	gdna	0	0	0	0
gdna_zero_ss_0.50_nrna_high	mrna	75723	915050	9227	0
gdna_zero_ss_0.50_nrna_high	nrna	231922	43901	0	62
gdna_zero_ss_0.50_nrna_high	unresolved	0	0	0	0
gdna_zero_ss_0.50_nrna_low	gdna	0	0	0	0
gdna_zero_ss_0.50_nrna_low	mrna	18158	971150	10692	0
gdna_zero_ss_0.50_nrna_low	nrna	48648	10606	0	7
gdna_zero_ss_0.50_nrna_low	unresolved	0	0	0	0
gdna_zero_ss_0.50_nrna_zero	gdna	0	0	0	0
gdna_zero_ss_0.50_nrna_zero	mrna	0	988868	11132	0
gdna_zero_ss_0.50_nrna_zero	nrna	0	0	0	0
gdna_zero_ss_0.50_nrna_zero	unresolved	0	0	0	0
gdna_zero_ss_0.99_nrna_high	gdna	0	0	0	0
gdna_zero_ss_0.99_nrna_high	mrna	3924	933768	62308	0
gdna_zero_ss_0.99_nrna_high	nrna	14619	44529	216675	62
gdna_zero_ss_0.99_nrna_high	unresolved	0	0	0	0
gdna_zero_ss_0.99_nrna_low	gdna	0	0	0	0
gdna_zero_ss_0.99_nrna_low	mrna	799	981267	17934	0
gdna_zero_ss_0.99_nrna_low	nrna	3123	10440	45691	7
gdna_zero_ss_0.99_nrna_low	unresolved	0	0	0	0
gdna_zero_ss_0.99_nrna_zero	gdna	0	0	0	0
gdna_zero_ss_0.99_nrna_zero	mrna	0	988868	11132	0
gdna_zero_ss_0.99_nrna_zero	nrna	0	0	0	0
gdna_zero_ss_0.99_nrna_zero	unresolved	0	0	0	0
