gdna_label	nrna_label	unstranded_condition	stranded_condition	truth_mrna	truth_nrna	truth_gdna	unstranded_overall_pool_accuracy	stranded_overall_pool_accuracy	delta_overall_pool_accuracy	unstranded_mrna_to_mrna_rate	stranded_mrna_to_mrna_rate	delta_mrna_to_mrna_rate	unstranded_mrna_to_gdna_rate	stranded_mrna_to_gdna_rate	delta_mrna_to_gdna_rate	unstranded_mrna_to_nrna_rate	stranded_mrna_to_nrna_rate	delta_mrna_to_nrna_rate	unstranded_nrna_to_nrna_rate	stranded_nrna_to_nrna_rate	delta_nrna_to_nrna_rate	unstranded_nrna_to_mrna_rate	stranded_nrna_to_mrna_rate	delta_nrna_to_mrna_rate	unstranded_nrna_to_gdna_rate	stranded_nrna_to_gdna_rate	delta_nrna_to_gdna_rate	unstranded_nrna_rna_compatible_rate	stranded_nrna_rna_compatible_rate	delta_nrna_rna_compatible_rate	unstranded_gdna_to_gdna_rate	stranded_gdna_to_gdna_rate	delta_gdna_to_gdna_rate	unstranded_gdna_to_rna_rate	stranded_gdna_to_rna_rate	delta_gdna_to_rna_rate	unstranded_assigned_gdna_fraction	stranded_assigned_gdna_fraction	delta_assigned_gdna_fraction	unstranded_assigned_nrna_fraction	stranded_assigned_nrna_fraction	delta_assigned_nrna_fraction	unstranded_loci_gdna_recovery	stranded_loci_gdna_recovery	delta_loci_gdna_recovery	unstranded_loci_nrna_recovery	stranded_loci_nrna_recovery	delta_loci_nrna_recovery	unstranded_gdna_fl_mean	stranded_gdna_fl_mean	delta_gdna_fl_mean	unstranded_rho_intron_over_intergenic	stranded_rho_intron_over_intergenic	delta_rho_intron_over_intergenic	unstranded_rho_exon_intron_over_intergenic	stranded_rho_exon_intron_over_intergenic	delta_rho_exon_intron_over_intergenic
high	high	gdna_high_ss_0.50_nrna_high	gdna_high_ss_0.99_nrna_high	1000000	275885	2000000	0.9193695749392912	0.9453772034122077	0.02600762847291649	0.921927	0.935899	0.013971999999999984	0.050417	0.018648	-0.03176899999999999	0.027656	0.045453	0.017797	0.39389238269568844	0.658089421316853	0.26419703862116456	0.16340141725719048	0.16294108052268155	-0.00046033673450893153	0.4425177157148812	0.17878101382822553	-0.26373670188665566	0.5572937999528789	0.8210305018395346	0.26373670188665577	0.9905765	0.9897455	-0.0008310000000000262	0.009312	0.010143	0.0008309999999999984	0.6574266190662981	0.6250103407170887	-0.03241627834920935	0.04428330054321199	0.07313351964430986	0.028850219101097876	0.197245	0.144149	-0.053096000000000004	0.4892292078220998	0.8296826576290846	0.3404534498069848	341.17773091177696	341.17773091177696	0.0	2.1673997715668127	1.0046147975899806	-1.1627849739768321	1.8304904784355085	1.2792507651541118	-0.5512397132813966
high	low	gdna_high_ss_0.50_nrna_low	gdna_high_ss_0.99_nrna_low	1000000	59261	2000000	0.9676176697575003	0.9762439360355327	0.008626266278032424	0.95744	0.969948	0.012508000000000075	0.030609	0.016751	-0.013858000000000002	0.011951	0.013301	0.0013500000000000005	0.30207050167901317	0.49482796442854493	0.19275746274953176	0.17254180658443158	0.17017937598083055	-0.002362430603601029	0.5252358211977524	0.33484078905182163	-0.19039503214593073	0.47461230826344475	0.6650073404093755	0.19039503214593073	0.992427	0.9936565	0.0012295000000001055	0.007456	0.0062265	-0.0012294999999999997	0.6689814958579866	0.6615672870016648	-0.0074142088563218245	0.010978795205770282	0.01531382905871712	0.0043350338529468384	0.1434435	0.1321025	-0.01134099999999999	0.3891598184303336	0.6084946254703768	0.2193348070400432	348.9915568653522	348.9915568653522	0.0	1.2560450260876788	1.0035578631386666	-0.2524871629490122	1.1614166089796867	1.0548258004427158	-0.1065908085369709
high	zero	gdna_high_ss_0.50_nrna_zero	gdna_high_ss_0.99_nrna_zero	1000000	0	2000000	0.9845653333333333	0.988431	0.003865666666666656	0.966247	0.97427	0.008023000000000002	0.023473	0.015171	-0.008302	0.01028	0.010559	0.00027900000000000147													0.9937245	0.9955115	0.001786999999999983	0.0061745	0.0043875	-0.0017870000000000004	0.6703073333333334	0.6687313333333333	-0.0015760000000000218	0.0035713333333333335	0.0036076666666666666	3.6333333333333096e-05	0.125177	0.122813	-0.002364000000000005				351.39171021835193	351.39171021835193	0.0	0.997234172065806	0.9954087351601854	-0.0018254369056206476	0.9799150008823857	0.9718785004501254	-0.00803650043226034
low	high	gdna_low_ss_0.50_nrna_high	gdna_low_ss_0.99_nrna_high	1000000	275885	250000	0.827003345599439	0.9163534604508203	0.08935011485138133	0.929576	0.943467	0.013890999999999987	0.047508	0.005655	-0.041853	0.022916	0.050878	0.027962	0.3073055802236439	0.7583340884788952	0.45102850825525126	0.1664679123547855	0.1659459557424289	-0.0005219566123566	0.5260380230893307	0.07553147144643602	-0.45050655164289466	0.47377349257842943	0.9242800442213241	0.4505065516428947	0.99022	0.98228	-0.007939999999999947	0.009696	0.017636	0.00794	0.28848111096183526	0.17829849562712785	-0.11018261533470741	0.07120261356524246	0.17237996310337936	0.1011773495381369	0.882776	0.210272	-0.672504	0.3571959330880621	0.9140837667868859	0.5568878336988238	303.574964306819	303.574964306819	0.0	10.220927018613823	1.0125781824248454	-9.208348836188978	8.50960141264613	3.611006085507505	-4.898595327138626
low	low	gdna_low_ss_0.50_nrna_low	gdna_low_ss_0.99_nrna_low	1000000	59261	250000	0.9580106640310831	0.9699792478352292	0.011968583804146005	0.977661	0.980889	0.0032280000000000086	0.008814	0.003157	-0.005657000000000001	0.013525	0.015954	0.002428999999999999	0.4986753514115523	0.7130996776969677	0.2144243262854154	0.17586608393378445	0.17130996776969676	-0.004556116164087687	0.3253741921331061	0.1155059820117784	-0.20986821012132767	0.6745414353453367	0.8844096454666645	0.20986821012132773	0.988292	0.987232	-0.0010599999999999499	0.011624	0.012684	0.0010600000000000002	0.21017123400147106	0.19614881983042343	-0.014022414171047631	0.03370069069497984	0.04567767618526787	0.011976985490288028	0.221384	0.147948	-0.073436	0.5612966369112907	0.8220077285229747	0.26071109161168393	334.6928797333105	334.6928797333105	0.0	3.032912247294675	1.0068181284534266	-2.0260941188412485	2.4531235585175937	1.5317912080347549	-0.9213323504828388
low	zero	gdna_low_ss_0.50_nrna_zero	gdna_low_ss_0.99_nrna_zero	1000000	0	250000	0.9871576	0.9879416	0.0007840000000000069	0.986165	0.986699	0.0005340000000000344	0.002818	0.002244	-0.0005740000000000003	0.011017	0.011057	4.0000000000000105e-05													0.991128	0.992912	0.0017840000000000078	0.00878	0.006996	-0.001784	0.20048	0.2003776	-0.00010240000000000249	0.0088752	0.0088992	2.3999999999999716e-05	0.122604	0.122092	-0.0005119999999999986				351.17413193522157	351.17413193522157	0.0	1.0069249420506827	0.99066923164551	-0.016255710405172707	0.9777663581143372	0.9807573850881159	0.002991026973778732
med	high	gdna_med_ss_0.50_nrna_high	gdna_med_ss_0.99_nrna_high	1000000	275885	1000000	0.8935570118876832	0.9342704046997102	0.040713392812027016	0.928742	0.94341	0.014668000000000014	0.042897	0.011129	-0.031768	0.028361	0.045461	0.0171	0.4174456748282799	0.7092266705330119	0.29178099570473204	0.16432209072620838	0.16469543469199122	0.0003733439657828408	0.41804737481196874	0.12589303514145386	-0.29215433967051485	0.5817677655544883	0.8739221052250031	0.29215433967051485	0.989724	0.987217	-0.002507000000000037	0.010141	0.012648	0.002506999999999999	0.5043989481015078	0.4539236384966727	-0.05047530960483504	0.06519969154856242	0.10952398737194542	0.044324295823383	0.268087	0.153211	-0.114876	0.5008137448574588	0.864454392228646	0.3636406473711872	332.82091196490745	332.82091196490745	0.0	3.31932569722319	0.9974454221683468	-2.321880275054843	2.7113469625601545	1.5621427367211957	-1.1492042258389588
med	low	gdna_med_ss_0.50_nrna_low	gdna_med_ss_0.99_nrna_low	1000000	59261	1000000	0.9633892935378274	0.9726659223867203	0.00927662884889291	0.969404	0.976114	0.006709999999999994	0.01771	0.009352	-0.008358	0.012886	0.014534	0.0016480000000000002	0.4020350652199592	0.5919069877322354	0.1898719225122762	0.17984846695128331	0.17529235078719563	-0.004556116164087687	0.4179477227856432	0.23263191643745465	-0.18531580634818853	0.5818835321712424	0.767199338519431	0.18531580634818856	0.990641	0.991782	0.0011410000000000586	0.009276	0.008135	-0.0011409999999999997	0.5016940543233713	0.49285641790914314	-0.00883763641422819	0.01918698018366783	0.025675230094679598	0.0064882499110117675	0.153064	0.134865	-0.018198999999999993	0.48468638733737196	0.7070923541620965	0.22240596682472452	346.7087008092348	346.7087008092348	0.0	1.5047585612082939	1.00326591262189	-0.501492648586404	1.3246424290525827	1.104634992563455	-0.22000743648912757
med	zero	gdna_med_ss_0.50_nrna_zero	gdna_med_ss_0.99_nrna_zero	1000000	0	1000000	0.985358	0.9879405	0.002582500000000043	0.978	0.981272	0.0032720000000000526	0.011404	0.007911	-0.0034929999999999996	0.010596	0.010817	0.0002210000000000007													0.992716	0.994609	0.0018929999999999225	0.007156	0.005263	-0.0018929999999999997	0.50206	0.50126	-0.0007999999999999119	0.005427	0.0055065	7.949999999999971e-05	0.12458	0.12298	-0.0015999999999999903				351.43575718181114	351.43575718181114	0.0	1.0038061068737267	1.0022098362682825	-0.0015962706054442055	0.9855520592190206	0.9771883604354223	-0.008363698783598217
zero	high	gdna_zero_ss_0.50_nrna_high	gdna_zero_ss_0.99_nrna_high	1000000	275885	0	0.7171884613425191	0.9016823616548514	0.18449390031233226	0.91505	0.933768	0.018718000000000012	0.075723	0.003924	-0.071799	0.009227	0.062308	0.053081	0.0	0.7853815901553184	0.7853815901553184	0.15912789749352085	0.16140420827518712	0.002276310781666263	0.8406473711872701	0.05298947025028544	-0.7876579009369846	0.15912789749352085	0.9467857984305055	0.7876579009369846							0.24112282846808294	0.014533441493551534	-0.2265893869745314	0.0072318429952542744	0.21865842140945305	0.21142657841419876				0.0	0.9721405658154666	0.9721405658154666	250.13583983397203	250.13583983397203	0.0						
