condition	true_pool	pred_pool	zc	zs	count
gdna_zero_ss_0.50_nrna_zero	mrna	mrna	ambig_same_strand	unspliced	651926
gdna_zero_ss_0.50_nrna_zero	mrna	mrna	ambig_same_strand	spliced_annot	151570
gdna_zero_ss_0.50_nrna_zero	mrna	mrna	ambig_same_strand	spliced_implicit	2400
gdna_zero_ss_0.50_nrna_zero	mrna	mrna	unambig	spliced_annot	37399
gdna_zero_ss_0.50_nrna_zero	mrna	mrna	ambig_opp_strand	unspliced	144878
gdna_zero_ss_0.50_nrna_zero	mrna	nrna	ambig_same_strand	unspliced	11131
gdna_zero_ss_0.50_nrna_zero	mrna	mrna	ambig_opp_strand	spliced_implicit	695
gdna_zero_ss_0.50_nrna_zero	mrna	nrna	unambig	unspliced	1
gdna_zero_ss_0.99_nrna_zero	mrna	mrna	ambig_same_strand	unspliced	651926
gdna_zero_ss_0.99_nrna_zero	mrna	mrna	ambig_same_strand	spliced_annot	151570
gdna_zero_ss_0.99_nrna_zero	mrna	mrna	ambig_same_strand	spliced_implicit	2400
gdna_zero_ss_0.99_nrna_zero	mrna	mrna	unambig	spliced_annot	37399
gdna_zero_ss_0.99_nrna_zero	mrna	mrna	ambig_opp_strand	unspliced	144878
gdna_zero_ss_0.99_nrna_zero	mrna	nrna	ambig_same_strand	unspliced	11131
gdna_zero_ss_0.99_nrna_zero	mrna	mrna	ambig_opp_strand	spliced_implicit	695
gdna_zero_ss_0.99_nrna_zero	mrna	nrna	unambig	unspliced	1
gdna_low_ss_0.50_nrna_zero	mrna	mrna	ambig_same_strand	unspliced	649351
gdna_low_ss_0.50_nrna_zero	mrna	mrna	ambig_same_strand	spliced_annot	151748
gdna_low_ss_0.50_nrna_zero	mrna	gdna	ambig_same_strand	unspliced	2264
gdna_low_ss_0.50_nrna_zero	mrna	mrna	ambig_same_strand	spliced_implicit	2437
gdna_low_ss_0.50_nrna_zero	mrna	mrna	unambig	spliced_annot	37353
gdna_low_ss_0.50_nrna_zero	mrna	mrna	ambig_opp_strand	unspliced	144502
gdna_low_ss_0.50_nrna_zero	mrna	gdna	ambig_opp_strand	unspliced	554
gdna_low_ss_0.50_nrna_zero	mrna	nrna	ambig_same_strand	unspliced	11017
gdna_low_ss_0.50_nrna_zero	gdna	gdna	.	unknown	219949
gdna_low_ss_0.50_nrna_zero	gdna	gdna	ambig_same_strand	unspliced	24323
gdna_low_ss_0.50_nrna_zero	gdna	mrna	ambig_opp_strand	unspliced	466
gdna_low_ss_0.50_nrna_zero	gdna	gdna	unambig	unspliced	39
gdna_low_ss_0.50_nrna_zero	gdna	gdna	ambig_opp_strand	unspliced	3471
gdna_low_ss_0.50_nrna_zero	gdna	mrna	ambig_same_strand	unspliced	1652
gdna_low_ss_0.50_nrna_zero	gdna	nrna	ambig_same_strand	unspliced	77
gdna_low_ss_0.50_nrna_zero	gdna	unresolved	.	unspliced	23
gdna_low_ss_0.50_nrna_zero	mrna	mrna	ambig_opp_strand	spliced_implicit	774
gdna_low_ss_0.99_nrna_zero	mrna	mrna	ambig_same_strand	unspliced	649760
gdna_low_ss_0.99_nrna_zero	mrna	mrna	ambig_same_strand	spliced_annot	151748
gdna_low_ss_0.99_nrna_zero	mrna	gdna	ambig_same_strand	unspliced	1815
gdna_low_ss_0.99_nrna_zero	mrna	mrna	ambig_same_strand	spliced_implicit	2437
gdna_low_ss_0.99_nrna_zero	mrna	mrna	unambig	spliced_annot	37353
gdna_low_ss_0.99_nrna_zero	mrna	mrna	ambig_opp_strand	unspliced	144627
gdna_low_ss_0.99_nrna_zero	mrna	gdna	ambig_opp_strand	unspliced	429
gdna_low_ss_0.99_nrna_zero	mrna	nrna	ambig_same_strand	unspliced	11057
gdna_low_ss_0.99_nrna_zero	gdna	gdna	.	unknown	219949
gdna_low_ss_0.99_nrna_zero	gdna	gdna	ambig_same_strand	unspliced	24671
gdna_low_ss_0.99_nrna_zero	gdna	gdna	ambig_opp_strand	unspliced	3569
gdna_low_ss_0.99_nrna_zero	gdna	gdna	unambig	unspliced	39
gdna_low_ss_0.99_nrna_zero	gdna	mrna	ambig_same_strand	unspliced	1316
gdna_low_ss_0.99_nrna_zero	gdna	mrna	ambig_opp_strand	unspliced	366
gdna_low_ss_0.99_nrna_zero	gdna	nrna	ambig_same_strand	unspliced	65
gdna_low_ss_0.99_nrna_zero	gdna	unresolved	.	unspliced	23
gdna_low_ss_0.99_nrna_zero	gdna	nrna	ambig_opp_strand	unspliced	2
gdna_low_ss_0.99_nrna_zero	mrna	mrna	ambig_opp_strand	spliced_implicit	774
gdna_med_ss_0.50_nrna_zero	mrna	mrna	ambig_same_strand	unspliced	642668
gdna_med_ss_0.50_nrna_zero	mrna	mrna	ambig_same_strand	spliced_annot	152128
gdna_med_ss_0.50_nrna_zero	mrna	gdna	ambig_same_strand	unspliced	8964
gdna_med_ss_0.50_nrna_zero	mrna	mrna	ambig_same_strand	spliced_implicit	2345
gdna_med_ss_0.50_nrna_zero	mrna	mrna	unambig	spliced_annot	37374
gdna_med_ss_0.50_nrna_zero	mrna	mrna	ambig_opp_strand	unspliced	142712
gdna_med_ss_0.50_nrna_zero	mrna	gdna	ambig_opp_strand	unspliced	2438
gdna_med_ss_0.50_nrna_zero	mrna	nrna	ambig_same_strand	unspliced	10596
gdna_med_ss_0.50_nrna_zero	gdna	gdna	.	unknown	879540
gdna_med_ss_0.50_nrna_zero	gdna	gdna	ambig_same_strand	unspliced	98677
gdna_med_ss_0.50_nrna_zero	gdna	gdna	ambig_opp_strand	unspliced	14304
gdna_med_ss_0.50_nrna_zero	gdna	nrna	ambig_same_strand	unspliced	258
gdna_med_ss_0.50_nrna_zero	gdna	mrna	ambig_same_strand	unspliced	5429
gdna_med_ss_0.50_nrna_zero	gdna	mrna	ambig_opp_strand	unspliced	1469
gdna_med_ss_0.50_nrna_zero	gdna	unresolved	.	unspliced	128
gdna_med_ss_0.50_nrna_zero	gdna	gdna	unambig	unspliced	195
gdna_med_ss_0.50_nrna_zero	mrna	mrna	ambig_opp_strand	spliced_implicit	773
gdna_med_ss_0.50_nrna_zero	mrna	gdna	unambig	unspliced	2
gdna_med_ss_0.99_nrna_zero	mrna	mrna	ambig_same_strand	unspliced	645170
gdna_med_ss_0.99_nrna_zero	mrna	mrna	ambig_same_strand	spliced_annot	152128
gdna_med_ss_0.99_nrna_zero	mrna	gdna	ambig_same_strand	unspliced	6243
gdna_med_ss_0.99_nrna_zero	mrna	mrna	ambig_same_strand	spliced_implicit	2345
gdna_med_ss_0.99_nrna_zero	mrna	mrna	unambig	spliced_annot	37374
gdna_med_ss_0.99_nrna_zero	mrna	gdna	ambig_opp_strand	unspliced	1668
gdna_med_ss_0.99_nrna_zero	mrna	mrna	ambig_opp_strand	unspliced	143482
gdna_med_ss_0.99_nrna_zero	mrna	nrna	ambig_same_strand	unspliced	10815
gdna_med_ss_0.99_nrna_zero	gdna	gdna	.	unknown	879540
gdna_med_ss_0.99_nrna_zero	gdna	gdna	ambig_same_strand	unspliced	100182
gdna_med_ss_0.99_nrna_zero	gdna	gdna	ambig_opp_strand	unspliced	14692
gdna_med_ss_0.99_nrna_zero	gdna	nrna	ambig_same_strand	unspliced	196
gdna_med_ss_0.99_nrna_zero	gdna	mrna	ambig_same_strand	unspliced	3986
gdna_med_ss_0.99_nrna_zero	gdna	mrna	ambig_opp_strand	unspliced	1081
gdna_med_ss_0.99_nrna_zero	gdna	unresolved	.	unspliced	128
gdna_med_ss_0.99_nrna_zero	gdna	gdna	unambig	unspliced	195
gdna_med_ss_0.99_nrna_zero	mrna	mrna	ambig_opp_strand	spliced_implicit	773
gdna_med_ss_0.99_nrna_zero	mrna	nrna	unambig	unspliced	2
gdna_high_ss_0.50_nrna_zero	mrna	mrna	ambig_same_strand	unspliced	633759
gdna_high_ss_0.50_nrna_zero	mrna	mrna	ambig_same_strand	spliced_annot	151399
gdna_high_ss_0.50_nrna_zero	mrna	gdna	ambig_same_strand	unspliced	18335
gdna_high_ss_0.50_nrna_zero	mrna	mrna	ambig_same_strand	spliced_implicit	2402
gdna_high_ss_0.50_nrna_zero	mrna	mrna	unambig	spliced_annot	37513
gdna_high_ss_0.50_nrna_zero	mrna	mrna	ambig_opp_strand	unspliced	140393
gdna_high_ss_0.50_nrna_zero	mrna	gdna	ambig_opp_strand	unspliced	5138
gdna_high_ss_0.50_nrna_zero	mrna	nrna	ambig_same_strand	unspliced	10280
gdna_high_ss_0.50_nrna_zero	gdna	gdna	.	unknown	1760568
gdna_high_ss_0.50_nrna_zero	gdna	gdna	ambig_same_strand	unspliced	197951
gdna_high_ss_0.50_nrna_zero	gdna	gdna	ambig_opp_strand	unspliced	28536
gdna_high_ss_0.50_nrna_zero	gdna	mrna	ambig_same_strand	unspliced	9279
gdna_high_ss_0.50_nrna_zero	gdna	nrna	ambig_same_strand	unspliced	434
gdna_high_ss_0.50_nrna_zero	gdna	mrna	ambig_opp_strand	unspliced	2636
gdna_high_ss_0.50_nrna_zero	gdna	gdna	unambig	unspliced	394
gdna_high_ss_0.50_nrna_zero	gdna	unresolved	.	unspliced	202
gdna_high_ss_0.50_nrna_zero	mrna	mrna	ambig_opp_strand	spliced_implicit	781
gdna_high_ss_0.99_nrna_zero	mrna	mrna	ambig_same_strand	unspliced	639889
gdna_high_ss_0.99_nrna_zero	mrna	mrna	ambig_same_strand	spliced_annot	151399
gdna_high_ss_0.99_nrna_zero	mrna	gdna	ambig_same_strand	unspliced	11926
gdna_high_ss_0.99_nrna_zero	mrna	mrna	ambig_same_strand	spliced_implicit	2402
gdna_high_ss_0.99_nrna_zero	mrna	mrna	unambig	spliced_annot	37513
gdna_high_ss_0.99_nrna_zero	mrna	mrna	ambig_opp_strand	unspliced	142286
gdna_high_ss_0.99_nrna_zero	mrna	gdna	ambig_opp_strand	unspliced	3245
gdna_high_ss_0.99_nrna_zero	mrna	nrna	ambig_same_strand	unspliced	10559
gdna_high_ss_0.99_nrna_zero	gdna	gdna	.	unknown	1760568
gdna_high_ss_0.99_nrna_zero	gdna	gdna	ambig_same_strand	unspliced	200724
gdna_high_ss_0.99_nrna_zero	gdna	gdna	ambig_opp_strand	unspliced	29337
gdna_high_ss_0.99_nrna_zero	gdna	mrna	ambig_same_strand	unspliced	6676
gdna_high_ss_0.99_nrna_zero	gdna	gdna	unambig	unspliced	394
gdna_high_ss_0.99_nrna_zero	gdna	nrna	ambig_same_strand	unspliced	264
gdna_high_ss_0.99_nrna_zero	gdna	mrna	ambig_opp_strand	unspliced	1835
gdna_high_ss_0.99_nrna_zero	gdna	unresolved	.	unspliced	202
gdna_high_ss_0.99_nrna_zero	mrna	mrna	ambig_opp_strand	spliced_implicit	781
gdna_zero_ss_0.50_nrna_low	mrna	mrna	ambig_same_strand	unspliced	637760
gdna_zero_ss_0.50_nrna_low	mrna	gdna	ambig_same_strand	unspliced	14349
gdna_zero_ss_0.50_nrna_low	mrna	mrna	ambig_same_strand	spliced_annot	151443
gdna_zero_ss_0.50_nrna_low	mrna	mrna	ambig_same_strand	spliced_implicit	2406
gdna_zero_ss_0.50_nrna_low	mrna	mrna	unambig	spliced_annot	37791
gdna_zero_ss_0.50_nrna_low	mrna	mrna	ambig_opp_strand	unspliced	140967
gdna_zero_ss_0.50_nrna_low	mrna	gdna	ambig_opp_strand	unspliced	3808
gdna_zero_ss_0.50_nrna_low	mrna	nrna	ambig_same_strand	unspliced	10692
gdna_zero_ss_0.50_nrna_low	nrna	gdna	ambig_same_strand	unspliced	36248
gdna_zero_ss_0.50_nrna_low	nrna	mrna	ambig_same_strand	unspliced	8252
gdna_zero_ss_0.50_nrna_low	nrna	gdna	ambig_opp_strand	unspliced	12400
gdna_zero_ss_0.50_nrna_low	nrna	mrna	ambig_opp_strand	unspliced	2354
gdna_zero_ss_0.50_nrna_low	nrna	unresolved	.	unspliced	7
gdna_zero_ss_0.50_nrna_low	mrna	mrna	ambig_opp_strand	spliced_implicit	783
gdna_zero_ss_0.50_nrna_low	mrna	gdna	unambig	unspliced	1
gdna_zero_ss_0.99_nrna_low	mrna	mrna	ambig_same_strand	unspliced	644800
gdna_zero_ss_0.99_nrna_low	mrna	mrna	ambig_same_strand	spliced_annot	151443
gdna_zero_ss_0.99_nrna_low	mrna	nrna	ambig_same_strand	unspliced	17360
gdna_zero_ss_0.99_nrna_low	mrna	gdna	ambig_same_strand	unspliced	641
gdna_zero_ss_0.99_nrna_low	mrna	mrna	ambig_same_strand	spliced_implicit	2406
gdna_zero_ss_0.99_nrna_low	mrna	mrna	unambig	spliced_annot	37791
gdna_zero_ss_0.99_nrna_low	mrna	mrna	ambig_opp_strand	unspliced	144044
gdna_zero_ss_0.99_nrna_low	mrna	nrna	ambig_opp_strand	unspliced	573
gdna_zero_ss_0.99_nrna_low	nrna	nrna	ambig_same_strand	unspliced	34209
gdna_zero_ss_0.99_nrna_low	nrna	mrna	ambig_same_strand	unspliced	8376
gdna_zero_ss_0.99_nrna_low	nrna	gdna	ambig_same_strand	unspliced	1915
gdna_zero_ss_0.99_nrna_low	nrna	nrna	ambig_opp_strand	unspliced	11482
gdna_zero_ss_0.99_nrna_low	nrna	mrna	ambig_opp_strand	unspliced	2064
gdna_zero_ss_0.99_nrna_low	nrna	gdna	ambig_opp_strand	unspliced	1208
gdna_zero_ss_0.99_nrna_low	nrna	unresolved	.	unspliced	7
gdna_zero_ss_0.99_nrna_low	mrna	gdna	ambig_opp_strand	unspliced	158
gdna_zero_ss_0.99_nrna_low	mrna	mrna	ambig_opp_strand	spliced_implicit	783
gdna_zero_ss_0.99_nrna_low	mrna	nrna	unambig	unspliced	1
gdna_low_ss_0.50_nrna_low	mrna	mrna	ambig_same_strand	unspliced	642368
gdna_low_ss_0.50_nrna_low	mrna	mrna	ambig_same_strand	spliced_annot	151709
gdna_low_ss_0.50_nrna_low	mrna	nrna	ambig_same_strand	unspliced	13258
gdna_low_ss_0.50_nrna_low	mrna	gdna	ambig_same_strand	unspliced	6862
gdna_low_ss_0.50_nrna_low	mrna	mrna	ambig_same_strand	spliced_implicit	2431
gdna_low_ss_0.50_nrna_low	mrna	mrna	unambig	spliced_annot	37785
gdna_low_ss_0.50_nrna_low	mrna	gdna	ambig_opp_strand	unspliced	1952
gdna_low_ss_0.50_nrna_low	mrna	mrna	ambig_opp_strand	unspliced	142609
gdna_low_ss_0.50_nrna_low	nrna	nrna	ambig_same_strand	unspliced	21552
gdna_low_ss_0.50_nrna_low	nrna	mrna	ambig_same_strand	unspliced	8182
gdna_low_ss_0.50_nrna_low	nrna	gdna	ambig_same_strand	unspliced	14751
gdna_low_ss_0.50_nrna_low	nrna	gdna	ambig_opp_strand	unspliced	4531
gdna_low_ss_0.50_nrna_low	nrna	mrna	ambig_opp_strand	unspliced	2240
gdna_low_ss_0.50_nrna_low	nrna	unresolved	.	unspliced	5
gdna_low_ss_0.50_nrna_low	gdna	gdna	.	unknown	219823
gdna_low_ss_0.50_nrna_low	gdna	gdna	ambig_same_strand	unspliced	23996
gdna_low_ss_0.50_nrna_low	gdna	mrna	ambig_same_strand	unspliced	1461
gdna_low_ss_0.50_nrna_low	gdna	nrna	ambig_opp_strand	unspliced	305
gdna_low_ss_0.50_nrna_low	gdna	nrna	ambig_same_strand	unspliced	741
gdna_low_ss_0.50_nrna_low	gdna	mrna	ambig_opp_strand	unspliced	399
gdna_low_ss_0.50_nrna_low	gdna	gdna	ambig_opp_strand	unspliced	3200
gdna_low_ss_0.50_nrna_low	gdna	unresolved	.	unspliced	21
gdna_low_ss_0.50_nrna_low	gdna	gdna	unambig	unspliced	54
gdna_low_ss_0.50_nrna_low	mrna	mrna	ambig_opp_strand	spliced_implicit	759
gdna_low_ss_0.50_nrna_low	nrna	nrna	ambig_opp_strand	unspliced	8000
gdna_low_ss_0.50_nrna_low	mrna	nrna	ambig_opp_strand	unspliced	267
gdna_low_ss_0.99_nrna_low	mrna	mrna	ambig_same_strand	unspliced	644635
gdna_low_ss_0.99_nrna_low	mrna	nrna	ambig_same_strand	unspliced	15349
gdna_low_ss_0.99_nrna_low	mrna	mrna	ambig_same_strand	spliced_annot	151709
gdna_low_ss_0.99_nrna_low	mrna	gdna	ambig_same_strand	unspliced	2504
gdna_low_ss_0.99_nrna_low	mrna	mrna	ambig_same_strand	spliced_implicit	2431
gdna_low_ss_0.99_nrna_low	mrna	mrna	unambig	spliced_annot	37785
gdna_low_ss_0.99_nrna_low	mrna	mrna	ambig_opp_strand	unspliced	143570
gdna_low_ss_0.99_nrna_low	mrna	gdna	ambig_opp_strand	unspliced	653
gdna_low_ss_0.99_nrna_low	mrna	nrna	ambig_opp_strand	unspliced	605
gdna_low_ss_0.99_nrna_low	nrna	nrna	ambig_same_strand	unspliced	31241
gdna_low_ss_0.99_nrna_low	nrna	mrna	ambig_same_strand	unspliced	8236
gdna_low_ss_0.99_nrna_low	nrna	gdna	ambig_same_strand	unspliced	5008
gdna_low_ss_0.99_nrna_low	nrna	gdna	ambig_opp_strand	unspliced	1837
gdna_low_ss_0.99_nrna_low	nrna	mrna	ambig_opp_strand	unspliced	1916
gdna_low_ss_0.99_nrna_low	nrna	nrna	ambig_opp_strand	unspliced	11018
gdna_low_ss_0.99_nrna_low	nrna	unresolved	.	unspliced	5
gdna_low_ss_0.99_nrna_low	gdna	gdna	.	unknown	219823
gdna_low_ss_0.99_nrna_low	gdna	gdna	ambig_same_strand	unspliced	23830
gdna_low_ss_0.99_nrna_low	gdna	mrna	ambig_same_strand	unspliced	1241
gdna_low_ss_0.99_nrna_low	gdna	gdna	ambig_opp_strand	unspliced	3101
gdna_low_ss_0.99_nrna_low	gdna	mrna	ambig_opp_strand	unspliced	339
gdna_low_ss_0.99_nrna_low	gdna	unresolved	.	unspliced	21
gdna_low_ss_0.99_nrna_low	gdna	gdna	unambig	unspliced	54
gdna_low_ss_0.99_nrna_low	gdna	nrna	ambig_same_strand	unspliced	1127
gdna_low_ss_0.99_nrna_low	gdna	nrna	ambig_opp_strand	unspliced	464
gdna_low_ss_0.99_nrna_low	mrna	mrna	ambig_opp_strand	spliced_implicit	759
gdna_med_ss_0.50_nrna_low	mrna	mrna	ambig_same_strand	unspliced	635997
gdna_med_ss_0.50_nrna_low	mrna	mrna	ambig_same_strand	spliced_annot	151665
gdna_med_ss_0.50_nrna_low	mrna	nrna	ambig_same_strand	unspliced	12808
gdna_med_ss_0.50_nrna_low	mrna	gdna	ambig_same_strand	unspliced	13769
gdna_med_ss_0.50_nrna_low	mrna	mrna	ambig_same_strand	spliced_implicit	2429
gdna_med_ss_0.50_nrna_low	mrna	mrna	unambig	spliced_annot	37329
gdna_med_ss_0.50_nrna_low	mrna	gdna	ambig_opp_strand	unspliced	3941
gdna_med_ss_0.50_nrna_low	mrna	mrna	ambig_opp_strand	unspliced	141230
gdna_med_ss_0.50_nrna_low	nrna	mrna	ambig_same_strand	unspliced	8318
gdna_med_ss_0.50_nrna_low	nrna	nrna	ambig_same_strand	unspliced	17788
gdna_med_ss_0.50_nrna_low	nrna	gdna	ambig_same_strand	unspliced	18417
gdna_med_ss_0.50_nrna_low	nrna	gdna	ambig_opp_strand	unspliced	6351
gdna_med_ss_0.50_nrna_low	nrna	mrna	ambig_opp_strand	unspliced	2340
gdna_med_ss_0.50_nrna_low	nrna	unresolved	.	unspliced	10
gdna_med_ss_0.50_nrna_low	gdna	gdna	ambig_same_strand	unspliced	97114
gdna_med_ss_0.50_nrna_low	gdna	gdna	.	unknown	880055
gdna_med_ss_0.50_nrna_low	gdna	gdna	ambig_opp_strand	unspliced	13306
gdna_med_ss_0.50_nrna_low	gdna	mrna	ambig_same_strand	unspliced	5057
gdna_med_ss_0.50_nrna_low	gdna	nrna	ambig_same_strand	unspliced	1911
gdna_med_ss_0.50_nrna_low	gdna	nrna	ambig_opp_strand	unspliced	888
gdna_med_ss_0.50_nrna_low	gdna	mrna	ambig_opp_strand	unspliced	1419
gdna_med_ss_0.50_nrna_low	gdna	gdna	unambig	unspliced	166
gdna_med_ss_0.50_nrna_low	gdna	unresolved	.	unspliced	83
gdna_med_ss_0.50_nrna_low	mrna	mrna	ambig_opp_strand	spliced_implicit	754
gdna_med_ss_0.50_nrna_low	nrna	nrna	ambig_opp_strand	unspliced	6037
gdna_med_ss_0.50_nrna_low	mrna	nrna	ambig_opp_strand	unspliced	78
gdna_med_ss_0.50_nrna_low	gdna	nrna	unambig	unspliced	1
gdna_med_ss_0.99_nrna_low	mrna	mrna	ambig_same_strand	unspliced	640995
gdna_med_ss_0.99_nrna_low	mrna	mrna	ambig_same_strand	spliced_annot	151665
gdna_med_ss_0.99_nrna_low	mrna	nrna	ambig_same_strand	unspliced	14225
gdna_med_ss_0.99_nrna_low	mrna	gdna	ambig_same_strand	unspliced	7354
gdna_med_ss_0.99_nrna_low	mrna	mrna	ambig_same_strand	spliced_implicit	2429
