condition	true_pool	pred_pool	zf	count
gdna_zero_ss_0.50_nrna_zero	mrna	mrna	3	988868
gdna_zero_ss_0.50_nrna_zero	mrna	nrna	9	11132
gdna_zero_ss_0.99_nrna_zero	mrna	mrna	3	988868
gdna_zero_ss_0.99_nrna_zero	mrna	nrna	9	11132
gdna_low_ss_0.50_nrna_zero	mrna	mrna	3	986165
gdna_low_ss_0.50_nrna_zero	mrna	gdna	5	2818
gdna_low_ss_0.50_nrna_zero	mrna	nrna	9	11017
gdna_low_ss_0.50_nrna_zero	gdna	gdna	37	219949
gdna_low_ss_0.50_nrna_zero	gdna	gdna	5	27833
gdna_low_ss_0.50_nrna_zero	gdna	mrna	3	2118
gdna_low_ss_0.50_nrna_zero	gdna	nrna	9	77
gdna_low_ss_0.50_nrna_zero	gdna	unresolved	64	23
gdna_low_ss_0.99_nrna_zero	mrna	mrna	3	986699
gdna_low_ss_0.99_nrna_zero	mrna	gdna	5	2244
gdna_low_ss_0.99_nrna_zero	mrna	nrna	9	11057
gdna_low_ss_0.99_nrna_zero	gdna	gdna	37	219949
gdna_low_ss_0.99_nrna_zero	gdna	gdna	5	28279
gdna_low_ss_0.99_nrna_zero	gdna	mrna	3	1682
gdna_low_ss_0.99_nrna_zero	gdna	nrna	9	61
gdna_low_ss_0.99_nrna_zero	gdna	unresolved	64	23
gdna_low_ss_0.99_nrna_zero	gdna	nrna	25	6
gdna_med_ss_0.50_nrna_zero	mrna	mrna	3	978000
gdna_med_ss_0.50_nrna_zero	mrna	gdna	5	11404
gdna_med_ss_0.50_nrna_zero	mrna	nrna	9	10596
gdna_med_ss_0.50_nrna_zero	gdna	gdna	37	879540
gdna_med_ss_0.50_nrna_zero	gdna	gdna	5	113176
gdna_med_ss_0.50_nrna_zero	gdna	nrna	9	258
gdna_med_ss_0.50_nrna_zero	gdna	mrna	3	6898
gdna_med_ss_0.50_nrna_zero	gdna	unresolved	64	128
gdna_med_ss_0.99_nrna_zero	mrna	mrna	3	981272
gdna_med_ss_0.99_nrna_zero	mrna	gdna	5	7911
gdna_med_ss_0.99_nrna_zero	mrna	nrna	9	10817
gdna_med_ss_0.99_nrna_zero	gdna	gdna	37	879540
gdna_med_ss_0.99_nrna_zero	gdna	gdna	5	115069
gdna_med_ss_0.99_nrna_zero	gdna	nrna	9	196
gdna_med_ss_0.99_nrna_zero	gdna	mrna	3	5067
gdna_med_ss_0.99_nrna_zero	gdna	unresolved	64	128
gdna_high_ss_0.50_nrna_zero	mrna	mrna	3	966247
gdna_high_ss_0.50_nrna_zero	mrna	gdna	5	23473
gdna_high_ss_0.50_nrna_zero	mrna	nrna	9	10280
gdna_high_ss_0.50_nrna_zero	gdna	gdna	37	1760568
gdna_high_ss_0.50_nrna_zero	gdna	gdna	5	226881
gdna_high_ss_0.50_nrna_zero	gdna	mrna	3	11915
gdna_high_ss_0.50_nrna_zero	gdna	nrna	9	434
gdna_high_ss_0.50_nrna_zero	gdna	unresolved	64	202
gdna_high_ss_0.99_nrna_zero	mrna	mrna	3	974270
gdna_high_ss_0.99_nrna_zero	mrna	gdna	5	15171
gdna_high_ss_0.99_nrna_zero	mrna	nrna	9	10559
gdna_high_ss_0.99_nrna_zero	gdna	gdna	37	1760568
gdna_high_ss_0.99_nrna_zero	gdna	gdna	5	230455
gdna_high_ss_0.99_nrna_zero	gdna	mrna	3	8511
gdna_high_ss_0.99_nrna_zero	gdna	nrna	9	264
gdna_high_ss_0.99_nrna_zero	gdna	unresolved	64	202
gdna_zero_ss_0.50_nrna_low	mrna	mrna	3	971150
gdna_zero_ss_0.50_nrna_low	mrna	gdna	5	18158
gdna_zero_ss_0.50_nrna_low	mrna	nrna	9	10692
gdna_zero_ss_0.50_nrna_low	nrna	gdna	5	48648
gdna_zero_ss_0.50_nrna_low	nrna	mrna	3	10606
gdna_zero_ss_0.50_nrna_low	nrna	unresolved	64	7
gdna_zero_ss_0.99_nrna_low	mrna	mrna	3	981267
gdna_zero_ss_0.99_nrna_low	mrna	nrna	25	6852
gdna_zero_ss_0.99_nrna_low	mrna	gdna	5	799
gdna_zero_ss_0.99_nrna_low	mrna	nrna	9	11082
gdna_zero_ss_0.99_nrna_low	nrna	nrna	25	45691
gdna_zero_ss_0.99_nrna_low	nrna	mrna	3	10440
gdna_zero_ss_0.99_nrna_low	nrna	gdna	5	3123
gdna_zero_ss_0.99_nrna_low	nrna	unresolved	64	7
gdna_low_ss_0.50_nrna_low	mrna	mrna	3	977661
gdna_low_ss_0.50_nrna_low	mrna	nrna	25	2740
gdna_low_ss_0.50_nrna_low	mrna	gdna	5	8814
gdna_low_ss_0.50_nrna_low	mrna	nrna	9	10785
gdna_low_ss_0.50_nrna_low	nrna	nrna	25	29552
gdna_low_ss_0.50_nrna_low	nrna	mrna	3	10422
gdna_low_ss_0.50_nrna_low	nrna	gdna	5	19282
gdna_low_ss_0.50_nrna_low	nrna	unresolved	64	5
gdna_low_ss_0.50_nrna_low	gdna	gdna	37	219823
gdna_low_ss_0.50_nrna_low	gdna	gdna	5	27250
gdna_low_ss_0.50_nrna_low	gdna	mrna	3	1860
gdna_low_ss_0.50_nrna_low	gdna	nrna	25	971
gdna_low_ss_0.50_nrna_low	gdna	unresolved	64	21
gdna_low_ss_0.50_nrna_low	gdna	nrna	9	75
gdna_low_ss_0.99_nrna_low	mrna	mrna	3	980889
gdna_low_ss_0.99_nrna_low	mrna	nrna	25	4921
gdna_low_ss_0.99_nrna_low	mrna	gdna	5	3157
gdna_low_ss_0.99_nrna_low	mrna	nrna	9	11033
gdna_low_ss_0.99_nrna_low	nrna	nrna	25	42259
gdna_low_ss_0.99_nrna_low	nrna	mrna	3	10152
gdna_low_ss_0.99_nrna_low	nrna	gdna	5	6845
gdna_low_ss_0.99_nrna_low	nrna	unresolved	64	5
gdna_low_ss_0.99_nrna_low	gdna	gdna	37	219823
gdna_low_ss_0.99_nrna_low	gdna	gdna	5	26985
gdna_low_ss_0.99_nrna_low	gdna	mrna	3	1580
gdna_low_ss_0.99_nrna_low	gdna	unresolved	64	21
gdna_low_ss_0.99_nrna_low	gdna	nrna	9	58
gdna_low_ss_0.99_nrna_low	gdna	nrna	25	1533
gdna_med_ss_0.50_nrna_low	mrna	mrna	3	969404
gdna_med_ss_0.50_nrna_low	mrna	nrna	25	2331
gdna_med_ss_0.50_nrna_low	mrna	gdna	5	17710
gdna_med_ss_0.50_nrna_low	mrna	nrna	9	10555
gdna_med_ss_0.50_nrna_low	nrna	mrna	3	10658
gdna_med_ss_0.50_nrna_low	nrna	nrna	25	23825
gdna_med_ss_0.50_nrna_low	nrna	gdna	5	24768
gdna_med_ss_0.50_nrna_low	nrna	unresolved	64	10
gdna_med_ss_0.50_nrna_low	gdna	gdna	5	110586
gdna_med_ss_0.50_nrna_low	gdna	gdna	37	880055
gdna_med_ss_0.50_nrna_low	gdna	mrna	3	6476
gdna_med_ss_0.50_nrna_low	gdna	nrna	25	2567
gdna_med_ss_0.50_nrna_low	gdna	nrna	9	233
gdna_med_ss_0.50_nrna_low	gdna	unresolved	64	83
gdna_med_ss_0.99_nrna_low	mrna	mrna	3	976114
gdna_med_ss_0.99_nrna_low	mrna	nrna	25	3731
gdna_med_ss_0.99_nrna_low	mrna	gdna	5	9352
gdna_med_ss_0.99_nrna_low	mrna	nrna	9	10803
gdna_med_ss_0.99_nrna_low	nrna	mrna	3	10388
gdna_med_ss_0.99_nrna_low	nrna	nrna	25	35077
gdna_med_ss_0.99_nrna_low	nrna	gdna	5	13786
gdna_med_ss_0.99_nrna_low	nrna	unresolved	64	10
gdna_med_ss_0.99_nrna_low	gdna	gdna	5	111727
gdna_med_ss_0.99_nrna_low	gdna	gdna	37	880055
gdna_med_ss_0.99_nrna_low	gdna	mrna	3	4874
gdna_med_ss_0.99_nrna_low	gdna	nrna	25	3095
gdna_med_ss_0.99_nrna_low	gdna	nrna	9	166
gdna_med_ss_0.99_nrna_low	gdna	unresolved	64	83
gdna_high_ss_0.50_nrna_low	mrna	mrna	3	957440
gdna_high_ss_0.50_nrna_low	mrna	nrna	25	1848
gdna_high_ss_0.50_nrna_low	mrna	gdna	5	30609
gdna_high_ss_0.50_nrna_low	mrna	nrna	9	10103
gdna_high_ss_0.50_nrna_low	nrna	gdna	5	31126
gdna_high_ss_0.50_nrna_low	nrna	nrna	25	17901
gdna_high_ss_0.50_nrna_low	nrna	mrna	3	10225
gdna_high_ss_0.50_nrna_low	gdna	gdna	37	1759702
gdna_high_ss_0.50_nrna_low	gdna	nrna	25	3313
gdna_high_ss_0.50_nrna_low	gdna	gdna	5	225152
gdna_high_ss_0.50_nrna_low	gdna	mrna	3	11177
gdna_high_ss_0.50_nrna_low	gdna	nrna	9	422
gdna_high_ss_0.50_nrna_low	gdna	unresolved	64	234
gdna_high_ss_0.50_nrna_low	nrna	unresolved	64	9
gdna_high_ss_0.99_nrna_low	mrna	mrna	3	969948
gdna_high_ss_0.99_nrna_low	mrna	nrna	25	2782
gdna_high_ss_0.99_nrna_low	mrna	gdna	5	16751
gdna_high_ss_0.99_nrna_low	mrna	nrna	9	10519
gdna_high_ss_0.99_nrna_low	nrna	gdna	5	19843
gdna_high_ss_0.99_nrna_low	nrna	nrna	25	29324
gdna_high_ss_0.99_nrna_low	nrna	mrna	3	10085
gdna_high_ss_0.99_nrna_low	gdna	gdna	37	1759702
gdna_high_ss_0.99_nrna_low	gdna	nrna	25	3954
gdna_high_ss_0.99_nrna_low	gdna	gdna	5	227611
gdna_high_ss_0.99_nrna_low	gdna	mrna	3	8229
gdna_high_ss_0.99_nrna_low	gdna	unresolved	64	234
gdna_high_ss_0.99_nrna_low	gdna	nrna	9	270
gdna_high_ss_0.99_nrna_low	nrna	unresolved	64	9
gdna_zero_ss_0.50_nrna_high	mrna	gdna	5	75723
gdna_zero_ss_0.50_nrna_high	mrna	mrna	3	915050
gdna_zero_ss_0.50_nrna_high	mrna	nrna	9	9227
gdna_zero_ss_0.50_nrna_high	nrna	gdna	5	231922
gdna_zero_ss_0.50_nrna_high	nrna	mrna	3	43901
gdna_zero_ss_0.50_nrna_high	nrna	unresolved	64	62
gdna_zero_ss_0.99_nrna_high	mrna	nrna	25	51524
gdna_zero_ss_0.99_nrna_high	mrna	mrna	3	933768
gdna_zero_ss_0.99_nrna_high	mrna	gdna	5	3924
gdna_zero_ss_0.99_nrna_high	mrna	nrna	9	10784
gdna_zero_ss_0.99_nrna_high	nrna	nrna	25	216675
gdna_zero_ss_0.99_nrna_high	nrna	gdna	5	14619
gdna_zero_ss_0.99_nrna_high	nrna	mrna	3	44529
gdna_zero_ss_0.99_nrna_high	nrna	unresolved	64	62
gdna_low_ss_0.50_nrna_high	mrna	mrna	3	929576
gdna_low_ss_0.50_nrna_high	mrna	gdna	5	47508
gdna_low_ss_0.50_nrna_high	mrna	nrna	25	12877
gdna_low_ss_0.50_nrna_high	mrna	nrna	9	10039
gdna_low_ss_0.50_nrna_high	nrna	nrna	25	84781
gdna_low_ss_0.50_nrna_high	nrna	gdna	5	145126
gdna_low_ss_0.50_nrna_high	nrna	mrna	3	45926
gdna_low_ss_0.50_nrna_high	nrna	unresolved	64	52
gdna_low_ss_0.50_nrna_high	gdna	gdna	37	219495
gdna_low_ss_0.50_nrna_high	gdna	gdna	5	28060
gdna_low_ss_0.50_nrna_high	gdna	mrna	3	1474
gdna_low_ss_0.50_nrna_high	gdna	nrna	25	887
gdna_low_ss_0.50_nrna_high	gdna	nrna	9	63
gdna_low_ss_0.50_nrna_high	gdna	unresolved	64	21
gdna_low_ss_0.99_nrna_high	mrna	mrna	3	943467
gdna_low_ss_0.99_nrna_high	mrna	nrna	25	40075
gdna_low_ss_0.99_nrna_high	mrna	gdna	5	5655
gdna_low_ss_0.99_nrna_high	mrna	nrna	9	10803
gdna_low_ss_0.99_nrna_high	nrna	nrna	25	209213
gdna_low_ss_0.99_nrna_high	nrna	mrna	3	45782
gdna_low_ss_0.99_nrna_high	nrna	gdna	5	20838
gdna_low_ss_0.99_nrna_high	nrna	unresolved	64	52
gdna_low_ss_0.99_nrna_high	gdna	gdna	37	219495
gdna_low_ss_0.99_nrna_high	gdna	nrna	25	2894
gdna_low_ss_0.99_nrna_high	gdna	gdna	5	26075
gdna_low_ss_0.99_nrna_high	gdna	mrna	3	1468
gdna_low_ss_0.99_nrna_high	gdna	nrna	9	47
gdna_low_ss_0.99_nrna_high	gdna	unresolved	64	21
gdna_med_ss_0.50_nrna_high	mrna	mrna	3	928742
gdna_med_ss_0.50_nrna_high	mrna	nrna	25	18339
gdna_med_ss_0.50_nrna_high	mrna	gdna	5	42897
gdna_med_ss_0.50_nrna_high	mrna	nrna	9	10022
gdna_med_ss_0.50_nrna_high	nrna	nrna	25	115167
gdna_med_ss_0.50_nrna_high	nrna	gdna	5	115333
gdna_med_ss_0.50_nrna_high	nrna	mrna	3	45334
gdna_med_ss_0.50_nrna_high	nrna	unresolved	64	51
gdna_med_ss_0.50_nrna_high	gdna	gdna	5	109857
gdna_med_ss_0.50_nrna_high	gdna	gdna	37	879867
gdna_med_ss_0.50_nrna_high	gdna	nrna	25	4661
gdna_med_ss_0.50_nrna_high	gdna	mrna	3	5282
gdna_med_ss_0.50_nrna_high	gdna	nrna	9	198
gdna_med_ss_0.50_nrna_high	gdna	unresolved	64	135
gdna_med_ss_0.99_nrna_high	mrna	mrna	3	943410
gdna_med_ss_0.99_nrna_high	mrna	nrna	25	34819
gdna_med_ss_0.99_nrna_high	mrna	gdna	5	11129
gdna_med_ss_0.99_nrna_high	mrna	nrna	9	10642
gdna_med_ss_0.99_nrna_high	nrna	nrna	25	195665
gdna_med_ss_0.99_nrna_high	nrna	gdna	5	34732
gdna_med_ss_0.99_nrna_high	nrna	mrna	3	45437
gdna_med_ss_0.99_nrna_high	nrna	unresolved	64	51
gdna_med_ss_0.99_nrna_high	gdna	gdna	5	107350
gdna_med_ss_0.99_nrna_high	gdna	gdna	37	879867
gdna_med_ss_0.99_nrna_high	gdna	nrna	25	8006
gdna_med_ss_0.99_nrna_high	gdna	mrna	3	4510
gdna_med_ss_0.99_nrna_high	gdna	nrna	9	132
gdna_med_ss_0.99_nrna_high	gdna	unresolved	64	135
gdna_high_ss_0.50_nrna_high	mrna	mrna	3	921927
gdna_high_ss_0.50_nrna_high	mrna	nrna	25	17917
