condition	gdna_label	gdna_rate	nrna_label	strand_specificity	truth_mrna	truth_nrna	truth_gdna	truth_total_manifest	loci_mrna	loci_nrna	loci_gdna	quant_mrna_total	nrna_quant_total	gene_quant_total	strand_model_estimate	rna_fl_mean	gdna_fl_mean	gdna_fl_rel_error	rho_intergenic	rho_intron	rho_exon_intron	rho_intron_uncorrected	rho_exon_intron_uncorrected	rho_intron_estimated_fragments	rho_exon_intron_estimated_fragments	rho_intron_strand_active	rho_exon_intron_strand_active	rho_intron_over_intergenic	rho_exon_intron_over_intergenic	total_fragments	pred_mrna	mrna_exact_tx	mrna_same_gene_wrong_tx	pred_nrna	mrna_wrong_gene	mrna_to_mrna	mrna_to_nrna	mrna_to_gdna	mrna_to_unresolved	nrna_to_mrna	nrna_to_nrna	nrna_to_gdna	nrna_to_unresolved	gdna_to_mrna	gdna_to_nrna	gdna_to_gdna	gdna_to_unresolved	mrna_to_mrna_rate	mrna_to_nrna_rate	mrna_to_gdna_rate	mrna_to_unresolved_rate	nrna_to_mrna_rate	nrna_to_nrna_rate	nrna_to_gdna_rate	nrna_to_unresolved_rate	gdna_to_mrna_rate	gdna_to_nrna_rate	gdna_to_gdna_rate	gdna_to_unresolved_rate	assigned_mrna_fraction	assigned_nrna_fraction	assigned_gdna_fraction	assigned_unresolved_fraction	truth_mrna_fraction	truth_nrna_fraction	truth_gdna_fraction	mrna_exact_tx_rate	mrna_gene_rate	mrna_wrong_gene_rate	nrna_rna_compatible_rate	gdna_to_rna_rate	rna_to_gdna_rate	overall_pool_accuracy	loci_mrna_recovery	loci_nrna_recovery	loci_gdna_recovery	winner_nrna_recall	winner_gdna_recall	winner_mrna_recall	pred_gdna	pred_unresolved
gdna_zero_ss_0.50_nrna_zero	zero	0.0	zero	0.5	1000000	0	0	1000000	1000000.0	0.0	0.0	1000000.0	0.0	1000000.0	0.5015	257.8643284451268	249.31152433217835	-0.287681359050919	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False	False			1000000	988868	696433	289880	11132	2555	988868	11132	0	0	0	0	0	0	0	0	0	0	0.988868	0.011132	0.0	0.0									0.988868	0.011132	0.0	0.0	1.0	0.0	0.0	0.696433	0.986313	0.002555			0.0	0.988868	1.0					0.988868		
gdna_zero_ss_0.99_nrna_zero	zero	0.0	zero	0.99	1000000	0	0	1000000	999999.0	1.0	0.0	999999.0	1.0	999999.0	0.990533	257.8643284451268	249.31152433217835	-0.287681359050919	0.0	0.0	0.0	0.0	0.0	0.0	0.0	True	True			1000000	988867	698738	290003	11133	126	988867	11133	0	0	0	0	0	0	0	0	0	0	0.988867	0.011133	0.0	0.0									0.988867	0.011133	0.0	0.0	1.0	0.0	0.0	0.698738	0.988741	0.000126			0.0	0.988867	0.999999					0.988867		
gdna_low_ss_0.50_nrna_zero	low	0.25	zero	0.5	1000000	0	250000	1250000	999385.0	0.0	30643.0	999385.0	0.0	999385.0	0.500791	257.65344858596865	351.17413193522157	0.00335466267206162	0.024998048116358137	0.025171158150944097	0.024442250466698463	0.025171158150944097	0.024442250466698463	20768.0	4255.0	False	False	1.0069249420506827	0.9777663581143372	1250000	988278	700464	283111	11107	2566	986141	11031	2828	0	0	0	0	0	2137	76	247764	23	0.986141	0.011031	0.002828	0.0					0.008548	0.000304	0.991056	9.2e-05	0.7906224	0.0088856	0.2004736	1.84e-05	0.8	0.0	0.2	0.700464	0.983575	0.002566		0.008852	0.002828	0.987124	0.999385		0.122572		0.991056	0.986141	250592.0	23.0
gdna_low_ss_0.99_nrna_zero	low	0.25	zero	0.99	1000000	0	250000	1250000	999434.0	2.0	30592.0	999434.0	2.0	999434.0	0.990085	257.65344858596865	351.17413193522157	0.00335466267206162	0.024998048116358137	0.024764797120070004	0.024517020302906308	0.025171158150944097	0.024442250466698463	20432.723178862685	4268.016217696396	True	True	0.99066923164551	0.9807573850881159	1250000	988310	708125	278347	11126	138	986610	11063	2327	0	0	0	0	0	1700	63	248214	23	0.98661	0.011063	0.002327	0.0					0.0068	0.000252	0.992856	9.2e-05	0.790648	0.0089008	0.2004328	1.84e-05	0.8	0.0	0.2	0.708125	0.986472	0.000138		0.007052	0.002327	0.9878592	0.999434		0.122368		0.992856	0.98661	250541.0	23.0
gdna_med_ss_0.50_nrna_zero	med	1.0	zero	0.5	1000000	0	1000000	2000000	995444.0	0.0	124888.0	995444.0	0.0	995444.0	0.500823	257.62186604159075	351.43575718181114	0.00410216337660326	0.09996312848485989	0.10034359883530533	0.09851886712422919	0.10034359883530533	0.09851886712422919	82795.0	17141.0	False	False	1.0038061068737267	0.9855520592190206	2000000	984559	696585	278712	10885	2445	977742	10629	11629	0	0	0	0	0	6817	256	992799	128	0.977742	0.010629	0.011629	0.0					0.006817	0.000256	0.992799	0.000128	0.4922795	0.0054425	0.502214	6.4e-05	0.5	0.0	0.5	0.696585	0.975297	0.002445		0.007073	0.011629	0.9852705	0.995444		0.124888		0.992799	0.977742	1004428.0	128.0
gdna_med_ss_0.99_nrna_zero	med	1.0	zero	0.99	1000000	0	1000000	2000000	997152.0	0.0	123180.0	997152.0	0.0	997152.0	0.990026	257.62186604159075	351.43575718181114	0.00410216337660326	0.09996312848485989	0.10018403063167672	0.0976828056281157	0.10034359883530533	0.09851886712422919	82663.3378952641	16995.536186588397	True	True	1.0022098362682825	0.9771883604354223	2000000	986124	704990	276045	11028	114	981149	10838	8013	0	0	0	0	0	4975	190	994707	128	0.981149	0.010838	0.008013	0.0					0.004975	0.00019	0.994707	0.000128	0.493062	0.005514	0.50136	6.4e-05	0.5	0.0	0.5	0.70499	0.981035	0.000114		0.005165	0.008013	0.987928	0.997152		0.12318		0.994707	0.981149	1002720.0	128.0
gdna_high_ss_0.50_nrna_zero	high	2.0	zero	0.5	1000000	0	2000000	3000000	988847.0	0.0	250383.0	988847.0	0.0	988847.0	0.500603	257.5760690549951	351.39171021835193	0.003976314909576948	0.20009568875047773	0.19954225850501986	0.19607676701848595	0.19954225850501986	0.19607676701848595	164651.0	34103.0	False	False	0.997234172065806	0.9799150008823857	3000000	978150	685333	278575	10697	2398	966306	10260	23434	0	0	0	0	0	11844	437	1987517	202	0.966306	0.01026	0.023434	0.0					0.005922	0.0002185	0.9937585	0.000101	0.32605	0.0035656666666666666	0.670317	6.733333333333333e-05	0.3333333333333333	0.0	0.6666666666666666	0.685333	0.963908	0.002398		0.0061405	0.023434	0.9846076666666667	0.988847		0.1251915		0.9937585	0.966306	2010951.0	202.0
gdna_high_ss_0.99_nrna_zero	high	2.0	zero	0.99	1000000	0	2000000	3000000	993715.0	0.0	245515.0	993715.0	0.0	993715.0	0.990112	257.5760690549951	351.39171021835193	0.003976314909576948	0.20009568875047773	0.19917699645011916	0.19446869792934932	0.19954225850501986	0.19607676701848595	164349.60638517357	33823.31372721656	True	True	0.9954087351601854	0.9718785004501254	3000000	982881	699821	274466	10834	117	974404	10553	15043	0	0	0	0	0	8477	281	1991040	202	0.974404	0.010553	0.015043	0.0					0.0042385	0.0001405	0.99552	0.000101	0.327627	0.003611333333333333	0.6686943333333333	6.733333333333333e-05	0.3333333333333333	0.0	0.6666666666666666	0.699821	0.974287	0.000117		0.004379	0.015043	0.9884813333333333	0.993715		0.1227575		0.99552	0.974404	2006083.0	202.0
gdna_zero_ss_0.50_nrna_low	zero	0.0	low	0.5	1000000	59261	0	1059261	994712.0	0.0	64542.0	994712.0	0.0	994712.0	0.500211	257.5033199056893	250.24304766712945	-0.2850198638082016	0.0	0.04933645987268289	0.045848063559767234	0.04933645987268289	0.045848063559767234	41862.0	5763.0	False	False			1059261	983978	668695	302174	10734	2471	973340	10734	15926	0	10638	0	48616	7	0	0	0	0	0.97334	0.010734	0.015926	0.0	0.1795109768650546	0.0	0.8203709016047653	0.00011812153018005096					0.928928753159042	0.010133479850575071	0.06093115860963445	6.608380748465203e-06	0.9440543926378863	0.05594560736211378	0.0	0.668695	0.970869	0.002471	0.1795109768650546		0.06093115860963445	0.9188859025301602	0.994712	0.0		0.0		0.97334	64542.0	7.0
gdna_zero_ss_0.99_nrna_low	zero	0.0	low	0.99	1000000	59261	0	1059261	1004185.0	51112.0	3957.0	1004185.0	51112.0	1004185.0	0.989954	257.5033199056893	250.24304766712945	-0.2850198638082016	0.0	0.0	0.014645435386597277	0.04933645987268289	0.045848063559767234	0.0	1840.8987769556436	True	True			1059261	993100	699991	282456	62197	153	982600	16631	769	0	10500	45566	3188	7	0	0	0	0	0.9826	0.016631	0.000769	0.0	0.17718229527007645	0.768903663454886	0.05379591974485749	0.00011812153018005096					0.9375404173286848	0.05871735105889861	0.0037356232316681157	6.608380748465203e-06	0.9440543926378863	0.05594560736211378	0.0	0.699991	0.982447	0.000153	0.9460859587249625		0.0037356232316681157	0.9706446286609249	1.004185	0.8624896643661093		0.768903663454886		0.9826	3957.0	7.0
