condition	true_pool	pred_pool	count
gdna_zero_ss_0.50_nrna_high	nrna	gdna	231897
gdna_low_ss_0.50_nrna_high	nrna	gdna	144910
gdna_high_ss_0.50_nrna_high	nrna	gdna	121822
gdna_med_ss_0.50_nrna_high	nrna	gdna	115342
gdna_zero_ss_0.50_nrna_high	mrna	gdna	72812
gdna_high_ss_0.50_nrna_high	mrna	gdna	49680
gdna_high_ss_0.99_nrna_high	nrna	gdna	48970
gdna_zero_ss_0.50_nrna_low	nrna	gdna	48616
gdna_low_ss_0.50_nrna_high	mrna	gdna	47025
gdna_med_ss_0.50_nrna_high	mrna	gdna	42388
gdna_med_ss_0.99_nrna_high	nrna	gdna	34953
gdna_high_ss_0.50_nrna_low	nrna	gdna	31185
gdna_high_ss_0.50_nrna_low	mrna	gdna	30141
gdna_med_ss_0.50_nrna_low	nrna	gdna	24760
gdna_high_ss_0.50_nrna_zero	mrna	gdna	23434
gdna_low_ss_0.99_nrna_high	nrna	gdna	21094
gdna_high_ss_0.99_nrna_low	nrna	gdna	19927
gdna_low_ss_0.50_nrna_low	nrna	gdna	19141
gdna_high_ss_0.99_nrna_high	mrna	gdna	18485
gdna_med_ss_0.50_nrna_low	mrna	gdna	17635
gdna_high_ss_0.99_nrna_low	mrna	gdna	16447
gdna_zero_ss_0.50_nrna_low	mrna	gdna	15926
gdna_high_ss_0.99_nrna_zero	mrna	gdna	15043
gdna_zero_ss_0.99_nrna_high	nrna	gdna	14279
gdna_med_ss_0.99_nrna_low	nrna	gdna	13839
gdna_med_ss_0.50_nrna_zero	mrna	gdna	11629
gdna_med_ss_0.99_nrna_high	mrna	gdna	11124
gdna_med_ss_0.99_nrna_low	mrna	gdna	9228
gdna_low_ss_0.50_nrna_low	mrna	gdna	8641
gdna_med_ss_0.99_nrna_zero	mrna	gdna	8013
gdna_low_ss_0.99_nrna_low	nrna	gdna	6995
gdna_low_ss_0.99_nrna_high	mrna	gdna	5741
gdna_zero_ss_0.99_nrna_high	mrna	gdna	3873
gdna_zero_ss_0.99_nrna_low	nrna	gdna	3188
gdna_low_ss_0.99_nrna_low	mrna	gdna	3115
gdna_low_ss_0.50_nrna_zero	mrna	gdna	2828
gdna_low_ss_0.99_nrna_zero	mrna	gdna	2327
gdna_zero_ss_0.99_nrna_low	mrna	gdna	769
gdna_high_ss_0.99_nrna_low	gdna	unresolved	234
gdna_high_ss_0.50_nrna_low	gdna	unresolved	234
gdna_high_ss_0.50_nrna_high	gdna	unresolved	223
gdna_high_ss_0.99_nrna_high	gdna	unresolved	223
gdna_high_ss_0.50_nrna_zero	gdna	unresolved	202
gdna_high_ss_0.99_nrna_zero	gdna	unresolved	202
gdna_med_ss_0.50_nrna_high	gdna	unresolved	135
gdna_med_ss_0.99_nrna_high	gdna	unresolved	135
gdna_med_ss_0.50_nrna_zero	gdna	unresolved	128
gdna_med_ss_0.99_nrna_zero	gdna	unresolved	128
gdna_med_ss_0.50_nrna_low	gdna	unresolved	83
gdna_med_ss_0.99_nrna_low	gdna	unresolved	83
gdna_zero_ss_0.99_nrna_high	nrna	unresolved	62
gdna_zero_ss_0.50_nrna_high	nrna	unresolved	62
gdna_high_ss_0.50_nrna_high	nrna	unresolved	52
gdna_low_ss_0.99_nrna_high	nrna	unresolved	52
gdna_high_ss_0.99_nrna_high	nrna	unresolved	52
gdna_low_ss_0.50_nrna_high	nrna	unresolved	52
gdna_med_ss_0.50_nrna_high	nrna	unresolved	51
gdna_med_ss_0.99_nrna_high	nrna	unresolved	51
gdna_low_ss_0.50_nrna_zero	gdna	unresolved	23
gdna_low_ss_0.99_nrna_zero	gdna	unresolved	23
gdna_low_ss_0.50_nrna_low	gdna	unresolved	21
gdna_low_ss_0.50_nrna_high	gdna	unresolved	21
gdna_low_ss_0.99_nrna_high	gdna	unresolved	21
gdna_low_ss_0.99_nrna_low	gdna	unresolved	21
gdna_med_ss_0.99_nrna_low	nrna	unresolved	10
gdna_med_ss_0.50_nrna_low	nrna	unresolved	10
gdna_high_ss_0.99_nrna_low	nrna	unresolved	9
gdna_high_ss_0.50_nrna_low	nrna	unresolved	9
gdna_zero_ss_0.50_nrna_low	nrna	unresolved	7
gdna_zero_ss_0.99_nrna_low	nrna	unresolved	7
gdna_low_ss_0.50_nrna_low	nrna	unresolved	5
gdna_low_ss_0.99_nrna_low	nrna	unresolved	5
