condition	true_pool	pred_pool	count	row_fraction	overall_fraction	mean_winner_posterior
gdna_zero_ss_0.50_nrna_zero	mrna	mrna	988868	0.988868	0.988868	0.6945988314926704
gdna_zero_ss_0.50_nrna_zero	mrna	nrna	11132	0.011132	0.011132	0.9264632635745693
gdna_zero_ss_0.50_nrna_zero	mrna	gdna	0	0.0	0.0	
gdna_zero_ss_0.50_nrna_zero	mrna	unresolved	0	0.0	0.0	
gdna_zero_ss_0.50_nrna_zero	nrna	mrna	0		0.0	
gdna_zero_ss_0.50_nrna_zero	nrna	nrna	0		0.0	
gdna_zero_ss_0.50_nrna_zero	nrna	gdna	0		0.0	
gdna_zero_ss_0.50_nrna_zero	nrna	unresolved	0		0.0	
gdna_zero_ss_0.50_nrna_zero	gdna	mrna	0		0.0	
gdna_zero_ss_0.50_nrna_zero	gdna	nrna	0		0.0	
gdna_zero_ss_0.50_nrna_zero	gdna	gdna	0		0.0	
gdna_zero_ss_0.50_nrna_zero	gdna	unresolved	0		0.0	
gdna_zero_ss_0.50_nrna_zero	unresolved	mrna	0		0.0	
gdna_zero_ss_0.50_nrna_zero	unresolved	nrna	0		0.0	
gdna_zero_ss_0.50_nrna_zero	unresolved	gdna	0		0.0	
gdna_zero_ss_0.50_nrna_zero	unresolved	unresolved	0		0.0	
gdna_zero_ss_0.99_nrna_zero	mrna	mrna	988867	0.988867	0.988867	0.6986292363335056
gdna_zero_ss_0.99_nrna_zero	mrna	nrna	11133	0.011133	0.011133	0.9279558492633202
gdna_zero_ss_0.99_nrna_zero	mrna	gdna	0	0.0	0.0	
gdna_zero_ss_0.99_nrna_zero	mrna	unresolved	0	0.0	0.0	
gdna_zero_ss_0.99_nrna_zero	nrna	mrna	0		0.0	
gdna_zero_ss_0.99_nrna_zero	nrna	nrna	0		0.0	
gdna_zero_ss_0.99_nrna_zero	nrna	gdna	0		0.0	
gdna_zero_ss_0.99_nrna_zero	nrna	unresolved	0		0.0	
gdna_zero_ss_0.99_nrna_zero	gdna	mrna	0		0.0	
gdna_zero_ss_0.99_nrna_zero	gdna	nrna	0		0.0	
gdna_zero_ss_0.99_nrna_zero	gdna	gdna	0		0.0	
gdna_zero_ss_0.99_nrna_zero	gdna	unresolved	0		0.0	
gdna_zero_ss_0.99_nrna_zero	unresolved	mrna	0		0.0	
gdna_zero_ss_0.99_nrna_zero	unresolved	nrna	0		0.0	
gdna_zero_ss_0.99_nrna_zero	unresolved	gdna	0		0.0	
gdna_zero_ss_0.99_nrna_zero	unresolved	unresolved	0		0.0	
gdna_low_ss_0.50_nrna_zero	mrna	mrna	986141	0.986141	0.7889128	0.6989981982300623
gdna_low_ss_0.50_nrna_zero	mrna	nrna	11031	0.011031	0.0088248	0.9194749497455017
gdna_low_ss_0.50_nrna_zero	mrna	gdna	2828	0.002828	0.0022624	0.18240037068159515
gdna_low_ss_0.50_nrna_zero	mrna	unresolved	0	0.0	0.0	
gdna_low_ss_0.50_nrna_zero	nrna	mrna	0		0.0	
gdna_low_ss_0.50_nrna_zero	nrna	nrna	0		0.0	
gdna_low_ss_0.50_nrna_zero	nrna	gdna	0		0.0	
gdna_low_ss_0.50_nrna_zero	nrna	unresolved	0		0.0	
gdna_low_ss_0.50_nrna_zero	gdna	mrna	2137	0.008548	0.0017096	0.6731631900600054
gdna_low_ss_0.50_nrna_zero	gdna	nrna	76	0.000304	6.08e-05	0.8166745155069389
gdna_low_ss_0.50_nrna_zero	gdna	gdna	247764	0.991056	0.1982112	0.998689714635713
gdna_low_ss_0.50_nrna_zero	gdna	unresolved	23	9.2e-05	1.84e-05	0.0
gdna_low_ss_0.50_nrna_zero	unresolved	mrna	0		0.0	
gdna_low_ss_0.50_nrna_zero	unresolved	nrna	0		0.0	
gdna_low_ss_0.50_nrna_zero	unresolved	gdna	0		0.0	
gdna_low_ss_0.50_nrna_zero	unresolved	unresolved	0		0.0	
gdna_low_ss_0.99_nrna_zero	mrna	mrna	986610	0.98661	0.789288	0.7084650278080528
gdna_low_ss_0.99_nrna_zero	mrna	nrna	11063	0.011063	0.0088504	0.9222550915493049
gdna_low_ss_0.99_nrna_zero	mrna	gdna	2327	0.002327	0.0018616	0.22761201281716859
gdna_low_ss_0.99_nrna_zero	mrna	unresolved	0	0.0	0.0	
gdna_low_ss_0.99_nrna_zero	nrna	mrna	0		0.0	
gdna_low_ss_0.99_nrna_zero	nrna	nrna	0		0.0	
gdna_low_ss_0.99_nrna_zero	nrna	gdna	0		0.0	
gdna_low_ss_0.99_nrna_zero	nrna	unresolved	0		0.0	
gdna_low_ss_0.99_nrna_zero	gdna	mrna	1700	0.0068	0.00136	0.6462951741405927
gdna_low_ss_0.99_nrna_zero	gdna	nrna	63	0.000252	5.04e-05	0.6464055929303406
gdna_low_ss_0.99_nrna_zero	gdna	gdna	248214	0.992856	0.1985712	0.998697964911678
gdna_low_ss_0.99_nrna_zero	gdna	unresolved	23	9.2e-05	1.84e-05	0.0
gdna_low_ss_0.99_nrna_zero	unresolved	mrna	0		0.0	
gdna_low_ss_0.99_nrna_zero	unresolved	nrna	0		0.0	
gdna_low_ss_0.99_nrna_zero	unresolved	gdna	0		0.0	
gdna_low_ss_0.99_nrna_zero	unresolved	unresolved	0		0.0	
gdna_med_ss_0.50_nrna_zero	mrna	mrna	977742	0.977742	0.488871	0.696464958637996
gdna_med_ss_0.50_nrna_zero	mrna	nrna	10629	0.010629	0.0053145	0.9326558247842445
gdna_med_ss_0.50_nrna_zero	mrna	gdna	11629	0.011629	0.0058145	0.20133372350477444
gdna_med_ss_0.50_nrna_zero	mrna	unresolved	0	0.0	0.0	
gdna_med_ss_0.50_nrna_zero	nrna	mrna	0		0.0	
gdna_med_ss_0.50_nrna_zero	nrna	nrna	0		0.0	
gdna_med_ss_0.50_nrna_zero	nrna	gdna	0		0.0	
gdna_med_ss_0.50_nrna_zero	nrna	unresolved	0		0.0	
gdna_med_ss_0.50_nrna_zero	gdna	mrna	6817	0.006817	0.0034085	0.6475104937206659
gdna_med_ss_0.50_nrna_zero	gdna	nrna	256	0.000256	0.000128	0.7929475045530125
gdna_med_ss_0.50_nrna_zero	gdna	gdna	992799	0.992799	0.4963995	0.9987271625060719
gdna_med_ss_0.50_nrna_zero	gdna	unresolved	128	0.000128	6.4e-05	0.0
gdna_med_ss_0.50_nrna_zero	unresolved	mrna	0		0.0	
gdna_med_ss_0.50_nrna_zero	unresolved	nrna	0		0.0	
gdna_med_ss_0.50_nrna_zero	unresolved	gdna	0		0.0	
gdna_med_ss_0.50_nrna_zero	unresolved	unresolved	0		0.0	
gdna_med_ss_0.99_nrna_zero	mrna	mrna	981149	0.981149	0.4905745	0.7080183009327888
gdna_med_ss_0.99_nrna_zero	mrna	nrna	10838	0.010838	0.005419	0.9335857062828443
gdna_med_ss_0.99_nrna_zero	mrna	gdna	8013	0.008013	0.0040065	0.2617506858552544
gdna_med_ss_0.99_nrna_zero	mrna	unresolved	0	0.0	0.0	
gdna_med_ss_0.99_nrna_zero	nrna	mrna	0		0.0	
gdna_med_ss_0.99_nrna_zero	nrna	nrna	0		0.0	
gdna_med_ss_0.99_nrna_zero	nrna	gdna	0		0.0	
gdna_med_ss_0.99_nrna_zero	nrna	unresolved	0		0.0	
gdna_med_ss_0.99_nrna_zero	gdna	mrna	4975	0.004975	0.0024875	0.6188194274773176
gdna_med_ss_0.99_nrna_zero	gdna	nrna	190	0.00019	9.5e-05	0.7140975996655853
gdna_med_ss_0.99_nrna_zero	gdna	gdna	994707	0.994707	0.4973535	0.998778438473452
gdna_med_ss_0.99_nrna_zero	gdna	unresolved	128	0.000128	6.4e-05	0.0
gdna_med_ss_0.99_nrna_zero	unresolved	mrna	0		0.0	
gdna_med_ss_0.99_nrna_zero	unresolved	nrna	0		0.0	
gdna_med_ss_0.99_nrna_zero	unresolved	gdna	0		0.0	
gdna_med_ss_0.99_nrna_zero	unresolved	unresolved	0		0.0	
gdna_high_ss_0.50_nrna_zero	mrna	mrna	966306	0.966306	0.322102	0.687468097135378
gdna_high_ss_0.50_nrna_zero	mrna	nrna	10260	0.01026	0.00342	0.8609753569337534
gdna_high_ss_0.50_nrna_zero	mrna	gdna	23434	0.023434	0.007811333333333333	0.21564833492385121
gdna_high_ss_0.50_nrna_zero	mrna	unresolved	0	0.0	0.0	
gdna_high_ss_0.50_nrna_zero	nrna	mrna	0		0.0	
gdna_high_ss_0.50_nrna_zero	nrna	nrna	0		0.0	
gdna_high_ss_0.50_nrna_zero	nrna	gdna	0		0.0	
