condition	true_pool	gdna	mrna	nrna	unresolved
gdna_high_ss_0.50_nrna_high	gdna	1981080	9943	8754	223
gdna_high_ss_0.50_nrna_high	mrna	49680	922591	27729	0
gdna_high_ss_0.50_nrna_high	nrna	121822	45082	108929	52
gdna_high_ss_0.50_nrna_high	unresolved	0	0	0	0
gdna_high_ss_0.50_nrna_low	gdna	1984910	11219	3637	234
gdna_high_ss_0.50_nrna_low	mrna	30141	957915	11944	0
gdna_high_ss_0.50_nrna_low	nrna	31185	10226	17841	9
gdna_high_ss_0.50_nrna_low	unresolved	0	0	0	0
gdna_high_ss_0.50_nrna_zero	gdna	1987517	11844	437	202
gdna_high_ss_0.50_nrna_zero	mrna	23434	966306	10260	0
gdna_high_ss_0.50_nrna_zero	nrna	0	0	0	0
gdna_high_ss_0.50_nrna_zero	unresolved	0	0	0	0
gdna_high_ss_0.99_nrna_high	gdna	1979297	7792	12688	223
gdna_high_ss_0.99_nrna_high	mrna	18485	937091	44424	0
gdna_high_ss_0.99_nrna_high	nrna	48970	45015	181848	52
gdna_high_ss_0.99_nrna_high	unresolved	0	0	0	0
gdna_high_ss_0.99_nrna_low	gdna	1987255	8228	4283	234
gdna_high_ss_0.99_nrna_low	mrna	16447	970128	13425	0
gdna_high_ss_0.99_nrna_low	nrna	19927	10079	29246	9
gdna_high_ss_0.99_nrna_low	unresolved	0	0	0	0
gdna_high_ss_0.99_nrna_zero	gdna	1991040	8477	281	202
gdna_high_ss_0.99_nrna_zero	mrna	15043	974404	10553	0
gdna_high_ss_0.99_nrna_zero	nrna	0	0	0	0
gdna_high_ss_0.99_nrna_zero	unresolved	0	0	0	0
gdna_low_ss_0.50_nrna_high	gdna	247552	1475	952	21
gdna_low_ss_0.50_nrna_high	mrna	47025	929979	22996	0
gdna_low_ss_0.50_nrna_high	nrna	144910	45797	85126	52
gdna_low_ss_0.50_nrna_high	unresolved	0	0	0	0
gdna_low_ss_0.50_nrna_low	gdna	247019	1892	1068	21
gdna_low_ss_0.50_nrna_low	mrna	8641	977895	13464	0
gdna_low_ss_0.50_nrna_low	nrna	19141	10421	29694	5
gdna_low_ss_0.50_nrna_low	unresolved	0	0	0	0
gdna_low_ss_0.50_nrna_zero	gdna	247764	2137	76	23
gdna_low_ss_0.50_nrna_zero	mrna	2828	986141	11031	0
gdna_low_ss_0.50_nrna_zero	nrna	0	0	0	0
gdna_low_ss_0.50_nrna_zero	unresolved	0	0	0	0
gdna_low_ss_0.99_nrna_high	gdna	245576	1489	2914	21
gdna_low_ss_0.99_nrna_high	mrna	5741	946610	47649	0
gdna_low_ss_0.99_nrna_high	nrna	21094	45867	208872	52
gdna_low_ss_0.99_nrna_high	unresolved	0	0	0	0
gdna_low_ss_0.99_nrna_low	gdna	246857	1555	1567	21
gdna_low_ss_0.99_nrna_low	mrna	3115	980998	15887	0
gdna_low_ss_0.99_nrna_low	nrna	6995	10151	42110	5
gdna_low_ss_0.99_nrna_low	unresolved	0	0	0	0
gdna_low_ss_0.99_nrna_zero	gdna	248214	1700	63	23
gdna_low_ss_0.99_nrna_zero	mrna	2327	986610	11063	0
gdna_low_ss_0.99_nrna_zero	nrna	0	0	0	0
gdna_low_ss_0.99_nrna_zero	unresolved	0	0	0	0
gdna_med_ss_0.50_nrna_high	gdna	989768	5258	4839	135
gdna_med_ss_0.50_nrna_high	mrna	42388	928969	28643	0
gdna_med_ss_0.50_nrna_high	nrna	115342	45475	115017	51
gdna_med_ss_0.50_nrna_high	unresolved	0	0	0	0
gdna_med_ss_0.50_nrna_low	gdna	990708	6408	2801	83
gdna_med_ss_0.50_nrna_low	mrna	17635	969508	12857	0
gdna_med_ss_0.50_nrna_low	nrna	24760	10685	23806	10
gdna_med_ss_0.50_nrna_low	unresolved	0	0	0	0
gdna_med_ss_0.50_nrna_zero	gdna	992799	6817	256	128
gdna_med_ss_0.50_nrna_zero	mrna	11629	977742	10629	0
gdna_med_ss_0.50_nrna_zero	nrna	0	0	0	0
gdna_med_ss_0.50_nrna_zero	unresolved	0	0	0	0
gdna_med_ss_0.99_nrna_high	gdna	987257	4498	8110	135
gdna_med_ss_0.99_nrna_high	mrna	11124	940792	48084	0
gdna_med_ss_0.99_nrna_high	nrna	34953	45296	195585	51
gdna_med_ss_0.99_nrna_high	unresolved	0	0	0	0
gdna_med_ss_0.99_nrna_low	gdna	991813	4809	3295	83
gdna_med_ss_0.99_nrna_low	mrna	9228	976249	14523	0
gdna_med_ss_0.99_nrna_low	nrna	13839	10401	35011	10
gdna_med_ss_0.99_nrna_low	unresolved	0	0	0	0
gdna_med_ss_0.99_nrna_zero	gdna	994707	4975	190	128
gdna_med_ss_0.99_nrna_zero	mrna	8013	981149	10838	0
gdna_med_ss_0.99_nrna_zero	nrna	0	0	0	0
gdna_med_ss_0.99_nrna_zero	unresolved	0	0	0	0
gdna_zero_ss_0.50_nrna_high	gdna	0	0	0	0
gdna_zero_ss_0.50_nrna_high	mrna	72812	917970	9218	0
gdna_zero_ss_0.50_nrna_high	nrna	231897	43926	0	62
gdna_zero_ss_0.50_nrna_high	unresolved	0	0	0	0
gdna_zero_ss_0.50_nrna_low	gdna	0	0	0	0
gdna_zero_ss_0.50_nrna_low	mrna	15926	973340	10734	0
gdna_zero_ss_0.50_nrna_low	nrna	48616	10638	0	7
gdna_zero_ss_0.50_nrna_low	unresolved	0	0	0	0
gdna_zero_ss_0.50_nrna_zero	gdna	0	0	0	0
gdna_zero_ss_0.50_nrna_zero	mrna	0	988868	11132	0
gdna_zero_ss_0.50_nrna_zero	nrna	0	0	0	0
gdna_zero_ss_0.50_nrna_zero	unresolved	0	0	0	0
gdna_zero_ss_0.99_nrna_high	gdna	0	0	0	0
gdna_zero_ss_0.99_nrna_high	mrna	3873	926643	69484	0
gdna_zero_ss_0.99_nrna_high	nrna	14279	44091	217453	62
gdna_zero_ss_0.99_nrna_high	unresolved	0	0	0	0
gdna_zero_ss_0.99_nrna_low	gdna	0	0	0	0
gdna_zero_ss_0.99_nrna_low	mrna	769	982600	16631	0
gdna_zero_ss_0.99_nrna_low	nrna	3188	10500	45566	7
gdna_zero_ss_0.99_nrna_low	unresolved	0	0	0	0
gdna_zero_ss_0.99_nrna_zero	gdna	0	0	0	0
gdna_zero_ss_0.99_nrna_zero	mrna	0	988867	11133	0
gdna_zero_ss_0.99_nrna_zero	nrna	0	0	0	0
gdna_zero_ss_0.99_nrna_zero	unresolved	0	0	0	0
