gdna_label	nrna_label	unstranded_condition	stranded_condition	truth_mrna	truth_nrna	truth_gdna	unstranded_overall_pool_accuracy	stranded_overall_pool_accuracy	delta_overall_pool_accuracy	unstranded_mrna_to_mrna_rate	stranded_mrna_to_mrna_rate	delta_mrna_to_mrna_rate	unstranded_mrna_to_gdna_rate	stranded_mrna_to_gdna_rate	delta_mrna_to_gdna_rate	unstranded_mrna_to_nrna_rate	stranded_mrna_to_nrna_rate	delta_mrna_to_nrna_rate	unstranded_nrna_to_nrna_rate	stranded_nrna_to_nrna_rate	delta_nrna_to_nrna_rate	unstranded_nrna_to_mrna_rate	stranded_nrna_to_mrna_rate	delta_nrna_to_mrna_rate	unstranded_nrna_to_gdna_rate	stranded_nrna_to_gdna_rate	delta_nrna_to_gdna_rate	unstranded_nrna_rna_compatible_rate	stranded_nrna_rna_compatible_rate	delta_nrna_rna_compatible_rate	unstranded_gdna_to_gdna_rate	stranded_gdna_to_gdna_rate	delta_gdna_to_gdna_rate	unstranded_gdna_to_rna_rate	stranded_gdna_to_rna_rate	delta_gdna_to_rna_rate	unstranded_assigned_gdna_fraction	stranded_assigned_gdna_fraction	delta_assigned_gdna_fraction	unstranded_assigned_nrna_fraction	stranded_assigned_nrna_fraction	delta_assigned_nrna_fraction	unstranded_loci_gdna_recovery	stranded_loci_gdna_recovery	delta_loci_gdna_recovery	unstranded_loci_nrna_recovery	stranded_loci_nrna_recovery	delta_loci_nrna_recovery	unstranded_gdna_fl_mean	stranded_gdna_fl_mean	delta_gdna_fl_mean	unstranded_rho_intron_over_intergenic	stranded_rho_intron_over_intergenic	delta_rho_intron_over_intergenic	unstranded_rho_exon_intron_over_intergenic	stranded_rho_exon_intron_over_intergenic	delta_rho_exon_intron_over_intergenic
high	high	gdna_high_ss_0.50_nrna_high	gdna_high_ss_0.99_nrna_high	1000000	275885	2000000	0.9196293520682197	0.9457706848683638	0.02614133280014408	0.922591	0.937091	0.014499999999999957	0.04968	0.018485	-0.031195	0.027729	0.044424	0.016694999999999998	0.39483480435688784	0.659144208637657	0.26430940428076916	0.16340866665458434	0.16316581184189063	-0.00024285481269370468	0.44156804465628796	0.17750149518821248	-0.2640665494680755	0.5582434710114722	0.8223100204795476	0.2640665494680754	0.99054	0.9896485	-0.000891499999999934	0.0093485	0.01024	0.0008915000000000017	0.6570993792517137	0.6247936053921307	-0.032305773859583	0.0443886155954803	0.07294517359431116	0.028556557998830855	0.196709	0.143794	-0.05291499999999999	0.4904289830907806	0.8272649835982384	0.3368360005074578	341.17773091177696	341.17773091177696	0.0	2.1673997715668127	1.0046147975899806	-1.1627849739768321	1.8304904784355085	1.2792507651541118	-0.5512397132813966
high	low	gdna_high_ss_0.50_nrna_low	gdna_high_ss_0.99_nrna_low	1000000	59261	2000000	0.967771628507669	0.976258318593935	0.008486690086266013	0.957915	0.970128	0.01221300000000003	0.030141	0.016447	-0.013694000000000001	0.011944	0.013425	0.0014809999999999997	0.30105803142032705	0.4935117530922529	0.19245372167192587	0.172558681088743	0.17007812895496194	-0.0024805521337810665	0.526231416952127	0.3362582474139822	-0.18997316953814486	0.47361671250907006	0.6635898820472149	0.18997316953814486	0.992455	0.9936275	0.0011725000000000207	0.007428	0.0062555	-0.0011725	0.6688661085144418	0.6614764153826692	-0.007389693131772623	0.010924860611762122	0.015348151073085951	0.00442329046132383	0.143267	0.1319635	-0.011303499999999994	0.38603803513271795	0.609085233121277	0.2230471979885591	348.9915568653522	348.9915568653522	0.0	1.2560450260876788	1.0035578631386666	-0.2524871629490122	1.1614166089796867	1.0548258004427158	-0.1065908085369709
high	zero	gdna_high_ss_0.50_nrna_zero	gdna_high_ss_0.99_nrna_zero	1000000	0	2000000	0.9846076666666667	0.9884813333333333	0.003873666666666664	0.966306	0.974404	0.00809800000000005	0.023434	0.015043	-0.008391	0.01026	0.010553	0.00029299999999999986													0.9937585	0.99552	0.0017614999999999714	0.0061405	0.004379	-0.0017615	0.670317	0.6686943333333333	-0.0016226666666667722	0.0035656666666666666	0.003611333333333333	4.566666666666651e-05	0.1251915	0.1227575	-0.0024340000000000056				351.39171021835193	351.39171021835193	0.0	0.997234172065806	0.9954087351601854	-0.0018254369056206476	0.9799150008823857	0.9718785004501254	-0.00803650043226034
low	high	gdna_low_ss_0.50_nrna_high	gdna_low_ss_0.99_nrna_high	1000000	275885	250000	0.8274915868495988	0.9181937039816238	0.09070211713202503	0.929979	0.94661	0.01663099999999995	0.047025	0.005741	-0.041284	0.022996	0.047649	0.024652999999999998	0.3085561012740816	0.7570980662232452	0.44854196494916354	0.16600032622288272	0.1662540551316672	0.00025372890878447296	0.5252550881707958	0.07645939431284775	-0.44879569385794804	0.4745564274969643	0.9233521213549124	0.4487956938579481	0.990208	0.982304	-0.007904000000000022	0.009708	0.017612	0.007904	0.2880210500791344	0.17852655999633	-0.10949449008280443	0.07148245116768302	0.17002264259757452	0.0985401914298915	0.879968	0.211664	-0.668304	0.358754553527738	0.9010167279844863	0.5422621744567483	303.574964306819	303.574964306819	0.0	10.220927018613823	1.0125781824248454	-9.208348836188978	8.50960141264613	3.611006085507505	-4.898595327138626
low	low	gdna_low_ss_0.50_nrna_low	gdna_low_ss_0.99_nrna_low	1000000	59261	250000	0.9582566042981498	0.9699861219420727	0.011729517643922827	0.977895	0.980998	0.003103000000000078	0.008641	0.003115	-0.005526	0.013464	0.015887	0.002422999999999998	0.5010715310237762	0.7105853765545637	0.20951384553078745	0.17584920942947302	0.17129309326538533	-0.004556116164087687	0.32299488702519363	0.11803715765849378	-0.20495772936669987	0.6769207404532492	0.881878469819949	0.20495772936669976	0.988076	0.987428	-0.0006479999999999819	0.01184	0.012488	0.000648000000000001	0.2098901594105377	0.19626873480535967	-0.01362142460517804	0.03377936102885521	0.04549436666944177	0.011715005640586557	0.219912	0.148576	-0.07133599999999998	0.5624272287001569	0.8180253455054758	0.25559811680531885	334.6928797333105	334.6928797333105	0.0	3.032912247294675	1.0068181284534266	-2.0260941188412485	2.4531235585175937	1.5317912080347549	-0.9213323504828388
low	zero	gdna_low_ss_0.50_nrna_zero	gdna_low_ss_0.99_nrna_zero	1000000	0	250000	0.987124	0.9878592	0.0007352000000000469	0.986141	0.98661	0.0004689999999999417	0.002828	0.002327	-0.0005009999999999997	0.011031	0.011063	3.200000000000078e-05													0.991056	0.992856	0.0017999999999999128	0.008852	0.007052	-0.0018000000000000004	0.2004736	0.2004328	-4.08000000000075e-05	0.0088856	0.0089008	1.5199999999999936e-05	0.122572	0.122368	-0.00020399999999999585				351.17413193522157	351.17413193522157	0.0	1.0069249420506827	0.99066923164551	-0.016255710405172707	0.9777663581143372	0.9807573850881159	0.002991026973778732
med	high	gdna_med_ss_0.50_nrna_high	gdna_med_ss_0.99_nrna_high	1000000	275885	1000000	0.8936101780186608	0.9331025073762514	0.039492329357590616	0.928969	0.940792	0.011822999999999917	0.042388	0.011124	-0.031264	0.028643	0.048084	0.019441000000000003	0.4169019700237418	0.7089366946372583	0.2920347246135165	0.1648331732424742	0.16418435217572538	-0.0006488210667488226	0.418079997100241	0.12669409355347336	-0.29138590354676763	0.581735143266216	0.8731210468129836	0.29138590354676763	0.989768	0.987257	-0.00251099999999993	0.010097	0.012608	0.0025109999999999993	0.5041985864839392	0.45403612221179895	-0.05016246427214027	0.06524890317393015	0.11062905199515793	0.04538014882122779	0.267631	0.153467	-0.11416400000000002	0.501168965329757	0.8733204052413143	0.3721514399115573	332.82091196490745	332.82091196490745	0.0	3.31932569722319	0.9974454221683468	-2.321880275054843	2.7113469625601545	1.5621427367211957	-1.1492042258389588
med	low	gdna_med_ss_0.50_nrna_low	gdna_med_ss_0.99_nrna_low	1000000	59261	1000000	0.9634631064250719	0.9727144834967496	0.009251377071677669	0.969508	0.976249	0.006740999999999997	0.017635	0.009228	-0.008407000000000001	0.012857	0.014523	0.001665999999999999	0.40171444963804187	0.5907932704476806	0.18907882080963873	0.18030407856769207	0.1755117193432443	-0.004792359224447762	0.41781272675115166	0.23352626516596076	-0.1842864615851909	0.582018528205734	0.7663049897909249	0.1842864615851909	0.990708	0.991813	0.0011049999999999116	0.009209	0.008104	-0.001105	0.5016862845457667	0.49283699346513143	-0.008849291080635258	0.01916415646195407	0.025654348817367008	0.0064901923554129375	0.153048	0.134825	-0.01822299999999999	0.48394390914766877	0.705759268321493	0.22181535917382428	346.7087008092348	346.7087008092348	0.0	1.5047585612082939	1.00326591262189	-0.501492648586404	1.3246424290525827	1.104634992563455	-0.22000743648912757
med	zero	gdna_med_ss_0.50_nrna_zero	gdna_med_ss_0.99_nrna_zero	1000000	0	1000000	0.9852705	0.987928	0.0026574999999999793	0.977742	0.981149	0.003407000000000049	0.011629	0.008013	-0.003616000000000001	0.010629	0.010838	0.00020900000000000085													0.992799	0.994707	0.0019080000000000208	0.007073	0.005165	-0.001908	0.502214	0.50136	-0.0008540000000000214	0.0054425	0.005514	7.149999999999952e-05	0.124888	0.12318	-0.0017080000000000012				351.43575718181114	351.43575718181114	0.0	1.0038061068737267	1.0022098362682825	-0.0015962706054442055	0.9855520592190206	0.9771883604354223	-0.008363698783598217
zero	high	gdna_zero_ss_0.50_nrna_high	gdna_zero_ss_0.99_nrna_high	1000000	275885	0	0.7194770688580867	0.8967077753872802	0.17723070652919348	0.91797	0.926643	0.008673000000000042	0.072812	0.003873	-0.068939	0.009218	0.069484	0.060266	0.0	0.7882016057415228	0.7882016057415228	0.15921851496094386	0.1598165902459358	0.0005980752849919502	0.8405567537198471	0.051757072693332365	-0.7887996810265147	0.15921851496094386	0.9480181959874585	0.7887996810265147							0.2388216806373615	0.014226987541980665	-0.22459469309538083	0.007224789067980264	0.2248925255802835	0.21766773651230323				0.0	1.0008880511807456	1.0008880511807456	250.13583983397203	250.13583983397203	0.0						
zero	low	gdna_zero_ss_0.50_nrna_low	gdna_zero_ss_0.99_nrna_low	1000000	59261	0	0.9188859025301602	0.9706446286609249	0.05175872613076471	0.97334	0.9826	0.009260000000000046	0.015926	0.000769	-0.015156999999999999	0.010734	0.016631	0.0058969999999999995	0.0	0.768903663454886	0.768903663454886	0.1795109768650546	0.17718229527007645	-0.002328681594978149	0.8203709016047653	0.05379591974485749	-0.7665749818599078	0.1795109768650546	0.9460859587249625	0.7665749818599079							0.06093115860963445	0.0037356232316681157	-0.05719553537796634	0.010133479850575071	0.05871735105889861	0.04858387120832354				0.0	0.8624896643661093	0.8624896643661093	250.24304766712945	250.24304766712945	0.0						
zero	zero	gdna_zero_ss_0.50_nrna_zero	gdna_zero_ss_0.99_nrna_zero	1000000	0	0	0.988868	0.988867	-9.999999999177334e-07	0.988868	0.988867	-9.999999999177334e-07	0.0	0.0	0.0	0.011132	0.011133	1.000000000001e-06																			0.0	0.0	0.0	0.011132	0.011133	1.000000000001e-06							249.31152433217835	249.31152433217835	0.0						
