condition	true_pool	pred_pool	zc	zs	count
gdna_zero_ss_0.50_nrna_zero	mrna	mrna	ambig_same_strand	unspliced	651926
gdna_zero_ss_0.50_nrna_zero	mrna	mrna	ambig_same_strand	spliced_annot	151570
gdna_zero_ss_0.50_nrna_zero	mrna	mrna	ambig_same_strand	spliced_implicit	2400
gdna_zero_ss_0.50_nrna_zero	mrna	mrna	unambig	spliced_annot	37399
gdna_zero_ss_0.50_nrna_zero	mrna	mrna	ambig_opp_strand	unspliced	144878
gdna_zero_ss_0.50_nrna_zero	mrna	nrna	ambig_same_strand	unspliced	11131
gdna_zero_ss_0.50_nrna_zero	mrna	mrna	ambig_opp_strand	spliced_implicit	695
gdna_zero_ss_0.50_nrna_zero	mrna	nrna	unambig	unspliced	1
gdna_zero_ss_0.99_nrna_zero	mrna	mrna	ambig_same_strand	unspliced	651925
gdna_zero_ss_0.99_nrna_zero	mrna	mrna	ambig_same_strand	spliced_annot	151570
gdna_zero_ss_0.99_nrna_zero	mrna	mrna	ambig_same_strand	spliced_implicit	2400
gdna_zero_ss_0.99_nrna_zero	mrna	mrna	unambig	spliced_annot	37399
gdna_zero_ss_0.99_nrna_zero	mrna	mrna	ambig_opp_strand	unspliced	144878
gdna_zero_ss_0.99_nrna_zero	mrna	nrna	ambig_same_strand	unspliced	11132
gdna_zero_ss_0.99_nrna_zero	mrna	mrna	ambig_opp_strand	spliced_implicit	695
gdna_zero_ss_0.99_nrna_zero	mrna	nrna	unambig	unspliced	1
gdna_low_ss_0.50_nrna_zero	mrna	mrna	ambig_same_strand	unspliced	649379
gdna_low_ss_0.50_nrna_zero	mrna	mrna	ambig_same_strand	spliced_annot	151748
gdna_low_ss_0.50_nrna_zero	mrna	mrna	ambig_same_strand	spliced_implicit	2437
gdna_low_ss_0.50_nrna_zero	mrna	gdna	ambig_same_strand	unspliced	2222
gdna_low_ss_0.50_nrna_zero	mrna	mrna	unambig	spliced_annot	37353
gdna_low_ss_0.50_nrna_zero	mrna	mrna	ambig_opp_strand	unspliced	144450
gdna_low_ss_0.50_nrna_zero	mrna	gdna	ambig_opp_strand	unspliced	606
gdna_low_ss_0.50_nrna_zero	mrna	nrna	ambig_same_strand	unspliced	11031
gdna_low_ss_0.50_nrna_zero	gdna	gdna	.	unknown	219949
gdna_low_ss_0.50_nrna_zero	gdna	gdna	ambig_same_strand	unspliced	24302
gdna_low_ss_0.50_nrna_zero	gdna	gdna	ambig_opp_strand	unspliced	3474
gdna_low_ss_0.50_nrna_zero	gdna	gdna	unambig	unspliced	39
gdna_low_ss_0.50_nrna_zero	gdna	mrna	ambig_same_strand	unspliced	1674
gdna_low_ss_0.50_nrna_zero	gdna	mrna	ambig_opp_strand	unspliced	463
gdna_low_ss_0.50_nrna_zero	gdna	nrna	ambig_same_strand	unspliced	76
gdna_low_ss_0.50_nrna_zero	gdna	unresolved	.	unspliced	23
gdna_low_ss_0.50_nrna_zero	mrna	mrna	ambig_opp_strand	spliced_implicit	774
gdna_low_ss_0.99_nrna_zero	mrna	mrna	ambig_same_strand	unspliced	649737
gdna_low_ss_0.99_nrna_zero	mrna	mrna	ambig_same_strand	spliced_annot	151748
gdna_low_ss_0.99_nrna_zero	mrna	gdna	ambig_same_strand	unspliced	1832
gdna_low_ss_0.99_nrna_zero	mrna	mrna	ambig_same_strand	spliced_implicit	2437
gdna_low_ss_0.99_nrna_zero	mrna	mrna	unambig	spliced_annot	37353
gdna_low_ss_0.99_nrna_zero	mrna	mrna	ambig_opp_strand	unspliced	144561
gdna_low_ss_0.99_nrna_zero	mrna	gdna	ambig_opp_strand	unspliced	495
gdna_low_ss_0.99_nrna_zero	mrna	nrna	ambig_same_strand	unspliced	11063
gdna_low_ss_0.99_nrna_zero	gdna	gdna	.	unknown	219949
gdna_low_ss_0.99_nrna_zero	gdna	gdna	ambig_same_strand	unspliced	24651
gdna_low_ss_0.99_nrna_zero	gdna	gdna	ambig_opp_strand	unspliced	3575
gdna_low_ss_0.99_nrna_zero	gdna	mrna	ambig_same_strand	unspliced	1338
gdna_low_ss_0.99_nrna_zero	gdna	gdna	unambig	unspliced	39
gdna_low_ss_0.99_nrna_zero	gdna	mrna	ambig_opp_strand	unspliced	362
gdna_low_ss_0.99_nrna_zero	gdna	nrna	ambig_same_strand	unspliced	63
gdna_low_ss_0.99_nrna_zero	gdna	unresolved	.	unspliced	23
gdna_low_ss_0.99_nrna_zero	mrna	mrna	ambig_opp_strand	spliced_implicit	774
gdna_med_ss_0.50_nrna_zero	mrna	mrna	ambig_same_strand	unspliced	642497
gdna_med_ss_0.50_nrna_zero	mrna	mrna	ambig_same_strand	spliced_annot	152128
gdna_med_ss_0.50_nrna_zero	mrna	gdna	ambig_same_strand	unspliced	9102
gdna_med_ss_0.50_nrna_zero	mrna	mrna	ambig_same_strand	spliced_implicit	2345
gdna_med_ss_0.50_nrna_zero	mrna	mrna	unambig	spliced_annot	37374
gdna_med_ss_0.50_nrna_zero	mrna	gdna	ambig_opp_strand	unspliced	2525
gdna_med_ss_0.50_nrna_zero	mrna	mrna	ambig_opp_strand	unspliced	142625
gdna_med_ss_0.50_nrna_zero	mrna	nrna	ambig_same_strand	unspliced	10629
gdna_med_ss_0.50_nrna_zero	gdna	gdna	.	unknown	879540
gdna_med_ss_0.50_nrna_zero	gdna	gdna	ambig_same_strand	unspliced	98746
gdna_med_ss_0.50_nrna_zero	gdna	gdna	ambig_opp_strand	unspliced	14318
gdna_med_ss_0.50_nrna_zero	gdna	nrna	ambig_same_strand	unspliced	256
gdna_med_ss_0.50_nrna_zero	gdna	mrna	ambig_same_strand	unspliced	5362
gdna_med_ss_0.50_nrna_zero	gdna	mrna	ambig_opp_strand	unspliced	1455
gdna_med_ss_0.50_nrna_zero	gdna	unresolved	.	unspliced	128
gdna_med_ss_0.50_nrna_zero	gdna	gdna	unambig	unspliced	195
gdna_med_ss_0.50_nrna_zero	mrna	mrna	ambig_opp_strand	spliced_implicit	773
gdna_med_ss_0.50_nrna_zero	mrna	gdna	unambig	unspliced	2
gdna_med_ss_0.99_nrna_zero	mrna	mrna	ambig_same_strand	unspliced	645065
gdna_med_ss_0.99_nrna_zero	mrna	mrna	ambig_same_strand	spliced_annot	152128
gdna_med_ss_0.99_nrna_zero	mrna	gdna	ambig_same_strand	unspliced	6326
gdna_med_ss_0.99_nrna_zero	mrna	mrna	ambig_same_strand	spliced_implicit	2345
gdna_med_ss_0.99_nrna_zero	mrna	mrna	unambig	spliced_annot	37374
gdna_med_ss_0.99_nrna_zero	mrna	mrna	ambig_opp_strand	unspliced	143464
gdna_med_ss_0.99_nrna_zero	mrna	gdna	ambig_opp_strand	unspliced	1686
gdna_med_ss_0.99_nrna_zero	mrna	nrna	ambig_same_strand	unspliced	10837
gdna_med_ss_0.99_nrna_zero	gdna	gdna	.	unknown	879540
gdna_med_ss_0.99_nrna_zero	gdna	gdna	ambig_same_strand	unspliced	100226
gdna_med_ss_0.99_nrna_zero	gdna	gdna	ambig_opp_strand	unspliced	14746
gdna_med_ss_0.99_nrna_zero	gdna	nrna	ambig_same_strand	unspliced	190
gdna_med_ss_0.99_nrna_zero	gdna	mrna	ambig_same_strand	unspliced	3948
gdna_med_ss_0.99_nrna_zero	gdna	mrna	ambig_opp_strand	unspliced	1027
gdna_med_ss_0.99_nrna_zero	gdna	unresolved	.	unspliced	128
gdna_med_ss_0.99_nrna_zero	gdna	gdna	unambig	unspliced	195
gdna_med_ss_0.99_nrna_zero	mrna	mrna	ambig_opp_strand	spliced_implicit	773
gdna_med_ss_0.99_nrna_zero	mrna	nrna	unambig	unspliced	1
gdna_med_ss_0.99_nrna_zero	mrna	gdna	unambig	unspliced	1
gdna_high_ss_0.50_nrna_zero	mrna	mrna	ambig_same_strand	unspliced	633827
gdna_high_ss_0.50_nrna_zero	mrna	mrna	ambig_same_strand	spliced_annot	151399
gdna_high_ss_0.50_nrna_zero	mrna	gdna	ambig_same_strand	unspliced	18287
gdna_high_ss_0.50_nrna_zero	mrna	mrna	ambig_same_strand	spliced_implicit	2402
gdna_high_ss_0.50_nrna_zero	mrna	mrna	unambig	spliced_annot	37513
gdna_high_ss_0.50_nrna_zero	mrna	mrna	ambig_opp_strand	unspliced	140384
gdna_high_ss_0.50_nrna_zero	mrna	gdna	ambig_opp_strand	unspliced	5147
gdna_high_ss_0.50_nrna_zero	mrna	nrna	ambig_same_strand	unspliced	10260
gdna_high_ss_0.50_nrna_zero	gdna	gdna	.	unknown	1760568
gdna_high_ss_0.50_nrna_zero	gdna	gdna	ambig_same_strand	unspliced	197996
gdna_high_ss_0.50_nrna_zero	gdna	gdna	ambig_opp_strand	unspliced	28559
gdna_high_ss_0.50_nrna_zero	gdna	mrna	ambig_same_strand	unspliced	9231
gdna_high_ss_0.50_nrna_zero	gdna	nrna	ambig_same_strand	unspliced	437
gdna_high_ss_0.50_nrna_zero	gdna	gdna	unambig	unspliced	394
gdna_high_ss_0.50_nrna_zero	gdna	mrna	ambig_opp_strand	unspliced	2613
gdna_high_ss_0.50_nrna_zero	gdna	unresolved	.	unspliced	202
gdna_high_ss_0.50_nrna_zero	mrna	mrna	ambig_opp_strand	spliced_implicit	781
gdna_high_ss_0.99_nrna_zero	mrna	mrna	ambig_same_strand	unspliced	640016
gdna_high_ss_0.99_nrna_zero	mrna	mrna	ambig_same_strand	spliced_annot	151399
gdna_high_ss_0.99_nrna_zero	mrna	gdna	ambig_same_strand	unspliced	11805
gdna_high_ss_0.99_nrna_zero	mrna	mrna	ambig_same_strand	spliced_implicit	2402
gdna_high_ss_0.99_nrna_zero	mrna	mrna	unambig	spliced_annot	37513
gdna_high_ss_0.99_nrna_zero	mrna	mrna	ambig_opp_strand	unspliced	142293
gdna_high_ss_0.99_nrna_zero	mrna	gdna	ambig_opp_strand	unspliced	3238
gdna_high_ss_0.99_nrna_zero	mrna	nrna	ambig_same_strand	unspliced	10553
gdna_high_ss_0.99_nrna_zero	gdna	gdna	.	unknown	1760568
gdna_high_ss_0.99_nrna_zero	gdna	gdna	ambig_same_strand	unspliced	200738
gdna_high_ss_0.99_nrna_zero	gdna	gdna	ambig_opp_strand	unspliced	29340
gdna_high_ss_0.99_nrna_zero	gdna	mrna	ambig_same_strand	unspliced	6645
gdna_high_ss_0.99_nrna_zero	gdna	gdna	unambig	unspliced	394
gdna_high_ss_0.99_nrna_zero	gdna	mrna	ambig_opp_strand	unspliced	1832
gdna_high_ss_0.99_nrna_zero	gdna	nrna	ambig_same_strand	unspliced	281
gdna_high_ss_0.99_nrna_zero	gdna	unresolved	.	unspliced	202
gdna_high_ss_0.99_nrna_zero	mrna	mrna	ambig_opp_strand	spliced_implicit	781
gdna_zero_ss_0.50_nrna_low	mrna	gdna	ambig_same_strand	unspliced	12471
gdna_zero_ss_0.50_nrna_low	mrna	mrna	ambig_same_strand	unspliced	639596
gdna_zero_ss_0.50_nrna_low	mrna	mrna	ambig_same_strand	spliced_annot	151443
gdna_zero_ss_0.50_nrna_low	mrna	mrna	ambig_same_strand	spliced_implicit	2406
gdna_zero_ss_0.50_nrna_low	mrna	mrna	unambig	spliced_annot	37791
gdna_zero_ss_0.50_nrna_low	mrna	mrna	ambig_opp_strand	unspliced	141321
gdna_zero_ss_0.50_nrna_low	mrna	gdna	ambig_opp_strand	unspliced	3454
gdna_zero_ss_0.50_nrna_low	mrna	nrna	ambig_same_strand	unspliced	10734
gdna_zero_ss_0.50_nrna_low	nrna	gdna	ambig_same_strand	unspliced	36214
gdna_zero_ss_0.50_nrna_low	nrna	mrna	ambig_same_strand	unspliced	8286
gdna_zero_ss_0.50_nrna_low	nrna	gdna	ambig_opp_strand	unspliced	12402
gdna_zero_ss_0.50_nrna_low	nrna	mrna	ambig_opp_strand	unspliced	2352
gdna_zero_ss_0.50_nrna_low	nrna	unresolved	.	unspliced	7
gdna_zero_ss_0.50_nrna_low	mrna	mrna	ambig_opp_strand	spliced_implicit	783
gdna_zero_ss_0.50_nrna_low	mrna	gdna	unambig	unspliced	1
gdna_zero_ss_0.99_nrna_low	mrna	mrna	ambig_same_strand	unspliced	646047
gdna_zero_ss_0.99_nrna_low	mrna	nrna	ambig_same_strand	unspliced	16151
gdna_zero_ss_0.99_nrna_low	mrna	mrna	ambig_same_strand	spliced_annot	151443
gdna_zero_ss_0.99_nrna_low	mrna	gdna	ambig_same_strand	unspliced	603
gdna_zero_ss_0.99_nrna_low	mrna	mrna	ambig_same_strand	spliced_implicit	2406
gdna_zero_ss_0.99_nrna_low	mrna	mrna	unambig	spliced_annot	37791
gdna_zero_ss_0.99_nrna_low	mrna	mrna	ambig_opp_strand	unspliced	144130
gdna_zero_ss_0.99_nrna_low	mrna	nrna	ambig_opp_strand	unspliced	479
gdna_zero_ss_0.99_nrna_low	nrna	nrna	ambig_same_strand	unspliced	34025
gdna_zero_ss_0.99_nrna_low	nrna	gdna	ambig_same_strand	unspliced	2032
gdna_zero_ss_0.99_nrna_low	nrna	mrna	ambig_same_strand	unspliced	8443
gdna_zero_ss_0.99_nrna_low	nrna	nrna	ambig_opp_strand	unspliced	11541
gdna_zero_ss_0.99_nrna_low	nrna	gdna	ambig_opp_strand	unspliced	1156
gdna_zero_ss_0.99_nrna_low	nrna	mrna	ambig_opp_strand	unspliced	2057
gdna_zero_ss_0.99_nrna_low	nrna	unresolved	.	unspliced	7
gdna_zero_ss_0.99_nrna_low	mrna	gdna	ambig_opp_strand	unspliced	166
gdna_zero_ss_0.99_nrna_low	mrna	mrna	ambig_opp_strand	spliced_implicit	783
gdna_zero_ss_0.99_nrna_low	mrna	nrna	unambig	unspliced	1
gdna_low_ss_0.50_nrna_low	mrna	mrna	ambig_same_strand	unspliced	642487
gdna_low_ss_0.50_nrna_low	mrna	nrna	ambig_same_strand	unspliced	13238
gdna_low_ss_0.50_nrna_low	mrna	mrna	ambig_same_strand	spliced_annot	151709
gdna_low_ss_0.50_nrna_low	mrna	gdna	ambig_same_strand	unspliced	6763
gdna_low_ss_0.50_nrna_low	mrna	mrna	ambig_same_strand	spliced_implicit	2431
gdna_low_ss_0.50_nrna_low	mrna	mrna	unambig	spliced_annot	37785
gdna_low_ss_0.50_nrna_low	mrna	mrna	ambig_opp_strand	unspliced	142724
gdna_low_ss_0.50_nrna_low	mrna	gdna	ambig_opp_strand	unspliced	1878
gdna_low_ss_0.50_nrna_low	nrna	gdna	ambig_same_strand	unspliced	14563
gdna_low_ss_0.50_nrna_low	nrna	nrna	ambig_same_strand	unspliced	21739
gdna_low_ss_0.50_nrna_low	nrna	mrna	ambig_same_strand	unspliced	8183
gdna_low_ss_0.50_nrna_low	nrna	gdna	ambig_opp_strand	unspliced	4578
gdna_low_ss_0.50_nrna_low	nrna	mrna	ambig_opp_strand	unspliced	2238
gdna_low_ss_0.50_nrna_low	nrna	unresolved	.	unspliced	5
gdna_low_ss_0.50_nrna_low	gdna	gdna	.	unknown	219823
gdna_low_ss_0.50_nrna_low	gdna	gdna	ambig_same_strand	unspliced	23987
gdna_low_ss_0.50_nrna_low	gdna	mrna	ambig_same_strand	unspliced	1474
gdna_low_ss_0.50_nrna_low	gdna	gdna	ambig_opp_strand	unspliced	3155
gdna_low_ss_0.50_nrna_low	gdna	mrna	ambig_opp_strand	unspliced	418
gdna_low_ss_0.50_nrna_low	gdna	nrna	ambig_same_strand	unspliced	737
gdna_low_ss_0.50_nrna_low	gdna	unresolved	.	unspliced	21
gdna_low_ss_0.50_nrna_low	gdna	gdna	unambig	unspliced	54
gdna_low_ss_0.50_nrna_low	gdna	nrna	ambig_opp_strand	unspliced	331
gdna_low_ss_0.50_nrna_low	mrna	mrna	ambig_opp_strand	spliced_implicit	759
gdna_low_ss_0.50_nrna_low	nrna	nrna	ambig_opp_strand	unspliced	7955
gdna_low_ss_0.50_nrna_low	mrna	nrna	ambig_opp_strand	unspliced	226
gdna_low_ss_0.99_nrna_low	mrna	mrna	ambig_same_strand	unspliced	644709
gdna_low_ss_0.99_nrna_low	mrna	mrna	ambig_same_strand	spliced_annot	151709
gdna_low_ss_0.99_nrna_low	mrna	nrna	ambig_same_strand	unspliced	15273
gdna_low_ss_0.99_nrna_low	mrna	gdna	ambig_same_strand	unspliced	2506
gdna_low_ss_0.99_nrna_low	mrna	mrna	ambig_same_strand	spliced_implicit	2431
gdna_low_ss_0.99_nrna_low	mrna	mrna	unambig	spliced_annot	37785
gdna_low_ss_0.99_nrna_low	mrna	mrna	ambig_opp_strand	unspliced	143605
gdna_low_ss_0.99_nrna_low	mrna	gdna	ambig_opp_strand	unspliced	609
gdna_low_ss_0.99_nrna_low	mrna	nrna	ambig_opp_strand	unspliced	614
gdna_low_ss_0.99_nrna_low	nrna	nrna	ambig_same_strand	unspliced	31111
gdna_low_ss_0.99_nrna_low	nrna	mrna	ambig_same_strand	unspliced	8242
gdna_low_ss_0.99_nrna_low	nrna	gdna	ambig_same_strand	unspliced	5132
gdna_low_ss_0.99_nrna_low	nrna	gdna	ambig_opp_strand	unspliced	1863
gdna_low_ss_0.99_nrna_low	nrna	nrna	ambig_opp_strand	unspliced	10999
gdna_low_ss_0.99_nrna_low	nrna	mrna	ambig_opp_strand	unspliced	1909
gdna_low_ss_0.99_nrna_low	nrna	unresolved	.	unspliced	5
gdna_low_ss_0.99_nrna_low	gdna	gdna	.	unknown	219823
gdna_low_ss_0.99_nrna_low	gdna	gdna	ambig_same_strand	unspliced	23828
gdna_low_ss_0.99_nrna_low	gdna	mrna	ambig_same_strand	unspliced	1238
gdna_low_ss_0.99_nrna_low	gdna	gdna	ambig_opp_strand	unspliced	3152
gdna_low_ss_0.99_nrna_low	gdna	mrna	ambig_opp_strand	unspliced	317
gdna_low_ss_0.99_nrna_low	gdna	nrna	ambig_same_strand	unspliced	1132
gdna_low_ss_0.99_nrna_low	gdna	unresolved	.	unspliced	21
gdna_low_ss_0.99_nrna_low	gdna	gdna	unambig	unspliced	54
gdna_low_ss_0.99_nrna_low	gdna	nrna	ambig_opp_strand	unspliced	435
gdna_low_ss_0.99_nrna_low	mrna	mrna	ambig_opp_strand	spliced_implicit	759
gdna_med_ss_0.50_nrna_low	mrna	mrna	ambig_same_strand	unspliced	636074
gdna_med_ss_0.50_nrna_low	mrna	mrna	ambig_same_strand	spliced_annot	151665
gdna_med_ss_0.50_nrna_low	mrna	gdna	ambig_same_strand	unspliced	13721
gdna_med_ss_0.50_nrna_low	mrna	nrna	ambig_same_strand	unspliced	12779
gdna_med_ss_0.50_nrna_low	mrna	mrna	ambig_same_strand	spliced_implicit	2429
gdna_med_ss_0.50_nrna_low	mrna	mrna	unambig	spliced_annot	37329
gdna_med_ss_0.50_nrna_low	mrna	mrna	ambig_opp_strand	unspliced	141257
gdna_med_ss_0.50_nrna_low	mrna	gdna	ambig_opp_strand	unspliced	3914
gdna_med_ss_0.50_nrna_low	nrna	mrna	ambig_same_strand	unspliced	8344
gdna_med_ss_0.50_nrna_low	nrna	nrna	ambig_same_strand	unspliced	17812
gdna_med_ss_0.50_nrna_low	nrna	gdna	ambig_same_strand	unspliced	18367
gdna_med_ss_0.50_nrna_low	nrna	gdna	ambig_opp_strand	unspliced	6393
gdna_med_ss_0.50_nrna_low	nrna	mrna	ambig_opp_strand	unspliced	2341
gdna_med_ss_0.50_nrna_low	nrna	unresolved	.	unspliced	10
gdna_med_ss_0.50_nrna_low	gdna	gdna	ambig_same_strand	unspliced	97144
gdna_med_ss_0.50_nrna_low	gdna	gdna	.	unknown	880055
gdna_med_ss_0.50_nrna_low	gdna	gdna	ambig_opp_strand	unspliced	13342
gdna_med_ss_0.50_nrna_low	gdna	mrna	ambig_same_strand	unspliced	5035
gdna_med_ss_0.50_nrna_low	gdna	nrna	ambig_opp_strand	unspliced	898
gdna_med_ss_0.50_nrna_low	gdna	mrna	ambig_opp_strand	unspliced	1373
gdna_med_ss_0.50_nrna_low	gdna	nrna	ambig_same_strand	unspliced	1903
gdna_med_ss_0.50_nrna_low	gdna	gdna	unambig	unspliced	167
gdna_med_ss_0.50_nrna_low	gdna	unresolved	.	unspliced	83
gdna_med_ss_0.50_nrna_low	mrna	mrna	ambig_opp_strand	spliced_implicit	754
gdna_med_ss_0.50_nrna_low	nrna	nrna	ambig_opp_strand	unspliced	5994
gdna_med_ss_0.50_nrna_low	mrna	nrna	ambig_opp_strand	unspliced	78
gdna_med_ss_0.99_nrna_low	mrna	mrna	ambig_same_strand	unspliced	641136
gdna_med_ss_0.99_nrna_low	mrna	mrna	ambig_same_strand	spliced_annot	151665
gdna_med_ss_0.99_nrna_low	mrna	nrna	ambig_same_strand	unspliced	14208
gdna_med_ss_0.99_nrna_low	mrna	gdna	ambig_same_strand	unspliced	7230
gdna_med_ss_0.99_nrna_low	mrna	mrna	ambig_same_strand	spliced_implicit	2429
gdna_med_ss_0.99_nrna_low	mrna	mrna	unambig	spliced_annot	37329
