condition	true_pool	pred_pool	zf	count
gdna_zero_ss_0.50_nrna_zero	mrna	mrna	3	988868
gdna_zero_ss_0.50_nrna_zero	mrna	nrna	9	11132
gdna_zero_ss_0.99_nrna_zero	mrna	mrna	3	988867
gdna_zero_ss_0.99_nrna_zero	mrna	nrna	9	11132
gdna_zero_ss_0.99_nrna_zero	mrna	nrna	25	1
gdna_low_ss_0.50_nrna_zero	mrna	mrna	3	986141
gdna_low_ss_0.50_nrna_zero	mrna	gdna	5	2828
gdna_low_ss_0.50_nrna_zero	mrna	nrna	9	11031
gdna_low_ss_0.50_nrna_zero	gdna	gdna	37	219949
gdna_low_ss_0.50_nrna_zero	gdna	gdna	5	27815
gdna_low_ss_0.50_nrna_zero	gdna	mrna	3	2137
gdna_low_ss_0.50_nrna_zero	gdna	nrna	9	76
gdna_low_ss_0.50_nrna_zero	gdna	unresolved	64	23
gdna_low_ss_0.99_nrna_zero	mrna	mrna	3	986610
gdna_low_ss_0.99_nrna_zero	mrna	gdna	5	2327
gdna_low_ss_0.99_nrna_zero	mrna	nrna	9	11063
gdna_low_ss_0.99_nrna_zero	gdna	gdna	37	219949
gdna_low_ss_0.99_nrna_zero	gdna	gdna	5	28265
gdna_low_ss_0.99_nrna_zero	gdna	mrna	3	1700
gdna_low_ss_0.99_nrna_zero	gdna	nrna	9	61
gdna_low_ss_0.99_nrna_zero	gdna	unresolved	64	23
gdna_low_ss_0.99_nrna_zero	gdna	nrna	25	2
gdna_med_ss_0.50_nrna_zero	mrna	mrna	3	977742
gdna_med_ss_0.50_nrna_zero	mrna	gdna	5	11629
gdna_med_ss_0.50_nrna_zero	mrna	nrna	9	10629
gdna_med_ss_0.50_nrna_zero	gdna	gdna	37	879540
gdna_med_ss_0.50_nrna_zero	gdna	gdna	5	113259
gdna_med_ss_0.50_nrna_zero	gdna	nrna	9	256
gdna_med_ss_0.50_nrna_zero	gdna	mrna	3	6817
gdna_med_ss_0.50_nrna_zero	gdna	unresolved	64	128
gdna_med_ss_0.99_nrna_zero	mrna	mrna	3	981149
gdna_med_ss_0.99_nrna_zero	mrna	gdna	5	8013
gdna_med_ss_0.99_nrna_zero	mrna	nrna	9	10838
gdna_med_ss_0.99_nrna_zero	gdna	gdna	37	879540
gdna_med_ss_0.99_nrna_zero	gdna	gdna	5	115167
gdna_med_ss_0.99_nrna_zero	gdna	nrna	9	190
gdna_med_ss_0.99_nrna_zero	gdna	mrna	3	4975
gdna_med_ss_0.99_nrna_zero	gdna	unresolved	64	128
gdna_high_ss_0.50_nrna_zero	mrna	mrna	3	966306
gdna_high_ss_0.50_nrna_zero	mrna	gdna	5	23434
gdna_high_ss_0.50_nrna_zero	mrna	nrna	9	10260
gdna_high_ss_0.50_nrna_zero	gdna	gdna	37	1760568
gdna_high_ss_0.50_nrna_zero	gdna	gdna	5	226949
gdna_high_ss_0.50_nrna_zero	gdna	mrna	3	11844
gdna_high_ss_0.50_nrna_zero	gdna	nrna	9	437
gdna_high_ss_0.50_nrna_zero	gdna	unresolved	64	202
gdna_high_ss_0.99_nrna_zero	mrna	mrna	3	974404
gdna_high_ss_0.99_nrna_zero	mrna	gdna	5	15043
gdna_high_ss_0.99_nrna_zero	mrna	nrna	9	10553
gdna_high_ss_0.99_nrna_zero	gdna	gdna	37	1760568
gdna_high_ss_0.99_nrna_zero	gdna	gdna	5	230472
gdna_high_ss_0.99_nrna_zero	gdna	mrna	3	8477
gdna_high_ss_0.99_nrna_zero	gdna	nrna	9	281
gdna_high_ss_0.99_nrna_zero	gdna	unresolved	64	202
gdna_zero_ss_0.50_nrna_low	mrna	gdna	5	15926
gdna_zero_ss_0.50_nrna_low	mrna	mrna	3	973340
gdna_zero_ss_0.50_nrna_low	mrna	nrna	9	10734
gdna_zero_ss_0.50_nrna_low	nrna	gdna	5	48616
gdna_zero_ss_0.50_nrna_low	nrna	mrna	3	10638
gdna_zero_ss_0.50_nrna_low	nrna	unresolved	64	7
gdna_zero_ss_0.99_nrna_low	mrna	mrna	3	982600
gdna_zero_ss_0.99_nrna_low	mrna	nrna	25	5546
gdna_zero_ss_0.99_nrna_low	mrna	gdna	5	769
gdna_zero_ss_0.99_nrna_low	mrna	nrna	9	11085
gdna_zero_ss_0.99_nrna_low	nrna	nrna	25	45566
gdna_zero_ss_0.99_nrna_low	nrna	gdna	5	3188
gdna_zero_ss_0.99_nrna_low	nrna	mrna	3	10500
gdna_zero_ss_0.99_nrna_low	nrna	unresolved	64	7
gdna_low_ss_0.50_nrna_low	mrna	mrna	3	977895
gdna_low_ss_0.50_nrna_low	mrna	nrna	25	2645
gdna_low_ss_0.50_nrna_low	mrna	gdna	5	8641
gdna_low_ss_0.50_nrna_low	mrna	nrna	9	10819
gdna_low_ss_0.50_nrna_low	nrna	gdna	5	19141
gdna_low_ss_0.50_nrna_low	nrna	nrna	25	29694
gdna_low_ss_0.50_nrna_low	nrna	mrna	3	10421
gdna_low_ss_0.50_nrna_low	nrna	unresolved	64	5
gdna_low_ss_0.50_nrna_low	gdna	gdna	37	219823
gdna_low_ss_0.50_nrna_low	gdna	gdna	5	27196
gdna_low_ss_0.50_nrna_low	gdna	mrna	3	1892
gdna_low_ss_0.50_nrna_low	gdna	nrna	25	991
gdna_low_ss_0.50_nrna_low	gdna	unresolved	64	21
gdna_low_ss_0.50_nrna_low	gdna	nrna	9	77
gdna_low_ss_0.99_nrna_low	mrna	mrna	3	980998
gdna_low_ss_0.99_nrna_low	mrna	nrna	25	4855
gdna_low_ss_0.99_nrna_low	mrna	gdna	5	3115
gdna_low_ss_0.99_nrna_low	mrna	nrna	9	11032
gdna_low_ss_0.99_nrna_low	nrna	nrna	25	42110
gdna_low_ss_0.99_nrna_low	nrna	mrna	3	10151
gdna_low_ss_0.99_nrna_low	nrna	gdna	5	6995
gdna_low_ss_0.99_nrna_low	nrna	unresolved	64	5
gdna_low_ss_0.99_nrna_low	gdna	gdna	37	219823
gdna_low_ss_0.99_nrna_low	gdna	gdna	5	27034
gdna_low_ss_0.99_nrna_low	gdna	mrna	3	1555
gdna_low_ss_0.99_nrna_low	gdna	nrna	25	1512
gdna_low_ss_0.99_nrna_low	gdna	unresolved	64	21
gdna_low_ss_0.99_nrna_low	gdna	nrna	9	55
gdna_med_ss_0.50_nrna_low	mrna	mrna	3	969508
gdna_med_ss_0.50_nrna_low	mrna	gdna	5	17635
gdna_med_ss_0.50_nrna_low	mrna	nrna	25	2313
gdna_med_ss_0.50_nrna_low	mrna	nrna	9	10544
gdna_med_ss_0.50_nrna_low	nrna	mrna	3	10685
gdna_med_ss_0.50_nrna_low	nrna	nrna	25	23806
gdna_med_ss_0.50_nrna_low	nrna	gdna	5	24760
gdna_med_ss_0.50_nrna_low	nrna	unresolved	64	10
gdna_med_ss_0.50_nrna_low	gdna	gdna	5	110653
gdna_med_ss_0.50_nrna_low	gdna	gdna	37	880055
gdna_med_ss_0.50_nrna_low	gdna	mrna	3	6408
gdna_med_ss_0.50_nrna_low	gdna	nrna	25	2560
gdna_med_ss_0.50_nrna_low	gdna	nrna	9	241
gdna_med_ss_0.50_nrna_low	gdna	unresolved	64	83
gdna_med_ss_0.99_nrna_low	mrna	mrna	3	976249
gdna_med_ss_0.99_nrna_low	mrna	nrna	25	3695
gdna_med_ss_0.99_nrna_low	mrna	gdna	5	9228
gdna_med_ss_0.99_nrna_low	mrna	nrna	9	10828
gdna_med_ss_0.99_nrna_low	nrna	mrna	3	10401
gdna_med_ss_0.99_nrna_low	nrna	nrna	25	35011
gdna_med_ss_0.99_nrna_low	nrna	gdna	5	13839
gdna_med_ss_0.99_nrna_low	nrna	unresolved	64	10
gdna_med_ss_0.99_nrna_low	gdna	gdna	5	111758
gdna_med_ss_0.99_nrna_low	gdna	gdna	37	880055
gdna_med_ss_0.99_nrna_low	gdna	mrna	3	4809
gdna_med_ss_0.99_nrna_low	gdna	nrna	25	3118
gdna_med_ss_0.99_nrna_low	gdna	nrna	9	177
gdna_med_ss_0.99_nrna_low	gdna	unresolved	64	83
gdna_high_ss_0.50_nrna_low	mrna	mrna	3	957915
gdna_high_ss_0.50_nrna_low	mrna	nrna	25	1816
gdna_high_ss_0.50_nrna_low	mrna	gdna	5	30141
gdna_high_ss_0.50_nrna_low	mrna	nrna	9	10128
gdna_high_ss_0.50_nrna_low	nrna	gdna	5	31185
gdna_high_ss_0.50_nrna_low	nrna	nrna	25	17841
gdna_high_ss_0.50_nrna_low	nrna	mrna	3	10226
gdna_high_ss_0.50_nrna_low	gdna	gdna	37	1759702
gdna_high_ss_0.50_nrna_low	gdna	gdna	5	225208
gdna_high_ss_0.50_nrna_low	gdna	mrna	3	11219
gdna_high_ss_0.50_nrna_low	gdna	nrna	25	3220
gdna_high_ss_0.50_nrna_low	gdna	nrna	9	417
gdna_high_ss_0.50_nrna_low	gdna	unresolved	64	234
gdna_high_ss_0.50_nrna_low	nrna	unresolved	64	9
gdna_high_ss_0.99_nrna_low	mrna	mrna	3	970128
gdna_high_ss_0.99_nrna_low	mrna	nrna	25	2838
gdna_high_ss_0.99_nrna_low	mrna	gdna	5	16447
gdna_high_ss_0.99_nrna_low	mrna	nrna	9	10587
gdna_high_ss_0.99_nrna_low	nrna	nrna	25	29246
gdna_high_ss_0.99_nrna_low	nrna	gdna	5	19927
gdna_high_ss_0.99_nrna_low	nrna	mrna	3	10079
gdna_high_ss_0.99_nrna_low	gdna	gdna	37	1759702
gdna_high_ss_0.99_nrna_low	gdna	gdna	5	227553
gdna_high_ss_0.99_nrna_low	gdna	mrna	3	8228
gdna_high_ss_0.99_nrna_low	gdna	nrna	25	4011
gdna_high_ss_0.99_nrna_low	gdna	unresolved	64	234
gdna_high_ss_0.99_nrna_low	gdna	nrna	9	272
gdna_high_ss_0.99_nrna_low	nrna	unresolved	64	9
gdna_zero_ss_0.50_nrna_high	mrna	gdna	5	72812
gdna_zero_ss_0.50_nrna_high	mrna	mrna	3	917970
gdna_zero_ss_0.50_nrna_high	mrna	nrna	9	9218
gdna_zero_ss_0.50_nrna_high	nrna	gdna	5	231897
gdna_zero_ss_0.50_nrna_high	nrna	mrna	3	43926
gdna_zero_ss_0.50_nrna_high	nrna	unresolved	64	62
gdna_zero_ss_0.99_nrna_high	mrna	mrna	3	926643
gdna_zero_ss_0.99_nrna_high	mrna	nrna	25	58677
gdna_zero_ss_0.99_nrna_high	mrna	gdna	5	3873
gdna_zero_ss_0.99_nrna_high	mrna	nrna	9	10807
gdna_zero_ss_0.99_nrna_high	nrna	nrna	25	217453
gdna_zero_ss_0.99_nrna_high	nrna	mrna	3	44091
gdna_zero_ss_0.99_nrna_high	nrna	gdna	5	14279
gdna_zero_ss_0.99_nrna_high	nrna	unresolved	64	62
gdna_low_ss_0.50_nrna_high	mrna	mrna	3	929979
gdna_low_ss_0.50_nrna_high	mrna	gdna	5	47025
gdna_low_ss_0.50_nrna_high	mrna	nrna	25	12960
gdna_low_ss_0.50_nrna_high	mrna	nrna	9	10036
gdna_low_ss_0.50_nrna_high	nrna	gdna	5	144910
gdna_low_ss_0.50_nrna_high	nrna	nrna	25	85126
gdna_low_ss_0.50_nrna_high	nrna	mrna	3	45797
gdna_low_ss_0.50_nrna_high	nrna	unresolved	64	52
gdna_low_ss_0.50_nrna_high	gdna	gdna	37	219495
gdna_low_ss_0.50_nrna_high	gdna	gdna	5	28057
gdna_low_ss_0.50_nrna_high	gdna	mrna	3	1475
gdna_low_ss_0.50_nrna_high	gdna	nrna	25	889
gdna_low_ss_0.50_nrna_high	gdna	nrna	9	63
gdna_low_ss_0.50_nrna_high	gdna	unresolved	64	21
gdna_low_ss_0.99_nrna_high	mrna	nrna	25	36843
gdna_low_ss_0.99_nrna_high	mrna	mrna	3	946610
gdna_low_ss_0.99_nrna_high	mrna	gdna	5	5741
gdna_low_ss_0.99_nrna_high	mrna	nrna	9	10806
gdna_low_ss_0.99_nrna_high	nrna	nrna	25	208872
gdna_low_ss_0.99_nrna_high	nrna	mrna	3	45867
gdna_low_ss_0.99_nrna_high	nrna	gdna	5	21094
gdna_low_ss_0.99_nrna_high	nrna	unresolved	64	52
gdna_low_ss_0.99_nrna_high	gdna	gdna	37	219495
gdna_low_ss_0.99_nrna_high	gdna	nrna	25	2862
gdna_low_ss_0.99_nrna_high	gdna	gdna	5	26081
gdna_low_ss_0.99_nrna_high	gdna	mrna	3	1489
gdna_low_ss_0.99_nrna_high	gdna	nrna	9	52
gdna_low_ss_0.99_nrna_high	gdna	unresolved	64	21
gdna_med_ss_0.50_nrna_high	mrna	mrna	3	928969
gdna_med_ss_0.50_nrna_high	mrna	gdna	5	42388
gdna_med_ss_0.50_nrna_high	mrna	nrna	25	18595
gdna_med_ss_0.50_nrna_high	mrna	nrna	9	10048
gdna_med_ss_0.50_nrna_high	nrna	nrna	25	115017
gdna_med_ss_0.50_nrna_high	nrna	gdna	5	115342
gdna_med_ss_0.50_nrna_high	nrna	mrna	3	45475
gdna_med_ss_0.50_nrna_high	nrna	unresolved	64	51
gdna_med_ss_0.50_nrna_high	gdna	gdna	5	109901
gdna_med_ss_0.50_nrna_high	gdna	gdna	37	879867
gdna_med_ss_0.50_nrna_high	gdna	mrna	3	5258
gdna_med_ss_0.50_nrna_high	gdna	nrna	25	4653
gdna_med_ss_0.50_nrna_high	gdna	nrna	9	186
gdna_med_ss_0.50_nrna_high	gdna	unresolved	64	135
gdna_med_ss_0.99_nrna_high	mrna	mrna	3	940792
gdna_med_ss_0.99_nrna_high	mrna	nrna	25	37385
gdna_med_ss_0.99_nrna_high	mrna	gdna	5	11124
gdna_med_ss_0.99_nrna_high	mrna	nrna	9	10699
gdna_med_ss_0.99_nrna_high	nrna	nrna	25	195585
gdna_med_ss_0.99_nrna_high	nrna	mrna	3	45296
gdna_med_ss_0.99_nrna_high	nrna	gdna	5	34953
gdna_med_ss_0.99_nrna_high	nrna	unresolved	64	51
gdna_med_ss_0.99_nrna_high	gdna	gdna	5	107390
gdna_med_ss_0.99_nrna_high	gdna	gdna	37	879867
gdna_med_ss_0.99_nrna_high	gdna	nrna	25	7966
gdna_med_ss_0.99_nrna_high	gdna	mrna	3	4498
gdna_med_ss_0.99_nrna_high	gdna	nrna	9	144
gdna_med_ss_0.99_nrna_high	gdna	unresolved	64	135
gdna_high_ss_0.50_nrna_high	mrna	mrna	3	922591
