elapsed_sec,rss_mb
0.000,2165.9
0.000,2166.1
0.115,2166.1
0.216,2009.4
0.316,2017.5
0.416,2026.5
0.593,2079.2
0.745,2081.1
0.845,2081.8
0.946,2082.8
1.046,2084.6
1.146,2086.2
1.246,2087.5
1.347,2089.6
1.447,2091.8
1.547,2092.7
1.647,2093.6
1.748,2095.2
1.848,2096.8
1.948,2100.8
2.048,2101.8
2.148,2102.7
2.249,2104.0
2.349,2104.8
2.449,2105.8
2.549,2106.9
2.649,2108.4
2.750,2110.6
2.850,2111.6
2.950,2114.5
3.050,2119.7
3.151,2120.7
3.251,2121.8
3.351,2122.9
3.451,2124.0
3.551,2125.2
3.652,2126.4
3.752,2127.2
3.852,2128.4
3.952,2129.6
4.052,2130.7
4.153,2131.8
4.253,2132.8
4.353,2133.7
4.453,2135.2
4.554,2139.0
4.654,2140.0
4.754,2194.4
4.854,2327.5
4.954,2332.9
5.055,2338.3
5.155,2352.9
5.255,2360.2
5.355,2365.4
5.455,2370.5
5.556,2375.7
5.656,2381.0
5.756,2385.4
5.856,2389.7
5.957,2395.4
6.057,2400.6
6.157,2405.6
6.257,2411.3
6.358,2416.7
6.458,2422.0
6.558,2427.2
6.658,2431.9
6.758,2435.9
6.859,2440.3
6.959,2444.9
7.059,2450.3
7.159,2455.7
7.260,2461.2
7.360,2466.5
7.460,2471.7
7.561,2476.7
7.661,2482.0
7.761,2486.8
7.861,2491.0
7.961,2496.0
8.062,2501.0
8.162,2507.8
8.262,2517.1
8.362,2522.0
8.462,2527.2
8.563,2532.1
8.663,2537.6
8.763,2674.4
8.863,2820.3
8.964,2824.2
9.064,2827.9
9.164,2832.1
9.264,2836.1
9.364,2839.8
9.465,2843.4
9.565,2847.1
9.665,2850.7
9.765,2854.5
9.866,2858.2
9.966,2861.5
10.066,2865.3
10.166,2869.1
10.266,2872.7
10.367,2875.9
10.467,2879.8
10.567,2883.5
10.667,2887.0
10.767,2891.0
10.868,2894.8
10.968,2898.3
11.068,2902.0
11.168,2905.9
11.269,2909.6
11.369,2913.0
11.469,2916.8
11.569,2920.7
11.669,2924.1
11.770,2928.4
11.870,2932.1
11.970,2935.5
12.070,2939.4
12.170,2943.1
12.271,2947.0
12.371,2950.8
12.471,2954.4
12.571,2958.0
12.672,2961.8
12.772,2964.8
12.872,2967.8
12.972,2971.0
13.073,2974.8
13.173,2978.8
13.273,2982.7
13.373,2986.0
13.473,2989.6
13.574,2993.3
13.674,2996.9
13.774,3000.4
13.874,3004.2
13.974,3007.4
14.075,3011.6
14.175,3015.2
14.275,3018.8
14.375,3022.3
14.476,3025.7
14.576,3029.2
14.676,3032.6
14.776,3035.9
14.877,3039.6
14.977,3043.4
15.077,3047.1
15.177,3050.7
15.277,3054.4
15.378,3058.1
15.478,3061.9
15.578,3065.7
15.678,3069.1
15.779,3072.4
15.879,3076.0
15.979,3079.7
16.079,3083.1
16.180,3086.6
16.280,3090.1
16.380,3093.5
16.480,3097.1
16.580,3105.6
16.681,3183.8
16.781,3264.8
16.881,3293.5
16.981,3298.0
17.082,3302.6
17.182,3307.6
17.282,3312.5
17.382,3317.1
17.483,3321.6
17.583,3326.6
17.683,3331.6
17.783,3336.0
17.883,3340.8
17.984,3345.2
18.084,3349.7
18.184,3354.4
18.284,3359.3
18.385,3363.7
18.485,3368.4
18.585,3373.0
18.685,3378.1
18.785,3382.6
18.886,3387.5
18.986,3392.2
19.086,3396.8
19.186,3401.7
19.286,3406.4
19.387,3411.4
19.487,3416.0
19.587,3420.6
19.687,3425.3
19.788,3430.1
19.888,3434.5
19.988,3439.3
20.088,3444.2
20.188,3449.0
20.289,3453.7
20.389,3458.1
20.489,3463.1
20.589,3468.0
20.690,3472.5
20.790,3477.6
20.890,3482.4
20.990,3487.0
21.090,3491.8
21.191,3496.6
21.291,3501.7
21.391,3506.6
21.491,3511.3
21.591,3516.3
21.692,3521.2
21.792,3525.7
21.892,3531.0
21.992,3536.1
22.093,3540.8
22.193,3545.7
22.293,3550.4
22.393,3555.1
22.494,3560.1
22.594,3564.5
22.694,3569.1
22.794,3573.0
22.894,3577.2
22.995,3581.6
23.095,3586.6
23.195,3591.6
23.295,3596.7
23.396,3601.5
23.496,3606.4
23.596,3611.4
23.696,3615.8
23.796,3619.9
23.897,3625.1
23.997,3629.7
24.097,3634.4
24.197,3639.3
24.297,3644.4
24.398,3648.6
24.498,3654.0
24.598,3658.5
24.698,3663.5
24.799,3668.4
24.899,3673.1
24.999,3677.6
25.099,3682.4
25.200,3687.0
25.300,3691.7
25.400,3696.3
25.500,3700.8
25.600,3705.4
25.701,3709.9
25.801,3714.6
25.901,3719.2
26.001,3724.1
26.102,3728.9
26.202,3733.8
26.302,3738.3
26.402,3743.4
26.502,3748.0
26.603,3752.8
26.703,3757.9
26.803,3762.4
26.903,3767.0
27.003,3772.4
27.104,3776.9
27.204,3781.7
27.304,3787.0
27.404,3791.7
27.505,3796.1
27.605,3801.6
27.723,3806.1
27.889,3811.4
28.007,3815.4
28.107,3819.1
28.207,3822.8
28.307,3826.6
28.408,3830.4
28.508,3834.4
28.608,3838.2
28.708,3842.2
28.808,3846.5
28.909,3850.7
29.009,3855.3
29.109,3860.1
29.209,3864.8
29.309,3870.0
29.410,3874.7
29.512,3880.0
29.612,3884.7
29.712,3889.2
29.813,3894.6
29.913,3899.1
30.013,3904.3
30.113,3909.7
30.214,3918.4
30.314,3935.9
30.414,3952.1
30.514,3960.8
30.614,3965.7
30.715,3970.4
30.815,3975.3
30.915,3979.9
31.015,3985.1
31.115,3990.1
31.216,3994.9
31.316,3999.9
31.416,4005.4
31.516,4010.1
31.617,4015.0
31.717,4088.2
31.817,4126.7
31.917,4164.8
32.018,4168.7
32.118,4172.3
32.218,4175.8
32.318,4179.7
32.418,4183.3
32.519,4187.1
32.619,4191.0
32.719,4194.9
32.819,4198.8
32.919,4202.5
33.020,4206.3
33.120,4210.5
33.220,4214.6
33.320,4218.3
33.421,4222.1
33.521,4226.0
33.621,4229.6
33.721,4233.3
33.822,4237.1
33.922,4240.9
34.022,4245.0
34.122,4248.5
34.222,4252.9
34.323,4256.7
34.423,4260.3
34.523,4264.2
34.623,4268.2
34.724,4272.1
34.824,4276.1
34.924,4298.5
35.024,4331.4
35.125,4351.1
35.225,4354.9
35.325,4359.1
35.425,4363.2
35.525,4371.3
35.626,4414.9
35.726,4566.4
35.826,4638.6
35.926,4688.1
36.027,4692.3
36.127,4696.6
36.227,4700.9
36.327,4705.0
36.428,4708.8
36.528,4712.8
36.628,4716.8
36.728,4720.7
36.828,4724.1
36.929,4728.3
37.029,4732.5
37.129,4736.4
37.229,4740.6
37.329,4745.1
37.430,4748.9
37.530,4753.1
37.630,4757.2
37.730,4761.5
37.831,4765.8
37.931,4770.1
38.031,4774.0
38.131,4778.0
38.232,4782.1
38.332,4786.0
38.432,4789.7
38.532,4793.9
38.632,4797.8
38.733,4801.8
38.833,4805.7
38.933,4809.6
39.033,4813.3
39.133,4817.5
39.234,4822.1
39.334,4826.0
39.434,4829.9
39.534,4834.2
39.635,4838.6
39.735,4842.3
39.835,4845.9
39.935,4849.6
40.036,4852.9
40.136,4856.3
40.236,4859.7
40.336,4863.8
40.436,4867.7
40.537,4871.5
40.637,4875.6
40.737,4879.4
40.837,4882.8
40.937,4887.0
41.038,4890.1
41.138,4893.9
41.238,4898.0
41.338,4901.7
41.439,4906.1
41.539,4910.2
41.639,4914.5
41.739,4918.1
41.840,4921.4
41.940,4924.9
42.040,4928.4
42.140,4932.5
42.241,4936.5
42.341,4940.7
42.441,4944.8
42.541,4949.2
42.641,4953.4
42.742,4957.2
42.842,4961.9
42.942,4965.8
43.042,4970.2
43.143,4974.7
43.243,4978.4
43.343,4982.6
43.443,4987.0
43.544,4991.1
43.644,4995.2
43.744,4998.8
43.844,5091.1
43.944,5283.8
44.045,5315.9
44.145,5417.4
44.245,5382.5
44.345,5387.4
44.446,5392.9
44.546,5398.1
44.646,5403.5
44.746,5408.6
44.846,5413.1
44.947,5418.0
45.047,5422.7
45.147,5428.2
45.247,5433.4
45.347,5439.0
45.448,5444.6
45.548,5450.5
45.648,5455.7
45.748,5461.1
45.849,5466.7
45.949,5471.6
46.049,5476.8
46.149,5481.8
46.250,5487.4
46.350,5492.6
46.450,5497.9
46.550,5503.0
46.651,5508.4
46.751,5513.9
46.851,5519.4
46.951,5524.6
47.051,5530.1
47.152,5535.5
47.252,5540.5
47.352,5546.4
47.452,5551.6
47.552,5557.0
47.653,5562.4
47.753,5567.8
47.853,5574.0
47.953,5578.7
48.054,5584.0
48.154,5589.3
48.254,5594.4
48.354,5600.5
48.455,5605.4
48.555,5611.1
48.655,5616.8
48.755,5622.0
48.855,5627.0
48.956,5631.9
49.056,5637.1
49.156,5642.6
49.256,5647.8
49.356,5652.8
49.457,5658.3
49.557,5663.4
49.657,5668.8
49.757,5673.9
49.857,5679.3
49.958,5684.8
50.058,5690.2
50.158,5695.6
50.258,5700.9
50.359,5706.3
50.459,5712.1
50.559,5717.1
50.659,5722.4
50.759,5727.8
