elapsed_sec,rss_mb
0.000,2109.3
0.001,2109.3
0.130,2109.3
0.230,2002.3
0.330,2012.6
0.431,2015.2
0.650,2056.0
0.750,2078.8
0.850,2079.7
0.951,2080.0
1.051,2080.3
1.151,2080.5
1.251,2080.8
1.352,2081.0
1.452,2081.1
1.552,2081.3
1.652,2081.6
1.753,2081.9
1.853,2082.2
1.953,2082.5
2.053,2082.5
2.154,2082.8
2.254,2083.0
2.354,2083.2
2.454,2083.6
2.555,2084.0
2.655,2084.3
2.755,2084.6
2.855,2084.6
2.956,2084.9
3.056,2085.3
3.156,2085.3
3.256,2085.6
3.357,2085.8
3.457,2085.8
3.557,2086.1
3.657,2086.4
3.758,2086.7
3.858,2086.7
3.958,2087.1
4.058,2087.5
4.158,2088.0
4.259,2088.2
4.359,2088.5
4.459,2088.8
4.559,2088.9
4.660,2089.3
4.760,2089.7
4.860,2089.7
4.960,2090.0
5.061,2090.3
5.161,2090.3
5.261,2090.6
5.361,2090.8
5.462,2090.9
5.562,2091.2
5.662,2091.4
5.762,2091.4
5.863,2091.7
5.963,2092.0
6.063,2092.1
6.163,2092.4
6.264,2092.7
6.364,2092.7
6.464,2092.9
6.564,2093.2
6.664,2093.2
6.765,2093.6
6.869,2093.9
6.969,2093.9
7.069,2094.4
7.169,2095.0
7.269,2095.6
7.370,2096.2
7.470,2096.8
7.570,2096.8
7.670,2097.1
7.771,2097.2
7.871,2097.4
7.971,2097.9
8.071,2097.9
8.172,2098.2
8.272,2098.4
8.372,2098.7
8.472,2098.8
8.573,2099.0
8.673,2099.3
8.773,2099.3
8.873,2099.6
8.973,2099.6
9.074,2099.9
9.174,2100.2
9.274,2100.2
9.374,2100.5
9.475,2100.7
9.575,2100.8
9.675,2101.1
9.775,2101.4
9.887,2101.4
9.987,2102.5
10.087,2102.8
10.187,2102.9
10.288,2103.2
10.388,2103.2
10.488,2103.5
10.588,2103.8
10.689,2103.8
10.789,2104.1
10.889,2104.3
10.989,2104.4
11.090,2104.6
11.190,2104.9
11.290,2105.0
11.390,2105.2
11.490,2105.5
11.591,2105.5
11.691,2105.8
11.791,2106.1
11.891,2106.1
11.992,2106.4
12.092,2106.7
12.192,2106.7
12.292,2107.0
12.393,2107.3
12.493,2107.7
12.593,2107.7
12.693,2108.1
12.793,2108.5
12.904,2108.7
13.005,2109.0
13.105,2109.0
13.205,2109.3
13.305,2109.6
13.405,2110.1
13.506,2110.7
13.606,2111.9
13.706,2112.5
13.806,2113.2
13.907,2113.6
14.007,2114.2
14.107,2114.6
14.207,2114.6
14.308,2115.0
14.408,2115.4
14.508,2115.7
14.608,2115.7
14.709,2116.0
14.809,2116.0
14.909,2116.2
15.009,2116.5
15.110,2116.6
15.210,2116.8
15.310,2117.1
15.410,2117.1
15.510,2117.4
15.611,2117.7
15.711,2117.7
15.811,2118.0
15.923,2118.2
16.023,2118.3
16.123,2118.6
16.223,2118.9
16.323,2141.8
16.424,2222.4
16.524,2288.0
16.624,2303.1
16.724,2304.1
16.825,2305.5
16.925,2307.0
17.025,2307.7
17.125,2309.4
17.226,2310.5
17.326,2312.0
17.426,2312.9
17.526,2314.1
17.627,2315.3
17.727,2316.5
17.827,2317.9
17.927,2319.4
18.028,2320.3
18.128,2321.5
18.228,2322.9
18.328,2323.9
18.428,2325.3
18.529,2326.7
18.629,2327.2
18.729,2328.9
18.829,2330.3
18.940,2331.1
19.041,2332.7
19.141,2333.4
19.241,2334.6
19.341,2336.3
19.442,2337.0
19.542,2338.4
19.642,2339.9
19.742,2340.8
19.843,2342.0
19.943,2343.4
20.043,2344.6
20.143,2345.6
20.244,2347.3
20.344,2348.0
20.444,2349.4
20.544,2351.3
20.644,2351.8
20.745,2353.2
20.845,2354.9
20.945,2355.6
21.045,2357.1
21.146,2357.8
21.246,2359.4
21.346,2360.6
21.446,2361.6
21.547,2363.2
21.647,2364.2
21.747,2365.2
21.847,2366.8
21.959,2368.0
22.059,2369.0
22.159,2370.2
22.259,2371.6
22.360,2372.3
22.460,2374.0
22.560,2375.5
22.660,2376.2
22.761,2377.6
22.861,2379.0
22.961,2380.2
23.061,2381.4
23.162,2382.6
23.262,2383.3
23.362,2384.7
23.462,2386.4
23.563,2387.4
23.663,2388.6
23.763,2390.0
23.863,2391.4
23.963,2392.2
24.064,2393.6
24.164,2395.0
24.264,2396.0
24.364,2397.2
24.465,2398.6
24.565,2399.9
24.665,2400.8
24.769,2411.5
24.876,2397.5
24.976,2397.5
25.093,2397.5
25.194,2397.6
25.294,2403.6
25.394,2403.8
25.494,2403.8
25.594,2403.8
25.695,2403.8
25.795,2403.8
25.896,2403.8
25.997,2403.8
26.097,2403.8
26.197,2403.8
26.297,2403.8
26.397,2403.8
26.498,2403.8
26.598,2403.8
26.698,2403.8
26.798,2403.8
26.899,2403.8
26.999,2403.8
27.099,2403.8
27.199,2403.8
27.300,2403.8
27.400,2403.8
27.500,2403.8
27.600,2403.8
27.700,2403.8
27.802,2403.8
27.902,2403.8
28.005,2403.8
28.105,2403.8
28.205,2403.8
28.305,2403.8
28.406,2403.8
28.506,2403.8
28.606,2403.8
28.706,2403.8
28.807,2403.8
28.907,2403.8
29.007,2403.8
29.107,2403.8
29.207,2403.8
29.308,2403.8
29.408,2403.8
29.508,2403.8
29.608,2403.8
29.709,2403.8
29.809,2403.8
29.909,2403.8
30.009,2403.8
30.110,2403.8
30.210,2403.8
30.311,2403.8
30.411,2403.8
30.511,2403.8
30.611,2403.8
30.712,2403.8
30.812,2403.8
30.912,2403.8
31.020,2403.8
31.121,2403.8
31.221,2403.8
31.321,2403.8
31.421,2403.8
31.521,2403.8
31.622,2403.8
31.722,2403.8
31.827,2403.8
31.933,2403.8
32.038,2404.0
32.143,2404.0
32.248,2404.0
32.354,2404.0
32.459,2404.0
32.564,2404.0
32.670,2404.0
32.775,2404.0
32.880,2404.0
32.985,2404.0
33.091,2404.0
33.196,2404.0
33.301,2404.0
33.407,2404.0
33.512,2404.0
33.617,2404.0
33.723,2404.0
33.828,2404.0
34.708,2404.0
35.532,2076.3
