normalizer	bin	bp	bp_fraction	weighted_bp	weighted_fraction	gdna_eff_len_contribution
current_global_q95	[1e-4,1e-3)	1.0	2.8303037978471136e-09	0.0007971798539094911	8.637629446630459e-12	0.0007981798665450476
current_global_q95	[1e-3,1e-2)	5465698.0	0.015469585807285373	46918.06995375836	0.0005083682190715055	46976.92575970927
current_global_q95	[1e-2,1e-1)	168567814.0	0.47709812415898584	7618098.042802277	0.08254386718269698	7627654.473843967
current_global_q95	[1e-1,1)	140055930.0	0.39640083059000947	45396973.66614688	0.4918867864053397	45453921.351238936
current_global_q95	A==1	39229519.0	0.1110314566134155	39229519.0	0.4250609781842541	39278729.99610635
global_q99	[1e-4,1e-3)	3.0	8.49091139354134e-09	0.0009375296072509553	2.611560572932916e-11	0.0009387056799387702
global_q99	[1e-3,1e-2)	82637561.0	0.2338894027431225	501296.3330890098	0.01396399354991965	501925.17821698013
global_q99	[1e-2,1e-1)	187852163.0	0.531678690372695	6635458.920517485	0.1848357936231119	6643782.691785276
global_q99	[1e-1,1)	75440225.0	0.21351875532794076	21373444.473456334	0.5953736763398906	21400256.13262459
global_q99	A==1	7389010.0	0.020913143065330302	7389010.0	0.20582653646096236	7398279.054314425
global_q99.5	[1e-4,1e-3)	887728.0	0.0025125399298552226	836.8212158517223	3.6714942720001266e-05	837.8709561147878
global_q99.5	[1e-3,1e-2)	135080232.0	0.3823180936436692	686536.0754569019	0.030121287806929766	687397.2923414673
global_q99.5	[1e-2,1e-1)	162894304.0	0.46104036725886227	5478315.15291771	0.2403572271249972	5485187.359167795
global_q99.5	[1e-1,1)	49894323.0	0.1412160918779106	12064324.840908563	0.5293137734786253	12079458.78743418
global_q99.5	A==1	4562375.0	0.012912907289702725	4562375.0	0.2001709966467278	4568098.216192396
global_q99.9	[1e-4,1e-3)	28489716.0	0.08063455139438568	20615.096165520346	0.002172798632964631	20640.956523816694
global_q99.9	[1e-3,1e-2)	196742908.0	0.5568421997118853	769404.8367195126	0.0810940567047476	770370.0073203556
global_q99.9	[1e-2,1e-1)	115748152.0	0.32760243419938495	4238481.551061905	0.4467292728615152	4243798.463030826
