field	class	kappa_len	rho_global	rho_ref	n_regions	sum_y	sum_e	mean_rho_hat_e_weighted	mean_weight_e_weighted	n_at_floor	n_at_one	rho_q010	rho_q050	rho_q100	rho_q250	rho_q500	rho_q750	rho_q900	rho_q950	rho_q990	rho_q999	weight_q010	weight_q050	weight_q100	weight_q250	weight_q500	weight_q750	weight_q900	weight_q950	weight_q990	weight_q999
current_alpha_used_as_length__global_q950	ALL	1.0	0.0018870891827843024	0.0002132057904769226	647987	5719368.815103848	3030788829.3150067	0.0018723044254076002	0.0686548602292172	4364	147146	8.671589739758502e-11	3.7656297924724386e-10	4.415693514843602e-09	1.4816394420818624e-08	5.296278002505165e-08	2.784846688590203e-07	6.156349029136851e-06	0.0002132057904769226	0.05554876653685932	0.2875885803103244	0.00010000000000000009	0.00010000000000000009	0.00010000000000000009	0.00010000000000000009	0.0002484115459837113	0.0013061777929955583	0.028875149288232926	1.0	1.0	1.0
current_alpha_used_as_length__global_q950	INTERGENIC	1.0	0.0018870891827843024	0.0002132057904769226	33120	10370.0	1308005750.7008893	7.656172833260298e-06	0.010485848708494897	3058	2794	6.24461867739684e-11	9.493500855085596e-11	1.7577922455580957e-10	4.982387594435626e-09	1.446213206622578e-08	4.202008228093699e-08	1.1555956854973835e-07	2.537345174780936e-07	8.038862098299962e-05	0.001251326756628764	0.00010000000000000009	0.00010000000000000009	0.00010000000000000009	0.00010000000000000009	0.00010000000000000009	0.0001970869655413283	0.0005420095218391659	0.0011900920557106423	0.3770470811471736	1.0
current_alpha_used_as_length__global_q950	INTRON	1.0	0.0018870891827843024	0.0002132057904769226	296039	301315.54418251116	1541887072.7065003	0.0001723729080625876	0.09863486287678051	1306	74023	7.778290764175809e-09	1.3419723326014982e-08	1.9567130345634396e-08	4.1449704797827806e-08	1.1811269757295799e-07	5.209551487839137e-07	8.546295017754166e-05	0.00037956859370888235	0.002844985642272265	0.01900637004508968	0.00010000000000000009	0.00010000000000000009	0.00010000000000000009	0.00019441172167560913	0.0005539844734458204	0.0024434380868295497	0.4008472283345047	1.0	1.0	1.0
current_alpha_used_as_length__global_q950	EXON-INTRON	1.0	0.0018870891827843024	0.0002132057904769226	318828	5407683.270921337	180896005.90761682	0.029844580778852294	0.23371999204288357	0	70329	3.083203762434042e-06	3.083203762434042e-06	3.083203762434042e-06	3.083203762434042e-06	3.083203762434042e-06	6.156349029136851e-06	0.12418728311819935	0.1927668533311797	0.33982728397448775	0.7418234079095852	0.01446116334616046	0.01446116334616046	0.01446116334616046	0.01446116334616046	0.01446116334616046	0.028875149288232926	1.0	1.0	1.0	1.0
current_alpha_used_as_length__global_q990	ALL	1.0	0.0018870891827843024	0.05554876653685932	647987	5719368.815103848	3030788829.3150067	0.0018723044254076002	0.012793062159382175	418741	61812	8.671589739758502e-11	3.7656297924724386e-10	4.415693514843602e-09	1.4816394420818624e-08	5.296278002505165e-08	2.784846688590203e-07	6.156349029136851e-06	0.0002132057904769226	0.05554876653685932	0.2875885803103244	0.00010000000000000009	0.00010000000000000009	0.00010000000000000009	0.00010000000000000009	0.00010000000000000009	0.00010000000000000009	0.00011082782594374661	0.003838173262325282	1.0	1.0
current_alpha_used_as_length__global_q990	INTERGENIC	1.0	0.0018870891827843024	0.05554876653685932	33120	10370.0	1308005750.7008893	7.656172833260298e-06	0.0002264604640557041	28619	74	6.24461867739684e-11	9.493500855085596e-11	1.7577922455580957e-10	4.982387594435626e-09	1.446213206622578e-08	4.202008228093699e-08	1.1555956854973835e-07	2.537345174780936e-07	8.038862098299962e-05	0.001251326756628764	0.00010000000000000009	0.00010000000000000009	0.00010000000000000009	0.00010000000000000009	0.00010000000000000009	0.00010000000000000009	0.00010000000000000009	0.00010000000000000009	0.0014471720254968727	0.022526634426678904
current_alpha_used_as_length__global_q990	INTRON	1.0	0.0018870891827843024	0.05554876653685932	296039	301315.54418251116	1541887072.7065003	0.0001723729080625876	0.002708864664752707	177738	9040	7.778290764175809e-09	1.3419723326014982e-08	1.9567130345634396e-08	4.1449704797827806e-08	1.1811269757295799e-07	5.209551487839137e-07	8.546295017754166e-05	0.00037956859370888235	0.002844985642272265	0.01900637004508968	0.00010000000000000009	0.00010000000000000009	0.00010000000000000009	0.00010000000000000009	0.00010000000000000009	0.00010000000000000009	0.0015385211140706932	0.00683306970384338	0.051216000275802316	0.3421564731320907
current_alpha_used_as_length__global_q990	EXON-INTRON	1.0	0.0018870891827843024	0.05554876653685932	318828	5407683.270921337	180896005.90761682	0.029844580778852294	0.1896122289472777	212384	52698	3.083203762434042e-06	3.083203762434042e-06	3.083203762434042e-06	3.083203762434042e-06	3.083203762434042e-06	6.156349029136851e-06	0.12418728311819935	0.1927668533311797	0.33982728397448775	0.7418234079095852	0.00010000000000000009	0.00010000000000000009	0.00010000000000000009	0.00010000000000000009	0.00010000000000000009	0.00011082782594374661	1.0	1.0	1.0	1.0
current_alpha_used_as_length__exon-intron_q990	ALL	1.0	0.0018870891827843024	0.33982728397448775	647987	5719368.815103848	3030788829.3150067	0.0018723044254076002	0.00529986244983688	483306	9742	8.671589739758502e-11	3.7656297924724386e-10	4.415693514843602e-09	1.4816394420818624e-08	5.296278002505165e-08	2.784846688590203e-07	6.156349029136851e-06	0.0002132057904769226	0.05554876653685932	0.2875885803103244	0.00010000000000000009	0.00010000000000000009	0.00010000000000000009	0.00010000000000000009	0.00010000000000000009	0.00010000000000000009	0.00010000000000000009	0.0006273945634480866	0.16346176177257618	0.8462786652878492
current_alpha_used_as_length__exon-intron_q990	INTERGENIC	1.0	0.0018870891827843024	0.33982728397448775	33120	10370.0	1308005750.7008893	7.656172833260298e-06	0.0001198630509148943	29529	55	6.24461867739684e-11	9.493500855085596e-11	1.7577922455580957e-10	4.982387594435626e-09	1.446213206622578e-08	4.202008228093699e-08	1.1555956854973835e-07	2.537345174780936e-07	8.038862098299962e-05	0.001251326756628764	0.00010000000000000009	0.00010000000000000009	0.00010000000000000009	0.00010000000000000009	0.00010000000000000009	0.00010000000000000009	0.00010000000000000009	0.00010000000000000009	0.00023655728887570648	0.003682243350191699
