field	component_class	n_transcripts	mean	min	max	q010	q050	q100	q250	q500	q750	q900	q950	q990
current_alpha_used_as_length__global_q950	mRNA	47989	0.20981942890884725	0.014461163346160457	1.0	0.014461163346160459	0.01446116334616046	0.01446116334616046	0.014461163346160462	0.019092417632125644	0.22859984322901505	0.9235545360385413	1.0	1.0
current_alpha_used_as_length__global_q950	nRNA	2011	0.3540547222055648	0.014461163346160459	1.0	0.014461163346160459	0.01446116334616046	0.01446116334616046	0.01446116334616046	0.028875149288232923	1.0	1.0	1.0	1.0
current_alpha_used_as_length__global_q950	ALL	50000	0.21562057240524127	0.014461163346160457	1.0	0.014461163346160459	0.01446116334616046	0.01446116334616046	0.014461163346160462	0.019108364965697233	0.24979778741533243	0.9474925251364816	1.0	1.0
current_alpha_used_as_length__global_q990	mRNA	47989	0.1676592766368835	0.00010000000000000007	1.0	0.00010000000000000007	0.00010000000000000009	0.00010000000000000009	0.00010000000000000009	0.00010348019756453609	0.10499176424715242	0.8146629481044207	0.9705126029630504	1.0
current_alpha_used_as_length__global_q990	nRNA	2011	0.1311176447007069	0.00010000000000000007	1.0	0.00010000000000000007	0.00010000000000000009	0.00010000000000000009	0.00010000000000000009	0.0001108278259437466	0.033971756718164506	1.0	1.0	1.0
current_alpha_used_as_length__global_q990	ALL	50000	0.16618957220041047	0.00010000000000000007	1.0	0.00010000000000000007	0.00010000000000000009	0.00010000000000000009	0.00010000000000000009	0.00010349148123996155	0.08733360970825782	0.8175845342512673	0.9781164715131727	1.0
current_alpha_used_as_length__exon-intron_q990	mRNA	47989	0.0747311589192997	0.00010000000000000007	1.0	0.00010000000000000007	0.00010000000000000007	0.00010000000000000009	0.00010000000000000009	0.00010000000000000009	0.028920376009413905	0.3119896901153698	0.4555638474255468	0.727283264375168
current_alpha_used_as_length__exon-intron_q990	nRNA	2011	0.06283497369449763	0.00010000000000000007	1.0	0.00010000000000000007	0.00010000000000000009	0.00010000000000000009	0.00010000000000000009	0.00010000000000000009	0.005553083203660519	0.21151865103434725	0.5381554281345717	0.9981026094509337
current_alpha_used_as_length__exon-intron_q990	ALL	50000	0.07425269434955815	0.00010000000000000007	1.0	0.00010000000000000007	0.00010000000000000007	0.00010000000000000009	0.00010000000000000009	0.00010000000000000009	0.022109481328467257	0.31030573399864486	0.4571487917510777	0.7404209567245752
clipped_alpha_over_rho_global__global_q950	mRNA	47989	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
clipped_alpha_over_rho_global__global_q950	nRNA	2011	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
clipped_alpha_over_rho_global__global_q950	ALL	50000	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
clipped_alpha_over_rho_global__exon-intron_q950	mRNA	47989	0.11946513683612371	0.008693152184710732	1.0	0.008693152184710734	0.008693152184710734	0.008693152184710734	0.008693152184710734	0.009701971000969914	0.05786692148736709	0.49523256913143543	0.6898685238896832	0.9343472125115526
clipped_alpha_over_rho_global__exon-intron_q950	nRNA	2011	0.09609305354109665	0.008693152184710732	1.0	0.008693152184710734	0.008693152184710734	0.008693152184710734	0.008693152184710734	0.011872294724597771	0.018717352973720985	0.3564453758238913	0.8721438967601336	1.0
clipped_alpha_over_rho_global__exon-intron_q950	ALL	50000	0.11852511164599772	0.008693152184710732	1.0	0.008693152184710734	0.008693152184710734	0.008693152184710734	0.008693152184710734	0.00970517258620076	0.04652176393049328	0.49258677124354183	0.6930131278407509	0.948955959298206
