locus_idx,n_transcripts,n_units,n_components,n_equiv_classes,ec_total_elements,max_ec_width,max_ec_depth,squarem_iterations,estep_threads_used,is_mega_locus,digamma_calls_per_estep,extract_us,bias_us,build_ec_us,warm_start_us,squarem_us,assign_us,total_us,squarem_time_s,total_time_s,em_fraction,hit_max_iters,converged
0,424748,61062322,424749,2117829,590217708,413,80972,333,24,True,424749,24467900.088,13919962.423,29488358.752,2910714.448,585110934.878,22765298.242,678663168.831,585.110934878,678.663168831,0.8621521864607091,True,False
5408,46,16323,47,85,379732,40,3645,333,1,False,47,10242.244,8896.916,7057.254,1314.88,2192757.589,10405.937,2230674.82,2.192757589,2.23067482,0.983001901191497,True,False
1596,113,5074,114,409,268411,99,573,333,1,False,114,7072.163,6446.938,3170.099,906.205,1431293.702,7173.922,1456063.029,1.431293702,1.456063029,0.9829888359867147,True,False
2114,38,18310,39,177,149818,22,1643,88,1,False,39,3782.308,3634.248,4000.392,478.136,390776.117,4955.739,407626.94,0.39077611700000003,0.40762694,0.9586611645442277,False,True
1611,48,19509,49,224,200748,39,1380,15,1,False,49,204841.347,5121.704,43591.591,659.792,78268.878,6829.459,339312.771,0.078268878,0.339312771,0.23066882442806727,False,True
1607,31,11671,32,97,267559,32,3986,32,1,False,32,70125.278,6278.594,18575.232,908.589,198243.979,7492.863,301624.535,0.198243979,0.30162453499999997,0.6572541554021791,False,True
573,10,15477,11,17,118402,9,7532,26,1,False,11,130945.488,2763.908,42119.385,358.838,110070.979,4319.249,290577.847,0.11007097900000001,0.290577847,0.378800311642477,False,True
3832,12,10567,13,24,72674,13,9458,48,1,False,13,1769.321,1751.388,3096.266,208.548,191543.904,2427.95,200797.377,0.19154390400000001,0.200797377,0.9539163651525189,False,True
2003,30,12149,31,82,65489,17,4211,23,1,False,31,56026.932,1589.214,58629.16,199.978,63257.623,2325.189,182028.096,0.063257623,0.182028096,0.3475157098825008,False,True
4319,24,9056,25,99,72792,23,1109,18,1,False,25,60852.218,1778.265,76081.962,240.003,38648.163,2415.184,180015.795,0.038648163,0.180015795,0.21469317734035503,False,True
3752,73,8101,74,190,94662,43,1460,65,1,False,74,2185.724,2302.438,1914.474,302.296,157331.191,2949.578,166985.701,0.15733119099999998,0.16698570100000001,0.9421836124758969,False,True
5175,19,15663,20,45,204610,20,6326,32,1,False,20,5252.51,4795.089,5337.761,648.392,144191.315,5965.928,166190.995,0.14419131500000001,0.166190995,0.8676241152536575,False,True
