true_source	predicted_binary	predicted_detail	zc	zs	cigar_class	nh	nm	count	rate_within_group
gdna	gdna	gdna	ambig_same_strand	unspliced	all_M	1	0	10625911	0.6838371552959821
rna	rna	mrna	ambig_same_strand	spliced_annot	contains_N	1	0	5441623	0.4231148197951833
rna	rna	mrna	ambig_same_strand	unspliced	all_M	1	0	2303012	0.17907130048629696
gdna	gdna	gdna	ambig_same_strand	unspliced	all_M	1	1	1637655	0.10539231286204465
rna	rna	mrna	ambig_same_strand	spliced_annot	all_M	1	0	1615638	0.12562435531168742
gdna	gdna	gdna	ambig_opp_strand	unspliced	all_M	1	0	1432508	0.09218994923435146
rna	rna	mrna	unambig	spliced_annot	contains_N	1	0	753430	0.05858314673366475
gdna	rna	nrna	ambig_same_strand	unspliced	all_M	1	0	713792	0.5361362753809442
gdna	rna	mrna	ambig_same_strand	unspliced	all_M	1	0	692668	0.6521100174638367
rna	rna	mrna	ambig_same_strand	spliced_annot	contains_N	1	1	590826	0.0459398301793985
rna	rna	mrna	ambig_opp_strand	unspliced	all_M	1	0	430795	0.033496577913182515
rna	gdna	gdna	ambig_same_strand	unspliced	all_M	1	0	336915	0.6624374015678364
gdna	gdna	gdna	ambig_same_strand	unspliced	all_M	1	2	295047	0.01898793441415175
gdna	rna	nrna	ambig_opp_strand	unspliced	all_M	1	0	281010	0.21106940781740216
rna	rna	mrna	ambig_same_strand	unspliced	all_M	1	1	281009	0.021849928301873295
gdna	gdna	gdna	unambig	unspliced	all_M	1	0	225060	0.014483877210237667
gdna	gdna	gdna	ambig_opp_strand	unspliced	all_M	1	1	222867	0.014342745322198695
rna	rna	mrna	unambig	spliced_annot	all_M	1	0	213193	0.01657687748243392
rna	rna	mrna	ambig_same_strand	spliced_implicit	all_M	1	0	203828	0.015848699457719256
gdna	gdna	gdna	ambig_same_strand	unspliced	all_M	1	>=3	194166	0.012495674497480702
gdna	gdna	gdna	.	unknown	all_M	1	0	192713	0.012402165772756294
rna	rna	mrna	ambig_same_strand	spliced_annot	all_M	1	1	184800	0.014369172340338512
rna	rna	nrna	ambig_same_strand	unspliced	all_M	1	0	168604	0.3398506788789628
gdna	rna	mrna	ambig_opp_strand	unspliced	all_M	1	0	162519	0.15300297967887252
gdna	unresolved	unresolved	missing	missing	other	1	0	147858	0.49874182863233735
gdna	rna	nrna	ambig_same_strand	unspliced	all_M	1	1	107348	0.08063015120594458
rna	unresolved	unresolved	missing	missing	other	1	0	98133	0.7891867113802504
rna	rna	nrna	unambig	unspliced	all_M	1	0	97179	0.19588117199342084
gdna	rna	mrna	ambig_same_strand	unspliced	all_M	1	1	94874	0.0893188162248928
gdna	gdna	gdna	ambig_same_strand	unspliced	soft_or_hard_clipped	1	0	90359	0.005815110018838822
rna	rna	mrna	unambig	spliced_annot	contains_N	1	1	87374	0.006793788225458534
gdna	unresolved	unresolved	.	unspliced	all_M	1	0	87026	0.29354858295498243
rna	rna	nrna	ambig_opp_strand	unspliced	all_M	1	0	83659	0.16862926113458251
rna	rna	mrna	ambig_same_strand	spliced_annot	contains_N	1	2	79651	0.006193284340261379
gdna	gdna	gdna	ambig_same_strand	unspliced	soft_or_hard_clipped	1	>=3	79365	0.005107584265487037
rna	rna	mrna	ambig_same_strand	spliced_annot	soft_or_hard_clipped	1	0	75852	0.0058978921015116715
rna	rna	mrna	ambig_same_strand	unspliced	soft_or_hard_clipped	1	0	74490	0.005791989435237098
gdna	gdna	gdna	ambig_same_strand	unspliced	other	1	1	62372	0.004013989111156775
