support_name	support_bin	windows	gdna_source_total	gdna_false_rna	gdna_false_rna_rate	ambig_unspliced_false
splice_supported	0	23035	2563356	326961	0.1275519280193621	305413
splice_supported	1-10	16145	3326339	417553	0.12552929812625832	386182
splice_supported	11-100	17783	4150395	615214	0.1482302286890766	585373
splice_supported	101-1000	14332	5108842	759344	0.14863329106674272	719674
splice_supported	>1000	1838	1511610	274486	0.18158519724002883	250891
unambig_splice_supported	0	50745	8929725	1159953	0.12989795318444858	1086873
unambig_splice_supported	1-10	13688	4203831	630386	0.1499551242664132	591111
unambig_splice_supported	11-100	6368	2424140	417592	0.17226397815307698	395200
unambig_splice_supported	101-1000	2226	1008870	168145	0.16666666666666666	158526
unambig_splice_supported	>1000	106	93976	17482	0.18602621946028775	15823
truth_rna	0	22359	2733282	302704	0.11074744574471276	274431
truth_rna	1-10	13533	2438137	280725	0.11513914107369684	260973
truth_rna	11-100	17392	3421585	417010	0.1218762649473855	396130
truth_rna	101-1000	16868	5716158	883195	0.15450850028988003	838375
truth_rna	>1000	2981	2351380	509924	0.21686158766341468	477624
