region_type	length_bin	region_strand	boundary_flux_left	boundary_flux_right	regions_with_gdna	gdna_source_total	gdna_false_rna	gdna_false_rna_rate
EXON	1k-5k	POS	True	True	6794	1070675	245775	0.22955145118733508
EXON	1k-5k	NEG	True	True	6298	966074	220216	0.22794941174278574
EXON	1k-5k	AMBIG	True	True	3129	581791	165155	0.28387341846126873
EXON	101-250	POS	True	True	42598	1117218	124656	0.11157714966998383
EXON	501-1k	POS	True	True	6749	617958	116397	0.1883574611866826
EXON	101-250	NEG	True	True	42174	1092370	115608	0.10583227294781072
EXON	1k-5k	POS	True	False	3526	519384	105119	0.2023916793740277
EXON	501-1k	NEG	True	True	6657	576842	104753	0.18159738715280788
EXON	1k-5k	NEG	False	True	3459	500347	102192	0.20424225587442316
EXON	251-500	NEG	True	True	11461	664166	94171	0.14178834809369947
EXON	251-500	POS	True	True	11274	649962	88490	0.1361464208676815
INTRON	1k-5k	POS	False	False	41264	1348066	70526	0.05231642961101311
INTRON	1k-5k	NEG	False	False	39746	1199217	56741	0.047315039730090554
EXON	5k-10k	AMBIG	True	True	491	162661	51752	0.3181586243783083
EXON	5k-10k	POS	True	True	387	127095	35651	0.28050670758094337
INTRON	101-250	POS	False	False	9328	292268	32484	0.11114456594632324
EXON	5k-10k	NEG	True	True	348	110664	29805	0.26932877900672303
INTRON	101-250	NEG	False	False	9124	273221	28946	0.10594354021103795
EXON	5k-10k	NEG	False	True	518	137449	28897	0.21023797917773138
INTRON	501-1k	POS	False	False	13848	483423	28705	0.0593786394110334
EXON	501-1k	AMBIG	True	True	1419	117179	27506	0.234734892770889
EXON	5k-10k	POS	True	False	507	120313	27113	0.22535386865924714
INTRON	501-1k	NEG	False	False	13982	442821	24711	0.05580358655077334
INTRON	1k-5k	AMBIG	False	False	9823	241671	24543	0.1015554203855655
INTRON	251-500	POS	False	False	9845	348350	24250	0.06961389407205397
INTRON	251-500	NEG	False	False	9425	308401	19950	0.06468850619809922
INTRON	5k-10k	POS	False	False	12631	346556	17890	0.05162224864091229
INTRON	10k-50k	POS	False	False	15113	351299	17762	0.05056091819219525
EXON	501-1k	POS	True	False	1215	95222	15889	0.16686269979626556
EXON	10k-50k	AMBIG	True	True	86	47969	15753	0.32839959140278097
INTRON	10k-50k	NEG	False	False	14163	322840	15619	0.04838000247800768
EXON	501-1k	NEG	False	True	1162	87531	14561	0.16635249225988508
EXON	1k-5k	AMBIG	True	False	368	54670	14339	0.2622827876349003
INTRON	101-250	AMBIG	False	False	2525	61945	13983	0.22573250464121397
EXON	1k-5k	AMBIG	False	True	377	57458	13837	0.24081938111316092
INTRON	5k-10k	NEG	False	False	11973	302708	13825	0.04567107575617427
EXON	1-100	POS	True	True	16293	110224	13820	0.12538104224125418
EXON	1k-5k	POS	False	True	423	68359	13441	0.19662370719290803
EXON	1k-5k	NEG	True	False	410	70503	12454	0.17664496546246258
EXON	1-100	NEG	True	True	15419	99831	12309	0.1232983742524867
INTRON	501-1k	AMBIG	False	False	3826	100848	11840	0.11740441059812788
INTRON	251-500	AMBIG	False	False	2801	78888	11145	0.14127623973227868
EXON	251-500	AMBIG	True	True	1116	60964	10608	0.17400433042451283
EXON	1k-5k	NEG	False	False	752	89455	10098	0.11288357274607344
EXON	1k-5k	POS	False	False	774	83233	8453	0.10155827616450205
EXON	501-1k	NEG	True	False	819	61297	8233	0.13431326166044016
EXON	501-1k	POS	False	True	847	57288	7812	0.13636363636363635
INTRON	1-100	POS	False	False	3697	42501	7389	0.17385473282981576
EXON	5k-10k	AMBIG	False	True	57	20136	7307	0.3628823996821613
INTRON	1-100	NEG	False	False	3807	41740	6704	0.16061332055582175
EXON	251-500	POS	True	False	999	55378	6125	0.11060348875004515
EXON	10k-50k	NEG	True	True	29	23997	5834	0.2431137225486519
EXON	10k-50k	NEG	False	True	63	30371	5785	0.19047775838793585
EXON	5k-10k	AMBIG	True	False	64	20678	5745	0.2778315117516201
EXON	10k-50k	POS	True	False	84	23425	5506	0.23504802561366062
EXON	251-500	POS	False	True	1560	61322	5323	0.08680408336323016
EXON	251-500	NEG	True	False	1498	61551	5049	0.0820295364819418
EXON	251-500	NEG	False	True	959	45287	4940	0.1090820765341047
EXON	10k-50k	AMBIG	False	False	3	6150	4560	0.7414634146341463
EXON	10k-50k	POS	True	True	49	24176	4411	0.1824536730641959
INTRON	5k-10k	AMBIG	False	False	2589	46568	4311	0.09257429994846246
INTRON	>50k	NEG	False	False	2241	68348	3809	0.05572950196055481
EXON	501-1k	POS	False	False	802	48874	3771	0.07715758890207472
INTRON	10k-50k	AMBIG	False	False	2336	38294	3715	0.09701258682822374
INTRON	>50k	POS	False	False	2395	74828	3689	0.049299727374779494
EXON	501-1k	NEG	False	False	796	39598	3371	0.08513056214960352
INTRON	1-100	AMBIG	False	False	923	8993	3056	0.33981985989102637
EXON	101-250	AMBIG	True	True	600	19381	3044	0.15706103916206593
EXON	10k-50k	AMBIG	True	False	22	9750	2253	0.23107692307692307
EXON	5k-10k	NEG	False	False	42	12468	1970	0.15800449149823548
EXON	501-1k	AMBIG	True	False	93	6000	1719	0.2865
EXON	1k-5k	AMBIG	False	False	43	7400	1697	0.2293243243243243
EXON	10k-50k	AMBIG	False	True	14	6825	1512	0.22153846153846155
EXON	501-1k	AMBIG	False	True	89	7095	1473	0.2076109936575053
INTERGENIC	10k-50k	NONE	False	False	11420	143747	1244	0.008654093650650101
EXON	5k-10k	POS	False	True	9	4091	1210	0.29577120508433147
EXON	101-250	POS	False	True	1796	32234	1090	0.0338152261587144
EXON	5k-10k	NEG	True	False	13	4763	1029	0.21604031072853244
EXON	101-250	NEG	True	False	1737	32692	964	0.029487336351400953
EXON	251-500	NEG	False	False	590	9489	794	0.08367583517757403
EXON	5k-10k	POS	False	False	26	5229	736	0.14075349015108052
EXON	251-500	POS	False	False	592	8799	644	0.07319013524264122
INTERGENIC	>50k	NONE	False	False	5824	185800	623	0.0033530678148546824
EXON	101-250	POS	True	False	432	9818	603	0.061417804033408026
INTERGENIC	5k-10k	NONE	False	False	4034	35493	485	0.013664666272222691
EXON	5k-10k	AMBIG	False	False	8	3025	466	0.1540495867768595
EXON	>50k	AMBIG	True	True	3	2104	459	0.21815589353612166
EXON	101-250	NEG	False	True	399	9601	378	0.039370898864701596
EXON	251-500	AMBIG	True	False	23	1350	252	0.18666666666666668
INTERGENIC	1k-5k	NONE	False	False	4107	37233	162	0.00435097897026831
EXON	251-500	AMBIG	False	True	22	929	161	0.17330462863293863
EXON	10k-50k	POS	False	True	4	536	155	0.2891791044776119
INTRON	>50k	AMBIG	False	False	90	1349	60	0.04447739065974796
EXON	501-1k	AMBIG	False	False	7	125	37	0.296
INTERGENIC	501-1k	NONE	False	False	596	5946	24	0.004036326942482341
EXON	101-250	AMBIG	False	True	5	218	20	0.09174311926605505
EXON	101-250	POS	False	False	203	1235	19	0.015384615384615385
EXON	1-100	AMBIG	True	True	18	148	19	0.12837837837837837
EXON	101-250	AMBIG	True	False	8	332	16	0.04819277108433735
INTERGENIC	101-250	NONE	False	False	550	4819	14	0.0029051670471052084
EXON	101-250	NEG	False	False	165	977	12	0.012282497441146366
INTERGENIC	251-500	NONE	False	False	476	5009	10	0.0019964064683569574
EXON	10k-50k	POS	False	False	4	255	8	0.03137254901960784
EXON	1-100	POS	False	True	295	1412	4	0.0028328611898017
EXON	1-100	NEG	True	False	288	1493	2	0.0013395847287340924
INTERGENIC	1-100	NONE	False	False	140	484	2	0.004132231404958678
EXON	1-100	POS	True	False	46	126	2	0.015873015873015872
EXON	251-500	AMBIG	False	False	3	14	2	0.14285714285714285
EXON	1-100	NEG	False	False	6	11	1	0.09090909090909091
EXON	1-100	NEG	False	True	32	97	0	0.0
EXON	10k-50k	NEG	False	False	1	16	0	0.0
EXON	1-100	AMBIG	False	False	1	1	0	0.0
EXON	>50k	AMBIG	False	True	1	11	0	0.0
