true_source	predicted_binary	predicted_detail	dominant_region_type	count
gdna	gdna	gdna	EXON	8801825
gdna	gdna	gdna	INTERGENIC	406401
gdna	gdna	gdna	INTRON	6330431
gdna	rna	mrna	EXON	1058537
gdna	rna	mrna	INTERGENIC	531
gdna	rna	mrna	INTRON	3127
gdna	rna	nrna	EXON	886804
gdna	rna	nrna	INTERGENIC	2033
gdna	rna	nrna	INTRON	442526
gdna	unresolved	unresolved	EXON	89979
gdna	unresolved	unresolved	INTERGENIC	9566
gdna	unresolved	unresolved	INTRON	49059
gdna	unresolved	unresolved	NONE	147858
rna	gdna	gdna	EXON	390586
rna	gdna	gdna	INTERGENIC	12570
rna	gdna	gdna	INTRON	105445
rna	rna	mrna	EXON	12849648
rna	rna	mrna	INTERGENIC	1074
rna	rna	mrna	INTRON	10157
rna	rna	nrna	EXON	425219
rna	rna	nrna	INTERGENIC	21425
rna	rna	nrna	INTRON	49469
rna	unresolved	unresolved	EXON	24201
rna	unresolved	unresolved	INTERGENIC	511
rna	unresolved	unresolved	INTRON	1502
rna	unresolved	unresolved	NONE	98381
