true_source	predicted_binary	predicted_detail	region_mask	broad_region	count
gdna	gdna	gdna	EXON_INTERGENIC	EXON_CONTAINING	254253
gdna	gdna	gdna	EXON_INTRON	EXON_CONTAINING	10155410
gdna	gdna	gdna	EXON_INTRON_INTERGENIC	EXON_CONTAINING	107502
gdna	gdna	gdna	EXON_ONLY	EXON_CONTAINING	3908319
gdna	gdna	gdna	INTERGENIC_ONLY	INTERGENIC_ONLY	290832
gdna	gdna	gdna	INTRON_INTERGENIC	INTRON_ONLY	1840
gdna	gdna	gdna	INTRON_ONLY	INTRON_ONLY	820501
gdna	rna	mrna	EXON_INTERGENIC	EXON_CONTAINING	889
gdna	rna	mrna	EXON_INTRON	EXON_CONTAINING	8217
gdna	rna	mrna	EXON_INTRON_INTERGENIC	EXON_CONTAINING	178
gdna	rna	mrna	EXON_ONLY	EXON_CONTAINING	1052486
gdna	rna	mrna	INTERGENIC_ONLY	INTERGENIC_ONLY	238
gdna	rna	mrna	INTRON_INTERGENIC	INTRON_ONLY	1
gdna	rna	mrna	INTRON_ONLY	INTRON_ONLY	186
gdna	rna	nrna	EXON_INTERGENIC	EXON_CONTAINING	455
gdna	rna	nrna	EXON_INTRON	EXON_CONTAINING	863372
gdna	rna	nrna	EXON_INTRON_INTERGENIC	EXON_CONTAINING	585
gdna	rna	nrna	EXON_ONLY	EXON_CONTAINING	406955
gdna	rna	nrna	INTERGENIC_ONLY	INTERGENIC_ONLY	1591
gdna	rna	nrna	INTRON_INTERGENIC	INTRON_ONLY	360
gdna	rna	nrna	INTRON_ONLY	INTRON_ONLY	58045
gdna	unresolved	unresolved	EXON_INTERGENIC	EXON_CONTAINING	8521
gdna	unresolved	unresolved	EXON_INTRON	EXON_CONTAINING	103821
gdna	unresolved	unresolved	EXON_INTRON_INTERGENIC	EXON_CONTAINING	7459
gdna	unresolved	unresolved	EXON_ONLY	EXON_CONTAINING	17821
gdna	unresolved	unresolved	INTERGENIC_ONLY	INTERGENIC_ONLY	3232
gdna	unresolved	unresolved	INTRON_INTERGENIC	INTRON_ONLY	1277
gdna	unresolved	unresolved	INTRON_ONLY	INTRON_ONLY	6473
gdna	unresolved	unresolved	NONE	NONE	147858
rna	gdna	gdna	EXON_INTERGENIC	EXON_CONTAINING	12031
rna	gdna	gdna	EXON_INTRON	EXON_CONTAINING	149237
rna	gdna	gdna	EXON_INTRON_INTERGENIC	EXON_CONTAINING	630
rna	gdna	gdna	EXON_ONLY	EXON_CONTAINING	292652
rna	gdna	gdna	INTERGENIC_ONLY	INTERGENIC_ONLY	10084
rna	gdna	gdna	INTRON_INTERGENIC	INTRON_ONLY	6
rna	gdna	gdna	INTRON_ONLY	INTRON_ONLY	43961
rna	rna	mrna	EXON_INTERGENIC	EXON_CONTAINING	12375
rna	rna	mrna	EXON_INTRON	EXON_CONTAINING	69079
rna	rna	mrna	EXON_INTRON_INTERGENIC	EXON_CONTAINING	54
rna	rna	mrna	EXON_ONLY	EXON_CONTAINING	12779069
rna	rna	mrna	INTERGENIC_ONLY	INTERGENIC_ONLY	145
rna	rna	mrna	INTRON_INTERGENIC	INTRON_ONLY	2
rna	rna	mrna	INTRON_ONLY	INTRON_ONLY	155
rna	rna	nrna	EXON_INTERGENIC	EXON_CONTAINING	912
rna	rna	nrna	EXON_INTRON	EXON_CONTAINING	72062
rna	rna	nrna	EXON_INTRON_INTERGENIC	EXON_CONTAINING	66
rna	rna	nrna	EXON_ONLY	EXON_CONTAINING	378353
rna	rna	nrna	INTERGENIC_ONLY	INTERGENIC_ONLY	20505
rna	rna	nrna	INTRON_INTERGENIC	INTRON_ONLY	117
rna	rna	nrna	INTRON_ONLY	INTRON_ONLY	24098
rna	unresolved	unresolved	EXON_INTERGENIC	EXON_CONTAINING	859
rna	unresolved	unresolved	EXON_INTRON	EXON_CONTAINING	4830
rna	unresolved	unresolved	EXON_INTRON_INTERGENIC	EXON_CONTAINING	54
rna	unresolved	unresolved	EXON_ONLY	EXON_CONTAINING	19697
rna	unresolved	unresolved	INTERGENIC_ONLY	INTERGENIC_ONLY	339
rna	unresolved	unresolved	INTRON_INTERGENIC	INTRON_ONLY	33
rna	unresolved	unresolved	INTRON_ONLY	INTRON_ONLY	402
rna	unresolved	unresolved	NONE	NONE	98381
