predicted_detail	zc	zs	count	fraction_of_false_rna	fraction_of_gdna_source
nrna	ambig_same_strand	unspliced	1299008	0.38989789480445497	0.0712617816421894
mrna	ambig_same_strand	unspliced	1107859	0.3325244277480729	0.06077561196569559
nrna	ambig_opp_strand	unspliced	582324	0.17478483711733062	0.03194548896774023
mrna	ambig_opp_strand	unspliced	262978	0.07893297699466513	0.01442660923774117
nrna	unambig	unspliced	35519	0.01066104544818772	0.001948523197816276
nrna	multimapper	unspliced	20898	0.0062725450540901204	0.0011464353666478374
mrna	multimapper	unspliced	7705	0.002312659567507148	0.00042268563977517404
nrna	ambig_same_strand	spliced_unannot	3773	0.0011324678193646294	0.0002069815598795239
nrna	multimapper	spliced_unannot	2694	0.0008086054347649912	0.00014778911272606343
mrna	ambig_same_strand	spliced_annot	2095	0.0006288152879853959	0.00011492880147034258
nrna	multimapper	spliced_annot	1835	0.0005507761591662059	0.0001006655611924003
mrna	ambig_same_strand	spliced_unannot	1712	0.0005138576482248199	9.391795136860453e-05
mrna	multimapper	spliced_unannot	1200	0.0003601805945501074	6.583033974434897e-05
mrna	multimapper	spliced_annot	863	0.00025902987758061894	4.734298599947764e-05
mrna	unambig	spliced_annot	616	0.0001848927052023885	3.379290773543247e-05
nrna	ambig_opp_strand	spliced_unannot	352	0.00010565297440136485	1.93102329916757e-05
nrna	unambig	spliced_unannot	142	4.262137035509605e-05	7.789923536414628e-06
mrna	ambig_opp_strand	spliced_unannot	89	2.6713394095799634e-05	4.882416864372549e-06
